quarter_profile,regime_code,book_event_label,rows,median_spread_ticks,median_event_intensity_proxy,median_bid_l5_qty,median_ask_l5_qty
Q-C,D09,spread_widening,300,28.0,1.2754285696159147,411.5,813.5
Q-C,D10,best_price_shift,377,4.0,1.7504424214111292,382.0,570.0
Q-C,D10,book_state_update,6373,5.0,1.4267970377914247,391.0,324.0
Q-C,D10,spread_widening,450,30.5,1.4157094601715228,379.5,711.5
Q-C,D11,best_price_shift,29,5.0,1.6476683617392907,766.0,757.0
Q-C,D11,book_state_update,2221,4.0,1.3670942837895765,415.0,347.0
Q-C,D11,spread_widening,150,29.5,1.351006430506553,416.5,808.5
Q-C,D12,best_price_shift,342,4.0,1.8018226117947247,412.5,655.0
Q-C,D12,book_state_update,10533,4.0,1.4749967289288117,401.0,333.0
Q-C,D12,spread_widening,1125,35.0,1.4625823567148228,241.0,196.0
Q-C,D13,best_price_shift,23,8.0,1.0513418231416012,466.0,423.0
Q-C,D13,book_state_update,4327,8.0,0.8448593245552662,237.0,196.0
Q-C,D13,spread_widening,450,56.0,0.8380907472570617,144.0,117.0
Q-C,D15,book_state_update,6750,3.5,1.1370512979352945,474.0,398.0
Q-C,D15,spread_widening,450,25.5,1.1314234776146086,488.5,947.5
Q-C,D17,book_state_update,6525,4.0,1.1900306337527096,456.0,379.0
Q-C,D17,spread_widening,675,31.0,1.18633491432125,275.0,226.0
Q-C,D18,best_price_shift,5,3.0,1.5657122754173693,232.0,223.0
Q-C,D18,book_state_update,6745,5.0,1.2708708002865508,422.0,354.0
Q-C,D18,spread_widening,450,28.0,1.2610081036756524,427.0,831.0
Q-C,D19,best_price_shift,65,3.0,1.6429336925957063,369.0,605.0
Q-C,D19,book_state_update,4435,5.0,1.3292681600960035,421.0,352.0
Q-C,D19,spread_widening,300,28.0,1.3180719262257874,421.0,800.5
Q-C,D20,best_price_shift,703,6.0,2.0049471348833205,276.0,450.0
Q-C,D20,book_state_update,3091,6.0,1.5911521163689268,371.0,282.0
Q-C,D20,multi_level_sweep,46,9.0,2.4802777914838368,139.5,114.5
Q-C,D20,replenishment,370,6.0,1.8386919323456072,265.0,244.0
Q-C,D20,spread_widening,590,14.0,1.6295655900031771,59.0,67.0
