execution_rank,gate_id,strategy_id,hardening_requirement,action_class,dependency_status,required_external_files,contract_template_available,all_required_external_files_available_now,documented_zerodha_formula_ready,broker_contract_note_reconciliation_ready,missing_reconciliation_items,proxy_formula_ready_items,contract_note_ready_items,actual_fill_ready_items,broker_evidence_status,acceptance_requirement_met_after_contract,blocking_gap_after_contract,required_next_evidence
16,G04_risk,S06,contract_note_and_cost_reconciliation,broker_contract_note_reconciliation,missing_required_evidence,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.
17,G04_risk,S08,broker_exchange_fill_provenance,broker_or_exchange_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.
18,G04_risk,S08,contract_note_and_cost_reconciliation,broker_contract_note_reconciliation,missing_required_evidence,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.
19,G04_risk,S10,broker_exchange_fill_provenance,broker_or_exchange_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.
20,G04_risk,S10,contract_note_and_cost_reconciliation,broker_contract_note_reconciliation,missing_required_evidence,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.
21,G04_risk,S11,broker_exchange_fill_provenance,broker_or_exchange_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.
22,G04_risk,S11,contract_note_and_cost_reconciliation,broker_contract_note_reconciliation,missing_required_evidence,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.
23,G02_economic,S01,broker_exchange_fill_provenance,broker_or_exchange_fill_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.
24,G02_economic,S01,contract_note_reconciliation,broker_contract_note_reconciliation,proxy_to_upgrade,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,proxy_formula_available_external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.","Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes."
25,G02_economic,S02,broker_exchange_fill_provenance,broker_or_exchange_fill_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.
26,G02_economic,S02,contract_note_reconciliation,broker_contract_note_reconciliation,proxy_to_upgrade,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,proxy_formula_available_external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.","Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes."
27,G02_economic,S05,broker_exchange_fill_provenance,broker_or_exchange_fill_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.
28,G02_economic,S05,contract_note_reconciliation,broker_contract_note_reconciliation,proxy_to_upgrade,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,proxy_formula_available_external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.","Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes."
29,G02_economic,S07,broker_exchange_fill_provenance,broker_or_exchange_fill_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.
30,G02_economic,S07,contract_note_reconciliation,broker_contract_note_reconciliation,proxy_to_upgrade,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,proxy_formula_available_external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.","Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes."
31,G02_economic,S09,broker_exchange_fill_provenance,broker_or_exchange_fill_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.
32,G02_economic,S09,contract_note_reconciliation,broker_contract_note_reconciliation,proxy_to_upgrade,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,proxy_formula_available_external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.","Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes."
33,G02_economic,S03,broker_exchange_fill_provenance,broker_or_exchange_fill_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.
34,G02_economic,S03,contract_note_reconciliation,broker_contract_note_reconciliation,proxy_to_upgrade,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,proxy_formula_available_external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.","Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes."
35,G02_economic,S04,broker_exchange_fill_provenance,broker_or_exchange_fill_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.
36,G02_economic,S04,contract_note_reconciliation,broker_contract_note_reconciliation,proxy_to_upgrade,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,proxy_formula_available_external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.","Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes."
37,G02_economic,S06,broker_exchange_fill_provenance,broker_or_exchange_fill_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.
38,G02_economic,S06,contract_note_reconciliation,broker_contract_note_reconciliation,proxy_to_upgrade,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,proxy_formula_available_external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.","Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes."
39,G02_economic,S08,broker_exchange_fill_provenance,broker_or_exchange_fill_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.
40,G02_economic,S08,contract_note_reconciliation,broker_contract_note_reconciliation,proxy_to_upgrade,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,proxy_formula_available_external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.","Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes."
41,G02_economic,S10,broker_exchange_fill_provenance,broker_or_exchange_fill_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.
42,G02_economic,S10,contract_note_reconciliation,broker_contract_note_reconciliation,proxy_to_upgrade,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,proxy_formula_available_external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.","Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes."
43,G02_economic,S11,broker_exchange_fill_provenance,broker_or_exchange_fill_reconciliation,missing_required_evidence,broker_order_fill_events;strategy_order_linkage,True,False,True,False,13,10,0,0,external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.",Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.
44,G02_economic,S11,contract_note_reconciliation,broker_contract_note_reconciliation,proxy_to_upgrade,broker_contract_note_charges;broker_order_fill_events;strategy_order_linkage;broker_reconciliation_tolerances,True,False,True,False,13,10,0,0,proxy_formula_available_external_broker_evidence_missing,False,"Contract/template exists, but broker/exchange order-fill records, strategy-order linkage and contract-note rows must be imported and reconciled.","Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes."
