scenario_id,scope_id,scope_candidate_id,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,cost_profile,cost_multiplier,extra_slippage_bps,input_event_rows,scheduled_event_rows,rejected_event_rows,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,rejected_insufficient_cash_rows,candidate_rows,scheduled_candidate_rows,symbols,scheduled_symbols,observed_trade_dates,realized_net_pnl_inr,portfolio_return_pct,mechanical_one_date_annualized_portfolio_return_pct,annualized_return_is_robust_portfolio_claim,annualized_above_12pct_research_diagnostic,scheduled_notional_inr,notional_turnover_x_initial_capital,avg_open_notional_utilization,max_drawdown_inr,portfolio_claim_allowed,strategy_replay_allowed,promotion_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed,phase294_variant_id,continuation_family_id,continuation_family,primary_pressure_column,secondary_pressure_column,interaction_column,spread_state,market_bucket,side_mode,exit_horizon_ticks,selected_event_rows,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,sparse_diagnostic_event_floor_met,robust_portfolio_event_floor_met,cost200_above12_sparse_diagnostic,robust_portfolio_floor_above12
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_PRESSURE_SIGN_CONT_H13_CAP100000_NOT100000_CONC1_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_PRESSURE_SIGN_CONT_H13,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_PRESSURE_SIGN_CONT_H13,100000.0,100000.0,1,cost200,2.0,0.0,259,1,258,1,257,0,1,1,5,1,8,-39.48708111736021,-0.03948708111736021,-1.2438430551968467,1,0,100000.0,1.0,0.9961389961389961,-39.48708111736021,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_PRESSURE_SIGN_CONT_H13,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,ALL,PRESSURE_SIGN_CONT,13,259,1,1,0,0,0,0,0,0
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_PRESSURE_SIGN_CONT_H13_CAP100000_NOT100000_CONC2_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_PRESSURE_SIGN_CONT_H13,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_PRESSURE_SIGN_CONT_H13,100000.0,100000.0,2,cost200,2.0,0.0,259,2,257,4,253,0,1,1,5,2,8,68.74455714331839,0.0687445571433184,2.1654535500145293,1,0,100000.0,1.0,0.9922779922779923,-19.743540558680106,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_PRESSURE_SIGN_CONT_H13,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,ALL,PRESSURE_SIGN_CONT,13,259,1,1,0,0,0,0,0,0
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5_CAP100000_NOT50000_CONC1_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5,100000.0,50000.0,1,cost200,2.0,0.0,259,1,258,1,257,0,1,1,5,1,8,-39.37945071790894,-0.03937945071790894,-1.2404526976141315,1,0,50000.0,0.5,0.4980694980694981,-39.37945071790894,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,ALL,ORIG,5,259,1,1,0,0,0,0,0,0
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5_CAP100000_NOT50000_CONC2_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5,100000.0,50000.0,2,cost200,2.0,0.0,259,2,257,4,253,0,1,1,5,2,8,-13.788215974659806,-0.013788215974659805,-0.43432880320178385,1,0,100000.0,1.0,0.9922779922779923,-39.37945071790894,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,ALL,ORIG,5,259,1,1,0,0,0,0,0,0
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5,100000.0,100000.0,1,cost200,2.0,0.0,259,1,258,1,257,0,1,1,5,1,8,-78.75890143581788,-0.07875890143581787,-2.480905395228263,1,0,100000.0,1.0,0.9961389961389961,-78.75890143581788,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,ALL,ORIG,5,259,1,1,0,0,0,0,0,0
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5_CAP100000_NOT100000_CONC2_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5,100000.0,100000.0,2,cost200,2.0,0.0,259,2,257,4,253,0,1,1,5,2,8,-13.788215974659806,-0.013788215974659805,-0.43432880320178385,1,0,100000.0,1.0,0.9922779922779923,-39.37945071790894,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,ALL,ORIG,5,259,1,1,0,0,0,0,0,0
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8_CAP100000_NOT50000_CONC1_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8,100000.0,50000.0,1,cost200,2.0,0.0,259,1,258,1,257,0,1,1,5,1,8,-30.88609339502774,-0.03088609339502774,-0.9729119419433738,1,0,50000.0,0.5,0.4980694980694981,-30.88609339502774,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,ALL,ORIG,8,259,1,1,0,0,0,0,0,0
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8_CAP100000_NOT50000_CONC2_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8,100000.0,50000.0,2,cost200,2.0,0.0,259,2,257,4,253,0,1,1,5,2,8,21.910680957286733,0.02191068095728673,0.6901864501545321,1,0,100000.0,1.0,0.9922779922779923,-30.88609339502774,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,ALL,ORIG,8,259,1,1,0,0,0,0,0,0
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8_CAP100000_NOT100000_CONC1_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8,100000.0,100000.0,1,cost200,2.0,0.0,259,1,258,1,257,0,1,1,5,1,8,-61.77218679005548,-0.06177218679005548,-1.9458238838867477,1,0,100000.0,1.0,0.9961389961389961,-61.77218679005548,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,ALL,ORIG,8,259,1,1,0,0,0,0,0,0
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8_CAP100000_NOT100000_CONC2_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8,100000.0,100000.0,2,cost200,2.0,0.0,259,2,257,4,253,0,1,1,5,2,8,21.910680957286733,0.02191068095728673,0.6901864501545321,1,0,100000.0,1.0,0.9922779922779923,-30.88609339502774,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,ALL,ORIG,8,259,1,1,0,0,0,0,0,0
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13_CAP100000_NOT50000_CONC1_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13,100000.0,50000.0,1,cost200,2.0,0.0,259,1,258,1,257,0,1,1,5,1,8,-19.743540558680106,-0.019743540558680106,-0.6219215275984233,1,0,50000.0,0.5,0.4980694980694981,-19.743540558680106,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,ALL,ORIG,13,259,1,1,0,0,0,0,0,0
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13_CAP100000_NOT50000_CONC2_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13,100000.0,50000.0,2,cost200,2.0,0.0,259,2,257,4,253,0,1,1,5,2,8,68.74455714331839,0.0687445571433184,2.1654535500145293,1,0,100000.0,1.0,0.9922779922779923,-19.743540558680106,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,ALL,ORIG,13,259,1,1,0,0,0,0,0,0
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13_CAP100000_NOT100000_CONC1_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13,100000.0,100000.0,1,cost200,2.0,0.0,259,1,258,1,257,0,1,1,5,1,8,-39.48708111736021,-0.03948708111736021,-1.2438430551968467,1,0,100000.0,1.0,0.9961389961389961,-39.48708111736021,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,ALL,ORIG,13,259,1,1,0,0,0,0,0,0
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13_CAP100000_NOT100000_CONC2_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13,100000.0,100000.0,2,cost200,2.0,0.0,259,2,257,4,253,0,1,1,5,2,8,68.74455714331839,0.0687445571433184,2.1654535500145293,1,0,100000.0,1.0,0.9922779922779923,-19.743540558680106,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,ALL,ORIG,13,259,1,1,0,0,0,0,0,0
P271_P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_OPEN_PRESSURE_SIGN_CONT_H5_CAP100000_NOT50000_CONC1_COST200,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_OPEN_PRESSURE_SIGN_CONT_H5,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_OPEN_PRESSURE_SIGN_CONT_H5,100000.0,50000.0,1,cost200,2.0,0.0,68,1,67,1,66,0,1,1,2,1,8,-25.360073328070953,-0.025360073328070953,-0.798842309834235,1,0,50000.0,0.5,0.49264705882352944,-25.360073328070953,1,0,0,0,0,P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_OPEN_PRESSURE_SIGN_CONT_H5,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,replenishment_dominance,abs_consensus_imbalance,spread_compression_score,ANYSPREAD,OPEN,PRESSURE_SIGN_CONT,5,68,1,1,0,0,0,0,0,0
