scenario_id,horizon_ticks,rule_id,top_count,candidate_rows,trade_count,holdout_days,gross_pnl_inr,zerodha_total_charges_inr,adverse_slippage_inr,net_pnl_inr,annualized_return_pct,win_rate,avg_net_per_trade_inr,max_daily_drawdown_inr,diagnostic_event_floor_met,acceptance_event_floor_met,acceptance_candidate
horizon_960_deep_l25_momentum_control_top40_cost200,960,deep_l25_momentum_control,40,35,34,2,317.8792000001122,2808.438787849697,674.8279135399999,-3165.387501389585,-398.83882517508766,0.2647058823529412,-93.09963239381132,-1425.259023929471,1,1,0
horizon_960_deterministic_alternate_control_top10_cost200,960,deterministic_alternate_control,10,35,10,2,296.28749999999127,825.950171385965,198.35709149999997,-728.0197628859738,-91.7304901236327,0.4,-72.80197628859739,-240.7281612268498,1,0,0
horizon_960_deterministic_alternate_control_top20_cost200,960,deterministic_alternate_control,20,35,20,2,245.67229999997653,1651.9441529060061,396.79930504,-1803.0711579460299,-227.18696590119976,0.3,-90.1535578973015,-1301.8391784604555,1,0,0
horizon_960_deterministic_alternate_control_top40_cost200,960,deterministic_alternate_control,40,35,35,2,709.158799999961,2890.938841548097,694.4991235399999,-2876.279165088136,-362.4111748011051,0.2857142857142857,-82.17940471680389,-2036.0741862779673,1,1,0
horizon_1800_deep_l25_fade_top10_cost200,1800,deep_l25_fade,10,35,10,2,664.227899999998,825.9767596229175,198.35709149999997,-360.10595112291935,-45.37334984148784,0.2,-36.01059511229194,-319.91261465184107,1,0,0
horizon_1800_deep_l25_fade_top20_cost200,1800,deep_l25_fade,20,35,20,2,733.3224999999948,1651.9857840573377,396.79930504000004,-1315.4625890973425,-165.74828622626515,0.15,-65.77312945486713,-1084.3752456764744,1,0,0
horizon_1800_deep_l25_fade_top40_cost200,1800,deep_l25_fade,40,35,34,2,397.6389999999228,2808.516704504086,674.8279135399999,-3085.7056180441637,-388.79890787356464,0.14705882352941177,-90.75604758953422,-1912.2962179005092,1,1,0
horizon_1800_top1_fade_reference_top10_cost200,1800,top1_fade_reference,10,35,10,2,664.227899999998,825.9767596229175,198.35709149999997,-360.10595112291935,-45.37334984148784,0.2,-36.01059511229194,-319.91261465184107,1,0,0
horizon_1800_top1_fade_reference_top20_cost200,1800,top1_fade_reference,20,35,20,2,733.3224999999948,1651.9857840573377,396.79930504000004,-1315.4625890973425,-165.74828622626515,0.15,-65.77312945486713,-1084.3752456764744,1,0,0
horizon_1800_top1_fade_reference_top40_cost200,1800,top1_fade_reference,40,35,35,2,395.6139999999141,2891.0257353138363,694.4991235399999,-3189.9108588539225,-401.9287682155943,0.14285714285714285,-91.14031025296921,-2016.5014587102676,1,1,0
horizon_1800_deep_l25_momentum_control_top10_cost200,1800,deep_l25_momentum_control,10,35,10,2,-664.227899999998,825.9966864599176,198.35709149999997,-1688.5816779599154,-212.76129142294934,0.0,-168.85816779599153,-294.6568358208465,1,0,0
horizon_1800_deep_l25_momentum_control_top20_cost200,1800,deep_l25_momentum_control,20,35,20,2,-733.3224999999948,1652.0077837323374,396.79930504000004,-2782.129588772332,-350.54832818531384,0.0,-139.10647943861662,-964.8072521834733,1,0,0
horizon_1800_deep_l25_momentum_control_top40_cost200,1800,deep_l25_momentum_control,40,35,34,2,-397.6389999999228,2808.5286336740864,674.8279135399999,-3880.9955472140086,-489.00543894896504,0.08823529411764706,-114.14692785923555,-1570.7848953074185,1,1,0
horizon_1800_deterministic_alternate_control_top10_cost200,1800,deterministic_alternate_control,10,35,10,2,-468.37269999997807,825.9937486319175,198.35709149999997,-1492.7235401318953,-188.0831660566188,0.1,-149.27235401318953,-302.81235815183527,1,0,0
horizon_1800_deterministic_alternate_control_top20_cost200,1800,deterministic_alternate_control,20,35,20,2,-549.1476999999577,1652.0050211103376,396.79930504000004,-2597.952026150295,-327.3419552949371,0.1,-129.89760130751475,-1231.3970509704448,1,0,0
horizon_1800_deterministic_alternate_control_top40_cost200,1800,deterministic_alternate_control,40,35,35,2,-361.0761999999522,2891.0370856668364,694.4991235399999,-3946.612409206789,-497.2731635600554,0.17142857142857143,-112.76035454876539,-2023.451162954173,1,1,0
