phase296_variant_id,feed_profile,strategy_family,intensity_threshold_quantile,beyond_l1_materiality_quantile,spread_regime,daily_event_limit,exit_horizon_ticks,selected_event_rows,symbols,trade_dates,uses_top5,uses_levels_2_to_5,uses_l1_l5_spread_proxy,raw_l1_l5_book_state_persisted,l1_only_variant,uses_net_edge_as_live_mask,annualized_denominator
P296_BEYOND_L1_ABSORPTION_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H6,disconnect_scenario,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.7,0.7,NOT_WIDE,3,6,457,8,175,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.85,0.7,NOT_WIDE,1,1,116,6,116,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.85,0.7,NOT_WIDE,1,3,108,6,108,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.85,0.7,NOT_WIDE,1,6,103,6,103,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.85,0.7,NOT_WIDE,3,1,331,8,116,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.85,0.7,NOT_WIDE,3,3,314,8,115,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H6,disconnect_scenario,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.85,0.7,NOT_WIDE,3,6,286,7,113,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_REVERSAL_RANGE_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_TOP5_PRESSURE_REVERSAL_RANGE,0.7,0.7,NOT_WIDE,1,1,90,4,90,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_REVERSAL_RANGE_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_TOP5_PRESSURE_REVERSAL_RANGE,0.7,0.7,NOT_WIDE,1,3,88,4,88,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_REVERSAL_RANGE_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_TOP5_PRESSURE_REVERSAL_RANGE,0.7,0.7,NOT_WIDE,1,6,83,4,83,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_REVERSAL_RANGE_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_TOP5_PRESSURE_REVERSAL_RANGE,0.7,0.7,NOT_WIDE,3,1,264,7,91,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_REVERSAL_RANGE_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_TOP5_PRESSURE_REVERSAL_RANGE,0.7,0.7,NOT_WIDE,3,3,259,7,91,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_REVERSAL_RANGE_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H6,disconnect_scenario,P296_TOP5_PRESSURE_REVERSAL_RANGE,0.7,0.7,NOT_WIDE,3,6,246,7,91,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_REVERSAL_RANGE_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_TOP5_PRESSURE_REVERSAL_RANGE,0.85,0.7,NOT_WIDE,1,1,79,5,79,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_REVERSAL_RANGE_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_TOP5_PRESSURE_REVERSAL_RANGE,0.85,0.7,NOT_WIDE,1,3,76,5,76,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_REVERSAL_RANGE_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_TOP5_PRESSURE_REVERSAL_RANGE,0.85,0.7,NOT_WIDE,1,6,68,3,68,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_REVERSAL_RANGE_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_TOP5_PRESSURE_REVERSAL_RANGE,0.85,0.7,NOT_WIDE,3,1,234,8,80,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_REVERSAL_RANGE_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_TOP5_PRESSURE_REVERSAL_RANGE,0.85,0.7,NOT_WIDE,3,3,228,8,80,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_REVERSAL_RANGE_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H6,disconnect_scenario,P296_TOP5_PRESSURE_REVERSAL_RANGE,0.85,0.7,NOT_WIDE,3,6,209,6,78,1,1,1,0,0,0,fixed_initial_capital
P296_SPREAD_COMPRESSED_MLOFI_FOLLOW_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_SPREAD_COMPRESSED_MLOFI_FOLLOW,0.7,0.7,NOT_WIDE,1,1,167,12,167,1,1,1,0,0,0,fixed_initial_capital
P296_SPREAD_COMPRESSED_MLOFI_FOLLOW_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_SPREAD_COMPRESSED_MLOFI_FOLLOW,0.7,0.7,NOT_WIDE,1,3,161,12,161,1,1,1,0,0,0,fixed_initial_capital
P296_SPREAD_COMPRESSED_MLOFI_FOLLOW_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_SPREAD_COMPRESSED_MLOFI_FOLLOW,0.7,0.7,NOT_WIDE,1,6,149,12,149,1,1,1,0,0,0,fixed_initial_capital
P296_SPREAD_COMPRESSED_MLOFI_FOLLOW_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_SPREAD_COMPRESSED_MLOFI_FOLLOW,0.7,0.7,NOT_WIDE,3,1,494,17,173,1,1,1,0,0,0,fixed_initial_capital
P296_SPREAD_COMPRESSED_MLOFI_FOLLOW_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_SPREAD_COMPRESSED_MLOFI_FOLLOW,0.7,0.7,NOT_WIDE,3,3,478,17,173,1,1,1,0,0,0,fixed_initial_capital
P296_SPREAD_COMPRESSED_MLOFI_FOLLOW_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H6,disconnect_scenario,P296_SPREAD_COMPRESSED_MLOFI_FOLLOW,0.7,0.7,NOT_WIDE,3,6,441,16,168,1,1,1,0,0,0,fixed_initial_capital
P296_SPREAD_COMPRESSED_MLOFI_FOLLOW_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_SPREAD_COMPRESSED_MLOFI_FOLLOW,0.85,0.7,NOT_WIDE,1,1,110,11,110,1,1,1,0,0,0,fixed_initial_capital
P296_SPREAD_COMPRESSED_MLOFI_FOLLOW_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_SPREAD_COMPRESSED_MLOFI_FOLLOW,0.85,0.7,NOT_WIDE,1,3,102,11,102,1,1,1,0,0,0,fixed_initial_capital
P296_SPREAD_COMPRESSED_MLOFI_FOLLOW_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_SPREAD_COMPRESSED_MLOFI_FOLLOW,0.85,0.7,NOT_WIDE,1,6,91,11,91,1,1,1,0,0,0,fixed_initial_capital
P296_SPREAD_COMPRESSED_MLOFI_FOLLOW_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_SPREAD_COMPRESSED_MLOFI_FOLLOW,0.85,0.7,NOT_WIDE,3,1,319,17,114,1,1,1,0,0,0,fixed_initial_capital
P296_SPREAD_COMPRESSED_MLOFI_FOLLOW_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_SPREAD_COMPRESSED_MLOFI_FOLLOW,0.85,0.7,NOT_WIDE,3,3,304,17,113,1,1,1,0,0,0,fixed_initial_capital
P296_SPREAD_COMPRESSED_MLOFI_FOLLOW_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H6,disconnect_scenario,P296_SPREAD_COMPRESSED_MLOFI_FOLLOW,0.85,0.7,NOT_WIDE,3,6,276,17,110,1,1,1,0,0,0,fixed_initial_capital
P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION,0.7,0.7,NOT_WIDE,1,1,163,15,163,1,1,1,0,0,0,fixed_initial_capital
P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION,0.7,0.7,NOT_WIDE,1,3,147,15,147,1,1,1,0,0,0,fixed_initial_capital
P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION,0.7,0.7,NOT_WIDE,1,6,134,14,134,1,1,1,0,0,0,fixed_initial_capital
P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION,0.7,0.7,NOT_WIDE,3,1,495,17,173,1,1,1,0,0,0,fixed_initial_capital
P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION,0.7,0.7,NOT_WIDE,3,3,450,17,171,1,1,1,0,0,0,fixed_initial_capital
P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H6,disconnect_scenario,P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION,0.7,0.7,NOT_WIDE,3,6,409,17,165,1,1,1,0,0,0,fixed_initial_capital
P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION,0.85,0.7,NOT_WIDE,1,1,109,14,109,1,1,1,0,0,0,fixed_initial_capital
P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION,0.85,0.7,NOT_WIDE,1,3,96,14,96,1,1,1,0,0,0,fixed_initial_capital
P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION,0.85,0.7,NOT_WIDE,1,6,84,13,84,1,1,1,0,0,0,fixed_initial_capital
P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION,0.85,0.7,NOT_WIDE,3,1,318,17,114,1,1,1,0,0,0,fixed_initial_capital
P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION,0.85,0.7,NOT_WIDE,3,3,292,17,111,1,1,1,0,0,0,fixed_initial_capital
P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H6,disconnect_scenario,P296_LIQUIDITY_VACUUM_MOMENTUM_CONTINUATION,0.85,0.7,NOT_WIDE,3,6,249,16,107,1,1,1,0,0,0,fixed_initial_capital
P296_MICROPRICE_DEPTH_REVERSAL_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_MICROPRICE_DEPTH_REVERSAL,0.7,0.7,NOT_WIDE,1,1,175,8,175,1,1,1,0,0,0,fixed_initial_capital
P296_MICROPRICE_DEPTH_REVERSAL_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_MICROPRICE_DEPTH_REVERSAL,0.7,0.7,NOT_WIDE,1,3,165,8,165,1,1,1,0,0,0,fixed_initial_capital
P296_MICROPRICE_DEPTH_REVERSAL_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_MICROPRICE_DEPTH_REVERSAL,0.7,0.7,NOT_WIDE,1,6,159,8,159,1,1,1,0,0,0,fixed_initial_capital
P296_MICROPRICE_DEPTH_REVERSAL_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_MICROPRICE_DEPTH_REVERSAL,0.7,0.7,NOT_WIDE,3,1,510,13,176,1,1,1,0,0,0,fixed_initial_capital
P296_MICROPRICE_DEPTH_REVERSAL_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_MICROPRICE_DEPTH_REVERSAL,0.7,0.7,NOT_WIDE,3,3,490,13,176,1,1,1,0,0,0,fixed_initial_capital
P296_MICROPRICE_DEPTH_REVERSAL_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H6,disconnect_scenario,P296_MICROPRICE_DEPTH_REVERSAL,0.7,0.7,NOT_WIDE,3,6,463,13,176,1,1,1,0,0,0,fixed_initial_capital
P296_MICROPRICE_DEPTH_REVERSAL_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_MICROPRICE_DEPTH_REVERSAL,0.85,0.7,NOT_WIDE,1,1,115,11,115,1,1,1,0,0,0,fixed_initial_capital
P296_MICROPRICE_DEPTH_REVERSAL_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_MICROPRICE_DEPTH_REVERSAL,0.85,0.7,NOT_WIDE,1,3,107,11,107,1,1,1,0,0,0,fixed_initial_capital
P296_MICROPRICE_DEPTH_REVERSAL_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_MICROPRICE_DEPTH_REVERSAL,0.85,0.7,NOT_WIDE,1,6,98,10,98,1,1,1,0,0,0,fixed_initial_capital
P296_MICROPRICE_DEPTH_REVERSAL_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_MICROPRICE_DEPTH_REVERSAL,0.85,0.7,NOT_WIDE,3,1,332,14,116,1,1,1,0,0,0,fixed_initial_capital
P296_MICROPRICE_DEPTH_REVERSAL_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_MICROPRICE_DEPTH_REVERSAL,0.85,0.7,NOT_WIDE,3,3,316,14,116,1,1,1,0,0,0,fixed_initial_capital
P296_MICROPRICE_DEPTH_REVERSAL_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H6,disconnect_scenario,P296_MICROPRICE_DEPTH_REVERSAL,0.85,0.7,NOT_WIDE,3,6,289,14,113,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_GOOD_RETAIL_IQ70_BQ70_NOT_WIDE_DL1_H1,good_retail,P296_TOP5_PRESSURE_CONTINUATION,0.7,0.7,NOT_WIDE,1,1,168,6,168,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_GOOD_RETAIL_IQ70_BQ70_NOT_WIDE_DL1_H3,good_retail,P296_TOP5_PRESSURE_CONTINUATION,0.7,0.7,NOT_WIDE,1,3,160,5,160,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_GOOD_RETAIL_IQ70_BQ70_NOT_WIDE_DL1_H6,good_retail,P296_TOP5_PRESSURE_CONTINUATION,0.7,0.7,NOT_WIDE,1,6,148,5,148,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_GOOD_RETAIL_IQ70_BQ70_NOT_WIDE_DL3_H1,good_retail,P296_TOP5_PRESSURE_CONTINUATION,0.7,0.7,NOT_WIDE,3,1,505,10,176,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_GOOD_RETAIL_IQ70_BQ70_NOT_WIDE_DL3_H3,good_retail,P296_TOP5_PRESSURE_CONTINUATION,0.7,0.7,NOT_WIDE,3,3,477,10,176,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_GOOD_RETAIL_IQ70_BQ70_NOT_WIDE_DL3_H6,good_retail,P296_TOP5_PRESSURE_CONTINUATION,0.7,0.7,NOT_WIDE,3,6,449,10,174,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_GOOD_RETAIL_IQ85_BQ70_NOT_WIDE_DL1_H1,good_retail,P296_TOP5_PRESSURE_CONTINUATION,0.85,0.7,NOT_WIDE,1,1,110,7,110,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_GOOD_RETAIL_IQ85_BQ70_NOT_WIDE_DL1_H3,good_retail,P296_TOP5_PRESSURE_CONTINUATION,0.85,0.7,NOT_WIDE,1,3,108,7,108,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_GOOD_RETAIL_IQ85_BQ70_NOT_WIDE_DL1_H6,good_retail,P296_TOP5_PRESSURE_CONTINUATION,0.85,0.7,NOT_WIDE,1,6,102,7,102,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_GOOD_RETAIL_IQ85_BQ70_NOT_WIDE_DL3_H1,good_retail,P296_TOP5_PRESSURE_CONTINUATION,0.85,0.7,NOT_WIDE,3,1,313,11,113,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_GOOD_RETAIL_IQ85_BQ70_NOT_WIDE_DL3_H3,good_retail,P296_TOP5_PRESSURE_CONTINUATION,0.85,0.7,NOT_WIDE,3,3,299,11,112,1,1,1,0,0,0,fixed_initial_capital
P296_TOP5_PRESSURE_CONTINUATION_GOOD_RETAIL_IQ85_BQ70_NOT_WIDE_DL3_H6,good_retail,P296_TOP5_PRESSURE_CONTINUATION,0.85,0.7,NOT_WIDE,3,6,282,11,111,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_GOOD_RETAIL_IQ70_BQ70_NOT_WIDE_DL1_H1,good_retail,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.7,0.7,NOT_WIDE,1,1,169,4,169,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_GOOD_RETAIL_IQ70_BQ70_NOT_WIDE_DL1_H3,good_retail,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.7,0.7,NOT_WIDE,1,3,163,4,163,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_GOOD_RETAIL_IQ70_BQ70_NOT_WIDE_DL1_H6,good_retail,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.7,0.7,NOT_WIDE,1,6,152,4,152,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_GOOD_RETAIL_IQ70_BQ70_NOT_WIDE_DL3_H1,good_retail,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.7,0.7,NOT_WIDE,3,1,503,8,176,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_GOOD_RETAIL_IQ70_BQ70_NOT_WIDE_DL3_H3,good_retail,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.7,0.7,NOT_WIDE,3,3,476,8,176,1,1,1,0,0,0,fixed_initial_capital
P296_BEYOND_L1_ABSORPTION_CONTINUATION_GOOD_RETAIL_IQ70_BQ70_NOT_WIDE_DL3_H6,good_retail,P296_BEYOND_L1_ABSORPTION_CONTINUATION,0.7,0.7,NOT_WIDE,3,6,442,8,175,1,1,1,0,0,0,fixed_initial_capital
