strategy_id,execution_profile,latency_events,trades,symbols,feed_profiles,mean_gross_return,mean_cost_return,mean_net_return,win_rate_net,total_net_pnl_units,market_shock_trade_fraction,symbol_shock_trade_fraction,status,name,role,support_level,caveat
S06,stressed_retail,4,32935,32,5,0.0002526985915549557,0.0015558637595740772,-0.0013031651680191212,0.47602854106573556,-42.91974480870976,0.22769090633065128,0.07800212539851221,simulated_marketable_proxy_not_acceptance,Absorption and exhaustion reversal,priority,partial_missing_required_features,Can only label absorption-like proxies; top-five market-by-price cannot prove iceberg/participant identity.
S07,zero_latency_spread_only_control,0,237064,6,5,-0.0004911728289385382,0.0003824058354058631,-0.0008735786643444012,0.484493638848581,-207.09405248414112,0.1662251543886883,0.05987412681807444,simulated_marketable_proxy_not_acceptance,Mean reversion after imbalance,priority,runnable_proxy,Proxy uses imbalance/intensity and regime_code; explicit replenishment is still missing.
S07,retail_marketable_default,2,229792,6,5,0.0003231440639469984,0.0016233148728355307,-0.001300170808888532,0.46569941512324187,-298.7688505161135,0.17093719537668847,0.0513116209441582,simulated_marketable_proxy_not_acceptance,Mean reversion after imbalance,priority,runnable_proxy,Proxy uses imbalance/intensity and regime_code; explicit replenishment is still missing.
S07,stressed_retail,4,227842,6,5,4.602374186773289e-05,0.0019039538852691008,-0.001857930143401367,0.459397301638855,-423.31451973285425,0.15470808718322346,0.05039457167686379,simulated_marketable_proxy_not_acceptance,Mean reversion after imbalance,priority,runnable_proxy,Proxy uses imbalance/intensity and regime_code; explicit replenishment is still missing.
S08,zero_latency_spread_only_control,0,448403,32,5,9.43769477099951e-06,0.00015757074873901463,-0.00014813305396801517,0.4959511867672607,-66.4233057984199,0.174505968960957,0.0653920691877619,simulated_marketable_proxy_not_acceptance,Cross-ticker/index lead-lag OFI,research,partial_missing_required_features,"Can compute market-level proxy factors, but causal lead-lag validation requires dedicated synthetic controls."
S08,retail_marketable_default,2,431798,32,5,3.0496679156003006e-05,0.0013298370243283921,-0.0012993403451723891,0.47204248282761846,-561.0525623647472,0.17364832630072394,0.06566033191446,simulated_marketable_proxy_not_acceptance,Cross-ticker/index lead-lag OFI,research,partial_missing_required_features,"Can compute market-level proxy factors, but causal lead-lag validation requires dedicated synthetic controls."
S08,stressed_retail,4,426101,32,5,-4.791799645487301e-05,0.0015412162524173665,-0.0015891342488722389,0.46517140302416565,-677.1316925787098,0.1740714056057132,0.06552202412104173,simulated_marketable_proxy_not_acceptance,Cross-ticker/index lead-lag OFI,research,partial_missing_required_features,"Can compute market-level proxy factors, but causal lead-lag validation requires dedicated synthetic controls."
S09,zero_latency_spread_only_control,0,590612,11,5,-2.0809108038934854e-05,0.0002503588038854221,-0.000271167911924357,0.4826281890649022,-160.15502279746832,0.13060181642093285,0.029593032312245603,simulated_marketable_proxy_not_acceptance,Pure queue-imbalance scalping,benchmark,runnable_proxy,Benchmark only. Accuracy above 50% is not sufficient without spread/cost survival.
S09,retail_marketable_default,2,573028,11,5,0.00017996209664954913,0.001467754410681727,-0.0012877923140321777,0.457530871091814,-737.9410541252307,0.12930432718820023,0.02977690444445996,simulated_marketable_proxy_not_acceptance,Pure queue-imbalance scalping,benchmark,runnable_proxy,Benchmark only. Accuracy above 50% is not sufficient without spread/cost survival.
S09,stressed_retail,4,567805,11,5,0.0002042345443432801,0.0017244860757550183,-0.0015202515314117382,0.4527469817983287,-863.206420793242,0.12956913024717992,0.029564727327163375,simulated_marketable_proxy_not_acceptance,Pure queue-imbalance scalping,benchmark,runnable_proxy,Benchmark only. Accuracy above 50% is not sufficient without spread/cost survival.
