strategy_id,execution_profile,fill_model,queue_position_bucket,trade_dates,orders,breach_days,daily_loss_breach_days,position_limit_breach_days,drawdown_breach_days,daily_halt_days,breach_day_fraction,daily_loss_breach_day_fraction,position_limit_breach_day_fraction,drawdown_breach_day_fraction,daily_halt_day_fraction,worst_daily_risk_adjusted_net_pnl_inr,tail_loss_1pct_filled_pnl_inr,max_intraday_drawdown_inr,max_abs_position_units,risk_severity_score,risk_severity_band,risk_pass_candidate_proxy,risk_evidence_scope,not_acceptance_grade
S07,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,59,237064,56,39,44,44,39,0.9491525423728814,0.6610169491525424,0.7457627118644068,0.7457627118644068,0.6610169491525424,-77222.9845482786,-4211.181801812625,-2063284.6923859036,1132.29,336.9403709335056,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S04,stressed_retail,neutral_partial,middle_queue_proxy,60,410666,39,39,2,38,39,0.65,0.65,0.03333333333333333,0.6333333333333333,0.65,-78243.44739357063,-4620.532682386589,-2445805.498639101,715.59,336.3923498639101,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S07,retail_marketable_default,optimistic_marketable,front_or_marketable,59,229792,56,48,44,53,48,0.9491525423728814,0.8135593220338984,0.7457627118644068,0.8983050847457628,0.8135593220338984,-81133.22332084956,-6635.994338999994,-1852932.2918625488,1411.97,329.1258495252379,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S08,stressed_retail,neutral_partial,middle_queue_proxy,63,426101,62,62,21,61,62,0.9841269841269841,0.9841269841269841,0.3333333333333333,0.9682539682539683,0.9841269841269841,-80333.94929311592,-5034.209342148915,-1650607.132305917,1121.66,315.1129608496393,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S02,retail_marketable_default,neutral_partial,middle_queue_proxy,63,879151,63,63,0,63,63,1.0,1.0,0.0,1.0,1.0,-80098.8437079432,-4993.8071488673695,-1723741.5234439499,273.86,312.374152344395,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S02,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,63,907352,62,58,0,61,58,0.9841269841269841,0.9206349206349206,0.0,0.9682539682539683,0.9206349206349206,-78299.47437626007,-6844.937404185436,-1683630.1094399157,393.92,302.807455388436,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S07,retail_marketable_default,neutral_partial,middle_queue_proxy,59,229792,54,43,44,49,43,0.9152542372881356,0.7288135593220338,0.7457627118644068,0.8305084745762712,0.7288135593220338,-77210.42646128862,-4612.631001829466,-1505699.902352489,1103.32,280.60249193016415,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S01,stressed_retail,pessimistic_partial,back_queue_proxy,63,158070,35,34,2,34,34,0.5555555555555556,0.5396825396825397,0.031746031746031744,0.5396825396825397,0.5396825396825397,-76825.01073515097,-2632.9709451993886,-1967868.5218632775,710.1,273.5285347260103,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S02,stressed_retail,pessimistic_partial,back_queue_proxy,63,870977,63,63,0,63,63,1.0,1.0,0.0,1.0,1.0,-76900.27317510029,-2778.5442097033433,-1315404.2582827853,146.85,271.54042582827856,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S08,retail_marketable_default,neutral_partial,middle_queue_proxy,63,431798,62,61,27,61,61,0.9841269841269841,0.9682539682539683,0.42857142857142855,0.9682539682539683,0.9682539682539683,-79551.16473847204,-5001.980209904339,-1151598.2114244408,1124.31,264.4714179678409,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S05,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,63,449765,63,13,63,30,13,1.0,0.20634920634920634,1.0,0.47619047619047616,0.20634920634920634,-77329.67510155015,-4503.3726300437565,-686944.6241980295,4629.96,251.61112273726326,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S07,stressed_retail,pessimistic_partial,back_queue_proxy,59,227842,47,38,23,44,38,0.7966101694915254,0.6440677966101694,0.3898305084745763,0.7457627118644068,0.6440677966101694,-76442.47952524383,-2377.584251712205,-1439411.2734942506,767.4,251.1535341290861,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S02,retail_marketable_default,pessimistic_partial,back_queue_proxy,63,879151,63,63,0,63,63,1.0,1.0,0.0,1.0,1.0,-77166.61709671005,-2836.1314976957074,-1030863.5851198388,156.9,243.0863585119839,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S04,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,60,429202,35,33,0,32,33,0.5833333333333334,0.55,0.0,0.5333333333333333,0.55,-77072.71604629687,-2912.9464285714316,-1669818.7265620453,402.75,242.81520598953787,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S08,stressed_retail,pessimistic_partial,back_queue_proxy,63,426101,60,60,5,59,60,0.9523809523809523,0.9523809523809523,0.07936507936507936,0.9365079365079365,0.9523809523809523,-77532.25311252056,-2897.6642792009948,-1045006.1685437402,663.0,240.61775971151684,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S08,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,63,448403,54,34,42,27,34,0.8571428571428571,0.5396825396825397,0.6666666666666666,0.42857142857142855,0.5396825396825397,-82531.27829960096,-6901.783832501391,-1006010.0814855743,1846.66,230.23262084697012,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S02,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,63,907352,57,55,0,57,55,0.9047619047619048,0.873015873015873,0.0,0.9047619047619048,0.873015873015873,-78924.93423348376,-4918.365140293012,-1036191.3815752958,282.93,227.74612228451372,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S04,stressed_retail,pessimistic_partial,back_queue_proxy,60,410666,37,36,0,35,36,0.6166666666666667,0.6,0.0,0.5833333333333334,0.6,-77747.20588387773,-2710.514700159739,-1367989.4302807108,396.15000000000003,218.46560969473774,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S07,retail_marketable_default,pessimistic_partial,back_queue_proxy,59,229792,43,35,23,40,35,0.7288135593220338,0.5932203389830508,0.3898305084745763,0.6779661016949152,0.5932203389830508,-76093.01679386912,-2554.4854144857527,-1143193.8051951523,772.05,212.30275340087115,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S07,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,59,237064,46,32,27,30,32,0.7796610169491526,0.5423728813559322,0.4576271186440678,0.5084745762711864,0.5423728813559322,-76218.22247864814,-2299.571847202149,-1006954.7064686823,793.1999999999999,201.64421640958008,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S08,retail_marketable_default,pessimistic_partial,back_queue_proxy,63,431798,56,56,6,56,56,0.8888888888888888,0.8888888888888888,0.09523809523809523,0.8888888888888888,0.8888888888888888,-76646.63277192802,-2874.2425111282146,-592206.9242971065,665.1,185.85602576304396,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S04,retail_marketable_default,pessimistic_partial,back_queue_proxy,60,414066,25,24,0,25,24,0.4166666666666667,0.4,0.0,0.4166666666666667,0.4,-76850.94340929319,-3403.961935578701,-1204915.8484792805,376.6,172.15825151459472,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S08,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,63,448403,38,26,24,25,26,0.6031746031746031,0.4126984126984127,0.38095238095238093,0.3968253968253968,0.4126984126984127,-76593.57614982709,-4927.1329473139585,-749047.8517063352,1377.39,163.40496612301445,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S06,retail_marketable_default,optimistic_marketable,front_or_marketable,54,33129,24,23,0,22,23,0.4444444444444444,0.42592592592592593,0.0,0.4074074074074074,0.42592592592592593,-78857.51906792176,-8343.709962547711,-993177.9374921434,181.73,155.05853448995506,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S02,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,63,907352,50,49,0,49,49,0.7936507936507936,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,-77537.66142272353,-2752.6215443279325,-397465.76419527474,151.5,148.00054467349574,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S03,retail_marketable_default,optimistic_marketable,front_or_marketable,60,273427,27,6,21,7,6,0.45,0.1,0.35,0.11666666666666667,0.1,-77468.35111551364,-7735.301189819749,-408842.18986751954,3530.68,141.49781898675195,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S06,retail_marketable_default,neutral_partial,middle_queue_proxy,54,33129,18,18,0,15,18,0.3333333333333333,0.3333333333333333,0.0,0.2777777777777778,0.3333333333333333,-80907.847709344,-5750.927212036088,-746366.3725841169,123.52,114.6366372584117,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S06,stressed_retail,optimistic_marketable,front_or_marketable,54,32935,21,20,0,17,20,0.3888888888888889,0.37037037037037035,0.0,0.3148148148148148,0.37037037037037035,-77352.64217807783,-6201.071248182307,-524807.9628174437,190.09,99.88820368915178,medium_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S03,retail_marketable_default,neutral_partial,middle_queue_proxy,60,273427,20,5,15,5,5,0.3333333333333333,0.08333333333333333,0.25,0.08333333333333333,0.08333333333333333,-76891.25348297793,-5294.8659439639605,-306631.64240063966,2503.02,98.22356424006395,medium_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S08,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,63,448403,21,18,4,13,18,0.3333333333333333,0.2857142857142857,0.06349206349206349,0.20634920634920634,0.2857142857142857,-76245.20653637992,-2834.785389350775,-452705.11369335104,814.5,89.17955898838271,medium_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S06,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,54,34373,16,14,0,15,14,0.2962962962962963,0.25925925925925924,0.0,0.2777777777777778,0.25925925925925924,-78971.70534008245,-7979.75295381311,-435537.75370499655,204.74,76.14636796309225,medium_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S01,retail_marketable_default,optimistic_marketable,front_or_marketable,63,160471,18,2,17,2,2,0.2857142857142857,0.031746031746031744,0.2698412698412698,0.031746031746031744,0.031746031746031744,-76395.41589344162,-6648.714637233697,-313392.869061891,1660.0,74.69801706491926,medium_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S06,stressed_retail,neutral_partial,middle_queue_proxy,54,32935,16,16,0,13,16,0.2962962962962963,0.2962962962962963,0.0,0.24074074074074073,0.2962962962962963,-78420.77557860139,-4455.94696242025,-392302.7878799468,135.26,73.67472323243912,medium_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S06,retail_marketable_default,pessimistic_partial,back_queue_proxy,54,33129,9,9,0,8,9,0.16666666666666666,0.16666666666666666,0.0,0.14814814814814814,0.16666666666666666,-77763.8168955158,-3310.308165806511,-450315.6474385509,65.1,60.031564743855085,medium_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S03,retail_marketable_default,pessimistic_partial,back_queue_proxy,60,273427,14,4,10,3,4,0.23333333333333334,0.06666666666666667,0.16666666666666666,0.05,0.06666666666666667,-75974.88273492831,-3039.7651756679556,-183978.9854403838,1480.25,54.669565210705045,medium_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S01,retail_marketable_default,neutral_partial,middle_queue_proxy,63,160471,15,1,14,2,1,0.23809523809523808,0.015873015873015872,0.2222222222222222,0.031746031746031744,0.015873015873015872,-75482.45130186102,-4825.387088241834,-181225.6414538959,1245.0,47.62573874856419,medium_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S06,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,54,34373,8,8,0,6,8,0.14814814814814814,0.14814814814814814,0.0,0.1111111111111111,0.14814814814814814,-77236.59573725789,-5307.832783278327,-311477.4050405851,141.26,43.36996272628073,medium_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S06,stressed_retail,pessimistic_partial,back_queue_proxy,54,32935,5,5,0,3,5,0.09259259259259259,0.09259259259259259,0.0,0.05555555555555555,0.09259259259259259,-77116.15294269344,-2623.202139954101,-233441.778978892,70.4,27.23306678677809,medium_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S06,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,54,34373,2,2,0,1,2,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.037037037037037035,-75483.95265419401,-2857.1371084570073,-178705.62147933833,67.5,13.426117703489389,low_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S01,retail_marketable_default,pessimistic_partial,back_queue_proxy,63,160471,1,0,1,0,0,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,-10713.540330401736,-2740.8925357348658,-34952.68319012191,747.0,6.5273015873015865,low_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
