candidate_id,family_id,split,trade_month,trades,symbols,net_pnl_inr,gross_pnl_inr,cost_pnl_drag_inr,precision_cost_clear
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-03,34,12,27082.569289428633,32358.21914240551,5275.649852976878,0.9411764705882353
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-04,17,6,-32073.728394234702,-29357.09287576146,2716.6355184732415,0.11764705882352941
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-06,64,17,-92115.3992332298,-81686.38636474416,10429.012868485619,0.125
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-07,6,3,11729.105193981679,12665.608650036009,936.5034560543282,1.0
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-08,31,19,63413.11848356521,68338.05977035825,4924.941286793045,0.9354838709677419
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-09,30,10,-44494.66215693714,-39901.3936027116,4593.268554225542,0.13333333333333333
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-11,29,9,3860.6285447470254,8698.140734109638,4837.512189362613,0.6896551724137931
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-12,34,12,27082.569289428633,32358.21914240551,5275.649852976878,0.9411764705882353
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-01,41,10,-99047.43817518184,-92151.51420486541,6895.923970316439,0.0
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-02,29,9,3860.6285447470254,8698.140734109638,4837.512189362613,0.6896551724137931
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-03,34,12,27082.569289428633,32358.21914240551,5275.649852976878,0.9411764705882353
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-04,18,7,-31766.591033326175,-28909.04035158437,2857.5506817418036,0.16666666666666666
P86_SHOCK_INTENSITY_REVERSAL_I0_99_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-06,142,26,-197913.07794524785,-174913.85489492034,22999.22305032749,0.14084507042253522
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-07,31,7,-577.497083597327,4559.984246188542,5137.481329785869,0.4838709677419355
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-08,47,28,89834.79774128046,97189.29769354899,7354.499952268526,0.9574468085106383
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-09,84,21,-134404.79410955534,-121483.06368436868,12921.73042518664,0.03571428571428571
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-11,26,6,-20543.28367835855,-15952.07479900529,4591.208879353264,0.11538461538461539
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-12,103,25,59918.0730550614,76210.4744169118,16292.401361850407,0.8640776699029126
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-01,90,19,-218854.510126341,-203436.7193916139,15417.79073472709,0.0
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-02,26,6,-20543.28367835855,-15952.07479900529,4591.208879353264,0.11538461538461539
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-03,103,25,59918.0730550614,76210.4744169118,16292.401361850407,0.8640776699029126
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-04,60,16,-5195.530373849095,4209.751845176323,9405.282219025417,0.48333333333333334
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-06,115,23,-142927.55963946128,-123789.37223898187,19138.18740047943,0.14782608695652175
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-07,48,12,15431.34187192059,23344.900181230445,7913.558309309854,0.625
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-08,80,29,94762.96381940693,107083.61771357984,12320.65389417291,0.7625
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-09,98,23,-147098.68565427262,-132048.5785309512,15050.107123321428,0.07142857142857142
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-11,57,12,-9857.529539403236,-140.12697063812192,9717.402568765116,0.49122807017543857
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-12,111,25,58249.732216194396,75731.43591448819,17481.70369829379,0.8468468468468469
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-01,128,23,-287461.5079214904,-265190.65472720563,22270.853194284744,0.0
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-02,57,12,-9857.529539403236,-140.12697063812192,9717.402568765116,0.49122807017543857
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-03,111,25,58249.732216194396,75731.43591448819,17481.70369829379,0.8468468468468469
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-04,87,19,32672.85770987517,46181.75351363989,13508.895803764719,0.5977011494252874
P86_SHOCK_INTENSITY_REVERSAL_I0_975_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-06,226,30,-254145.01051725994,-216831.74371080587,37313.26680645407,0.1902654867256637
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-07,52,12,-4355.686193593941,4121.244923485856,8476.931117079797,0.36538461538461536
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-08,51,29,96410.16758541123,104611.26502041797,8201.097435006744,0.9607843137254902
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-09,101,24,-157621.74215562613,-141906.74273066703,15714.99942495911,0.039603960396039604
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-11,41,13,-38720.11917205211,-31468.280184764197,7251.838987287913,0.0975609756097561
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_99,P86_SHOCK_INTENSITY_REVERSAL,test,2026-12,157,32,48921.145125319126,74304.19296262217,25383.047837303046,0.7770700636942676
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-01,111,23,-258368.37165227137,-239212.66705110043,19155.704601170924,0.0
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-02,41,13,-38720.11917205211,-31468.280184764197,7251.838987287913,0.0975609756097561
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-03,157,32,48921.145125319126,74304.19296262217,25383.047837303046,0.7770700636942676
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-04,79,19,20001.07193849483,32519.219889267002,12518.147950772169,0.5443037974683544
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_99,P86_SHOCK_INTENSITY_REVERSAL,train,2026-06,165,28,-199324.93603437475,-171799.78843482616,27525.147599548603,0.15151515151515152
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-07,98,21,15155.218209511648,31338.236398297326,16183.018188785678,0.5
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-08,118,32,98459.0742301153,117490.70608173877,19031.631851623482,0.6864406779661016
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-09,149,30,-204866.66989089389,-181197.98110590054,23668.68878499333,0.08053691275167785
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-11,97,24,-47618.78535079483,-30632.09303792922,16986.69231286561,0.38144329896907214
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_975,P86_SHOCK_INTENSITY_REVERSAL,test,2026-12,193,32,14942.731021256479,45943.2617632778,31000.53074202132,0.6787564766839378
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-01,224,31,-495322.5871473388,-456831.1451484591,38491.44199887968,0.0
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-02,97,24,-47618.78535079483,-30632.09303792922,16986.69231286561,0.38144329896907214
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-03,193,32,14942.731021256479,45943.2617632778,31000.53074202132,0.6787564766839378
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-04,183,26,148840.9931499526,178110.49111529038,29269.49796533777,0.6721311475409836
P86_SHOCK_INTENSITY_REVERSAL_I0_95_M0_975,P86_SHOCK_INTENSITY_REVERSAL,train,2026-06,390,32,-302304.35956747545,-238399.3044904033,63905.05507707216,0.30512820512820515
