trade_month,trade_date,regime_code,source_rows,market_shock_rows,symbol_shock_rows,feed_profiles_on_day,selection_reason
2026-06,2026-06-30,D07,11902,11902,6318,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-07,2026-07-01,D04,11969,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-07,2026-07-02,D02,11969,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-07,2026-07-03,D03,11970,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-07,2026-07-07,D01,11972,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-07,2026-07-08,D06,11970,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-07,2026-07-14,D07,11950,11950,4101,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-07,2026-07-15,D09,11935,0,371,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-07,2026-07-17,D12,11955,0,2242,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-07,2026-07-22,D18,11947,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-07,2026-07-27,D08,11947,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-07,2026-07-28,D10,11970,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-07,2026-07-29,D15,11978,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-08,2026-08-06,D06,11967,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-08,2026-08-10,D05,11979,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-08,2026-08-12,D03,11971,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-08,2026-08-13,D07,11944,11944,5221,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-08,2026-08-18,D09,11963,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-08,2026-08-19,D11,11969,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-08,2026-08-21,D13,11927,0,2230,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-08,2026-08-24,D20,11956,11956,5227,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-08,2026-08-25,D19,11969,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-08,2026-08-26,D18,11956,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-08,2026-08-27,D15,11964,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-08,2026-08-28,D17,11921,0,746,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-08,2026-08-31,D12,11940,0,1116,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-09,2026-09-01,D02,11952,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-09,2026-09-03,D05,11978,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-09,2026-09-04,D17,11936,0,1863,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-09,2026-09-14,D06,11965,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-09,2026-09-16,D20,11944,11944,3345,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-09,2026-09-17,D03,11978,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-09,2026-09-22,D07,11958,11958,6353,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-09,2026-09-23,D04,11980,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-09,2026-09-24,D12,11927,11927,1485,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-09,2026-09-28,D01,11971,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-09,2026-09-30,D10,11952,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-10,2026-10-01,D15,11955,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-10,2026-10-02,D01,11969,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-10,2026-10-05,D03,11970,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-10,2026-10-06,D04,11973,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-10,2026-10-07,D08,11975,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-10,2026-10-09,D02,11964,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-10,2026-10-14,D10,11975,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-10,2026-10-16,D17,11930,0,1864,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-10,2026-10-22,D06,11966,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-10,2026-10-27,D05,11973,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-10,2026-10-30,D12,11915,0,747,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-11,2026-11-05,D20,11919,11919,2984,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-11,2026-11-09,D19,11952,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-11,2026-11-10,D02,11965,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-11,2026-11-11,D12,11925,0,748,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-11,2026-11-12,D04,11972,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-11,2026-11-13,D18,11942,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-11,2026-11-16,D13,11946,11946,3734,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-11,2026-11-17,D01,11970,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-11,2026-11-19,D07,11920,11920,6335,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-11,2026-11-20,D06,11980,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-11,2026-11-23,D11,11971,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-11,2026-11-24,D09,11958,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-11,2026-11-25,D17,11921,0,746,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-11,2026-11-26,D05,11970,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-12,2026-12-02,D18,11907,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-12,2026-12-03,D07,11908,11908,5215,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-12,2026-12-04,D02,11968,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-12,2026-12-09,D01,11966,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-12,2026-12-10,D03,11955,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-12,2026-12-15,D06,11975,0,0,5,one_representative_source_day_per_regime_prefer_shock_then_rows
2026-12,2026-12-18,D12,11925,11925,741,5,one_representative_source_day_per_regime_prefer_shock_then_rows
