family_id,entry_timing_policy,horizon_seconds,depth_threshold_quantile,cost_profile,fixed_capital_required,full_depth_required,levels_2_to_5_required,l1_only_allowed,no_lookahead_required,acceptance_allowed_in_phase344
P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,900,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,900,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,1800,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,1800,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,1800,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,300,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,300,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,300,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,900,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,900,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,900,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,1800,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,1800,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,1800,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,300,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,300,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,300,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,900,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,900,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,900,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,1800,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,1800,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,1800,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,300,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,300,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,300,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,900,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,900,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,900,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,1800,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,1800,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,1800,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,300,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,300,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,300,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,900,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,900,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,900,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,1800,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,1800,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,1800,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,market_open_or_first_tick_after_announcement,900,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,market_open_or_first_tick_after_announcement,900,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,market_open_or_first_tick_after_announcement,900,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,market_open_or_first_tick_after_announcement,1800,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,market_open_or_first_tick_after_announcement,1800,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,market_open_or_first_tick_after_announcement,1800,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,900,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,900,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,900,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,1800,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,1800,0.5,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,1800,0.75,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
P344_NEGATIVE_CONTROL_FAILED_SURVIVOR_REPLAY,phase342_exact,900,0.0,zerodha_2x_all_in_cost_proxy,1,1,1,0,1,0
