synthetic_year_day,daily_net_pnl_inr,daily_trades,running_net_pnl_inr,running_peak_inr,drawdown_inr,strategy_id,execution_profile
51,-123230.79037347385,497,-5029632.793926234,-68988.57668391535,-4960644.217242319,S01,zero_latency_spread_only_control
52,-169550.90572962462,1443,-5199183.699655859,-68988.57668391535,-5130195.122971944,S01,zero_latency_spread_only_control
53,-435.26922087913266,3,-5199618.968876738,-68988.57668391535,-5130630.392192823,S01,zero_latency_spread_only_control
54,-34451.89419173462,620,-5234070.863068473,-68988.57668391535,-5165082.286384557,S01,zero_latency_spread_only_control
55,-54518.85532123893,375,-5288589.718389711,-68988.57668391535,-5219601.141705796,S01,zero_latency_spread_only_control
56,-57470.64941682804,465,-5346060.367806539,-68988.57668391535,-5277071.791122624,S01,zero_latency_spread_only_control
57,-110090.61937324794,1077,-5456150.987179787,-68988.57668391535,-5387162.410495872,S01,zero_latency_spread_only_control
58,-2805.01202859605,17,-5458955.999208383,-68988.57668391535,-5389967.422524468,S01,zero_latency_spread_only_control
59,-45368.67621841629,460,-5504324.6754268,-68988.57668391535,-5435336.098742885,S01,zero_latency_spread_only_control
60,-124361.21733465864,883,-5628685.892761459,-68988.57668391535,-5559697.316077543,S01,zero_latency_spread_only_control
61,-322049.3569783073,2049,-5950735.249739766,-68988.57668391535,-5881746.673055851,S01,zero_latency_spread_only_control
62,-182183.63223512558,1180,-6132918.881974892,-68988.57668391535,-6063930.305290977,S01,zero_latency_spread_only_control
63,-87547.89966327309,623,-6220466.781638165,-68988.57668391535,-6151478.20495425,S01,zero_latency_spread_only_control
64,-49777.38753685825,614,-6270244.169175023,-68988.57668391535,-6201255.592491108,S01,zero_latency_spread_only_control
65,-150105.62199959377,1353,-6420349.791174617,-68988.57668391535,-6351361.214490701,S01,zero_latency_spread_only_control
66,-493523.2599086998,1631,-6913873.051083316,-68988.57668391535,-6844884.474399401,S01,zero_latency_spread_only_control
67,-67662.1698869488,727,-6981535.220970265,-68988.57668391535,-6912546.644286349,S01,zero_latency_spread_only_control
68,-22433.01243549129,181,-7003968.233405756,-68988.57668391535,-6934979.656721841,S01,zero_latency_spread_only_control
69,-113587.28134505881,973,-7117555.514750815,-68988.57668391535,-7048566.9380669,S01,zero_latency_spread_only_control
70,-1453.1530946987086,12,-7119008.667845514,-68988.57668391535,-7050020.091161598,S01,zero_latency_spread_only_control
71,-78473.19576774449,1347,-7197481.863613258,-68988.57668391535,-7128493.286929343,S01,zero_latency_spread_only_control
72,-310519.16241640085,2063,-7508001.026029659,-68988.57668391535,-7439012.449345744,S01,zero_latency_spread_only_control
73,-18345.849932695135,145,-7526346.875962354,-68988.57668391535,-7457358.299278439,S01,zero_latency_spread_only_control
74,-9003.156262045912,580,-7535350.0322244,-68988.57668391535,-7466361.455540485,S01,zero_latency_spread_only_control
75,-39557.64101540215,909,-7574907.673239802,-68988.57668391535,-7505919.096555887,S01,zero_latency_spread_only_control
76,-130587.13431837689,2068,-7705494.807558179,-68988.57668391535,-7636506.230874264,S01,zero_latency_spread_only_control
77,-123225.60263019642,688,-7828720.410188375,-68988.57668391535,-7759731.83350446,S01,zero_latency_spread_only_control
78,-226111.8079327047,1684,-8054832.21812108,-68988.57668391535,-7985843.6414371645,S01,zero_latency_spread_only_control
79,-42952.60511182093,228,-8097784.8232329,-68988.57668391535,-8028796.246548985,S01,zero_latency_spread_only_control
80,-55384.29517374829,573,-8153169.118406649,-68988.57668391535,-8084180.5417227335,S01,zero_latency_spread_only_control
81,-229946.22771219007,1884,-8383115.3461188385,-68988.57668391535,-8314126.769434923,S01,zero_latency_spread_only_control
82,-61423.47516194028,525,-8444538.82128078,-68988.57668391535,-8375550.244596864,S01,zero_latency_spread_only_control
83,-54081.69735271457,478,-8498620.518633494,-68988.57668391535,-8429631.941949578,S01,zero_latency_spread_only_control
84,-103124.78974639838,789,-8601745.308379892,-68988.57668391535,-8532756.731695976,S01,zero_latency_spread_only_control
85,-203087.4703297081,1296,-8804832.7787096,-68988.57668391535,-8735844.202025684,S01,zero_latency_spread_only_control
86,-368288.18354923784,1607,-9173120.962258838,-68988.57668391535,-9104132.385574922,S01,zero_latency_spread_only_control
87,-11542.78046729483,1449,-9184663.742726132,-68988.57668391535,-9115675.166042216,S01,zero_latency_spread_only_control
88,-31165.559196747487,197,-9215829.30192288,-68988.57668391535,-9146840.725238964,S01,zero_latency_spread_only_control
89,-183932.1577231286,1746,-9399761.459646009,-68988.57668391535,-9330772.882962093,S01,zero_latency_spread_only_control
90,-60739.8831414888,446,-9460501.342787499,-68988.57668391535,-9391512.766103582,S01,zero_latency_spread_only_control
91,-168574.12384828273,1508,-9629075.466635782,-68988.57668391535,-9560086.889951866,S01,zero_latency_spread_only_control
92,-48346.422366454426,467,-9677421.889002237,-68988.57668391535,-9608433.312318321,S01,zero_latency_spread_only_control
93,-276472.58094191505,1561,-9953894.469944153,-68988.57668391535,-9884905.893260237,S01,zero_latency_spread_only_control
94,-126481.00188207776,1691,-10080375.471826231,-68988.57668391535,-10011386.895142315,S01,zero_latency_spread_only_control
95,-55629.394936462864,1290,-10136004.866762694,-68988.57668391535,-10067016.290078778,S01,zero_latency_spread_only_control
96,-312160.9066288176,1633,-10448165.773391511,-68988.57668391535,-10379177.196707595,S01,zero_latency_spread_only_control
97,-74544.22900371645,434,-10522710.002395228,-68988.57668391535,-10453721.425711311,S01,zero_latency_spread_only_control
98,-174143.43559848244,1031,-10696853.43799371,-68988.57668391535,-10627864.861309795,S01,zero_latency_spread_only_control
99,-13869.373866659196,1327,-10710722.81186037,-68988.57668391535,-10641734.235176453,S01,zero_latency_spread_only_control
100,-150774.5590119247,1618,-10861497.370872295,-68988.57668391535,-10792508.794188378,S01,zero_latency_spread_only_control
101,-22615.29125383485,568,-10884112.66212613,-68988.57668391535,-10815124.085442213,S01,zero_latency_spread_only_control
102,-253326.55201083916,1079,-11137439.21413697,-68988.57668391535,-11068450.637453053,S01,zero_latency_spread_only_control
103,-93473.57869337293,614,-11230912.792830342,-68988.57668391535,-11161924.216146426,S01,zero_latency_spread_only_control
104,-30736.787944709627,144,-11261649.580775052,-68988.57668391535,-11192661.004091136,S01,zero_latency_spread_only_control
105,-117998.8856254998,1480,-11379648.466400553,-68988.57668391535,-11310659.889716636,S01,zero_latency_spread_only_control
106,-4089.347654348231,12,-11383737.8140549,-68988.57668391535,-11314749.237370985,S01,zero_latency_spread_only_control
107,-109896.00414053425,1110,-11493633.818195434,-68988.57668391535,-11424645.241511518,S01,zero_latency_spread_only_control
108,-2758.000626524553,11,-11496391.81882196,-68988.57668391535,-11427403.242138043,S01,zero_latency_spread_only_control
109,-55863.26436817416,2118,-11552255.083190134,-68988.57668391535,-11483266.506506218,S01,zero_latency_spread_only_control
110,-53370.654401458414,200,-11605625.737591593,-68988.57668391535,-11536637.160907676,S01,zero_latency_spread_only_control
111,-131807.50953514085,1380,-11737433.247126734,-68988.57668391535,-11668444.670442818,S01,zero_latency_spread_only_control
112,-17328.63837662189,851,-11754761.885503355,-68988.57668391535,-11685773.30881944,S01,zero_latency_spread_only_control
113,-45098.322449863736,640,-11799860.207953218,-68988.57668391535,-11730871.631269302,S01,zero_latency_spread_only_control
114,-51636.36064293886,282,-11851496.568596156,-68988.57668391535,-11782507.99191224,S01,zero_latency_spread_only_control
115,-140663.46072243413,735,-11992160.02931859,-68988.57668391535,-11923171.452634674,S01,zero_latency_spread_only_control
116,41602.87552100225,1481,-11950557.153797587,-68988.57668391535,-11881568.577113671,S01,zero_latency_spread_only_control
117,-344153.2505426345,1638,-12294710.404340222,-68988.57668391535,-12225721.827656306,S01,zero_latency_spread_only_control
118,-108638.41256884605,1395,-12403348.81690907,-68988.57668391535,-12334360.240225153,S01,zero_latency_spread_only_control
119,-44212.977960690725,694,-12447561.79486976,-68988.57668391535,-12378573.218185844,S01,zero_latency_spread_only_control
120,-7614.537005055793,36,-12455176.331874816,-68988.57668391535,-12386187.7551909,S01,zero_latency_spread_only_control
121,-34571.05481634192,515,-12489747.386691157,-68988.57668391535,-12420758.81000724,S01,zero_latency_spread_only_control
122,-18040.55206674948,103,-12507787.938757906,-68988.57668391535,-12438799.36207399,S01,zero_latency_spread_only_control
123,-153074.8162595669,645,-12660862.755017472,-68988.57668391535,-12591874.178333556,S01,zero_latency_spread_only_control
124,-292417.21535888483,1937,-12953279.970376357,-68988.57668391535,-12884291.393692441,S01,zero_latency_spread_only_control
125,-35925.055002307614,158,-12989205.025378665,-68988.57668391535,-12920216.448694749,S01,zero_latency_spread_only_control
126,-107119.3915097064,860,-13096324.416888371,-68988.57668391535,-13027335.840204455,S01,zero_latency_spread_only_control
127,-55838.012315301814,692,-13152162.429203672,-68988.57668391535,-13083173.852519756,S01,zero_latency_spread_only_control
128,-60402.19689535671,596,-13212564.62609903,-68988.57668391535,-13143576.049415113,S01,zero_latency_spread_only_control
129,-336344.59597193456,1623,-13548909.222070964,-68988.57668391535,-13479920.645387048,S01,zero_latency_spread_only_control
130,-45528.54253524081,1240,-13594437.764606206,-68988.57668391535,-13525449.18792229,S01,zero_latency_spread_only_control
131,-7751.5617951189315,70,-13602189.326401325,-68988.57668391535,-13533200.749717409,S01,zero_latency_spread_only_control
132,-184205.9384271633,1567,-13786395.264828488,-68988.57668391535,-13717406.688144572,S01,zero_latency_spread_only_control
133,-58692.54391783004,450,-13845087.808746317,-68988.57668391535,-13776099.232062401,S01,zero_latency_spread_only_control
134,-20032.39643059073,253,-13865120.205176909,-68988.57668391535,-13796131.628492992,S01,zero_latency_spread_only_control
135,-87592.62225149044,990,-13952712.827428399,-68988.57668391535,-13883724.250744483,S01,zero_latency_spread_only_control
136,-154116.58705457542,1805,-14106829.414482974,-68988.57668391535,-14037840.837799057,S01,zero_latency_spread_only_control
137,-264300.5239689748,1723,-14371129.938451948,-68988.57668391535,-14302141.361768031,S01,zero_latency_spread_only_control
138,-111760.80905666803,769,-14482890.747508615,-68988.57668391535,-14413902.1708247,S01,zero_latency_spread_only_control
139,-428232.9751957978,1717,-14911123.722704412,-68988.57668391535,-14842135.146020496,S01,zero_latency_spread_only_control
140,-227905.34775431594,1611,-15139029.070458729,-68988.57668391535,-15070040.493774813,S01,zero_latency_spread_only_control
141,-99369.64081021956,563,-15238398.711268948,-68988.57668391535,-15169410.134585032,S01,zero_latency_spread_only_control
142,-217243.1467401815,1766,-15455641.85800913,-68988.57668391535,-15386653.281325214,S01,zero_latency_spread_only_control
143,-144526.5400772454,1424,-15600168.398086375,-68988.57668391535,-15531179.821402458,S01,zero_latency_spread_only_control
144,-13057.245935463947,969,-15613225.644021839,-68988.57668391535,-15544237.067337923,S01,zero_latency_spread_only_control
145,-81795.32623711311,628,-15695020.970258951,-68988.57668391535,-15626032.393575035,S01,zero_latency_spread_only_control
146,-357292.6146438628,1669,-16052313.584902814,-68988.57668391535,-15983325.008218898,S01,zero_latency_spread_only_control
147,-8288.084566832853,23,-16060601.669469647,-68988.57668391535,-15991613.092785731,S01,zero_latency_spread_only_control
148,-84189.27405323423,1167,-16144790.943522882,-68988.57668391535,-16075802.366838966,S01,zero_latency_spread_only_control
149,-70196.09123247128,2442,-16214987.034755353,-68988.57668391535,-16145998.458071437,S01,zero_latency_spread_only_control
150,-2629.1943000415536,124,-16217616.229055395,-68988.57668391535,-16148627.65237148,S01,zero_latency_spread_only_control
151,-71531.47005521662,1570,-16289147.699110612,-68988.57668391535,-16220159.122426696,S01,zero_latency_spread_only_control
152,-27116.26688250274,658,-16316263.965993116,-68988.57668391535,-16247275.3893092,S01,zero_latency_spread_only_control
153,-114037.0157116636,773,-16430300.981704779,-68988.57668391535,-16361312.405020863,S01,zero_latency_spread_only_control
154,-267364.844795343,1349,-16697665.826500122,-68988.57668391535,-16628677.249816205,S01,zero_latency_spread_only_control
155,-113102.87184828872,1395,-16810768.69834841,-68988.57668391535,-16741780.121664494,S01,zero_latency_spread_only_control
156,-150961.0221253604,1105,-16961729.72047377,-68988.57668391535,-16892741.143789854,S01,zero_latency_spread_only_control
157,-20904.120337106622,89,-16982633.840810876,-68988.57668391535,-16913645.26412696,S01,zero_latency_spread_only_control
158,-70190.40473843926,2294,-17052824.245549317,-68988.57668391535,-16983835.6688654,S01,zero_latency_spread_only_control
159,-113010.16607292557,1511,-17165834.411622245,-68988.57668391535,-17096845.83493833,S01,zero_latency_spread_only_control
160,13098.619139615465,1493,-17152735.79248263,-68988.57668391535,-17083747.215798713,S01,zero_latency_spread_only_control
161,-171233.89208592163,1442,-17323969.68456855,-68988.57668391535,-17254981.107884634,S01,zero_latency_spread_only_control
162,-99518.25989745448,907,-17423487.944466006,-68988.57668391535,-17354499.36778209,S01,zero_latency_spread_only_control
163,-43195.8787274256,512,-17466683.82319343,-68988.57668391535,-17397695.246509515,S01,zero_latency_spread_only_control
164,-230564.78907636617,1250,-17697248.612269796,-68988.57668391535,-17628260.03558588,S01,zero_latency_spread_only_control
165,-95241.04250291408,1516,-17792489.65477271,-68988.57668391535,-17723501.078088794,S01,zero_latency_spread_only_control
166,-148358.86370305117,1707,-17940848.51847576,-68988.57668391535,-17871859.941791844,S01,zero_latency_spread_only_control
167,-49270.855360166,433,-17990119.373835925,-68988.57668391535,-17921130.79715201,S01,zero_latency_spread_only_control
168,-394742.081198392,1396,-18384861.455034316,-68988.57668391535,-18315872.8783504,S01,zero_latency_spread_only_control
169,-16880.58080147258,1612,-18401742.035835788,-68988.57668391535,-18332753.45915187,S01,zero_latency_spread_only_control
170,-53881.97687149827,856,-18455624.012707286,-68988.57668391535,-18386635.43602337,S01,zero_latency_spread_only_control
171,-16178.629969089272,76,-18471802.642676376,-68988.57668391535,-18402814.06599246,S01,zero_latency_spread_only_control
172,-23823.70430348516,135,-18495626.34697986,-68988.57668391535,-18426637.770295944,S01,zero_latency_spread_only_control
173,-166572.99976814713,1592,-18662199.346748006,-68988.57668391535,-18593210.77006409,S01,zero_latency_spread_only_control
174,-11530.913736328848,40,-18673730.260484334,-68988.57668391535,-18604741.683800418,S01,zero_latency_spread_only_control
175,-19605.307148382515,157,-18693335.567632716,-68988.57668391535,-18624346.9909488,S01,zero_latency_spread_only_control
176,-77802.35672271576,2154,-18771137.924355432,-68988.57668391535,-18702149.347671516,S01,zero_latency_spread_only_control
177,-18149.812779541542,67,-18789287.737134974,-68988.57668391535,-18720299.16045106,S01,zero_latency_spread_only_control
178,-411082.19635110226,1866,-19200369.933486078,-68988.57668391535,-19131381.35680216,S01,zero_latency_spread_only_control
179,-75937.18289841249,791,-19276307.11638449,-68988.57668391535,-19207318.539700575,S01,zero_latency_spread_only_control
180,-225466.39081089638,2029,-19501773.507195387,-68988.57668391535,-19432784.93051147,S01,zero_latency_spread_only_control
181,-156155.91333765024,1024,-19657929.42053304,-68988.57668391535,-19588940.843849123,S01,zero_latency_spread_only_control
182,-68087.50067493295,350,-19726016.921207972,-68988.57668391535,-19657028.344524056,S01,zero_latency_spread_only_control
183,-128384.69441044767,1165,-19854401.61561842,-68988.57668391535,-19785413.038934503,S01,zero_latency_spread_only_control
184,-43733.090283022044,372,-19898134.70590144,-68988.57668391535,-19829146.129217524,S01,zero_latency_spread_only_control
185,-69468.68566790807,1536,-19967603.39156935,-68988.57668391535,-19898614.814885434,S01,zero_latency_spread_only_control
186,-188105.60128407052,1031,-20155708.99285342,-68988.57668391535,-20086720.416169506,S01,zero_latency_spread_only_control
187,-240370.60501283844,1750,-20396079.59786626,-68988.57668391535,-20327091.021182343,S01,zero_latency_spread_only_control
188,-132317.702999153,1130,-20528397.30086541,-68988.57668391535,-20459408.724181496,S01,zero_latency_spread_only_control
189,-467590.04331651755,1535,-20995987.34418193,-68988.57668391535,-20926998.767498013,S01,zero_latency_spread_only_control
190,-68988.57668391535,888,-21064975.920865845,-68988.57668391535,-20995987.34418193,S01,zero_latency_spread_only_control
191,-150466.393371237,778,-21215442.31423708,-68988.57668391535,-21146453.737553164,S01,zero_latency_spread_only_control
192,-9196.869202688806,35,-21224639.18343977,-68988.57668391535,-21155650.606755853,S01,zero_latency_spread_only_control
193,-65422.1587314317,521,-21290061.3421712,-68988.57668391535,-21221072.765487283,S01,zero_latency_spread_only_control
194,-381923.2970296488,1449,-21671984.639200848,-68988.57668391535,-21602996.06251693,S01,zero_latency_spread_only_control
195,-172403.27763690782,2215,-21844387.916837756,-68988.57668391535,-21775399.34015384,S01,zero_latency_spread_only_control
196,-32778.67397045023,118,-21877166.590808205,-68988.57668391535,-21808178.01412429,S01,zero_latency_spread_only_control
197,-38699.78807843059,552,-21915866.378886636,-68988.57668391535,-21846877.80220272,S01,zero_latency_spread_only_control
198,-104215.43362102161,666,-22020081.81250766,-68988.57668391535,-21951093.235823743,S01,zero_latency_spread_only_control
199,9816.480601932257,1441,-22010265.331905726,-68988.57668391535,-21941276.75522181,S01,zero_latency_spread_only_control
200,-54066.36727506001,1336,-22064331.699180786,-68988.57668391535,-21995343.12249687,S01,zero_latency_spread_only_control
201,-133033.82375064155,2095,-22197365.522931427,-68988.57668391535,-22128376.94624751,S01,zero_latency_spread_only_control
202,-13882.099401390913,72,-22211247.62233282,-68988.57668391535,-22142259.045648903,S01,zero_latency_spread_only_control
203,-177223.48104931405,985,-22388471.103382133,-68988.57668391535,-22319482.526698217,S01,zero_latency_spread_only_control
204,-11696.719910323996,66,-22400167.823292457,-68988.57668391535,-22331179.24660854,S01,zero_latency_spread_only_control
205,-178592.75124411224,1923,-22578760.57453657,-68988.57668391535,-22509771.997852653,S01,zero_latency_spread_only_control
206,-2815.5301599221716,34,-22581576.10469649,-68988.57668391535,-22512587.528012574,S01,zero_latency_spread_only_control
207,-31103.51828797753,293,-22612679.62298447,-68988.57668391535,-22543691.046300553,S01,zero_latency_spread_only_control
208,-19927.106095381983,119,-22632606.72907985,-68988.57668391535,-22563618.152395934,S01,zero_latency_spread_only_control
209,-119091.0136330753,1221,-22751697.742712926,-68988.57668391535,-22682709.16602901,S01,zero_latency_spread_only_control
210,2209.387596882563,294,-22749488.355116043,-68988.57668391535,-22680499.778432127,S01,zero_latency_spread_only_control
211,-220671.24460193366,1302,-22970159.59971798,-68988.57668391535,-22901171.023034062,S01,zero_latency_spread_only_control
212,-101009.67367334524,773,-23071169.273391325,-68988.57668391535,-23002180.69670741,S01,zero_latency_spread_only_control
213,-43898.66480018507,330,-23115067.93819151,-68988.57668391535,-23046079.361507595,S01,zero_latency_spread_only_control
214,-225060.48529235134,2032,-23340128.423483863,-68988.57668391535,-23271139.846799947,S01,zero_latency_spread_only_control
215,-151739.0608762304,1008,-23491867.484360095,-68988.57668391535,-23422878.90767618,S01,zero_latency_spread_only_control
216,-28587.836487862343,906,-23520455.32084796,-68988.57668391535,-23451466.744164042,S01,zero_latency_spread_only_control
217,-127646.97458226125,2093,-23648102.29543022,-68988.57668391535,-23579113.718746305,S01,zero_latency_spread_only_control
218,-33752.83304869149,593,-23681855.12847891,-68988.57668391535,-23612866.551794995,S01,zero_latency_spread_only_control
219,-75846.31484866583,701,-23757701.443327576,-68988.57668391535,-23688712.86664366,S01,zero_latency_spread_only_control
220,-3800.423297260774,17,-23761501.866624836,-68988.57668391535,-23692513.28994092,S01,zero_latency_spread_only_control
221,-139164.80227722085,1621,-23900666.66890206,-68988.57668391535,-23831678.092218142,S01,zero_latency_spread_only_control
222,-200779.8679201446,1487,-24101446.536822204,-68988.57668391535,-24032457.960138287,S01,zero_latency_spread_only_control
223,-207102.1415404752,1087,-24308548.67836268,-68988.57668391535,-24239560.101678763,S01,zero_latency_spread_only_control
224,-6849.956591276261,62,-24315398.634953953,-68988.57668391535,-24246410.058270037,S01,zero_latency_spread_only_control
225,-385662.46469129034,2164,-24701061.099645242,-68988.57668391535,-24632072.522961326,S01,zero_latency_spread_only_control
226,-73896.79833547099,418,-24774957.897980712,-68988.57668391535,-24705969.321296796,S01,zero_latency_spread_only_control
227,-75194.07258640655,371,-24850151.97056712,-68988.57668391535,-24781163.393883202,S01,zero_latency_spread_only_control
228,-53757.2375434721,308,-24903909.20811059,-68988.57668391535,-24834920.631426673,S01,zero_latency_spread_only_control
229,-43650.154052243306,262,-24947559.362162832,-68988.57668391535,-24878570.785478916,S01,zero_latency_spread_only_control
230,-116517.30700676198,593,-25064076.669169594,-68988.57668391535,-24995088.092485677,S01,zero_latency_spread_only_control
231,-119410.35077982703,1477,-25183487.01994942,-68988.57668391535,-25114498.443265505,S01,zero_latency_spread_only_control
232,-56484.26461492281,982,-25239971.284564342,-68988.57668391535,-25170982.707880426,S01,zero_latency_spread_only_control
233,-184249.56444355552,1580,-25424220.849007897,-68988.57668391535,-25355232.27232398,S01,zero_latency_spread_only_control
234,-57819.25915967842,1592,-25482040.108167574,-68988.57668391535,-25413051.531483658,S01,zero_latency_spread_only_control
235,-6041.126571769926,44,-25488081.234739345,-68988.57668391535,-25419092.65805543,S01,zero_latency_spread_only_control
236,-224890.8894402968,1616,-25712972.124179643,-68988.57668391535,-25643983.547495726,S01,zero_latency_spread_only_control
237,-79102.26607937984,812,-25792074.390259024,-68988.57668391535,-25723085.813575108,S01,zero_latency_spread_only_control
238,-51658.31894253651,1034,-25843732.70920156,-68988.57668391535,-25774744.132517643,S01,zero_latency_spread_only_control
239,-58656.63853312728,362,-25902389.347734686,-68988.57668391535,-25833400.77105077,S01,zero_latency_spread_only_control
240,-123230.79037347385,497,-26025620.13810816,-68988.57668391535,-25956631.561424244,S01,zero_latency_spread_only_control
241,-169550.90572962462,1443,-26195171.043837786,-68988.57668391535,-26126182.46715387,S01,zero_latency_spread_only_control
242,-435.26922087913266,3,-26195606.313058663,-68988.57668391535,-26126617.736374747,S01,zero_latency_spread_only_control
243,-34451.89419173462,620,-26230058.207250398,-68988.57668391535,-26161069.63056648,S01,zero_latency_spread_only_control
244,-54518.85532123893,375,-26284577.062571637,-68988.57668391535,-26215588.48588772,S01,zero_latency_spread_only_control
245,-57470.64941682804,465,-26342047.711988464,-68988.57668391535,-26273059.135304548,S01,zero_latency_spread_only_control
