trade_month,symbol,regime_code,rows
2026-08,INFY,D06,250000
2026-08,ITBEES,D06,250000
2026-08,ITC,D06,250000
2026-08,JUNIORBEES,D06,250000
2026-08,KOTAKBANK,D06,250000
2026-08,LT,D06,250000
2026-08,M&M,D06,250000
2026-08,MARUTI,D06,250000
2026-08,NESTLEIND,D06,250000
2026-08,NIFTYBEES,D06,250000
2026-08,ONGC,D06,250000
2026-08,RELIANCE,D06,250000
2026-08,SBIN,D06,250000
2026-08,SUNPHARMA,D06,250000
2026-08,TCS,D06,250000
2026-08,TECHM,D06,250000
2026-08,ULTRACEMCO,D06,250000
2026-08,WIPRO,D06,250000
2026-09,ADANIPORTS,D02,250000
2026-09,AXISBANK,D02,250000
2026-09,BAJAJ-AUTO,D02,250000
2026-09,BANKBEES,D02,250000
2026-09,BHARTIARTL,D02,250000
2026-09,BPCL,D02,250000
2026-09,BRITANNIA,D02,250000
2026-09,CIPLA,D02,250000
2026-09,DRREDDY,D02,250000
2026-09,GOLDBEES,D02,250000
2026-09,HCLTECH,D02,250000
2026-09,HDFCBANK,D02,250000
2026-09,HINDUNILVR,D02,250000
2026-09,ICICIBANK,D02,250000
2026-09,INFY,D02,250000
2026-09,ITBEES,D02,250000
2026-09,ITC,D02,250000
2026-09,JUNIORBEES,D02,250000
2026-09,KOTAKBANK,D02,250000
2026-09,LT,D02,250000
2026-09,M&M,D02,250000
2026-09,MARUTI,D02,250000
2026-09,NESTLEIND,D02,250000
2026-09,NIFTYBEES,D02,250000
2026-09,ONGC,D02,250000
2026-09,RELIANCE,D02,250000
2026-09,SBIN,D02,250000
2026-09,SUNPHARMA,D02,250000
2026-09,TCS,D02,250000
2026-09,TECHM,D02,250000
2026-09,ULTRACEMCO,D02,250000
2026-09,WIPRO,D02,250000
2026-10,ADANIPORTS,D15,250000
2026-10,AXISBANK,D15,250000
2026-10,BAJAJ-AUTO,D15,250000
2026-10,BANKBEES,D15,250000
2026-10,BHARTIARTL,D15,250000
2026-10,BPCL,D15,250000
2026-10,BRITANNIA,D15,250000
2026-10,CIPLA,D15,250000
2026-10,DRREDDY,D15,250000
2026-10,GOLDBEES,D15,250000
2026-10,HCLTECH,D15,250000
2026-10,HDFCBANK,D15,250000
2026-10,HINDUNILVR,D15,250000
2026-10,ICICIBANK,D15,250000
2026-10,INFY,D15,250000
2026-10,ITBEES,D15,250000
2026-10,ITC,D15,250000
2026-10,JUNIORBEES,D15,250000
2026-10,KOTAKBANK,D15,250000
2026-10,LT,D15,250000
2026-10,M&M,D15,250000
2026-10,MARUTI,D15,250000
2026-10,NESTLEIND,D15,250000
2026-10,NIFTYBEES,D15,250000
2026-10,ONGC,D15,250000
2026-10,RELIANCE,D15,250000
2026-10,SBIN,D15,250000
2026-10,SUNPHARMA,D15,250000
2026-10,TCS,D15,250000
2026-10,TECHM,D15,250000
2026-10,ULTRACEMCO,D15,250000
2026-10,WIPRO,D15,250000
2026-11,ADANIPORTS,D06,250000
2026-11,AXISBANK,D06,250000
2026-11,BAJAJ-AUTO,D06,250000
2026-11,BANKBEES,D06,250000
2026-11,BHARTIARTL,D06,250000
2026-11,BPCL,D06,250000
2026-11,BRITANNIA,D06,250000
2026-11,CIPLA,D06,250000
2026-11,DRREDDY,D06,250000
2026-11,GOLDBEES,D06,250000
2026-11,HCLTECH,D06,250000
2026-11,HDFCBANK,D06,250000
2026-11,HINDUNILVR,D06,250000
2026-11,ICICIBANK,D06,250000
2026-11,INFY,D06,250000
2026-11,ITBEES,D06,250000
2026-11,ITC,D06,250000
2026-11,JUNIORBEES,D06,250000
2026-11,KOTAKBANK,D06,250000
2026-11,LT,D06,250000
2026-11,M&M,D06,250000
2026-11,MARUTI,D06,250000
2026-11,NESTLEIND,D06,250000
2026-11,NIFTYBEES,D06,250000
2026-11,ONGC,D06,250000
2026-11,RELIANCE,D06,250000
2026-11,SBIN,D06,250000
2026-11,SUNPHARMA,D06,250000
2026-11,TCS,D06,250000
2026-11,TECHM,D06,250000
2026-11,ULTRACEMCO,D06,250000
2026-11,WIPRO,D06,250000
2026-12,ADANIPORTS,D01,250000
2026-12,AXISBANK,D01,250000
2026-12,BAJAJ-AUTO,D01,250000
2026-12,BANKBEES,D01,250000
2026-12,BHARTIARTL,D01,250000
2026-12,BPCL,D01,250000
2026-12,BRITANNIA,D01,250000
2026-12,CIPLA,D01,250000
2026-12,DRREDDY,D01,250000
2026-12,GOLDBEES,D01,250000
2026-12,HCLTECH,D01,250000
2026-12,HDFCBANK,D01,250000
2026-12,HINDUNILVR,D01,250000
2026-12,ICICIBANK,D01,250000
2026-12,INFY,D01,250000
2026-12,ITBEES,D01,250000
2026-12,ITC,D01,250000
2026-12,JUNIORBEES,D01,250000
2026-12,KOTAKBANK,D01,250000
2026-12,LT,D01,250000
2026-12,M&M,D01,250000
2026-12,MARUTI,D01,250000
2026-12,NESTLEIND,D01,250000
2026-12,NIFTYBEES,D01,250000
2026-12,ONGC,D01,250000
2026-12,RELIANCE,D01,250000
2026-12,SBIN,D01,250000
2026-12,SUNPHARMA,D01,250000
2026-12,TCS,D01,250000
2026-12,TECHM,D01,250000
2026-12,ULTRACEMCO,D01,250000
2026-12,WIPRO,D01,250000
