rule_id,signal_id,side_mode,bar_events,shock_bucket,feature_quantile,abs_prev_return_threshold,trades,symbols,trade_months,net_pnl_inr,gross_pnl_proxy_inr,cost_pnl_drag_proxy_inr,mean_net_bps,precision_cost_clear,positive_symbol_fraction,positive_month_fraction,cost_drag_to_abs_gross_ratio,matched_no_shock_control_net_pnl_inr,label_candidate
P71_SHOCK_MEAN_REVERSION_B5000_market_shock_Q90,SHOCK_MEAN_REVERSION,opposite,5000,market_shock,0.9,0.011323156409762712,149,31,1,-9767.08274976655,12689.942009196464,22457.024758963016,-6.555089093803054,0.3959731543624161,0.4838709677419355,0.0,1.7696711886223198,-46510.22303963592,False
P71_SHOCK_MEAN_REVERSION_B10000_no_shock_control_Q90,SHOCK_MEAN_REVERSION,opposite,10000,no_shock_control,0.9,0.0078117656594268725,221,32,3,-10934.83970634852,15483.931504775295,26418.771211123814,-4.947891269840959,0.49321266968325794,0.40625,0.3333333333333333,1.7062056366612175,-10934.83970634852,False
P71_SHOCK_MOMENTUM_B10000_symbol_shock_Q50,SHOCK_MOMENTUM,sign,10000,symbol_shock,0.5,0.00670270270270279,12,1,1,-11187.711289155335,-9370.459778968176,1817.2515101871588,-93.23092740962781,0.25,0.0,0.0,0.19393408147014793,-174567.537100733,False
P71_SHOCK_MEAN_REVERSION_B5000_market_shock_Q70,SHOCK_MEAN_REVERSION,opposite,5000,market_shock,0.7,0.006343541427223575,445,31,1,-28586.678451620846,38647.1055595715,67233.78401119236,-6.4239726857574935,0.43820224719101125,0.41935483870967744,0.0,1.7396848492976198,-152170.80222231257,False
P71_SHOCK_MOMENTUM_B10000_market_shock_Q90,SHOCK_MOMENTUM,sign,10000,market_shock,0.9,0.014805360561582659,72,29,1,-34880.863281155966,-24096.12040071284,10784.74288044313,-48.44564344604996,0.2638888888888889,0.13793103448275862,0.0,0.4475717543361911,-41902.70271589911,False
P71_SHOCK_MOMENTUM_B5000_market_shock_Q90,SHOCK_MOMENTUM,sign,5000,market_shock,0.9,0.011323156409762712,149,31,1,-35146.96676815947,-12689.942009196464,22457.024758963016,-23.588568300778167,0.4429530201342282,0.2903225806451613,0.0,1.7696711886223198,-63587.49300747315,False
P71_SHOCK_MOMENTUM_B10000_no_shock_control_Q90,SHOCK_MOMENTUM,sign,10000,no_shock_control,0.9,0.0078117656594268725,221,32,3,-41902.70271589911,-15483.931504775295,26418.771211123814,-18.960498966470183,0.3393665158371041,0.09375,0.0,1.7062056366612175,-41902.70271589911,False
P71_SHOCK_MEAN_REVERSION_B10000_no_shock_control_Q70,SHOCK_MEAN_REVERSION,opposite,10000,no_shock_control,0.7,0.00508762251482564,662,32,3,-45378.345498240174,33898.25364100023,79276.5991392404,-6.854734969522686,0.486404833836858,0.3125,0.3333333333333333,2.338663223740667,-45378.345498240174,False
P71_SHOCK_MEAN_REVERSION_B5000_no_shock_control_Q90,SHOCK_MEAN_REVERSION,opposite,5000,no_shock_control,0.9,0.005645072892688785,461,32,3,-46510.22303963592,8538.634983918613,55048.858023554545,-10.088985474975255,0.3362255965292842,0.1875,0.0,6.447032590950634,-46510.22303963592,False
P71_SHOCK_MEAN_REVERSION_B5000_market_shock_Q50,SHOCK_MEAN_REVERSION,opposite,5000,market_shock,0.5,0.0038210070476352165,742,31,1,-49632.22398881545,62604.829046899045,112237.05303571449,-6.688978974233888,0.44070080862533695,0.3870967741935484,0.0,1.7927858720232994,-285024.9545664364,False
P71_SHOCK_MOMENTUM_B5000_no_shock_control_Q90,SHOCK_MOMENTUM,sign,5000,no_shock_control,0.9,0.005645072892688785,461,32,3,-63587.49300747315,-8538.634983918613,55048.858023554545,-13.793382431122158,0.3362255965292842,0.0625,0.0,6.447032590950634,-63587.49300747315,False
P71_SHOCK_MOMENTUM_B10000_market_shock_Q70,SHOCK_MOMENTUM,sign,10000,market_shock,0.7,0.008627623016743469,214,31,1,-74853.8981862248,-42692.195829005985,32161.70235721885,-34.97845709636673,0.35046728971962615,0.12903225806451613,0.0,0.7533391462466661,-113174.85278024062,False
P71_SHOCK_MEAN_REVERSION_B10000_no_shock_control_Q50,SHOCK_MEAN_REVERSION,opposite,10000,no_shock_control,0.5,0.0033314574272252373,1103,32,3,-90473.95779802608,42046.789651353465,132520.74744937956,-8.20253470517009,0.4587488667271079,0.09375,0.3333333333333333,3.1517447241091276,-90473.95779802608,False
P71_SHOCK_MOMENTUM_B10000_market_shock_Q50,SHOCK_MOMENTUM,sign,10000,market_shock,0.5,0.0055653933721223625,356,31,1,-105007.96972403233,-51162.69286414555,53845.276859886784,-29.496620708997842,0.398876404494382,0.1935483870967742,0.0,1.0524324238144462,-174567.537100733,False
P71_SHOCK_MOMENTUM_B5000_market_shock_Q70,SHOCK_MOMENTUM,sign,5000,market_shock,0.7,0.006343541427223575,445,31,1,-105880.88957076387,-38647.1055595715,67233.78401119236,-23.793458330508738,0.3775280898876405,0.22580645161290322,0.0,1.7396848492976198,-179002.149714099,False
P71_SHOCK_MOMENTUM_B10000_no_shock_control_Q70,SHOCK_MOMENTUM,sign,10000,no_shock_control,0.7,0.00508762251482564,662,32,3,-113174.85278024062,-33898.25364100023,79276.5991392404,-17.09589921151671,0.36253776435045315,0.03125,0.0,2.338663223740667,-113174.85278024062,False
P71_SHOCK_MEAN_REVERSION_B5000_no_shock_control_Q70,SHOCK_MEAN_REVERSION,opposite,5000,no_shock_control,0.7,0.0032915380576082898,1381,32,3,-152170.80222231257,13415.67374589322,165586.4759682058,-11.018885026959637,0.3613323678493845,0.03125,0.0,12.34276258535989,-152170.80222231257,False
P71_SHOCK_MOMENTUM_B10000_no_shock_control_Q50,SHOCK_MOMENTUM,sign,10000,no_shock_control,0.5,0.0033314574272252373,1103,32,3,-174567.537100733,-42046.789651353465,132520.74744937956,-15.8266126111272,0.37080689029918407,0.03125,0.0,3.1517447241091276,-174567.537100733,False
P71_SHOCK_MOMENTUM_B5000_market_shock_Q50,SHOCK_MOMENTUM,sign,5000,market_shock,0.5,0.0038210070476352165,742,31,1,-174841.88208261356,-62604.829046899045,112237.05303571449,-23.563595968007217,0.38274932614555257,0.16129032258064516,0.0,1.7927858720232994,-268288.21432334394,False
P71_SHOCK_MOMENTUM_B5000_no_shock_control_Q70,SHOCK_MOMENTUM,sign,5000,no_shock_control,0.7,0.0032915380576082898,1381,32,3,-179002.149714099,-13415.67374589322,165586.4759682058,-12.961777676618322,0.3099203475742216,0.0,0.0,12.34276258535989,-179002.149714099,False
P71_SHOCK_MOMENTUM_B5000_no_shock_control_Q50,SHOCK_MOMENTUM,sign,5000,no_shock_control,0.5,0.0020775623268698418,2301,32,3,-268288.21432334394,8368.37012154621,276656.5844448902,-11.659635563813296,0.33854845719252497,0.0,0.0,33.05979305726177,-268288.21432334394,False
P71_SHOCK_MEAN_REVERSION_B5000_no_shock_control_Q50,SHOCK_MEAN_REVERSION,opposite,5000,no_shock_control,0.5,0.0020775623268698418,2301,32,3,-285024.9545664364,-8368.37012154621,276656.5844448902,-12.387003675203669,0.34810951760104303,0.0,0.0,33.05979305726177,-285024.9545664364,False
