shard_index,shard_path,trade_date,symbol,variant_id,feature_family,execution_profile,trades,sum_gross_return,sum_cost_return,sum_net_return,mean_gross_return,mean_cost_return,mean_net_return,net_pnl_inr,worst_trade_pnl_inr,best_trade_pnl_inr,forward_horizon_events,cooldown_modulus,total_latency_events,fixed_slippage_ticks,internal_impact_bps,zerodha_charge_bps
3,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BAJAJ-AUTO\part-00000.parquet,2026-01-01,BAJAJ-AUTO,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,zero_latency_spread_only_control,14,0.003894220589149122,0.0020106173505694673,0.0018836032385796554,0.0002781586135106516,0.00014361552504067623,0.0001345430884699754,188.3603238579656,-327.50565910513075,453.3956951271805,20,25,0,0.0,0.0,0.0
3,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BAJAJ-AUTO\part-00000.parquet,2026-01-01,BAJAJ-AUTO,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,retail_marketable_default,14,-0.0016953665265355689,0.01830561515702191,-0.020000981683557476,-0.00012109760903825492,0.0013075439397872792,-0.0014286415488255339,-2000.0981683557477,-444.0844172614665,238.61438541266875,20,25,2,1.0,0.5,8.26812
4,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BANKBEES\part-00000.parquet,2026-01-01,BANKBEES,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,zero_latency_spread_only_control,26,0.014309648876524195,0.004493576246406535,0.009816072630117658,0.000550371110635546,0.00017282985563102057,0.0003775412550045253,981.6072630117658,-199.91772932950002,1087.207766477368,20,25,0,0.0,0.0,0.0
4,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BANKBEES\part-00000.parquet,2026-01-01,BANKBEES,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,retail_marketable_default,26,-0.001841511817424757,0.03628318608110367,-0.038124697898528424,-7.082737759325989e-05,0.0013955071569655257,-0.0014663345345587856,-3812.4697898528425,-322.15261094201117,-63.76209605912183,20,25,2,1.0,0.5,8.26812
4,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BANKBEES\part-00000.parquet,2026-01-01,BANKBEES,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,zero_latency_spread_only_control,26,-0.014309648876524195,0.004493576246406537,-0.01880322512293074,-0.000550371110635546,0.00017282985563102065,-0.0007232009662665669,-1880.3225122930735,-1121.8795403513484,165.36404771698886,20,25,0,0.0,0.0,0.0
4,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BANKBEES\part-00000.parquet,2026-01-01,BANKBEES,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,retail_marketable_default,26,0.001841511817424757,0.03628318608110366,-0.034441674263678904,7.082737759325989e-05,0.0013955071569655255,-0.0013246797793722656,-3444.1674263678906,-215.52468658057552,43.12916610447774,20,25,2,1.0,0.5,8.26812
5,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BHARTIARTL\part-00000.parquet,2026-01-01,BHARTIARTL,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,zero_latency_spread_only_control,15,0.011358682951476906,0.0011619795166609502,0.010196703434815957,0.0007572455300984604,7.746530111073001e-05,0.0006797802289877305,1019.6703434815954,-416.4080281398512,1453.593822874016,20,25,0,0.0,0.0,0.0
5,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BHARTIARTL\part-00000.parquet,2026-01-01,BHARTIARTL,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,retail_marketable_default,15,-0.0019140210398440605,0.01664126614353615,-0.01855528718338021,-0.00012760140265627069,0.00110941774290241,-0.0012370191455586808,-1855.5287183380212,-519.6075397475458,18.497906023735073,20,25,2,1.0,0.5,8.26812
5,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BHARTIARTL\part-00000.parquet,2026-01-01,BHARTIARTL,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,zero_latency_spread_only_control,15,-0.011358682951476906,0.0011619795166609502,-0.012520662468137853,-0.0007572455300984604,7.746530111073001e-05,-0.0008347108312091902,-1252.0662468137857,-1469.1402808726664,400.8897165321564,20,25,0,0.0,0.0,0.0
5,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BHARTIARTL\part-00000.parquet,2026-01-01,BHARTIARTL,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,retail_marketable_default,15,0.0019140210398440605,0.01664126614353615,-0.014727245103692091,0.00012760140265627069,0.00110941774290241,-0.0009818163402461394,-1472.7245103692092,-240.47552330243522,297.6902049244617,20,25,2,1.0,0.5,8.26812
6,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BPCL\part-00000.parquet,2026-01-01,BPCL,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,zero_latency_spread_only_control,3,0.0,0.0002393365712635107,-0.0002393365712635107,0.0,7.977885708783691e-05,-7.977885708783691e-05,-23.933657126351072,-7.989773090446048,-7.96685787125739,20,25,0,0.0,0.0,0.0
6,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BPCL\part-00000.parquet,2026-01-01,BPCL,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,retail_marketable_default,3,0.0,0.0033484457137905326,-0.0033484457137905326,0.0,0.0011161485712635109,-0.0011161485712635109,-334.84457137905326,-111.65051927133815,-111.58177361377219,20,25,2,1.0,0.5,8.26812
6,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BPCL\part-00000.parquet,2026-01-01,BPCL,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,zero_latency_spread_only_control,3,0.0,0.0002393365712635107,-0.0002393365712635107,0.0,7.977885708783691e-05,-7.977885708783691e-05,-23.933657126351072,-7.989773090446048,-7.96685787125739,20,25,0,0.0,0.0,0.0
6,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BPCL\part-00000.parquet,2026-01-01,BPCL,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,retail_marketable_default,3,0.0,0.0033484457137905326,-0.0033484457137905326,0.0,0.0011161485712635109,-0.0011161485712635109,-334.84457137905326,-111.65051927133815,-111.58177361377219,20,25,2,1.0,0.5,8.26812
7,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BRITANNIA\part-00000.parquet,2026-01-01,BRITANNIA,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,zero_latency_spread_only_control,17,0.0007417533076147231,0.0031108440206398364,-0.0023690907130251137,4.363254750674842e-05,0.0001829908247435198,-0.0001393582772367714,-236.90907130251128,-339.293901879877,257.58969641214776,20,25,0,0.0,0.0,0.0
7,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BRITANNIA\part-00000.parquet,2026-01-01,BRITANNIA,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,retail_marketable_default,17,-0.00044964730525864915,0.0242383857730632,-0.02468803307832185,-2.644984148580289e-05,0.0014257873984154824,-0.0014522372399012854,-2468.8033078321855,-463.655523704728,133.10996835327015,20,25,2,1.0,0.5,8.26812
7,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BRITANNIA\part-00000.parquet,2026-01-01,BRITANNIA,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,zero_latency_spread_only_control,17,-0.0007417533076147231,0.0031108440206398364,-0.00385259732825456,-4.363254750674842e-05,0.0001829908247435198,-0.00022662337225026822,-385.25973282545584,-294.3882244710254,302.61348005502606,20,25,0,0.0,0.0,0.0
7,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BRITANNIA\part-00000.parquet,2026-01-01,BRITANNIA,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,retail_marketable_default,17,0.00044964730525864915,0.024238385773063205,-0.023788738467804556,2.644984148580289e-05,0.0014257873984154827,-0.0013993375569296797,-2378.8738467804556,-418.86795252990305,178.25185823017506,20,25,2,1.0,0.5,8.26812
8,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=CIPLA\part-00000.parquet,2026-01-01,CIPLA,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,zero_latency_spread_only_control,14,0.03051646332906177,0.0019253423036019119,0.02859112102545986,0.0021797473806472695,0.0001375244502572794,0.00204222293038999,2859.1121025459856,-164.92578339747018,1648.6169552321253,20,25,0,0.0,0.0,0.0
8,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=CIPLA\part-00000.parquet,2026-01-01,CIPLA,S54_MOM_Q995_H20_TRANSITION,one_tick_momentum,retail_marketable_default,14,0.015058634967283213,0.01805791206655203,-0.0029992770992688174,0.0010756167833773725,0.0012898508618965736,-0.00021423407851920125,-299.9277099268817,-280.0946139637216,1334.970733701657,20,25,2,1.0,0.5,8.26812
8,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=CIPLA\part-00000.parquet,2026-01-01,CIPLA,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,zero_latency_spread_only_control,14,-0.03051646332906177,0.0019253423036019123,-0.03244180563266369,-0.0021797473806472695,0.00013752445025727944,-0.0023172718309045492,-3244.180563266368,-1676.2088708008703,137.43815283121876,20,25,0,0.0,0.0,0.0
8,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=CIPLA\part-00000.parquet,2026-01-01,CIPLA,S54_CONTRA_Q995_H20_STRETCH,one_tick_contrarian,retail_marketable_default,14,-0.015058634967283213,0.01805791206655203,-0.03311654703383525,-0.0010756167833773725,0.0012898508618965736,-0.0023654676452739463,-3311.654703383525,-1593.2060618784715,22.269322264967315,20,25,2,1.0,0.5,8.26812
