milestone_id,domain_id,domain_name,domain_description,current_status,recalibration_use,minimum_class_b_days_required,current_class_b_event_grade_days,next_action
M22_02_five_to_ten_days_intraday,spread_depth_distributions,Spread/depth distributions,"Re-estimate queue depth, spread and visible-liquidity distributions by symbol/regime.",blocked_waiting_for_class_b_days,normal intraday variation,5,0,Collect at least 5 more Class B event-grade day(s) before this task.
M22_02_five_to_ten_days_intraday,regime_frequencies,Regime frequencies,"Update normal, volatile, thin-book and shock regime probabilities.",blocked_waiting_for_class_b_days,normal intraday variation,5,0,Collect at least 5 more Class B event-grade day(s) before this task.
M22_02_five_to_ten_days_intraday,price_impact_functions,Price-impact functions,Re-estimate impact and recovery curves from trade/quote interactions.,blocked_waiting_for_class_b_days,normal intraday variation,5,0,Collect at least 5 more Class B event-grade day(s) before this task.
M22_02_five_to_ten_days_intraday,trade_quote_interaction,Trade/quote interaction,"Refresh event ordering, quote response and signed-trade proxy relationships.",blocked_waiting_for_class_b_days,normal intraday variation,5,0,Collect at least 5 more Class B event-grade day(s) before this task.
M22_02_five_to_ten_days_intraday,cross_ticker_correlation,Cross-ticker correlation,"Re-estimate same-sector, ETF/basket and market-wide co-movement structure.",blocked_waiting_for_class_b_days,normal intraday variation,5,0,Collect at least 5 more Class B event-grade day(s) before this task.
M22_02_five_to_ten_days_intraday,shocks_and_recovery,Shocks and recovery,"Refresh shock templates, depth evaporation and recovery profiles.",blocked_waiting_for_class_b_days,normal intraday variation,5,0,Collect at least 5 more Class B event-grade day(s) before this task.
M22_02_five_to_ten_days_intraday,retail_feed_latency,Retail feed latency,"Re-estimate websocket delivery delay, batching, stale gaps and reconnect behaviour.",blocked_waiting_for_class_b_days,normal intraday variation,5,0,Collect at least 5 more Class B event-grade day(s) before this task.
M22_02_five_to_ten_days_intraday,missing_data_patterns,Missing-data patterns,"Track missing levels, stale books, disconnect windows and symbol-specific capture gaps.",blocked_waiting_for_class_b_days,normal intraday variation,5,0,Collect at least 5 more Class B event-grade day(s) before this task.
M22_03_twenty_to_thirty_days_regime,intraday_curves,Intraday curves,"Re-estimate open/midday/close activity, spread, depth and volatility curves.",blocked_waiting_for_class_b_days,basic regime calibration,20,0,Collect at least 20 more Class B event-grade day(s) before this task.
M22_03_twenty_to_thirty_days_regime,spread_depth_distributions,Spread/depth distributions,"Re-estimate queue depth, spread and visible-liquidity distributions by symbol/regime.",blocked_waiting_for_class_b_days,basic regime calibration,20,0,Collect at least 20 more Class B event-grade day(s) before this task.
M22_03_twenty_to_thirty_days_regime,regime_frequencies,Regime frequencies,"Update normal, volatile, thin-book and shock regime probabilities.",blocked_waiting_for_class_b_days,basic regime calibration,20,0,Collect at least 20 more Class B event-grade day(s) before this task.
M22_03_twenty_to_thirty_days_regime,price_impact_functions,Price-impact functions,Re-estimate impact and recovery curves from trade/quote interactions.,blocked_waiting_for_class_b_days,basic regime calibration,20,0,Collect at least 20 more Class B event-grade day(s) before this task.
M22_03_twenty_to_thirty_days_regime,trade_quote_interaction,Trade/quote interaction,"Refresh event ordering, quote response and signed-trade proxy relationships.",blocked_waiting_for_class_b_days,basic regime calibration,20,0,Collect at least 20 more Class B event-grade day(s) before this task.
M22_03_twenty_to_thirty_days_regime,cross_ticker_correlation,Cross-ticker correlation,"Re-estimate same-sector, ETF/basket and market-wide co-movement structure.",blocked_waiting_for_class_b_days,basic regime calibration,20,0,Collect at least 20 more Class B event-grade day(s) before this task.
M22_03_twenty_to_thirty_days_regime,shocks_and_recovery,Shocks and recovery,"Refresh shock templates, depth evaporation and recovery profiles.",blocked_waiting_for_class_b_days,basic regime calibration,20,0,Collect at least 20 more Class B event-grade day(s) before this task.
M22_03_twenty_to_thirty_days_regime,retail_feed_latency,Retail feed latency,"Re-estimate websocket delivery delay, batching, stale gaps and reconnect behaviour.",blocked_waiting_for_class_b_days,basic regime calibration,20,0,Collect at least 20 more Class B event-grade day(s) before this task.
M22_03_twenty_to_thirty_days_regime,missing_data_patterns,Missing-data patterns,"Track missing levels, stale books, disconnect windows and symbol-specific capture gaps.",blocked_waiting_for_class_b_days,basic regime calibration,20,0,Collect at least 20 more Class B event-grade day(s) before this task.
M22_04_sixty_days_oos,intraday_curves,Intraday curves,"Re-estimate open/midday/close activity, spread, depth and volatility curves.",blocked_waiting_for_class_b_days,preliminary out-of-sample comparison,60,0,Collect at least 60 more Class B event-grade day(s) before this task.
M22_04_sixty_days_oos,spread_depth_distributions,Spread/depth distributions,"Re-estimate queue depth, spread and visible-liquidity distributions by symbol/regime.",blocked_waiting_for_class_b_days,preliminary out-of-sample comparison,60,0,Collect at least 60 more Class B event-grade day(s) before this task.
M22_04_sixty_days_oos,regime_frequencies,Regime frequencies,"Update normal, volatile, thin-book and shock regime probabilities.",blocked_waiting_for_class_b_days,preliminary out-of-sample comparison,60,0,Collect at least 60 more Class B event-grade day(s) before this task.
M22_04_sixty_days_oos,price_impact_functions,Price-impact functions,Re-estimate impact and recovery curves from trade/quote interactions.,blocked_waiting_for_class_b_days,preliminary out-of-sample comparison,60,0,Collect at least 60 more Class B event-grade day(s) before this task.
M22_04_sixty_days_oos,trade_quote_interaction,Trade/quote interaction,"Refresh event ordering, quote response and signed-trade proxy relationships.",blocked_waiting_for_class_b_days,preliminary out-of-sample comparison,60,0,Collect at least 60 more Class B event-grade day(s) before this task.
M22_04_sixty_days_oos,cross_ticker_correlation,Cross-ticker correlation,"Re-estimate same-sector, ETF/basket and market-wide co-movement structure.",blocked_waiting_for_class_b_days,preliminary out-of-sample comparison,60,0,Collect at least 60 more Class B event-grade day(s) before this task.
M22_04_sixty_days_oos,shocks_and_recovery,Shocks and recovery,"Refresh shock templates, depth evaporation and recovery profiles.",blocked_waiting_for_class_b_days,preliminary out-of-sample comparison,60,0,Collect at least 60 more Class B event-grade day(s) before this task.
M22_04_sixty_days_oos,retail_feed_latency,Retail feed latency,"Re-estimate websocket delivery delay, batching, stale gaps and reconnect behaviour.",blocked_waiting_for_class_b_days,preliminary out-of-sample comparison,60,0,Collect at least 60 more Class B event-grade day(s) before this task.
M22_04_sixty_days_oos,missing_data_patterns,Missing-data patterns,"Track missing levels, stale books, disconnect windows and symbol-specific capture gaps.",blocked_waiting_for_class_b_days,preliminary out-of-sample comparison,60,0,Collect at least 60 more Class B event-grade day(s) before this task.
M22_05_three_to_six_months_screening,intraday_curves,Intraday curves,"Re-estimate open/midday/close activity, spread, depth and volatility curves.",blocked_waiting_for_class_b_days,meaningful strategy screening,63,0,Collect at least 63 more Class B event-grade day(s) before this task.
M22_05_three_to_six_months_screening,spread_depth_distributions,Spread/depth distributions,"Re-estimate queue depth, spread and visible-liquidity distributions by symbol/regime.",blocked_waiting_for_class_b_days,meaningful strategy screening,63,0,Collect at least 63 more Class B event-grade day(s) before this task.
M22_05_three_to_six_months_screening,regime_frequencies,Regime frequencies,"Update normal, volatile, thin-book and shock regime probabilities.",blocked_waiting_for_class_b_days,meaningful strategy screening,63,0,Collect at least 63 more Class B event-grade day(s) before this task.
M22_05_three_to_six_months_screening,price_impact_functions,Price-impact functions,Re-estimate impact and recovery curves from trade/quote interactions.,blocked_waiting_for_class_b_days,meaningful strategy screening,63,0,Collect at least 63 more Class B event-grade day(s) before this task.
M22_05_three_to_six_months_screening,trade_quote_interaction,Trade/quote interaction,"Refresh event ordering, quote response and signed-trade proxy relationships.",blocked_waiting_for_class_b_days,meaningful strategy screening,63,0,Collect at least 63 more Class B event-grade day(s) before this task.
M22_05_three_to_six_months_screening,cross_ticker_correlation,Cross-ticker correlation,"Re-estimate same-sector, ETF/basket and market-wide co-movement structure.",blocked_waiting_for_class_b_days,meaningful strategy screening,63,0,Collect at least 63 more Class B event-grade day(s) before this task.
M22_05_three_to_six_months_screening,shocks_and_recovery,Shocks and recovery,"Refresh shock templates, depth evaporation and recovery profiles.",blocked_waiting_for_class_b_days,meaningful strategy screening,63,0,Collect at least 63 more Class B event-grade day(s) before this task.
M22_05_three_to_six_months_screening,retail_feed_latency,Retail feed latency,"Re-estimate websocket delivery delay, batching, stale gaps and reconnect behaviour.",blocked_waiting_for_class_b_days,meaningful strategy screening,63,0,Collect at least 63 more Class B event-grade day(s) before this task.
M22_05_three_to_six_months_screening,missing_data_patterns,Missing-data patterns,"Track missing levels, stale books, disconnect windows and symbol-specific capture gaps.",blocked_waiting_for_class_b_days,meaningful strategy screening,63,0,Collect at least 63 more Class B event-grade day(s) before this task.
M22_06_twelve_months_robustness,intraday_curves,Intraday curves,"Re-estimate open/midday/close activity, spread, depth and volatility curves.",blocked_waiting_for_class_b_days,stronger regime and robustness assessment,252,0,Collect at least 252 more Class B event-grade day(s) before this task.
M22_06_twelve_months_robustness,spread_depth_distributions,Spread/depth distributions,"Re-estimate queue depth, spread and visible-liquidity distributions by symbol/regime.",blocked_waiting_for_class_b_days,stronger regime and robustness assessment,252,0,Collect at least 252 more Class B event-grade day(s) before this task.
M22_06_twelve_months_robustness,regime_frequencies,Regime frequencies,"Update normal, volatile, thin-book and shock regime probabilities.",blocked_waiting_for_class_b_days,stronger regime and robustness assessment,252,0,Collect at least 252 more Class B event-grade day(s) before this task.
M22_06_twelve_months_robustness,price_impact_functions,Price-impact functions,Re-estimate impact and recovery curves from trade/quote interactions.,blocked_waiting_for_class_b_days,stronger regime and robustness assessment,252,0,Collect at least 252 more Class B event-grade day(s) before this task.
M22_06_twelve_months_robustness,trade_quote_interaction,Trade/quote interaction,"Refresh event ordering, quote response and signed-trade proxy relationships.",blocked_waiting_for_class_b_days,stronger regime and robustness assessment,252,0,Collect at least 252 more Class B event-grade day(s) before this task.
M22_06_twelve_months_robustness,cross_ticker_correlation,Cross-ticker correlation,"Re-estimate same-sector, ETF/basket and market-wide co-movement structure.",blocked_waiting_for_class_b_days,stronger regime and robustness assessment,252,0,Collect at least 252 more Class B event-grade day(s) before this task.
M22_06_twelve_months_robustness,shocks_and_recovery,Shocks and recovery,"Refresh shock templates, depth evaporation and recovery profiles.",blocked_waiting_for_class_b_days,stronger regime and robustness assessment,252,0,Collect at least 252 more Class B event-grade day(s) before this task.
M22_06_twelve_months_robustness,retail_feed_latency,Retail feed latency,"Re-estimate websocket delivery delay, batching, stale gaps and reconnect behaviour.",blocked_waiting_for_class_b_days,stronger regime and robustness assessment,252,0,Collect at least 252 more Class B event-grade day(s) before this task.
M22_06_twelve_months_robustness,missing_data_patterns,Missing-data patterns,"Track missing levels, stale books, disconnect windows and symbol-specific capture gaps.",blocked_waiting_for_class_b_days,stronger regime and robustness assessment,252,0,Collect at least 252 more Class B event-grade day(s) before this task.
