phase360_work_order_id,family_id,primary_scenario_id,source_id,symbol,announcement_time_ist,announcement_date,market_session,diagnostic_trade_date,diagnostic_start_rule,description,no_lookahead_rule_applied,full_depth_levels_1_to_5_required,levels_2_to_5_materiality_required,cost_profile,paper_live_or_profit_claim_allowed
P359_2026-07-20_HCLTECH_106701955,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,HCLTECH,17-Jul-2026 18:51:06,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Updates,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_HCLTECH_106703288,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,HCLTECH,20-Jul-2026 13:16:48,2026-07-20,regular_session,2026-07-20,first_real_tick_after_announcement,Updates,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_ITC_106703368,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,ITC,20-Jul-2026 14:44:43,2026-07-20,regular_session,2026-07-20,first_real_tick_after_announcement,Copy of Newspaper Publication,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_LT_106701686,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,LT,17-Jul-2026 17:00:01,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_LT_106702971,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,LT,20-Jul-2026 09:09:48,2026-07-20,pre_open_or_overnight,2026-07-20,market_open_same_day,Bagging/Receiving of orders/contracts,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_ONGC_106701922,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,ONGC,17-Jul-2026 18:35:05,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Press Release,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_RELIANCE_106701986,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,RELIANCE,17-Jul-2026 19:07:44,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Outcome of Board Meeting,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_RELIANCE_106702014,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,RELIANCE,17-Jul-2026 19:19:47,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Press Release,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_RELIANCE_106702019,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,RELIANCE,17-Jul-2026 19:23:12,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Investor Presentation,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_ULTRACEMCO_106703342,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,ULTRACEMCO,20-Jul-2026 14:22:16,2026-07-20,regular_session,2026-07-20,first_real_tick_after_announcement,Outcome of Board Meeting,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_ULTRACEMCO_106703346,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,ULTRACEMCO,20-Jul-2026 14:26:28,2026-07-20,regular_session,2026-07-20,first_real_tick_after_announcement,Investor Presentation,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_ULTRACEMCO_106703351,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,ULTRACEMCO,20-Jul-2026 14:28:05,2026-07-20,regular_session,2026-07-20,first_real_tick_after_announcement,Press Release,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_ULTRACEMCO_106703362,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,ULTRACEMCO,20-Jul-2026 14:42:09,2026-07-20,regular_session,2026-07-20,first_real_tick_after_announcement,Appointment,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_WIPRO_106701555,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,WIPRO,17-Jul-2026 16:12:41,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Copy of Newspaper Publication,1,1,1,zerodha_2x_all_in_cost_proxy,0
P359_2026-07-20_WIPRO_106701598,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,NSE_CORPORATE_ANNOUNCEMENTS,WIPRO,17-Jul-2026 16:30:50,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,1,1,zerodha_2x_all_in_cost_proxy,0
