candidate_id,feature_name,fill_assumption,inferred_depth_level,inferred_queue_percentile,phase89_base_fill_prob,phase133_model_fill_prob,fill_ratio_vs_phase89,phase89_test_expected_fills,phase133_test_expected_fills,phase89_test_expected_net_pnl_inr,phase133_test_expected_net_pnl_inr,directionally_consistent_with_phase89,phase133_passive_branch_survives,strategy_replay_allowed
P89_L1_IMBALANCE_Q0_75_I0_5,l1_imbalance,optimistic_queue,1,0.75,0.45,0.11379523235523026,0.2528782941227339,3985.762500000001,1007.9128217783634,-1000939.6671611266,-253115.91555148273,True,False,0
P89_L1_IMBALANCE_Q0_5_I0_75,l1_imbalance,pessimistic_queue,1,0.5,0.12,0.22759046471046052,1.0,1207.0635000000002,1207.0635000000002,-1013998.1810554122,-1013998.1810554122,True,False,0
P89_L5_IMBALANCE_Q0_5_I0_75,l5_imbalance,pessimistic_queue,5,0.5,0.12,0.1624693087928941,1.0,1208.382,1208.382,-1016429.7757928154,-1016429.7757928154,True,False,0
P89_L5_IMBALANCE_Q0_75_I0_5,l5_imbalance,base_queue,5,0.75,0.25,0.08123465439644705,0.3249386175857882,2340.1250000000005,760.3969824779427,-1065280.6133390295,-346150.8098393248,True,False,0
P89_L1_IMBALANCE_Q0_75_I0_5,l1_imbalance,base_queue,1,0.75,0.25,0.11379523235523026,0.45518092942092103,2334.975,1062.836090674615,-1065281.4697219343,-484895.8094829148,True,False,0
P89_MICROPRICE_DEV_Q0_75_I0_75,microprice_dev,optimistic_queue,1,0.75,0.45,0.11379523235523026,0.2528782941227339,2784.6000000000004,704.1648978141649,-1080077.6000475844,-273128.18102020957,True,False,0
P89_MICROPRICE_DEV_Q0_5_I0_75,microprice_dev,pessimistic_queue,1,0.5,0.12,0.22759046471046052,1.0,1419.4004999999995,1419.4004999999995,-1219205.0168608548,-1219205.0168608548,True,False,0
P89_MICROPRICE_DEV_Q0_75_I0_5,microprice_dev,base_queue,1,0.75,0.25,0.11379523235523026,0.45518092942092103,2489.3250000000003,1133.0932671307344,-1288267.4633439058,-586394.7813076114,True,False,0
P89_MICROPRICE_DEV_Q0_75_I0_5,microprice_dev,optimistic_queue,1,0.75,0.45,0.11379523235523026,0.2528782941227339,4429.9125,1120.2287161129755,-1298232.575564144,-328294.83908322395,True,False,0
P89_L1_IMBALANCE_Q0_5_I0_75,l1_imbalance,base_queue,1,0.5,0.25,0.22759046471046052,0.9103618588418421,2268.9375000000005,2065.5541600959623,-1414636.5855411356,-1287831.1915989048,True,False,0
P89_L5_IMBALANCE_Q0_5_I0_75,l5_imbalance,base_queue,5,0.5,0.25,0.1624693087928941,0.6498772351715764,2272.2000000000003,1476.651053756856,-1417599.132232773,-921265.4046370604,True,False,0
P89_L1_IMBALANCE_Q0_5_I0_75,l1_imbalance,optimistic_queue,1,0.5,0.45,0.22759046471046052,0.5057565882454678,4071.6,2059.2385247002467,-1456936.7557210084,-736855.3628628777,True,False,0
P89_L5_IMBALANCE_Q0_5_I0_75,l5_imbalance,optimistic_queue,5,0.5,0.45,0.1624693087928941,0.36104290842865355,4079.362500000001,1472.8249015347835,-1458427.641783487,-526554.9575222527,True,False,0
P89_L5_IMBALANCE_Q0_5_I0_5,l5_imbalance,pessimistic_queue,5,0.5,0.12,0.1624693087928941,1.0,2574.6735,2574.6735,-1667750.35144394,-1667750.35144394,True,False,0
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,pessimistic_queue,1,0.5,0.12,0.22759046471046052,1.0,2578.845,2578.845,-1668514.976742695,-1668514.976742695,True,False,0
P89_MICROPRICE_DEV_Q0_5_I0_75,microprice_dev,base_queue,1,0.5,0.25,0.22759046471046052,0.9103618588418421,2699.0750000000003,2457.134934153545,-1700709.2896827576,-1548260.870305184,True,False,0
P89_MICROPRICE_DEV_Q0_5_I0_75,microprice_dev,optimistic_queue,1,0.5,0.45,0.22759046471046052,0.5057565882454678,4911.3,2483.9223318499658,-1709852.1817465336,-864769.0058441963,True,False,0
P89_MICROPRICE_DEV_Q0_5_I0_5,microprice_dev,pessimistic_queue,1,0.5,0.12,0.22759046471046052,1.0,2720.355,2720.355,-1847425.253772869,-1847425.253772869,True,False,0
P89_L5_IMBALANCE_Q0_5_I0_5,l5_imbalance,optimistic_queue,5,0.5,0.45,0.1624693087928941,0.36104290842865355,7882.312500000001,2845.8530301435317,-2140012.5652333805,-772636.3606257234,True,False,0
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,optimistic_queue,1,0.5,0.45,0.22759046471046052,0.5057565882454678,7883.6625,3987.2142488787354,-2142072.4008428794,-1083367.2292250728,True,False,0
P89_L5_IMBALANCE_Q0_5_I0_5,l5_imbalance,base_queue,5,0.5,0.25,0.1624693087928941,0.6498772351715764,4622.5625,3004.09813690781,-2213543.475127398,-1438531.5135478764,True,False,0
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,base_queue,1,0.5,0.25,0.22759046471046052,0.9103618588418421,4626.925,4212.17604372179,-2214533.423936052,-2016026.764281813,True,False,0
P89_MICROPRICE_DEV_Q0_5_I0_5,microprice_dev,optimistic_queue,1,0.5,0.45,0.22759046471046052,0.5057565882454678,8544.6,4321.487743922224,-2358409.4862756804,-1192781.1354645344,True,False,0
P89_MICROPRICE_DEV_Q0_5_I0_5,microprice_dev,base_queue,1,0.5,0.25,0.22759046471046052,0.9103618588418421,4940.0625,4497.244480294878,-2466278.788367861,-2245206.1422007717,True,False,0
