shard_id,trade_month,symbol,source_rows,target_dense_multiplier,target_dense_rows,estimated_dense_bytes,estimated_runtime_seconds,planned_materialization_multiplier,planned_dense_rows,materialization_scope
dense_target_HDFCBANK_2026-12,2026-12,HDFCBANK,5230,1983.4142901697412,10373257,155180191.88787174,26.890728126916773,64,334720,phase50_bounded_multisymbol_validation_shard
dense_target_INFY_2026-01,2026-01,INFY,8225,1983.4142901697412,16313583,244045331.212629,42.28991195618612,64,526400,phase50_bounded_multisymbol_validation_shard
dense_target_INFY_2026-02,2026-02,INFY,7459,1983.4142901697412,14794287,221317209.77357894,38.351421308522404,64,477376,phase50_bounded_multisymbol_validation_shard
dense_target_INFY_2026-03,2026-03,INFY,8210,1983.4142901697412,16283831,243600251.99893093,42.21278546223807,64,525440,phase50_bounded_multisymbol_validation_shard
dense_target_INFY_2026-04,2026-04,INFY,8197,1983.4142901697412,16258047,243214532.6373421,42.14594526595021,64,524608,phase50_bounded_multisymbol_validation_shard
dense_target_INFY_2026-05,2026-05,INFY,7857,1983.4142901697412,15583686,233126334.7471619,40.39779053398939,64,502848,phase50_bounded_multisymbol_validation_shard
dense_target_INFY_2026-06,2026-06,INFY,8222,1983.4142901697412,16307632,243956306.39410532,42.274485102008754,64,526208,phase50_bounded_multisymbol_validation_shard
dense_target_INFY_2026-07,2026-07,INFY,8598,1983.4142901697412,17053396,255112667.4698086,44.20773875328164,64,550272,phase50_bounded_multisymbol_validation_shard
dense_target_INFY_2026-08,2026-08,INFY,7848,1983.4142901697412,15565835,232859290.2108711,40.351515156083146,64,502272,phase50_bounded_multisymbol_validation_shard
dense_target_INFY_2026-09,2026-09,INFY,8223,1983.4142901697412,16309616,243985986.3201599,42.27962825083885,64,526272,phase50_bounded_multisymbol_validation_shard
dense_target_INFY_2026-10,2026-10,INFY,8221,1983.4142901697412,16305649,243926641.42769083,42.269344545491585,64,526144,phase50_bounded_multisymbol_validation_shard
dense_target_INFY_2026-11,2026-11,INFY,7829,1983.4142901697412,15528150,232295536.171875,40.25382384375348,64,501056,phase50_bounded_multisymbol_validation_shard
dense_target_INFY_2026-12,2026-12,INFY,5222,1983.4142901697412,10357389,154942812.3179954,26.849593305527705,64,334208,phase50_bounded_multisymbol_validation_shard
dense_target_RELIANCE_2026-01,2026-01,RELIANCE,8214,1983.4142901697412,16291765,243718941.78386912,42.233352872932606,64,525696,phase50_bounded_multisymbol_validation_shard
dense_target_RELIANCE_2026-02,2026-02,RELIANCE,7453,1983.4142901697412,14782387,221139190.05581185,38.32057278479352,64,476992,phase50_bounded_multisymbol_validation_shard
dense_target_RELIANCE_2026-03,2026-03,RELIANCE,8223,1983.4142901697412,16309616,243985986.3201599,42.27962825083885,64,526272,phase50_bounded_multisymbol_validation_shard
dense_target_RELIANCE_2026-04,2026-04,RELIANCE,8212,1983.4142901697412,16287798,243659596.8914,42.22306916758534,64,525568,phase50_bounded_multisymbol_validation_shard
dense_target_RELIANCE_2026-05,2026-05,RELIANCE,7853,1983.4142901697412,15575752,233007644.96222374,40.377223123294854,64,502592,phase50_bounded_multisymbol_validation_shard
dense_target_RELIANCE_2026-06,2026-06,RELIANCE,8210,1983.4142901697412,16283831,243600251.99893093,42.21278546223807,64,525440,phase50_bounded_multisymbol_validation_shard
dense_target_RELIANCE_2026-07,2026-07,RELIANCE,8590,1983.4142901697412,17037529,254875302.8595724,44.166606524205484,64,549760,phase50_bounded_multisymbol_validation_shard
dense_target_RELIANCE_2026-08,2026-08,RELIANCE,7850,1983.4142901697412,15569802,232918635.10334018,40.36179886143041,64,502400,phase50_bounded_multisymbol_validation_shard
dense_target_RELIANCE_2026-09,2026-09,RELIANCE,8223,1983.4142901697412,16309616,243985986.3201599,42.27962825083885,64,526272,phase50_bounded_multisymbol_validation_shard
dense_target_RELIANCE_2026-10,2026-10,RELIANCE,8205,1983.4142901697412,16273914,243451897.2475783,42.18707749502636,64,525120,phase50_bounded_multisymbol_validation_shard
dense_target_RELIANCE_2026-11,2026-11,RELIANCE,7838,1983.4142901697412,15546001,232562580.7081658,40.30009922165972,64,501632,phase50_bounded_multisymbol_validation_shard
dense_target_RELIANCE_2026-12,2026-12,RELIANCE,5227,1983.4142901697412,10367306,155091167.06934804,26.875301272739414,64,334528,phase50_bounded_multisymbol_validation_shard
