candidate_id,imbalance_source,side_mode,min_abs_imbalance,max_spread_bps,min_abs_event_zscore,min_quote_churn_count,max_decision_rate,test_replay_allowed_in_phase195
P195_TOP5_FOLLOW_I80_S2p5_Z2_Q0_R50,top5,follow_imbalance,0.8,2.5,2.0,0,0.005,0
P195_TOP5_FOLLOW_I80_S2p5_Z2_Q0_R100,top5,follow_imbalance,0.8,2.5,2.0,0,0.01,0
P195_TOP5_FOLLOW_I80_S2p5_Z2_Q1_R50,top5,follow_imbalance,0.8,2.5,2.0,1,0.005,0
P195_TOP5_FOLLOW_I80_S2p5_Z2_Q1_R100,top5,follow_imbalance,0.8,2.5,2.0,1,0.01,0
P195_TOP5_FOLLOW_I80_S5p0_Z0_Q0_R50,top5,follow_imbalance,0.8,5.0,0.0,0,0.005,0
P195_TOP5_FOLLOW_I80_S5p0_Z0_Q0_R100,top5,follow_imbalance,0.8,5.0,0.0,0,0.01,0
P195_TOP5_FOLLOW_I80_S5p0_Z0_Q1_R50,top5,follow_imbalance,0.8,5.0,0.0,1,0.005,0
P195_TOP5_FOLLOW_I80_S5p0_Z0_Q1_R100,top5,follow_imbalance,0.8,5.0,0.0,1,0.01,0
P195_TOP5_FOLLOW_I80_S5p0_Z1_Q0_R50,top5,follow_imbalance,0.8,5.0,1.0,0,0.005,0
P195_TOP5_FOLLOW_I80_S5p0_Z1_Q0_R100,top5,follow_imbalance,0.8,5.0,1.0,0,0.01,0
P195_TOP5_FOLLOW_I80_S5p0_Z1_Q1_R50,top5,follow_imbalance,0.8,5.0,1.0,1,0.005,0
P195_TOP5_FOLLOW_I80_S5p0_Z1_Q1_R100,top5,follow_imbalance,0.8,5.0,1.0,1,0.01,0
P195_TOP5_FOLLOW_I80_S5p0_Z2_Q0_R50,top5,follow_imbalance,0.8,5.0,2.0,0,0.005,0
P195_TOP5_FOLLOW_I80_S5p0_Z2_Q0_R100,top5,follow_imbalance,0.8,5.0,2.0,0,0.01,0
P195_TOP5_FOLLOW_I80_S5p0_Z2_Q1_R50,top5,follow_imbalance,0.8,5.0,2.0,1,0.005,0
P195_TOP5_FOLLOW_I80_S5p0_Z2_Q1_R100,top5,follow_imbalance,0.8,5.0,2.0,1,0.01,0
P195_TOP5_FOLLOW_I90_S1p5_Z0_Q0_R50,top5,follow_imbalance,0.9,1.5,0.0,0,0.005,0
P195_TOP5_FOLLOW_I90_S1p5_Z0_Q0_R100,top5,follow_imbalance,0.9,1.5,0.0,0,0.01,0
P195_TOP5_FOLLOW_I90_S1p5_Z0_Q1_R50,top5,follow_imbalance,0.9,1.5,0.0,1,0.005,0
P195_TOP5_FOLLOW_I90_S1p5_Z0_Q1_R100,top5,follow_imbalance,0.9,1.5,0.0,1,0.01,0
P195_TOP5_FOLLOW_I90_S1p5_Z1_Q0_R50,top5,follow_imbalance,0.9,1.5,1.0,0,0.005,0
P195_TOP5_FOLLOW_I90_S1p5_Z1_Q0_R100,top5,follow_imbalance,0.9,1.5,1.0,0,0.01,0
P195_TOP5_FOLLOW_I90_S1p5_Z1_Q1_R50,top5,follow_imbalance,0.9,1.5,1.0,1,0.005,0
P195_TOP5_FOLLOW_I90_S1p5_Z1_Q1_R100,top5,follow_imbalance,0.9,1.5,1.0,1,0.01,0
P195_TOP5_FOLLOW_I90_S1p5_Z2_Q0_R50,top5,follow_imbalance,0.9,1.5,2.0,0,0.005,0
P195_TOP5_FOLLOW_I90_S1p5_Z2_Q0_R100,top5,follow_imbalance,0.9,1.5,2.0,0,0.01,0
P195_TOP5_FOLLOW_I90_S1p5_Z2_Q1_R50,top5,follow_imbalance,0.9,1.5,2.0,1,0.005,0
P195_TOP5_FOLLOW_I90_S1p5_Z2_Q1_R100,top5,follow_imbalance,0.9,1.5,2.0,1,0.01,0
P195_TOP5_FOLLOW_I90_S2p5_Z0_Q0_R50,top5,follow_imbalance,0.9,2.5,0.0,0,0.005,0
P195_TOP5_FOLLOW_I90_S2p5_Z0_Q0_R100,top5,follow_imbalance,0.9,2.5,0.0,0,0.01,0
P195_TOP5_FOLLOW_I90_S2p5_Z0_Q1_R50,top5,follow_imbalance,0.9,2.5,0.0,1,0.005,0
P195_TOP5_FOLLOW_I90_S2p5_Z0_Q1_R100,top5,follow_imbalance,0.9,2.5,0.0,1,0.01,0
P195_TOP5_FOLLOW_I90_S2p5_Z1_Q0_R50,top5,follow_imbalance,0.9,2.5,1.0,0,0.005,0
P195_TOP5_FOLLOW_I90_S2p5_Z1_Q0_R100,top5,follow_imbalance,0.9,2.5,1.0,0,0.01,0
P195_TOP5_FOLLOW_I90_S2p5_Z1_Q1_R50,top5,follow_imbalance,0.9,2.5,1.0,1,0.005,0
P195_TOP5_FOLLOW_I90_S2p5_Z1_Q1_R100,top5,follow_imbalance,0.9,2.5,1.0,1,0.01,0
P195_TOP5_FOLLOW_I90_S2p5_Z2_Q0_R50,top5,follow_imbalance,0.9,2.5,2.0,0,0.005,0
P195_TOP5_FOLLOW_I90_S2p5_Z2_Q0_R100,top5,follow_imbalance,0.9,2.5,2.0,0,0.01,0
P195_TOP5_FOLLOW_I90_S2p5_Z2_Q1_R50,top5,follow_imbalance,0.9,2.5,2.0,1,0.005,0
P195_TOP5_FOLLOW_I90_S2p5_Z2_Q1_R100,top5,follow_imbalance,0.9,2.5,2.0,1,0.01,0
P195_TOP5_FOLLOW_I90_S5p0_Z0_Q0_R50,top5,follow_imbalance,0.9,5.0,0.0,0,0.005,0
P195_TOP5_FOLLOW_I90_S5p0_Z0_Q0_R100,top5,follow_imbalance,0.9,5.0,0.0,0,0.01,0
P195_TOP5_FOLLOW_I90_S5p0_Z0_Q1_R50,top5,follow_imbalance,0.9,5.0,0.0,1,0.005,0
P195_TOP5_FOLLOW_I90_S5p0_Z0_Q1_R100,top5,follow_imbalance,0.9,5.0,0.0,1,0.01,0
P195_TOP5_FOLLOW_I90_S5p0_Z1_Q0_R50,top5,follow_imbalance,0.9,5.0,1.0,0,0.005,0
P195_TOP5_FOLLOW_I90_S5p0_Z1_Q0_R100,top5,follow_imbalance,0.9,5.0,1.0,0,0.01,0
P195_TOP5_FOLLOW_I90_S5p0_Z1_Q1_R50,top5,follow_imbalance,0.9,5.0,1.0,1,0.005,0
P195_TOP5_FOLLOW_I90_S5p0_Z1_Q1_R100,top5,follow_imbalance,0.9,5.0,1.0,1,0.01,0
P195_TOP5_FOLLOW_I90_S5p0_Z2_Q0_R50,top5,follow_imbalance,0.9,5.0,2.0,0,0.005,0
P195_TOP5_FOLLOW_I90_S5p0_Z2_Q0_R100,top5,follow_imbalance,0.9,5.0,2.0,0,0.01,0
P195_TOP5_FOLLOW_I90_S5p0_Z2_Q1_R50,top5,follow_imbalance,0.9,5.0,2.0,1,0.005,0
P195_TOP5_FOLLOW_I90_S5p0_Z2_Q1_R100,top5,follow_imbalance,0.9,5.0,2.0,1,0.01,0
P195_TOP5_FADE_I60_S1p5_Z0_Q0_R50,top5,fade_imbalance,0.6,1.5,0.0,0,0.005,0
P195_TOP5_FADE_I60_S1p5_Z0_Q0_R100,top5,fade_imbalance,0.6,1.5,0.0,0,0.01,0
P195_TOP5_FADE_I60_S1p5_Z0_Q1_R50,top5,fade_imbalance,0.6,1.5,0.0,1,0.005,0
P195_TOP5_FADE_I60_S1p5_Z0_Q1_R100,top5,fade_imbalance,0.6,1.5,0.0,1,0.01,0
P195_TOP5_FADE_I60_S1p5_Z1_Q0_R50,top5,fade_imbalance,0.6,1.5,1.0,0,0.005,0
P195_TOP5_FADE_I60_S1p5_Z1_Q0_R100,top5,fade_imbalance,0.6,1.5,1.0,0,0.01,0
P195_TOP5_FADE_I60_S1p5_Z1_Q1_R50,top5,fade_imbalance,0.6,1.5,1.0,1,0.005,0
P195_TOP5_FADE_I60_S1p5_Z1_Q1_R100,top5,fade_imbalance,0.6,1.5,1.0,1,0.01,0
P195_TOP5_FADE_I60_S1p5_Z2_Q0_R50,top5,fade_imbalance,0.6,1.5,2.0,0,0.005,0
P195_TOP5_FADE_I60_S1p5_Z2_Q0_R100,top5,fade_imbalance,0.6,1.5,2.0,0,0.01,0
P195_TOP5_FADE_I60_S1p5_Z2_Q1_R50,top5,fade_imbalance,0.6,1.5,2.0,1,0.005,0
P195_TOP5_FADE_I60_S1p5_Z2_Q1_R100,top5,fade_imbalance,0.6,1.5,2.0,1,0.01,0
P195_TOP5_FADE_I60_S2p5_Z0_Q0_R50,top5,fade_imbalance,0.6,2.5,0.0,0,0.005,0
P195_TOP5_FADE_I60_S2p5_Z0_Q0_R100,top5,fade_imbalance,0.6,2.5,0.0,0,0.01,0
P195_TOP5_FADE_I60_S2p5_Z0_Q1_R50,top5,fade_imbalance,0.6,2.5,0.0,1,0.005,0
P195_TOP5_FADE_I60_S2p5_Z0_Q1_R100,top5,fade_imbalance,0.6,2.5,0.0,1,0.01,0
P195_TOP5_FADE_I60_S2p5_Z1_Q0_R50,top5,fade_imbalance,0.6,2.5,1.0,0,0.005,0
P195_TOP5_FADE_I60_S2p5_Z1_Q0_R100,top5,fade_imbalance,0.6,2.5,1.0,0,0.01,0
P195_TOP5_FADE_I60_S2p5_Z1_Q1_R50,top5,fade_imbalance,0.6,2.5,1.0,1,0.005,0
P195_TOP5_FADE_I60_S2p5_Z1_Q1_R100,top5,fade_imbalance,0.6,2.5,1.0,1,0.01,0
P195_TOP5_FADE_I60_S2p5_Z2_Q0_R50,top5,fade_imbalance,0.6,2.5,2.0,0,0.005,0
P195_TOP5_FADE_I60_S2p5_Z2_Q0_R100,top5,fade_imbalance,0.6,2.5,2.0,0,0.01,0
P195_TOP5_FADE_I60_S2p5_Z2_Q1_R50,top5,fade_imbalance,0.6,2.5,2.0,1,0.005,0
P195_TOP5_FADE_I60_S2p5_Z2_Q1_R100,top5,fade_imbalance,0.6,2.5,2.0,1,0.01,0
P195_TOP5_FADE_I60_S5p0_Z0_Q0_R50,top5,fade_imbalance,0.6,5.0,0.0,0,0.005,0
P195_TOP5_FADE_I60_S5p0_Z0_Q0_R100,top5,fade_imbalance,0.6,5.0,0.0,0,0.01,0
P195_TOP5_FADE_I60_S5p0_Z0_Q1_R50,top5,fade_imbalance,0.6,5.0,0.0,1,0.005,0
P195_TOP5_FADE_I60_S5p0_Z0_Q1_R100,top5,fade_imbalance,0.6,5.0,0.0,1,0.01,0
P195_TOP5_FADE_I60_S5p0_Z1_Q0_R50,top5,fade_imbalance,0.6,5.0,1.0,0,0.005,0
P195_TOP5_FADE_I60_S5p0_Z1_Q0_R100,top5,fade_imbalance,0.6,5.0,1.0,0,0.01,0
P195_TOP5_FADE_I60_S5p0_Z1_Q1_R50,top5,fade_imbalance,0.6,5.0,1.0,1,0.005,0
P195_TOP5_FADE_I60_S5p0_Z1_Q1_R100,top5,fade_imbalance,0.6,5.0,1.0,1,0.01,0
P195_TOP5_FADE_I60_S5p0_Z2_Q0_R50,top5,fade_imbalance,0.6,5.0,2.0,0,0.005,0
P195_TOP5_FADE_I60_S5p0_Z2_Q0_R100,top5,fade_imbalance,0.6,5.0,2.0,0,0.01,0
P195_TOP5_FADE_I60_S5p0_Z2_Q1_R50,top5,fade_imbalance,0.6,5.0,2.0,1,0.005,0
P195_TOP5_FADE_I60_S5p0_Z2_Q1_R100,top5,fade_imbalance,0.6,5.0,2.0,1,0.01,0
P195_TOP5_FADE_I70_S1p5_Z0_Q0_R50,top5,fade_imbalance,0.7,1.5,0.0,0,0.005,0
P195_TOP5_FADE_I70_S1p5_Z0_Q0_R100,top5,fade_imbalance,0.7,1.5,0.0,0,0.01,0
P195_TOP5_FADE_I70_S1p5_Z0_Q1_R50,top5,fade_imbalance,0.7,1.5,0.0,1,0.005,0
P195_TOP5_FADE_I70_S1p5_Z0_Q1_R100,top5,fade_imbalance,0.7,1.5,0.0,1,0.01,0
P195_TOP5_FADE_I70_S1p5_Z1_Q0_R50,top5,fade_imbalance,0.7,1.5,1.0,0,0.005,0
P195_TOP5_FADE_I70_S1p5_Z1_Q0_R100,top5,fade_imbalance,0.7,1.5,1.0,0,0.01,0
P195_TOP5_FADE_I70_S1p5_Z1_Q1_R50,top5,fade_imbalance,0.7,1.5,1.0,1,0.005,0
P195_TOP5_FADE_I70_S1p5_Z1_Q1_R100,top5,fade_imbalance,0.7,1.5,1.0,1,0.01,0
P195_TOP5_FADE_I70_S1p5_Z2_Q0_R50,top5,fade_imbalance,0.7,1.5,2.0,0,0.005,0
P195_TOP5_FADE_I70_S1p5_Z2_Q0_R100,top5,fade_imbalance,0.7,1.5,2.0,0,0.01,0
P195_TOP5_FADE_I70_S1p5_Z2_Q1_R50,top5,fade_imbalance,0.7,1.5,2.0,1,0.005,0
P195_TOP5_FADE_I70_S1p5_Z2_Q1_R100,top5,fade_imbalance,0.7,1.5,2.0,1,0.01,0
P195_TOP5_FADE_I70_S2p5_Z0_Q0_R50,top5,fade_imbalance,0.7,2.5,0.0,0,0.005,0
P195_TOP5_FADE_I70_S2p5_Z0_Q0_R100,top5,fade_imbalance,0.7,2.5,0.0,0,0.01,0
P195_TOP5_FADE_I70_S2p5_Z0_Q1_R50,top5,fade_imbalance,0.7,2.5,0.0,1,0.005,0
P195_TOP5_FADE_I70_S2p5_Z0_Q1_R100,top5,fade_imbalance,0.7,2.5,0.0,1,0.01,0
P195_TOP5_FADE_I70_S2p5_Z1_Q0_R50,top5,fade_imbalance,0.7,2.5,1.0,0,0.005,0
P195_TOP5_FADE_I70_S2p5_Z1_Q0_R100,top5,fade_imbalance,0.7,2.5,1.0,0,0.01,0
P195_TOP5_FADE_I70_S2p5_Z1_Q1_R50,top5,fade_imbalance,0.7,2.5,1.0,1,0.005,0
P195_TOP5_FADE_I70_S2p5_Z1_Q1_R100,top5,fade_imbalance,0.7,2.5,1.0,1,0.01,0
P195_TOP5_FADE_I70_S2p5_Z2_Q0_R50,top5,fade_imbalance,0.7,2.5,2.0,0,0.005,0
P195_TOP5_FADE_I70_S2p5_Z2_Q0_R100,top5,fade_imbalance,0.7,2.5,2.0,0,0.01,0
P195_TOP5_FADE_I70_S2p5_Z2_Q1_R50,top5,fade_imbalance,0.7,2.5,2.0,1,0.005,0
P195_TOP5_FADE_I70_S2p5_Z2_Q1_R100,top5,fade_imbalance,0.7,2.5,2.0,1,0.01,0
P195_TOP5_FADE_I70_S5p0_Z0_Q0_R50,top5,fade_imbalance,0.7,5.0,0.0,0,0.005,0
P195_TOP5_FADE_I70_S5p0_Z0_Q0_R100,top5,fade_imbalance,0.7,5.0,0.0,0,0.01,0
P195_TOP5_FADE_I70_S5p0_Z0_Q1_R50,top5,fade_imbalance,0.7,5.0,0.0,1,0.005,0
P195_TOP5_FADE_I70_S5p0_Z0_Q1_R100,top5,fade_imbalance,0.7,5.0,0.0,1,0.01,0
P195_TOP5_FADE_I70_S5p0_Z1_Q0_R50,top5,fade_imbalance,0.7,5.0,1.0,0,0.005,0
P195_TOP5_FADE_I70_S5p0_Z1_Q0_R100,top5,fade_imbalance,0.7,5.0,1.0,0,0.01,0
P195_TOP5_FADE_I70_S5p0_Z1_Q1_R50,top5,fade_imbalance,0.7,5.0,1.0,1,0.005,0
P195_TOP5_FADE_I70_S5p0_Z1_Q1_R100,top5,fade_imbalance,0.7,5.0,1.0,1,0.01,0
P195_TOP5_FADE_I70_S5p0_Z2_Q0_R50,top5,fade_imbalance,0.7,5.0,2.0,0,0.005,0
P195_TOP5_FADE_I70_S5p0_Z2_Q0_R100,top5,fade_imbalance,0.7,5.0,2.0,0,0.01,0
P195_TOP5_FADE_I70_S5p0_Z2_Q1_R50,top5,fade_imbalance,0.7,5.0,2.0,1,0.005,0
P195_TOP5_FADE_I70_S5p0_Z2_Q1_R100,top5,fade_imbalance,0.7,5.0,2.0,1,0.01,0
