symbol,rows,months,dates,regimes,feed_profiles,market_shock_row_fraction,symbol_shock_row_fraction,median_gap_ms,p90_gap_ms,p95_gap_ms,gap_le_1s_fraction,median_spread_bps,p90_spread_bps,median_l1_depth,median_l5_depth,median_abs_l1_imbalance,one_tick_return_std
HINDUNILVR,94091,12,252,18,5,0.12693031214462594,0.06343858604967531,300.0,500.0,600.0,0.9892869668724957,1.8978933383948133,4.177691129369591,802.0,6816.0,0.07308970099667775,0.00413574605042853
ICICIBANK,94151,12,252,18,5,0.1269450138607131,0.0,300.0,500.0,600.0,0.989315036483946,1.4282653717063876,3.4945485043332405,810.0,6884.0,0.3687707641196013,0.0045971132041864905
INFY,94111,12,252,18,5,0.12668019678889822,0.0,300.0,500.0,600.0,0.9891936117988332,1.8200018200022337,4.461895413171516,810.0,6885.0,0.1875,0.004771174522362994
ITBEES,94160,12,252,18,5,0.12657179269328803,0.05534197111299915,300.0,500.0,600.0,0.9890399320305863,3.1181789834752465,6.180469715697163,802.0,6816.0,0.7403314917127072,0.003987637441924442
ITC,94158,12,252,18,5,0.12672316744195927,0.05147730410586461,300.0,500.0,600.0,0.9895176193207162,1.7882689556513365,5.288207297727273,800.0,6800.0,0.5098684210526315,0.0041086510569232826
JUNIORBEES,94128,12,252,18,5,0.12696540880503146,0.04356833248342682,300.0,500.0,600.0,0.9893549209586946,3.9278790720062013,6.027495639684355,798.0,6784.0,0.6977401129943502,0.003728600360143348
KOTAKBANK,94114,12,252,18,5,0.12667615870114968,0.0355738784877914,300.0,500.0,600.0,0.9894277153239688,2.6406126221289346,4.076086956521121,808.0,6870.0,0.15056818181818182,0.004647834141273753
LT,94082,12,252,18,5,0.12647477732191068,0.0,300.0,500.0,673.1000000000058,0.9891477647158862,1.481444902594773,3.505766987484707,806.0,6850.0,0.0903954802259887,0.0043821703904999695
M&M,94118,12,252,18,5,0.1266707749845938,0.0,300.0,500.0,611.0,0.9893537899232878,1.2839854909642439,3.428778048644506,806.0,6850.0,0.1861198738170347,0.004285309637048014
MARUTI,94169,12,252,18,5,0.12664464951310941,0.0,300.0,500.0,600.0,0.9896462742516114,2.9505052740281776,4.3535045711797995,806.0,6851.0,0.1326530612244898,0.004239885426676329
NESTLEIND,94118,12,252,18,5,0.1268301493869398,0.019847425572154104,300.0,500.0,600.0,0.989385664803757,2.8131373514302243,4.841610181214866,802.0,6817.0,0.4119601328903654,0.003843333065350567
NIFTYBEES,94165,12,252,18,5,0.12674560611692243,0.0,300.0,500.0,600.0,0.9890086550204429,1.4667595614396414,3.5866719271196423,798.0,6783.0,0.6209150326797386,0.003367596858007319
ONGC,94115,12,252,18,5,0.1269510704988578,0.019805557031291506,300.0,500.0,600.0,0.9888859374169898,2.346591575736332,3.998400639743875,810.0,6884.0,0.047619047619047616,0.004711947570435594
RELIANCE,94098,12,252,18,5,0.12665518927076028,0.0,300.0,500.0,600.0,0.9899360241450402,1.5440438508457148,3.0455306837205995,810.0,6885.0,0.44358974358974357,0.0046175852599338795
SBIN,94115,12,252,18,5,0.12662168623492537,0.0,300.0,500.0,600.0,0.9897997131169314,1.9321804656559316,3.800475059383287,808.0,6868.0,0.047619047619047616,0.004636322668820621
SUNPHARMA,94161,12,252,18,5,0.1266235490277291,0.019827741846411995,300.0,500.0,600.0,0.9893055511305106,2.0947892118360354,4.1186161449750545,802.0,6816.0,0.2948717948717949,0.0036836221051406272
TCS,94164,12,252,18,5,0.12676819166560468,0.0,300.0,500.0,600.0,0.9891465953018138,1.8546853989896182,3.625487174839944,810.0,6885.0,0.007177033492822967,0.004731735585247663
TECHM,94067,12,252,18,5,0.12689891247727683,0.0,300.0,500.0,608.5000000000146,0.9893905407847599,3.854554798921601,5.2843648853950365,810.0,6886.0,0.125,0.004777027376324743
ULTRACEMCO,94177,12,252,18,5,0.12686749418647866,0.0,300.0,500.0,600.0,0.9893179863448612,2.595155709342561,5.114217524718717,808.0,6868.0,0.42761692650334077,0.004484187156543813
WIPRO,94172,12,252,18,5,0.12660875844199976,0.0,300.0,500.0,600.0,0.9890838041031305,2.2657754616512995,3.8862980235394833,810.0,6885.0,0.096045197740113,0.004651073476067727
