phase286_variant_id,lifecycle_family,grid_id,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,robust_portfolio_floor_above12_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E0_H5,short_horizon_exit_test,P285_GRID_ORIG_E0_H5,12,204,8,0,0,4,0,-8.746862897859007,-3.6274448987299297,-1.8125288023358246,-57.54059689954999
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E1_H5,short_horizon_exit_test,P285_GRID_ORIG_E1_H5,12,204,8,0,0,4,0,-10.129672515245005,-4.422608626041397,-2.2127306502976016,-70.24541746976513
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_TP8_SL4_H10,side_flip_reversal_test,P285_GRID_INV_TP8_SL4_H10,12,640,7,0,0,0,0,-11.047831200000001,-9.726945597476037,-2.2894578,-72.6812
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_TP8_SL4_H10,side_flip_reversal_test,P285_GRID_ORIG_TP8_SL4_H10,12,640,7,0,0,0,0,-9.1578312,-6.5956022999999995,-2.2894578,-72.6812
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_TP8_SL4_H10,short_horizon_exit_test,P285_GRID_ORIG_TP8_SL4_H10,12,204,6,0,0,0,0,-9.1578312,-5.9233734,-2.2894578,-72.6812
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E2_H8,short_horizon_exit_test,P285_GRID_ORIG_E2_H8,12,204,7,0,0,0,0,-11.87575770081256,-4.435301748520386,-2.354804103381877,-74.75568582164689
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E0_H3,queue_adversity_order_timing_test,P285_GRID_ORIG_E0_H3,12,234,29,0,0,8,0,-9.434196865223461,-8.571788813016799,-2.3585492163058652,-74.87457829542429
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_TP8_SL4_H10,short_horizon_exit_test,P285_GRID_INV_TP8_SL4_H10,12,204,6,0,0,0,0,-10.691367269756066,-8.57379220602849,-2.6728418174390165,-84.8521211885402
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_TP4_SL4_H5,queue_adversity_order_timing_test,P285_GRID_ORIG_TP4_SL4_H5,12,234,12,0,0,4,0,-11.846746799999998,-11.846746799999998,-2.9616866999999996,-94.02179999999998
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_TP8_SL4_H10,queue_adversity_order_timing_test,P285_GRID_INV_TP8_SL4_H10,12,234,8,0,0,4,0,-12.9378312,-12.9378312,-3.2344578,-102.6812
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_TP8_SL4_H10,entry_delay_test,P285_GRID_INV_TP8_SL4_H10,12,861,6,0,0,0,0,-12.9378312,-8.7583734,-3.2344578,-102.6812
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_TP8_SL4_H10,take_profit_stop_timeout_test,P285_GRID_INV_TP8_SL4_H10,12,598,6,0,0,0,0,-12.9378312,-8.7583734,-3.2344578,-102.6812
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_TP4_SL4_H5,short_horizon_exit_test,P285_GRID_ORIG_TP4_SL4_H5,12,204,8,0,0,4,0,-14.291452096390772,-9.12190501142334,-3.572863024097693,-113.42422298722835
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E0_H3,take_profit_stop_timeout_test,P285_GRID_ORIG_E0_H3,12,598,24,0,0,8,0,-15.184935821314134,-10.615354021088278,-3.7962339553285336,-120.51536366122329
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E0_H3,short_horizon_exit_test,P285_GRID_ORIG_E0_H3,12,204,15,0,0,8,0,-15.41371156404763,-10.420253117188839,-3.8534278910119073,-122.33104415910816
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_TP4_SL4_H5,take_profit_stop_timeout_test,P285_GRID_ORIG_TP4_SL4_H5,12,598,16,0,0,8,0,-22.979035799999995,-17.0556624,-3.9489155999999994,-125.36239999999998
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_TP4_SL4_H5,entry_delay_test,P285_GRID_ORIG_TP4_SL4_H5,12,861,14,0,0,8,0,-15.795662399999998,-14.451204599999997,-3.9489155999999994,-125.36239999999998
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_TP4_SL4_H5,short_horizon_exit_test,P285_GRID_INV_TP4_SL4_H5,12,204,8,0,0,4,0,-16.96204150360923,-11.712036225348701,-4.240510375902307,-134.61937701277165
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E0_H3,entry_delay_test,P285_GRID_ORIG_E0_H3,12,861,26,0,0,8,0,-17.087447992114658,-11.822163301126517,-4.2718619980286645,-135.6146666040846
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_TP4_SL4_H5,side_flip_reversal_test,P285_GRID_ORIG_TP4_SL4_H5,12,640,11,0,0,8,0,-18.315662399999997,-12.100694224097692,-4.578915599999999,-145.36239999999998
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_TP4_SL4_H5,queue_adversity_order_timing_test,P285_GRID_INV_TP4_SL4_H5,12,234,12,0,0,4,0,-19.4067468,-19.4067468,-4.8516867,-154.0218
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_E0_H5,short_horizon_exit_test,P285_GRID_INV_E0_H5,12,204,8,0,0,4,0,-22.506630702140992,-17.20821750127007,-5.626657675535248,-178.62405319159518
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_TP4_SL4_H5,side_flip_reversal_test,P285_GRID_INV_TP4_SL4_H5,12,640,11,0,0,8,0,-24.615662399999994,-16.548341575902306,-5.838915599999999,-185.36239999999998
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_E1_H5,short_horizon_exit_test,P285_GRID_INV_E1_H5,12,204,8,0,0,4,0,-23.889440319526994,-18.00052855402773,-5.972360079881748,-189.59873269465868
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_TP4_SL4_H5,take_profit_stop_timeout_test,P285_GRID_INV_TP4_SL4_H5,12,598,16,0,0,8,0,-34.3190358,-24.6156624,-6.4689156,-205.3624
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_TP4_SL4_H5,entry_delay_test,P285_GRID_INV_TP4_SL4_H5,12,861,14,0,0,8,0,-25.8756624,-22.0112046,-6.4689156,-205.3624
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_E0_H5,side_flip_reversal_test,P285_GRID_INV_E0_H5,12,640,11,0,0,8,0,-41.33757759341384,-25.978308468364194,-6.698526991486083,-212.65165052336772
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,12,640,27,0,0,8,0,-27.665037268989217,-17.541601345266916,-6.916259317247304,-219.56378784912076
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_E2_H8,short_horizon_exit_test,P285_GRID_INV_E2_H8,12,204,7,0,0,0,0,-28.271605542331226,-18.533600800653215,-7.067901385582807,-224.37782176453356
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_E2_H8,take_profit_stop_timeout_test,P285_GRID_INV_E2_H8,12,598,7,0,0,0,0,-30.04871674444133,-20.562914058726406,-7.141412929254568,-226.7115215636371
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_E1_H5,side_flip_reversal_test,P285_GRID_INV_E1_H5,12,640,11,0,0,8,0,-42.80511609752459,-26.814134766248472,-7.161636287162511,-227.353532925794
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_E0_H5,queue_adversity_order_timing_test,P285_GRID_INV_E0_H5,12,234,12,0,0,4,0,-31.8846330542253,-30.385104593175928,-7.951260886570853,-252.4209805260588
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_E2_H8,side_flip_reversal_test,P285_GRID_INV_E2_H8,12,640,9,0,0,4,0,-32.19365066922878,-19.75721960770027,-8.048412667307195,-255.50516404149826
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_E1_H5,queue_adversity_order_timing_test,P285_GRID_INV_E1_H5,12,234,12,0,0,4,0,-33.157651349917856,-31.37523476822646,-8.289412837479464,-263.1559630945862
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_E2_H8,entry_delay_test,P285_GRID_INV_E2_H8,12,861,7,0,0,0,0,-36.44501211711776,-19.754039057156763,-9.11125302927944,-289.246127913633
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_E2_H8,queue_adversity_order_timing_test,P285_GRID_INV_E2_H8,12,234,8,0,0,4,0,-37.63749414925392,-27.125570570380503,-9.40937353731348,-298.7102710258248
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_E0_H5,entry_delay_test,P285_GRID_INV_E0_H5,12,861,14,0,0,8,0,-39.772221528355104,-33.98210698080219,-9.943055382088776,-315.6525518123421
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_E0_H5,take_profit_stop_timeout_test,P285_GRID_INV_E0_H5,12,598,16,0,0,8,0,-48.372932622074224,-35.750273880509,-10.039174083938322,-318.70393917264516
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_E1_H5,entry_delay_test,P285_GRID_INV_E1_H5,12,861,14,0,0,8,0,-41.458168064079835,-35.06959031271169,-10.364542016019959,-329.0330798736495
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_E1_H5,take_profit_stop_timeout_test,P285_GRID_INV_E1_H5,12,598,16,0,0,8,0,-50.37093390666771,-37.07555484409031,-10.434203440032157,-331.2445536518145
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_E0_H3,side_flip_reversal_test,P285_GRID_INV_E0_H3,12,640,27,0,0,8,0,-69.95605439547784,-52.778759254733075,-11.3149452827527,-359.2046121508793
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_E0_H3,short_horizon_exit_test,P285_GRID_INV_E0_H3,12,204,15,0,0,8,0,-47.09327563595237,-28.646613882811163,-11.773318908988092,-373.7561558408918
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_E0_H3,take_profit_stop_timeout_test,P285_GRID_INV_E0_H3,12,598,24,0,0,8,0,-51.93792039319192,-51.845345964631505,-11.830512844671466,-375.5718363387767
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_E0_H3,queue_adversity_order_timing_test,P285_GRID_INV_E0_H3,12,234,29,0,0,8,0,-66.95748738698319,-58.70550794125051,-13.268197583694135,-421.2126217045757
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_E0_H3,entry_delay_test,P285_GRID_INV_E0_H3,12,861,26,0,0,8,0,-84.52950925462997,-55.893739498873465,-13.959342601971334,-443.15373339591537
