phase286_variant_id,lifecycle_family_id,lifecycle_family,grid_id,selection_rule,selected_event_rows,side_multiplier,entry_delay_ticks,exit_horizon_ticks,take_profit_bps,stop_loss_bps,latency_bucket,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,phase286_search_allowed
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_TP4_SL4_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_INV_TP4_SL4_H5,beyond_l1_imbalance>=q50(0.569244),640,-1,0,5,4.0,4.0,base,1,1,0,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_INV_TP8_SL4_H10,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_INV_TP8_SL4_H10,beyond_l1_imbalance>=q50(0.569244),640,-1,1,10,8.0,4.0,slow,1,1,0,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E0_H3,P285_ENTRY_DELAY_TEST,entry_delay_test,P285_GRID_ORIG_E0_H3,churn<=q75(5092271.527670) and spread<=q75(5.640197),861,1,0,3,,,base,1,1,0,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E0_H5,P285_ENTRY_DELAY_TEST,entry_delay_test,P285_GRID_ORIG_E0_H5,churn<=q75(5092271.527670) and spread<=q75(5.640197),861,1,0,5,,,base,1,1,0,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E1_H5,P285_ENTRY_DELAY_TEST,entry_delay_test,P285_GRID_ORIG_E1_H5,churn<=q75(5092271.527670) and spread<=q75(5.640197),861,1,1,5,,,base,1,1,0,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E2_H8,P285_ENTRY_DELAY_TEST,entry_delay_test,P285_GRID_ORIG_E2_H8,churn<=q75(5092271.527670) and spread<=q75(5.640197),861,1,2,8,,,slow,1,1,0,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_E0_H3,P285_ENTRY_DELAY_TEST,entry_delay_test,P285_GRID_INV_E0_H3,churn<=q75(5092271.527670) and spread<=q75(5.640197),861,-1,0,3,,,base,1,1,0,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_E0_H5,P285_ENTRY_DELAY_TEST,entry_delay_test,P285_GRID_INV_E0_H5,churn<=q75(5092271.527670) and spread<=q75(5.640197),861,-1,0,5,,,base,1,1,0,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_E1_H5,P285_ENTRY_DELAY_TEST,entry_delay_test,P285_GRID_INV_E1_H5,churn<=q75(5092271.527670) and spread<=q75(5.640197),861,-1,1,5,,,base,1,1,0,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_E2_H8,P285_ENTRY_DELAY_TEST,entry_delay_test,P285_GRID_INV_E2_H8,churn<=q75(5092271.527670) and spread<=q75(5.640197),861,-1,2,8,,,slow,1,1,0,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_TP4_SL4_H5,P285_ENTRY_DELAY_TEST,entry_delay_test,P285_GRID_ORIG_TP4_SL4_H5,churn<=q75(5092271.527670) and spread<=q75(5.640197),861,1,0,5,4.0,4.0,base,1,1,0,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_TP8_SL4_H10,P285_ENTRY_DELAY_TEST,entry_delay_test,P285_GRID_ORIG_TP8_SL4_H10,churn<=q75(5092271.527670) and spread<=q75(5.640197),861,1,1,10,8.0,4.0,slow,1,1,0,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_TP4_SL4_H5,P285_ENTRY_DELAY_TEST,entry_delay_test,P285_GRID_INV_TP4_SL4_H5,churn<=q75(5092271.527670) and spread<=q75(5.640197),861,-1,0,5,4.0,4.0,base,1,1,0,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_INV_TP8_SL4_H10,P285_ENTRY_DELAY_TEST,entry_delay_test,P285_GRID_INV_TP8_SL4_H10,churn<=q75(5092271.527670) and spread<=q75(5.640197),861,-1,1,10,8.0,4.0,slow,1,1,0,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E0_H3,P285_SHORT_HORIZON_EXIT_TEST,short_horizon_exit_test,P285_GRID_ORIG_E0_H3,spread<=q50(4.915814) and consensus>=q50(0.575120),204,1,0,3,,,base,1,1,0,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E0_H5,P285_SHORT_HORIZON_EXIT_TEST,short_horizon_exit_test,P285_GRID_ORIG_E0_H5,spread<=q50(4.915814) and consensus>=q50(0.575120),204,1,0,5,,,base,1,1,0,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E1_H5,P285_SHORT_HORIZON_EXIT_TEST,short_horizon_exit_test,P285_GRID_ORIG_E1_H5,spread<=q50(4.915814) and consensus>=q50(0.575120),204,1,1,5,,,base,1,1,0,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E2_H8,P285_SHORT_HORIZON_EXIT_TEST,short_horizon_exit_test,P285_GRID_ORIG_E2_H8,spread<=q50(4.915814) and consensus>=q50(0.575120),204,1,2,8,,,slow,1,1,0,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_E0_H3,P285_SHORT_HORIZON_EXIT_TEST,short_horizon_exit_test,P285_GRID_INV_E0_H3,spread<=q50(4.915814) and consensus>=q50(0.575120),204,-1,0,3,,,base,1,1,0,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_E0_H5,P285_SHORT_HORIZON_EXIT_TEST,short_horizon_exit_test,P285_GRID_INV_E0_H5,spread<=q50(4.915814) and consensus>=q50(0.575120),204,-1,0,5,,,base,1,1,0,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_E1_H5,P285_SHORT_HORIZON_EXIT_TEST,short_horizon_exit_test,P285_GRID_INV_E1_H5,spread<=q50(4.915814) and consensus>=q50(0.575120),204,-1,1,5,,,base,1,1,0,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_E2_H8,P285_SHORT_HORIZON_EXIT_TEST,short_horizon_exit_test,P285_GRID_INV_E2_H8,spread<=q50(4.915814) and consensus>=q50(0.575120),204,-1,2,8,,,slow,1,1,0,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_TP4_SL4_H5,P285_SHORT_HORIZON_EXIT_TEST,short_horizon_exit_test,P285_GRID_ORIG_TP4_SL4_H5,spread<=q50(4.915814) and consensus>=q50(0.575120),204,1,0,5,4.0,4.0,base,1,1,0,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_TP8_SL4_H10,P285_SHORT_HORIZON_EXIT_TEST,short_horizon_exit_test,P285_GRID_ORIG_TP8_SL4_H10,spread<=q50(4.915814) and consensus>=q50(0.575120),204,1,1,10,8.0,4.0,slow,1,1,0,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_TP4_SL4_H5,P285_SHORT_HORIZON_EXIT_TEST,short_horizon_exit_test,P285_GRID_INV_TP4_SL4_H5,spread<=q50(4.915814) and consensus>=q50(0.575120),204,-1,0,5,4.0,4.0,base,1,1,0,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_INV_TP8_SL4_H10,P285_SHORT_HORIZON_EXIT_TEST,short_horizon_exit_test,P285_GRID_INV_TP8_SL4_H10,spread<=q50(4.915814) and consensus>=q50(0.575120),204,-1,1,10,8.0,4.0,slow,1,1,0,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E0_H3,P285_TAKE_PROFIT_STOP_TIMEOUT_TEST,take_profit_stop_timeout_test,P285_GRID_ORIG_E0_H3,replenish_withdraw>=q50(5.126904) and withdrawal<=q50(13616.795344),598,1,0,3,,,base,1,1,0,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E0_H5,P285_TAKE_PROFIT_STOP_TIMEOUT_TEST,take_profit_stop_timeout_test,P285_GRID_ORIG_E0_H5,replenish_withdraw>=q50(5.126904) and withdrawal<=q50(13616.795344),598,1,0,5,,,base,1,1,0,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E1_H5,P285_TAKE_PROFIT_STOP_TIMEOUT_TEST,take_profit_stop_timeout_test,P285_GRID_ORIG_E1_H5,replenish_withdraw>=q50(5.126904) and withdrawal<=q50(13616.795344),598,1,1,5,,,base,1,1,0,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E2_H8,P285_TAKE_PROFIT_STOP_TIMEOUT_TEST,take_profit_stop_timeout_test,P285_GRID_ORIG_E2_H8,replenish_withdraw>=q50(5.126904) and withdrawal<=q50(13616.795344),598,1,2,8,,,slow,1,1,0,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_E0_H3,P285_TAKE_PROFIT_STOP_TIMEOUT_TEST,take_profit_stop_timeout_test,P285_GRID_INV_E0_H3,replenish_withdraw>=q50(5.126904) and withdrawal<=q50(13616.795344),598,-1,0,3,,,base,1,1,0,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_E0_H5,P285_TAKE_PROFIT_STOP_TIMEOUT_TEST,take_profit_stop_timeout_test,P285_GRID_INV_E0_H5,replenish_withdraw>=q50(5.126904) and withdrawal<=q50(13616.795344),598,-1,0,5,,,base,1,1,0,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_E1_H5,P285_TAKE_PROFIT_STOP_TIMEOUT_TEST,take_profit_stop_timeout_test,P285_GRID_INV_E1_H5,replenish_withdraw>=q50(5.126904) and withdrawal<=q50(13616.795344),598,-1,1,5,,,base,1,1,0,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_E2_H8,P285_TAKE_PROFIT_STOP_TIMEOUT_TEST,take_profit_stop_timeout_test,P285_GRID_INV_E2_H8,replenish_withdraw>=q50(5.126904) and withdrawal<=q50(13616.795344),598,-1,2,8,,,slow,1,1,0,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_TP4_SL4_H5,P285_TAKE_PROFIT_STOP_TIMEOUT_TEST,take_profit_stop_timeout_test,P285_GRID_ORIG_TP4_SL4_H5,replenish_withdraw>=q50(5.126904) and withdrawal<=q50(13616.795344),598,1,0,5,4.0,4.0,base,1,1,0,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_TP8_SL4_H10,P285_TAKE_PROFIT_STOP_TIMEOUT_TEST,take_profit_stop_timeout_test,P285_GRID_ORIG_TP8_SL4_H10,replenish_withdraw>=q50(5.126904) and withdrawal<=q50(13616.795344),598,1,1,10,8.0,4.0,slow,1,1,0,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_TP4_SL4_H5,P285_TAKE_PROFIT_STOP_TIMEOUT_TEST,take_profit_stop_timeout_test,P285_GRID_INV_TP4_SL4_H5,replenish_withdraw>=q50(5.126904) and withdrawal<=q50(13616.795344),598,-1,0,5,4.0,4.0,base,1,1,0,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_INV_TP8_SL4_H10,P285_TAKE_PROFIT_STOP_TIMEOUT_TEST,take_profit_stop_timeout_test,P285_GRID_INV_TP8_SL4_H10,replenish_withdraw>=q50(5.126904) and withdrawal<=q50(13616.795344),598,-1,1,10,8.0,4.0,slow,1,1,0,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E0_H3,P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST,queue_adversity_order_timing_test,P285_GRID_ORIG_E0_H3,churn<=q50(610494.118466) and withdrawal<=q50(13616.795344) and beyond_l1>=q50(0.569244),234,1,0,3,,,base,1,1,0,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E0_H5,P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST,queue_adversity_order_timing_test,P285_GRID_ORIG_E0_H5,churn<=q50(610494.118466) and withdrawal<=q50(13616.795344) and beyond_l1>=q50(0.569244),234,1,0,5,,,base,1,1,0,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E1_H5,P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST,queue_adversity_order_timing_test,P285_GRID_ORIG_E1_H5,churn<=q50(610494.118466) and withdrawal<=q50(13616.795344) and beyond_l1>=q50(0.569244),234,1,1,5,,,base,1,1,0,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E2_H8,P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST,queue_adversity_order_timing_test,P285_GRID_ORIG_E2_H8,churn<=q50(610494.118466) and withdrawal<=q50(13616.795344) and beyond_l1>=q50(0.569244),234,1,2,8,,,slow,1,1,0,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_E0_H3,P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST,queue_adversity_order_timing_test,P285_GRID_INV_E0_H3,churn<=q50(610494.118466) and withdrawal<=q50(13616.795344) and beyond_l1>=q50(0.569244),234,-1,0,3,,,base,1,1,0,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_E0_H5,P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST,queue_adversity_order_timing_test,P285_GRID_INV_E0_H5,churn<=q50(610494.118466) and withdrawal<=q50(13616.795344) and beyond_l1>=q50(0.569244),234,-1,0,5,,,base,1,1,0,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_E1_H5,P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST,queue_adversity_order_timing_test,P285_GRID_INV_E1_H5,churn<=q50(610494.118466) and withdrawal<=q50(13616.795344) and beyond_l1>=q50(0.569244),234,-1,1,5,,,base,1,1,0,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_E2_H8,P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST,queue_adversity_order_timing_test,P285_GRID_INV_E2_H8,churn<=q50(610494.118466) and withdrawal<=q50(13616.795344) and beyond_l1>=q50(0.569244),234,-1,2,8,,,slow,1,1,0,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_TP4_SL4_H5,P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST,queue_adversity_order_timing_test,P285_GRID_ORIG_TP4_SL4_H5,churn<=q50(610494.118466) and withdrawal<=q50(13616.795344) and beyond_l1>=q50(0.569244),234,1,0,5,4.0,4.0,base,1,1,0,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_TP8_SL4_H10,P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST,queue_adversity_order_timing_test,P285_GRID_ORIG_TP8_SL4_H10,churn<=q50(610494.118466) and withdrawal<=q50(13616.795344) and beyond_l1>=q50(0.569244),234,1,1,10,8.0,4.0,slow,1,1,0,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_TP4_SL4_H5,P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST,queue_adversity_order_timing_test,P285_GRID_INV_TP4_SL4_H5,churn<=q50(610494.118466) and withdrawal<=q50(13616.795344) and beyond_l1>=q50(0.569244),234,-1,0,5,4.0,4.0,base,1,1,0,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_INV_TP8_SL4_H10,P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST,queue_adversity_order_timing_test,P285_GRID_INV_TP8_SL4_H10,churn<=q50(610494.118466) and withdrawal<=q50(13616.795344) and beyond_l1>=q50(0.569244),234,-1,1,10,8.0,4.0,slow,1,1,0,0,1
