scenario_id,scope_id,scope_candidate_id,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,cost_profile,cost_multiplier,extra_slippage_bps,input_event_rows,scheduled_event_rows,rejected_event_rows,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,rejected_insufficient_cash_rows,candidate_rows,scheduled_candidate_rows,symbols,scheduled_symbols,observed_trade_dates,realized_net_pnl_inr,portfolio_return_pct,mechanical_one_date_annualized_portfolio_return_pct,annualized_return_is_robust_portfolio_claim,annualized_above_12pct_research_diagnostic,scheduled_notional_inr,notional_turnover_x_initial_capital,avg_open_notional_utilization,max_drawdown_inr,portfolio_claim_allowed,strategy_replay_allowed,promotion_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed,phase286_variant_id,lifecycle_family_id,lifecycle_family,grid_id,selected_event_rows,side_multiplier,entry_delay_ticks,exit_horizon_ticks,take_profit_bps,stop_loss_bps,latency_bucket,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,lifecycle_proxy_model,sparse_diagnostic_event_floor_met,robust_portfolio_event_floor_met,cost200_above12_sparse_diagnostic,robust_portfolio_floor_above12
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT100000_CONC2_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,100000.0,100000.0,2,cost200,2.0,0.0,640,18,622,112,510,0,1,1,7,7,8,-755.6960763340375,-0.7556960763340375,-23.80442640452218,1,0,900000.0,9.0,0.96171875,-802.1960210491103,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,640,1,0,3,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT100000_CONC4_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,100000.0,100000.0,4,cost200,2.0,0.0,640,27,613,123,490,0,1,1,7,7,8,-556.8762331830767,-0.5568762331830767,-17.541601345266916,1,0,675000.0,6.75,0.914453125,-556.8762331830767,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,640,1,0,3,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT25000_CONC1_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,100000.0,25000.0,1,cost200,2.0,0.0,640,4,636,45,591,0,1,1,7,2,8,-118.07314947663227,-0.11807314947663228,-3.7193042085139165,1,0,100000.0,1.0,0.2484375,-118.07314947663227,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,640,1,0,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,0,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT25000_CONC2_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,100000.0,25000.0,2,cost200,2.0,0.0,640,8,632,70,562,0,1,1,7,5,8,-5.2975747077167075,-0.0052975747077167075,-0.1668736032930763,1,0,200000.0,2.0,0.48984375,-91.87387626265435,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,640,1,0,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT25000_CONC4_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,100000.0,25000.0,4,cost200,2.0,0.0,640,11,629,76,553,0,1,1,7,7,8,-84.7849946551049,-0.08478499465510489,-2.670727331635804,1,0,275000.0,2.75,0.944921875,-93.90061703276322,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,640,1,0,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT50000_CONC1_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,100000.0,50000.0,1,cost200,2.0,0.0,640,4,636,45,591,0,1,1,7,2,8,-236.14629895326453,-0.23614629895326456,-7.438608417027833,1,0,200000.0,2.0,0.496875,-236.14629895326453,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,640,1,0,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,0,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT50000_CONC2_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,100000.0,50000.0,2,cost200,2.0,0.0,640,8,632,70,562,0,1,1,7,5,8,-10.595149415433415,-0.010595149415433415,-0.3337472065861526,1,0,400000.0,4.0,0.9796875,-183.7477525253087,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,640,1,0,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT50000_CONC4_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,100000.0,50000.0,4,cost200,2.0,0.0,640,11,629,76,553,0,1,1,7,7,8,-84.7849946551049,-0.08478499465510489,-2.670727331635804,1,0,275000.0,2.75,0.944921875,-93.90061703276322,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,640,1,0,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT75000_CONC1_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,100000.0,75000.0,1,cost200,2.0,0.0,640,4,636,45,591,0,1,1,7,2,8,-354.2194484298968,-0.3542194484298968,-11.157912625541748,1,0,300000.0,3.0,0.7453125,-354.2194484298968,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,640,1,0,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,0,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT75000_CONC2_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,100000.0,75000.0,2,cost200,2.0,0.0,640,8,632,70,562,0,1,1,7,5,8,-10.595149415433415,-0.010595149415433415,-0.3337472065861526,1,0,400000.0,4.0,0.9796875,-183.7477525253087,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,640,1,0,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT75000_CONC4_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,100000.0,75000.0,4,cost200,2.0,0.0,640,11,629,76,553,0,1,1,7,7,8,-84.7849946551049,-0.08478499465510489,-2.670727331635804,1,0,275000.0,2.75,0.944921875,-93.90061703276322,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,640,1,0,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT100000_CONC1_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,100000.0,100000.0,1,cost200,2.0,0.0,640,4,636,45,591,0,1,1,7,2,8,-472.29259790652907,-0.4722925979065291,-14.877216834055666,1,0,400000.0,4.0,0.99375,-472.29259790652907,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,640,1,0,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,0,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT100000_CONC2_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,100000.0,100000.0,2,cost200,2.0,0.0,640,8,632,70,562,0,1,1,7,5,8,-10.595149415433415,-0.010595149415433415,-0.3337472065861526,1,0,400000.0,4.0,0.9796875,-183.7477525253087,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,640,1,0,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT100000_CONC4_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,100000.0,100000.0,4,cost200,2.0,0.0,640,11,629,76,553,0,1,1,7,7,8,-84.7849946551049,-0.08478499465510489,-2.670727331635804,1,0,275000.0,2.75,0.944921875,-93.90061703276322,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,640,1,0,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5_CAP100000_NOT25000_CONC1_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,100000.0,25000.0,1,cost200,2.0,0.0,640,4,636,45,591,0,1,1,7,2,8,-132.7750318790586,-0.1327750318790586,-4.182413504190346,1,0,100000.0,1.0,0.2484375,-132.7750318790586,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E1_H5,640,1,1,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,0,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5_CAP100000_NOT25000_CONC2_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,100000.0,25000.0,2,cost200,2.0,0.0,640,8,632,70,562,0,1,1,7,5,8,-28.59183667772851,-0.02859183667772851,-0.9006428553484481,1,0,200000.0,2.0,0.48984375,-101.87249430317614,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E1_H5,640,1,1,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5_CAP100000_NOT25000_CONC4_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,100000.0,25000.0,4,cost200,2.0,0.0,640,11,629,76,553,0,1,1,7,7,8,-111.31916284190748,-0.11131916284190749,-3.5065536295200856,1,0,275000.0,2.75,0.944921875,-119.23256706828136,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E1_H5,640,1,1,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5_CAP100000_NOT50000_CONC1_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,100000.0,50000.0,1,cost200,2.0,0.0,640,4,636,45,591,0,1,1,7,2,8,-265.5500637581172,-0.2655500637581172,-8.364827008380692,1,0,200000.0,2.0,0.496875,-265.5500637581172,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E1_H5,640,1,1,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,0,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5_CAP100000_NOT50000_CONC2_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,100000.0,50000.0,2,cost200,2.0,0.0,640,8,632,70,562,0,1,1,7,5,8,-57.18367335545702,-0.05718367335545702,-1.8012857106968962,1,0,400000.0,4.0,0.9796875,-203.74498860635228,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E1_H5,640,1,1,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5_CAP100000_NOT50000_CONC4_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,100000.0,50000.0,4,cost200,2.0,0.0,640,11,629,76,553,0,1,1,7,7,8,-111.31916284190748,-0.11131916284190749,-3.5065536295200856,1,0,275000.0,2.75,0.944921875,-119.23256706828136,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E1_H5,640,1,1,5,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
