symbol,instrument_class,row_count,file_count,file_bytes,compressed_bytes_per_row,first_receive_ms,last_receive_ms,first_receive_utc,last_receive_utc,duration_seconds,event_rate_per_second,duplicate_receive_ms,duplicate_monotonic_ns,receive_ms_order_violations,monotonic_ns_order_violations,min_interarrival_ms,median_interarrival_ms,p95_interarrival_ms,max_interarrival_ms,stale_gap_gt_5s_count,stale_gap_gt_15s_count,crossed_book_count,locked_book_count,negative_quantity_or_order_count,bid_depth_sort_error_rows,ask_depth_sort_error_rows,cumulative_volume_reversal_count,off_tick_005_price_count,inferred_min_last_price_increment,worst_null_field,worst_null_rate
HCLTECH,equity,29266,1569,56185830,1919.832911911433,1783914093966,1783936869211,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.211000+00:00,22775.245,1.2849916652927336,1869,0,0,0,0.0,500.0,4158.799999999999,211229.0,487,2,0,1,0,0,0,0,23217,0.09999999999990905,source_file_ordinal,0.0
HDFCBANK,equity,35959,1569,56719345,1577.3337690147112,1783914093966,1783936869060,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.060000+00:00,22775.094,1.5788738347248972,2598,0,0,0,0.0,500.0,1250.0,211229.0,212,2,0,1,0,0,0,0,28433,0.049999999999954525,source_file_ordinal,0.0
HINDUNILVR,equity,12173,1569,54585232,4484.123223527479,1783914093966,1783936869060,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.060000+00:00,22775.094,0.5344873658918817,262,0,0,0,0.0,1001.0,5859.449999999999,211231.0,1102,2,0,1,0,0,0,0,10054,0.09999999999990905,source_file_ordinal,0.0
ICICIBANK,equity,26474,1569,55797042,2107.616604970915,1783914093966,1783936869060,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.060000+00:00,22775.094,1.1624101309966053,1538,0,0,0,0.0,500.0,4201.399999999998,211229.0,531,2,0,1,0,0,0,0,21023,0.09999999999990905,source_file_ordinal,0.0
INFY,equity,34511,1569,56702770,1643.0346845933182,1783914093966,1783936869211,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.211000+00:00,22775.245,1.5152855655339823,2399,0,0,0,0.0,500.0,2627.0999999999913,211229.0,257,2,0,1,0,0,0,0,27475,0.09999999999990905,source_file_ordinal,0.0
ITBEES,etf,11481,1569,54430478,4740.917864297535,1783914310462,1783936882210,2026-07-13T03:45:10.462000+00:00,2026-07-13T10:01:22.210000+00:00,22571.748,0.5086447004458848,274,0,0,0,0.0,1250.0,5993.0,46146.0,1143,2,0,2,0,0,0,0,146037,0.00999999999999801,volume_traded,8.710042679209128e-05
ITC,equity,12379,1569,54356124,4390.994749171985,1783914093966,1783936869211,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.211000+00:00,22775.245,0.5435287304263906,294,0,0,0,0.0,1250.0,5750.0,211230.0,1063,2,0,1,0,0,0,0,9341,0.049999999999954525,source_file_ordinal,0.0
JUNIORBEES,etf,17442,1568,54832707,3143.716718266254,1783914310462,1783936882210,2026-07-13T03:45:10.462000+00:00,2026-07-13T10:01:22.210000+00:00,22571.748,0.7727358997628363,417,0,0,0,0.0,999.0,5021.0,50999.0,902,2,0,2,0,0,0,0,150082,0.009999999999990905,volume_traded,5.733287467033597e-05
KOTAKBANK,equity,14091,1569,54705403,3882.2938755233836,1783914093966,1783936869060,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.060000+00:00,22775.094,0.6187021664981931,496,0,0,0,0.0,1000.0,5475.549999999999,211229.0,993,2,0,1,0,0,0,0,11368,0.049999999999954525,source_file_ordinal,0.0
LT,equity,19466,1569,55064314,2828.7431418884207,1783914093966,1783936869211,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.211000+00:00,22775.245,0.8546999165102286,874,0,0,0,0.0,749.0,4750.0,211229.0,767,2,0,1,0,0,0,0,15328,0.09999999999990905,source_file_ordinal,0.0
M&M,equity,25699,1569,55603819,2163.6569127203393,1783914093966,1783936900961,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:40.961000+00:00,22806.995,1.1268034214941514,1284,0,0,0,0.0,501.0,4285.449999999993,211229.0,511,2,0,1,0,0,0,0,20448,0.09999999999990905,source_file_ordinal,0.0
MARUTI,equity,27645,1569,55534811,2008.8555254114667,1783914093966,1783936869060,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.060000+00:00,22775.094,1.2138259451311155,1314,0,0,0,0.0,502.0,4139.699999999997,206746.0,369,2,0,1,0,0,0,0,21952,1.0,source_file_ordinal,0.0
NESTLEIND,equity,12918,1569,54577884,4224.948444031584,1783914093966,1783936870211,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:10.211000+00:00,22776.245,0.5671698736995497,332,0,0,0,0.0,1000.0,5800.199999999999,211232.0,1137,2,0,1,0,0,0,0,10173,0.09999999999990905,source_file_ordinal,0.0
NIFTYBEES,etf,22414,1568,55113499,2458.8872579637728,1783914310711,1783936882210,2026-07-13T03:45:10.711000+00:00,2026-07-13T10:01:22.210000+00:00,22571.499,0.9930222179749781,964,0,0,0,0.0,749.0,4542.0,50999.0,649,2,0,2,0,0,0,0,282979,0.009999999999990905,volume_traded,4.46149727848666e-05
ONGC,equity,17305,1569,54856635,3169.9875758451317,1783914093966,1783936869211,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.211000+00:00,22775.245,0.7598161951715559,691,0,0,0,0.0,750.0,5000.0,211229.0,863,2,0,1,0,0,0,0,188184,0.009999999999990905,source_file_ordinal,0.0
RELIANCE,equity,26056,1569,55637533,2135.3059947804727,1783914093966,1783936868460,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:08.460000+00:00,22774.494,1.144086889482594,1567,0,0,0,0.0,500.0,4324.0,211230.0,615,2,0,1,0,0,0,0,20928,0.09999999999990905,source_file_ordinal,0.0
SBIN,equity,24728,1569,55549327,2246.414065027499,1783914093966,1783936869060,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.060000+00:00,22775.094,1.0857474397251663,1407,0,0,0,0.0,500.0,4329.0,206746.0,611,2,0,1,0,0,0,0,19658,0.09999999999990905,source_file_ordinal,0.0
SUNPHARMA,equity,14610,1569,54762618,3748.2969199178647,1783914093966,1783936869060,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.060000+00:00,22775.094,0.641490217340047,416,0,0,0,0.0,982.0,5483.999999999993,206746.0,1040,2,0,1,0,0,0,0,11963,0.09999999999990905,source_file_ordinal,0.0
TCS,equity,36467,1569,56845524,1558.8209614171717,1783914093966,1783936868460,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:08.460000+00:00,22774.494,1.6012210853070985,2640,0,0,0,0.0,500.0,1250.0,211229.0,190,2,0,1,0,0,0,0,29200,0.09999999999990905,source_file_ordinal,0.0
TECHM,equity,19124,1569,55179402,2885.348358084083,1783914093966,1783936869060,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.060000+00:00,22775.094,0.8396891797680396,753,0,0,0,0.0,749.0,4856.699999999993,211230.0,828,2,0,1,0,0,0,0,15438,0.09999999999990905,source_file_ordinal,0.0
ULTRACEMCO,equity,8386,1569,54242826,6468.2597185785835,1783914093966,1783936870211,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:10.211000+00:00,22776.245,0.3681906301938709,107,0,0,0,0.0,2245.0,6772.5999999999985,211233.0,1426,2,0,1,0,0,0,0,6650,1.0,source_file_ordinal,0.0
WIPRO,equity,20334,1569,55414740,2725.2257303039246,1783914093966,1783936869060,2026-07-13T03:41:33.966000+00:00,2026-07-13T10:01:09.060000+00:00,22775.094,0.8928173907866198,928,0,0,0,0.0,524.0,4730.799999999996,211229.0,781,2,0,1,0,0,0,0,234050,0.009999999999990905,source_file_ordinal,0.0
