symbol,instrument_class,horizon_ms,expected_bins,bins_with_update,coverage_fraction,forward_fill_fraction,supported_for_resampling
DRREDDY,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
DRREDDY,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
GOLDBEES,etf,100,225715,10808,0.0478833927740735,0.9521166072259265,False
GOLDBEES,etf,250,90286,10694,0.11844582770307689,0.8815541722969231,False
GOLDBEES,etf,500,45143,10145,0.2247303014863877,0.7752696985136123,False
GOLDBEES,etf,1000,22572,8936,0.39588871167818535,0.6041112883218147,False
GOLDBEES,etf,5000,4515,4217,0.9339977851605759,0.06600221483942414,True
GOLDBEES,etf,15000,1505,1502,0.9980066445182725,0.001993355481727521,True
GOLDBEES,etf,60000,377,377,1.0,0.0,True
HCLTECH,equity,100,227753,22310,0.09795699727336193,0.9020430027266381,False
HCLTECH,equity,250,91101,21917,0.24057913744086235,0.7594208625591377,False
HCLTECH,equity,500,45551,19521,0.4285526113586968,0.5714473886413032,False
HCLTECH,equity,1000,22776,14319,0.6286880927291886,0.3713119072708114,False
HCLTECH,equity,5000,4556,4389,0.9633450395083406,0.036654960491659394,True
HCLTECH,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
HCLTECH,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
HDFCBANK,equity,100,227751,27134,0.11913888413223213,0.8808611158677678,False
HDFCBANK,equity,250,91101,26690,0.2929715370852131,0.7070284629147869,False
HDFCBANK,equity,500,45551,23456,0.5149392988079295,0.48506070119207045,False
HDFCBANK,equity,1000,22776,16585,0.728178784685634,0.271821215314366,False
HDFCBANK,equity,5000,4556,4465,0.9800263388937664,0.019973661106233553,True
HDFCBANK,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
HDFCBANK,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
HINDUNILVR,equity,100,227751,10132,0.044487181175933366,0.9555128188240667,False
HINDUNILVR,equity,250,91101,9982,0.10957069626019472,0.8904293037398052,False
HINDUNILVR,equity,500,45551,9496,0.20846962745054992,0.79153037254945,False
HINDUNILVR,equity,1000,22776,8612,0.37811731647348085,0.6218826835265192,False
HINDUNILVR,equity,5000,4556,4210,0.9240561896400351,0.07594381035996489,True
HINDUNILVR,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
HINDUNILVR,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
ICICIBANK,equity,100,227751,20386,0.08951003508217308,0.910489964917827,False
ICICIBANK,equity,250,91101,20083,0.22044763504242543,0.7795523649575746,False
ICICIBANK,equity,500,45551,18126,0.39792759763781255,0.6020724023621875,False
ICICIBANK,equity,1000,22776,13722,0.6024762908324552,0.39752370916754476,False
ICICIBANK,equity,5000,4556,4395,0.9646619841966637,0.03533801580333629,True
ICICIBANK,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
ICICIBANK,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
INFY,equity,100,227753,26099,0.11459344114018256,0.8854065588598174,False
INFY,equity,250,91101,25652,0.28157758970812613,0.7184224102918739,False
INFY,equity,500,45551,22556,0.4951812254396171,0.5048187745603829,False
INFY,equity,1000,22776,16227,0.7124604847207587,0.28753951527924126,False
INFY,equity,5000,4556,4458,0.9784899034240562,0.021510096575943827,True
INFY,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
INFY,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
ITBEES,etf,100,225718,9675,0.042863218706527616,0.9571367812934723,False
ITBEES,etf,250,90287,9586,0.1061725386822023,0.8938274613177977,False
ITBEES,etf,500,45144,9198,0.20374800637958532,0.7962519936204147,False
ITBEES,etf,1000,22572,8281,0.3668704589757221,0.6331295410242779,False
ITBEES,etf,5000,4515,4192,0.9284606866002215,0.07153931339977848,True
ITBEES,etf,15000,1505,1502,0.9980066445182725,0.001993355481727521,True
ITBEES,etf,60000,377,377,1.0,0.0,True
ITC,equity,100,227753,10297,0.04521125956628453,0.9547887404337154,False
ITC,equity,250,91101,10163,0.11155750211303937,0.8884424978869606,False
ITC,equity,500,45551,9654,0.21193826699743146,0.7880617330025685,False
ITC,equity,1000,22776,8735,0.38351773796979277,0.6164822620302073,False
ITC,equity,5000,4556,4237,0.929982440737489,0.07001755926251096,True
ITC,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
ITC,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
JUNIORBEES,etf,100,225718,13926,0.061696453096341454,0.9383035469036586,False
JUNIORBEES,etf,250,90287,13825,0.15312281945352044,0.8468771805464795,False
JUNIORBEES,etf,500,45144,13135,0.2909578238525607,0.7090421761474393,False
JUNIORBEES,etf,1000,22572,11712,0.5188729399255715,0.4811270600744285,False
JUNIORBEES,etf,5000,4515,4248,0.9408637873754153,0.05913621262458468,True
JUNIORBEES,etf,15000,1505,1502,0.9980066445182725,0.001993355481727521,True
JUNIORBEES,etf,60000,377,377,1.0,0.0,True
KOTAKBANK,equity,100,227751,11497,0.05048056869124614,0.9495194313087538,False
KOTAKBANK,equity,250,91101,11356,0.124652857817148,0.875347142182852,False
KOTAKBANK,equity,500,45551,10719,0.23531865381660116,0.7646813461833988,False
KOTAKBANK,equity,1000,22776,9428,0.4139445029855989,0.5860554970144012,False
KOTAKBANK,equity,5000,4556,4252,0.9332748024582967,0.06672519754170325,True
KOTAKBANK,equity,15000,1519,1503,0.989466754443713,0.010533245556286985,True
KOTAKBANK,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
LT,equity,100,227753,15441,0.06779713110255409,0.932202868897446,False
LT,equity,250,91101,15214,0.16700145991811285,0.8329985400818871,False
LT,equity,500,45551,14010,0.30756734210006365,0.6924326578999364,False
LT,equity,1000,22776,11488,0.5043905865823674,0.49560941341763265,False
LT,equity,5000,4556,4327,0.9497366110623354,0.05026338893766458,True
LT,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
LT,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
M&M,equity,100,228070,19778,0.0867189897838383,0.9132810102161617,False
M&M,equity,250,91228,19472,0.21344324111018548,0.7865567588898146,False
M&M,equity,500,45614,17825,0.3907791467531898,0.6092208532468102,False
M&M,equity,1000,22807,14143,0.6201166308589469,0.37988336914105314,False
M&M,equity,5000,4562,4396,0.9636124506795265,0.0363875493204735,True
M&M,equity,15000,1521,1502,0.9875082182774491,0.012491781722550943,True
M&M,equity,60000,381,378,0.9921259842519685,0.007874015748031482,True
MARUTI,equity,100,227751,21249,0.09329926103507778,0.9067007389649222,False
MARUTI,equity,250,91101,20920,0.2296352400083424,0.7703647599916577,False
MARUTI,equity,500,45551,19147,0.42034203420342037,0.5796579657965797,False
MARUTI,equity,1000,22776,15406,0.6764137688795223,0.3235862311204777,False
MARUTI,equity,5000,4556,4443,0.9751975417032485,0.02480245829675154,True
MARUTI,equity,15000,1519,1504,0.990125082290981,0.009874917709019049,True
MARUTI,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
NESTLEIND,equity,100,227763,10638,0.046706444857154146,0.9532935551428459,False
NESTLEIND,equity,250,91105,10506,0.11531749080731024,0.8846825091926898,False
NESTLEIND,equity,500,45553,10011,0.21976598687243432,0.7802340131275657,False
NESTLEIND,equity,1000,22777,9040,0.39689160117662553,0.6031083988233745,False
NESTLEIND,equity,5000,4556,4204,0.922739244951712,0.077260755048288,True
NESTLEIND,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
NESTLEIND,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
NIFTYBEES,etf,100,225715,17492,0.0774959572912744,0.9225040427087257,False
NIFTYBEES,etf,250,90286,17254,0.191103825620805,0.808896174379195,False
NIFTYBEES,etf,500,45143,15890,0.3519925569855792,0.6480074430144208,False
NIFTYBEES,etf,1000,22572,13055,0.5783714336345915,0.42162856636540846,False
NIFTYBEES,etf,5000,4515,4331,0.9592469545957918,0.04075304540420821,True
NIFTYBEES,etf,15000,1505,1502,0.9980066445182725,0.001993355481727521,True
NIFTYBEES,etf,60000,377,377,1.0,0.0,True
ONGC,equity,100,227753,13859,0.0608510096464152,0.9391489903535848,False
ONGC,equity,250,91101,13656,0.14989956202456614,0.8501004379754339,False
ONGC,equity,500,45551,12669,0.2781278127812781,0.7218721872187219,False
ONGC,equity,1000,22776,10659,0.4679926238145416,0.5320073761854585,False
ONGC,equity,5000,4556,4303,0.944468832309043,0.055531167690957006,True
ONGC,equity,15000,1519,1503,0.989466754443713,0.010533245556286985,True
ONGC,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
RELIANCE,equity,100,227745,20019,0.08790094184285056,0.9120990581571494,False
RELIANCE,equity,250,91098,19714,0.21640431183999648,0.7835956881600035,False
RELIANCE,equity,500,45549,17574,0.3858262530461701,0.61417374695383,False
RELIANCE,equity,1000,22775,13237,0.5812074643249177,0.41879253567508234,False
RELIANCE,equity,5000,4555,4370,0.9593852908891328,0.040614709110867175,True
RELIANCE,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
RELIANCE,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
SBIN,equity,100,227751,19108,0.0838986436942099,0.91610135630579,False
SBIN,equity,250,91101,18827,0.20666073917959188,0.7933392608204082,False
SBIN,equity,500,45551,16863,0.3702004346776141,0.6297995653223859,False
SBIN,equity,1000,22776,13083,0.5744204425711275,0.42557955742887255,False
SBIN,equity,5000,4556,4367,0.9585162423178226,0.04148375768217738,True
SBIN,equity,15000,1519,1503,0.989466754443713,0.010533245556286985,True
SBIN,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
SUNPHARMA,equity,100,227751,11879,0.05215783904351683,0.9478421609564832,False
SUNPHARMA,equity,250,91101,11694,0.12836302565284685,0.8716369743471531,False
SUNPHARMA,equity,500,45551,10982,0.24109240192311915,0.7589075980768809,False
SUNPHARMA,equity,1000,22776,9583,0.42074991218826835,0.5792500878117317,False
SUNPHARMA,equity,5000,4556,4256,0.9341527655838455,0.06584723441615448,True
SUNPHARMA,equity,15000,1519,1503,0.989466754443713,0.010533245556286985,True
SUNPHARMA,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
TCS,equity,100,227745,27505,0.12077103778348591,0.8792289622165141,False
TCS,equity,250,91098,27041,0.2968341785769172,0.7031658214230828,False
TCS,equity,500,45549,23740,0.5211969527322224,0.47880304726777756,False
TCS,equity,1000,22775,16827,0.7388364434687157,0.2611635565312843,False
TCS,equity,5000,4555,4479,0.9833150384193194,0.016684961580680557,True
TCS,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
TCS,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
TECHM,equity,100,227751,15159,0.06655953212060539,0.9334404678793946,False
TECHM,equity,250,91101,14941,0.16400478589697148,0.8359952141030285,False
TECHM,equity,500,45551,13759,0.3020570349717899,0.6979429650282101,False
TECHM,equity,1000,22776,11330,0.4974534597822269,0.5025465402177731,False
TECHM,equity,5000,4556,4291,0.9418349429323969,0.05816505706760311,True
TECHM,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
TECHM,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
ULTRACEMCO,equity,100,227763,7432,0.03263040968023779,0.9673695903197622,False
ULTRACEMCO,equity,250,91105,7358,0.08076395367981999,0.91923604632018,False
ULTRACEMCO,equity,500,45553,7153,0.15702588193971856,0.8429741180602814,False
ULTRACEMCO,equity,1000,22777,6786,0.2979321245115687,0.7020678754884313,False
ULTRACEMCO,equity,5000,4556,4100,0.8999122036874452,0.10008779631255482,False
ULTRACEMCO,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
ULTRACEMCO,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
WIPRO,equity,100,227751,15961,0.07008092170835693,0.9299190782916431,False
WIPRO,equity,250,91101,15710,0.17244596656458216,0.8275540334354179,False
WIPRO,equity,500,45551,14248,0.31279225483523965,0.6872077451647604,False
WIPRO,equity,1000,22776,11500,0.5049174569722515,0.49508254302774846,False
WIPRO,equity,5000,4556,4304,0.9446883230904302,0.05531167690956984,True
WIPRO,equity,15000,1519,1502,0.9888084265964451,0.011191573403554922,True
WIPRO,equity,60000,380,378,0.9947368421052631,0.0052631578947368585,True
