sorted_shard_index,trade_month,symbol,shard_path,already_labeled_by_any_passive_stage,target_priority
75,2026-03,HCLTECH,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=HCLTECH\part-00000.parquet,False,1
76,2026-03,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=HDFCBANK\part-00000.parquet,False,1
77,2026-03,HINDUNILVR,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=HINDUNILVR\part-00000.parquet,False,1
78,2026-03,ICICIBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ICICIBANK\part-00000.parquet,False,1
79,2026-03,INFY,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=INFY\part-00000.parquet,False,1
80,2026-03,ITBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ITBEES\part-00000.parquet,False,1
81,2026-03,ITC,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ITC\part-00000.parquet,False,1
82,2026-03,JUNIORBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=JUNIORBEES\part-00000.parquet,False,1
83,2026-03,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=KOTAKBANK\part-00000.parquet,False,1
84,2026-03,LT,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=LT\part-00000.parquet,False,1
85,2026-03,M&M,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=M&M\part-00000.parquet,False,1
86,2026-03,MARUTI,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=MARUTI\part-00000.parquet,False,1
87,2026-03,NESTLEIND,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=NESTLEIND\part-00000.parquet,False,1
88,2026-03,NIFTYBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=NIFTYBEES\part-00000.parquet,False,1
89,2026-03,ONGC,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ONGC\part-00000.parquet,False,1
90,2026-03,RELIANCE,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=RELIANCE\part-00000.parquet,False,1
91,2026-03,SBIN,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=SBIN\part-00000.parquet,False,1
92,2026-03,SUNPHARMA,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=SUNPHARMA\part-00000.parquet,False,1
93,2026-03,TCS,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=TCS\part-00000.parquet,False,1
94,2026-03,TECHM,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=TECHM\part-00000.parquet,False,1
95,2026-03,ULTRACEMCO,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ULTRACEMCO\part-00000.parquet,False,1
96,2026-03,WIPRO,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=WIPRO\part-00000.parquet,False,1
97,2026-04,ADANIPORTS,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ADANIPORTS\part-00000.parquet,False,1
98,2026-04,AXISBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=AXISBANK\part-00000.parquet,False,1
99,2026-04,BAJAJ-AUTO,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BAJAJ-AUTO\part-00000.parquet,False,1
100,2026-04,BANKBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BANKBEES\part-00000.parquet,False,1
101,2026-04,BHARTIARTL,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BHARTIARTL\part-00000.parquet,False,1
102,2026-04,BPCL,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BPCL\part-00000.parquet,False,1
103,2026-04,BRITANNIA,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BRITANNIA\part-00000.parquet,False,1
104,2026-04,CIPLA,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=CIPLA\part-00000.parquet,False,1
105,2026-04,DRREDDY,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=DRREDDY\part-00000.parquet,False,1
106,2026-04,GOLDBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=GOLDBEES\part-00000.parquet,False,1
107,2026-04,HCLTECH,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=HCLTECH\part-00000.parquet,False,1
108,2026-04,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=HDFCBANK\part-00000.parquet,False,1
109,2026-04,HINDUNILVR,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=HINDUNILVR\part-00000.parquet,False,1
110,2026-04,ICICIBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ICICIBANK\part-00000.parquet,False,1
111,2026-04,INFY,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=INFY\part-00000.parquet,False,1
112,2026-04,ITBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ITBEES\part-00000.parquet,False,1
113,2026-04,ITC,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ITC\part-00000.parquet,False,1
114,2026-04,JUNIORBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=JUNIORBEES\part-00000.parquet,False,1
115,2026-04,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=KOTAKBANK\part-00000.parquet,False,1
116,2026-04,LT,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=LT\part-00000.parquet,False,1
117,2026-04,M&M,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=M&M\part-00000.parquet,False,1
118,2026-04,MARUTI,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=MARUTI\part-00000.parquet,False,1
119,2026-04,NESTLEIND,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=NESTLEIND\part-00000.parquet,False,1
120,2026-04,NIFTYBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=NIFTYBEES\part-00000.parquet,False,1
121,2026-04,ONGC,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ONGC\part-00000.parquet,False,1
122,2026-04,RELIANCE,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=RELIANCE\part-00000.parquet,False,1
123,2026-04,SBIN,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=SBIN\part-00000.parquet,False,1
124,2026-04,SUNPHARMA,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=SUNPHARMA\part-00000.parquet,False,1
125,2026-04,TCS,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=TCS\part-00000.parquet,False,1
126,2026-04,TECHM,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=TECHM\part-00000.parquet,False,1
127,2026-04,ULTRACEMCO,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ULTRACEMCO\part-00000.parquet,False,1
128,2026-04,WIPRO,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=WIPRO\part-00000.parquet,False,1
129,2026-05,ADANIPORTS,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=ADANIPORTS\part-00000.parquet,False,1
130,2026-05,AXISBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=AXISBANK\part-00000.parquet,False,1
131,2026-05,BAJAJ-AUTO,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=BAJAJ-AUTO\part-00000.parquet,False,1
132,2026-05,BANKBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=BANKBEES\part-00000.parquet,False,1
133,2026-05,BHARTIARTL,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=BHARTIARTL\part-00000.parquet,False,1
134,2026-05,BPCL,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=BPCL\part-00000.parquet,False,1
135,2026-05,BRITANNIA,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=BRITANNIA\part-00000.parquet,False,1
136,2026-05,CIPLA,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=CIPLA\part-00000.parquet,False,1
137,2026-05,DRREDDY,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=DRREDDY\part-00000.parquet,False,1
138,2026-05,GOLDBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=GOLDBEES\part-00000.parquet,False,1
139,2026-05,HCLTECH,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=HCLTECH\part-00000.parquet,False,1
140,2026-05,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=HDFCBANK\part-00000.parquet,False,1
141,2026-05,HINDUNILVR,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=HINDUNILVR\part-00000.parquet,False,1
142,2026-05,ICICIBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=ICICIBANK\part-00000.parquet,False,1
143,2026-05,INFY,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=INFY\part-00000.parquet,False,1
144,2026-05,ITBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=ITBEES\part-00000.parquet,False,1
145,2026-05,ITC,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=ITC\part-00000.parquet,False,1
146,2026-05,JUNIORBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=JUNIORBEES\part-00000.parquet,False,1
147,2026-05,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=KOTAKBANK\part-00000.parquet,False,1
148,2026-05,LT,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=LT\part-00000.parquet,False,1
149,2026-05,M&M,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=M&M\part-00000.parquet,False,1
150,2026-05,MARUTI,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=MARUTI\part-00000.parquet,False,1
151,2026-05,NESTLEIND,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=NESTLEIND\part-00000.parquet,False,1
152,2026-05,NIFTYBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=NIFTYBEES\part-00000.parquet,False,1
153,2026-05,ONGC,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=ONGC\part-00000.parquet,False,1
154,2026-05,RELIANCE,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=RELIANCE\part-00000.parquet,False,1
155,2026-05,SBIN,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=SBIN\part-00000.parquet,False,1
156,2026-05,SUNPHARMA,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=SUNPHARMA\part-00000.parquet,False,1
157,2026-05,TCS,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=TCS\part-00000.parquet,False,1
158,2026-05,TECHM,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=TECHM\part-00000.parquet,False,1
159,2026-05,ULTRACEMCO,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=ULTRACEMCO\part-00000.parquet,False,1
160,2026-05,WIPRO,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=WIPRO\part-00000.parquet,False,1
161,2026-06,ADANIPORTS,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=ADANIPORTS\part-00000.parquet,False,1
162,2026-06,AXISBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=AXISBANK\part-00000.parquet,False,1
163,2026-06,BAJAJ-AUTO,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=BAJAJ-AUTO\part-00000.parquet,False,1
164,2026-06,BANKBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=BANKBEES\part-00000.parquet,False,1
165,2026-06,BHARTIARTL,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=BHARTIARTL\part-00000.parquet,False,1
166,2026-06,BPCL,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=BPCL\part-00000.parquet,False,1
167,2026-06,BRITANNIA,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=BRITANNIA\part-00000.parquet,False,1
168,2026-06,CIPLA,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=CIPLA\part-00000.parquet,False,1
169,2026-06,DRREDDY,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=DRREDDY\part-00000.parquet,False,1
170,2026-06,GOLDBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=GOLDBEES\part-00000.parquet,False,1
171,2026-06,HCLTECH,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=HCLTECH\part-00000.parquet,False,1
172,2026-06,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=HDFCBANK\part-00000.parquet,False,1
173,2026-06,HINDUNILVR,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=HINDUNILVR\part-00000.parquet,False,1
174,2026-06,ICICIBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=ICICIBANK\part-00000.parquet,False,1
175,2026-06,INFY,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=INFY\part-00000.parquet,False,1
176,2026-06,ITBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=ITBEES\part-00000.parquet,False,1
177,2026-06,ITC,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=ITC\part-00000.parquet,False,1
178,2026-06,JUNIORBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=JUNIORBEES\part-00000.parquet,False,1
179,2026-06,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=KOTAKBANK\part-00000.parquet,False,1
180,2026-06,LT,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=LT\part-00000.parquet,False,1
181,2026-06,M&M,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=M&M\part-00000.parquet,False,1
182,2026-06,MARUTI,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=MARUTI\part-00000.parquet,False,1
183,2026-06,NESTLEIND,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=NESTLEIND\part-00000.parquet,False,1
184,2026-06,NIFTYBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=NIFTYBEES\part-00000.parquet,False,1
185,2026-06,ONGC,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=ONGC\part-00000.parquet,False,1
186,2026-06,RELIANCE,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=RELIANCE\part-00000.parquet,False,1
187,2026-06,SBIN,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=SBIN\part-00000.parquet,False,1
188,2026-06,SUNPHARMA,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=SUNPHARMA\part-00000.parquet,False,1
189,2026-06,TCS,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=TCS\part-00000.parquet,False,1
190,2026-06,TECHM,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=TECHM\part-00000.parquet,False,1
191,2026-06,ULTRACEMCO,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=ULTRACEMCO\part-00000.parquet,False,1
192,2026-06,WIPRO,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=WIPRO\part-00000.parquet,False,1
193,2026-07,ADANIPORTS,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=ADANIPORTS\part-00000.parquet,False,1
194,2026-07,AXISBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=AXISBANK\part-00000.parquet,False,1
195,2026-07,BAJAJ-AUTO,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=BAJAJ-AUTO\part-00000.parquet,False,1
196,2026-07,BANKBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=BANKBEES\part-00000.parquet,False,1
197,2026-07,BHARTIARTL,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=BHARTIARTL\part-00000.parquet,False,1
198,2026-07,BPCL,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=BPCL\part-00000.parquet,False,1
199,2026-07,BRITANNIA,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=BRITANNIA\part-00000.parquet,False,1
200,2026-07,CIPLA,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=CIPLA\part-00000.parquet,False,1
201,2026-07,DRREDDY,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=DRREDDY\part-00000.parquet,False,1
202,2026-07,GOLDBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=GOLDBEES\part-00000.parquet,False,1
203,2026-07,HCLTECH,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=HCLTECH\part-00000.parquet,False,1
204,2026-07,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=HDFCBANK\part-00000.parquet,False,1
205,2026-07,HINDUNILVR,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=HINDUNILVR\part-00000.parquet,False,1
206,2026-07,ICICIBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=ICICIBANK\part-00000.parquet,False,1
207,2026-07,INFY,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=INFY\part-00000.parquet,False,1
208,2026-07,ITBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=ITBEES\part-00000.parquet,False,1
209,2026-07,ITC,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=ITC\part-00000.parquet,False,1
210,2026-07,JUNIORBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=JUNIORBEES\part-00000.parquet,False,1
211,2026-07,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=KOTAKBANK\part-00000.parquet,False,1
212,2026-07,LT,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=LT\part-00000.parquet,False,1
213,2026-07,M&M,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=M&M\part-00000.parquet,False,1
214,2026-07,MARUTI,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=MARUTI\part-00000.parquet,False,1
215,2026-07,NESTLEIND,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=NESTLEIND\part-00000.parquet,False,1
216,2026-07,NIFTYBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=NIFTYBEES\part-00000.parquet,False,1
217,2026-07,ONGC,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=ONGC\part-00000.parquet,False,1
218,2026-07,RELIANCE,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=RELIANCE\part-00000.parquet,False,1
219,2026-07,SBIN,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=SBIN\part-00000.parquet,False,1
220,2026-07,SUNPHARMA,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=SUNPHARMA\part-00000.parquet,False,1
221,2026-07,TCS,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=TCS\part-00000.parquet,False,1
222,2026-07,TECHM,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=TECHM\part-00000.parquet,False,1
223,2026-07,ULTRACEMCO,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=ULTRACEMCO\part-00000.parquet,False,1
224,2026-07,WIPRO,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=WIPRO\part-00000.parquet,False,1
225,2026-08,ADANIPORTS,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=ADANIPORTS\part-00000.parquet,False,1
226,2026-08,AXISBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=AXISBANK\part-00000.parquet,False,1
227,2026-08,BAJAJ-AUTO,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BAJAJ-AUTO\part-00000.parquet,False,1
228,2026-08,BANKBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BANKBEES\part-00000.parquet,False,1
229,2026-08,BHARTIARTL,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BHARTIARTL\part-00000.parquet,False,1
230,2026-08,BPCL,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BPCL\part-00000.parquet,False,1
231,2026-08,BRITANNIA,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BRITANNIA\part-00000.parquet,False,1
232,2026-08,CIPLA,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=CIPLA\part-00000.parquet,False,1
233,2026-08,DRREDDY,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=DRREDDY\part-00000.parquet,False,1
234,2026-08,GOLDBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=GOLDBEES\part-00000.parquet,False,1
235,2026-08,HCLTECH,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=HCLTECH\part-00000.parquet,False,1
236,2026-08,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=HDFCBANK\part-00000.parquet,False,1
237,2026-08,HINDUNILVR,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=HINDUNILVR\part-00000.parquet,False,1
238,2026-08,ICICIBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=ICICIBANK\part-00000.parquet,False,1
239,2026-08,INFY,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=INFY\part-00000.parquet,False,1
240,2026-08,ITBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=ITBEES\part-00000.parquet,False,1
241,2026-08,ITC,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=ITC\part-00000.parquet,False,1
242,2026-08,JUNIORBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=JUNIORBEES\part-00000.parquet,False,1
