freeze_rank,scenario_id,lane_id,horizon_seconds,signal_quantile,spread_max_quantile,depth_share_min_quantile,top_n_per_event,side_policy,execution_policy,cost_profile,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,scheduled_event_rows,symbol_rows,observed_trade_dates,trade_rows,net_pnl_inr,annualized_return_pct,side_flip_annualized_return_pct,random_side_annualized_return_pct,control_pass,frozen_for_holdout,candidate_selection_source,holdout_tuning_allowed,posthoc_filter_addition_allowed,primary_holdout_execution_policy,passive_aware_diagnostic_required
11,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p350_DSQ0p750_TOP3_H1800_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC1_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.35,0.75,3,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,100000.0,1,45,9,45,45,2695.40069373809,15.094243884933306,-98.4482089419002,-71.93174488395029,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
12,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p350_DSQ0p750_TOP3_H1800_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.35,0.75,3,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,100000.0,2,45,9,45,45,2695.40069373809,15.094243884933306,-98.4482089419002,-71.93174488395029,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
13,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p350_DSQ0p750_TOP3_H1800_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.35,0.75,3,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,100000.0,4,45,9,45,45,2695.40069373809,15.094243884933306,-98.4482089419002,-71.93174488395029,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
14,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p350_DSQ0p750_TOP4_H1800_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC1_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.35,0.75,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,100000.0,1,45,9,45,45,2695.40069373809,15.094243884933306,-98.4482089419002,-71.93174488395029,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
15,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p350_DSQ0p750_TOP4_H1800_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.35,0.75,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,100000.0,2,45,9,45,45,2695.40069373809,15.094243884933306,-98.4482089419002,-71.93174488395029,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
16,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p350_DSQ0p750_TOP4_H1800_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.35,0.75,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,100000.0,4,45,9,45,45,2695.40069373809,15.094243884933306,-98.4482089419002,-71.93174488395029,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
17,P335_P334_LANE_B_TURNOVER_COMPRESSION_SQ0p500_SPQ0p500_DSQ0p500_TOP2_H1800_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_B_TURNOVER_COMPRESSION,1800,0.5,0.5,0.5,2,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,46,16,46,90,6368.144286728053,13.954542263091035,-79.18988966672885,-67.576216962213,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
18,P335_P334_LANE_B_TURNOVER_COMPRESSION_SQ0p500_SPQ0p500_DSQ0p500_TOP2_H1800_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_B_TURNOVER_COMPRESSION,1800,0.5,0.5,0.5,2,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,4,46,16,46,90,6368.144286728053,13.954542263091035,-79.18988966672885,-67.576216962213,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
19,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p500_DSQ0p500_TOP3_H1800_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.5,0.5,3,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,46,16,46,90,6368.144286728053,13.954542263091035,-79.18988966672885,-67.576216962213,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
20,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p500_DSQ0p500_TOP3_H1800_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.5,0.5,3,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,4,46,16,46,90,6368.144286728053,13.954542263091035,-79.18988966672885,-67.576216962213,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
21,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p500_DSQ0p500_TOP4_H1800_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.5,0.5,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,46,16,46,90,6368.144286728053,13.954542263091035,-79.18988966672885,-67.576216962213,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
22,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p500_DSQ0p500_TOP4_H1800_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.5,0.5,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,4,46,16,46,90,6368.144286728053,13.954542263091035,-79.18988966672885,-67.576216962213,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
23,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p500_DSQ0p750_TOP3_H1800_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.5,0.75,3,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,46,16,46,90,6368.144286728053,13.954542263091035,-79.18988966672885,-67.576216962213,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
24,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p500_DSQ0p750_TOP3_H1800_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.5,0.75,3,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,4,46,16,46,90,6368.144286728053,13.954542263091035,-79.18988966672885,-67.576216962213,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
25,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p500_DSQ0p750_TOP4_H1800_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.5,0.75,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,2,46,16,46,90,6368.144286728053,13.954542263091035,-79.18988966672885,-67.576216962213,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
26,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p500_DSQ0p750_TOP4_H1800_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.5,0.75,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,100000.0,4,46,16,46,90,6368.144286728053,13.954542263091035,-79.18988966672885,-67.576216962213,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
27,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p500_DSQ0p500_TOP4_H1800_long_only_taker_entry_taker_exit_CAP250000_NOT50000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.5,0.5,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,50000.0,4,46,21,46,153,5967.182169519139,13.07591223233759,-85.12090024328194,-52.37183723523286,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
28,P335_P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN_SQ0p500_SPQ0p500_DSQ0p750_TOP4_H1800_long_only_taker_entry_taker_exit_CAP250000_NOT50000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_C_SPREAD_AND_BOOK_QUALITY_MARGIN,1800,0.5,0.5,0.75,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,250000.0,50000.0,4,46,21,46,153,5967.182169519139,13.07591223233759,-85.12090024328194,-52.37183723523286,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
29,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP100000_NOT50000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,0.75,1.0,0.5,2,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,50000.0,2,47,16,47,86,2378.357007970366,12.752041829968768,-111.8178644584983,-52.81948063373358,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
30,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP100000_NOT50000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,0.75,1.0,0.5,2,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,50000.0,4,47,16,47,86,2378.357007970366,12.752041829968768,-111.8178644584983,-52.81948063373358,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
31,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP4_H900_long_only_taker_entry_taker_exit_CAP100000_NOT50000_CONC2_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,0.75,1.0,0.5,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,50000.0,2,47,16,47,86,2378.357007970366,12.752041829968768,-111.8178644584983,-52.81948063373358,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
32,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP4_H900_long_only_taker_entry_taker_exit_CAP100000_NOT50000_CONC4_zerodha_2x_all_in_cost_proxy,P334_LANE_D_HORIZON_AND_EXIT_MARGIN,900,0.75,1.0,0.5,4,long_only,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,100000.0,50000.0,4,47,16,47,86,2378.357007970366,12.752041829968768,-111.8178644584983,-52.81948063373358,1,1,phase336_acceptance_grade_candidate_ledger,0,0,taker_entry_taker_exit,1
