trade_date,exchange,symbol,parquet_files,bytes,phase1_delta_rows,book_valid_fraction,stale_gap_gt_15s_count,median_elapsed_ms,p95_elapsed_ms,raw_file_coverage_status,phase1_delta_available,class_b_event_grade_now,blocking_reason
2026-07-13,NSE,HDFCBANK,1569,56719345,35959,0.999972190550349,2,500.0,1250.0,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,HINDUNILVR,1569,54585232,12173,0.9999178509816808,2,1001.0,5859.449999999999,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,ICICIBANK,1569,55797042,26474,0.9999622270907306,2,500.0,4201.399999999998,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,INFY,1569,56702770,34511,0.999971023731564,2,500.0,2627.0999999999917,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,ITBEES,1569,54430478,11481,0.9998257991464158,2,1250.0,5993.0,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,ITC,1569,54356124,12379,0.9999192180305356,2,1250.0,5750.0,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,JUNIORBEES,1568,54832707,17442,0.9998853342506592,2,999.0,5021.0,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,KOTAKBANK,1569,54705403,14091,0.999929032715918,2,1000.0,5475.549999999999,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,LT,1569,55064314,19466,0.9999486283776842,2,749.0,4750.0,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,M&M,1569,55603819,25699,0.9999610879800772,2,501.0,4285.449999999993,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,MARUTI,1569,55534811,27645,0.999963827093507,2,502.0,4139.699999999997,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,NESTLEIND,1569,54577884,12918,0.9999225886360118,2,1000.0,5800.199999999999,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,NIFTYBEES,1568,55113499,22414,0.9999107700544304,2,749.0,4542.0,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,ONGC,1569,54856635,17305,0.9999422132331696,2,750.0,5000.0,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,RELIANCE,1569,55637533,26056,0.9999616211237335,2,500.0,4324.0,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,SBIN,1569,55549327,24728,0.9999595600129408,2,500.0,4329.0,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,SUNPHARMA,1569,54762618,14610,0.9999315537303216,2,982.0,5483.999999999993,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,TCS,1569,56845524,36467,0.9999725779471852,2,500.0,1250.0,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,TECHM,1569,55179402,19124,0.9999477096841664,2,749.0,4856.699999999993,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,ULTRACEMCO,1569,54242826,8386,0.999880753637014,2,2245.0,6772.599999999999,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
2026-07-13,NSE,WIPRO,1569,55414740,20334,0.999950821284548,2,524.0,4730.799999999996,raw_files_present,True,False,Only one raw sample day is available and Stage A2 capture diagnostics remain open.
