phase,runner_count,output_rows,has_runner,has_outputs,has_acceptance_summary,status,branch,strategy_replay_allowed,pnl_allowed,test_rows_used,test_replay_execution,test_result_allowed,test_replay_allowed_next,untouched_test_replay_precommit_allowed,reuse_without_redesign_allowed,additional_validation_breadth_available_now,may_relabel_test_as_validation,breadth_warning,date_count_warning,promotion_allowed,paper_or_live_acceptance_allowed,next_action,runner,output_dir
48,1,1,True,True,False,script_only,,,,,,,,,,,,,,,,,scripts\run_phase48_raw_lake_compaction_benchmark.py,outputs\phase48
49,1,1,True,True,False,script_only,,,,,,,,,,,,,,,,,scripts\run_phase49_dense_tick_rate_expansion.py,outputs\phase49
50,1,1,True,True,False,script_only,,,,,,,,,,,,,,,,,scripts\run_phase50_dense_lake_shard_planner.py,outputs\phase50
51,1,2,True,True,False,smoke_or_partial,,,,,,,,,,,,,,,,,scripts\run_phase51_full_dense_lake_materializer.py,outputs\phase51|outputs\phase51_smoke
52,1,3,True,True,True,partial_or_smoke_artifacts_present,dense_synthetic_replay,0,,,,,,,,,,,,,,do_not_promote_partial_dense_replay_without_acceptance_gate,scripts\run_phase52_dense_lake_strategy_replay.py,outputs\phase52|outputs\phase52_checkpoint_smoke|outputs\phase52_smoke
53,1,1,True,True,False,script_only,,,,,,,,,,,,,,,,,scripts\run_phase53_edge_diagnostics.py,outputs\phase53
54,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase54_selective_dense_replay.py,outputs\phase54
55,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase55_cost_aware_edge_mining.py,outputs\phase55
56,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase56_cost_clearing_label_discovery.py,outputs\phase56
57,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase57_supervised_interaction_ranker.py,outputs\phase57
58,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase58_disjoint_candidate_replay.py,outputs\phase58
59,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase59_stability_filtered_neighborhoods.py,outputs\phase59
60,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase60_lower_frequency_meta_replay.py,outputs\phase60
61,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase61_lower_frequency_candidate_sweep.py,outputs\phase61
62,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase62_regime_symbol_diagnostics.py,outputs\phase62
63,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase63_kotakbank_falsification_probe.py,outputs\phase63
64,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase64_strategy_family_decision_ledger.py,outputs\phase64
65,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase65_passive_queue_sensitivity.py,outputs\phase65
66,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase66_passive_adverse_selection_labels.py,outputs\phase66
67,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase67_feature_design_budget_gate.py,outputs\phase67
68,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase68_replenishment_after_touch_labels.py,outputs\phase68
69,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase69_spread_transition_labels.py,outputs\phase69
70,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase70_cross_symbol_lead_lag_labels.py,outputs\phase70
71,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase71_shock_resilience_labels.py,outputs\phase71
72,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase72_research_audit_generator_assumptions.py,outputs\phase72
73,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase73_timestamp_alignment_shock_panel_audit.py,outputs\phase73
74,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase74_generator_alignment_remediation_plan.py,outputs\phase74
75,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase75_timestamp_contract_matrix_validator.py,outputs\phase75
76,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase76_common_overlap_matrix_validator.py,outputs\phase76
77,1,2,True,True,True,smoke_or_partial,,,,,,,,,,,,,,,,,scripts\run_phase77_hdfcbank_disjoint_month_retest.py,outputs\phase77|outputs\phase77_smoke
78,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase78_post_falsification_research_gate.py,outputs\phase78
79,1,2,True,True,True,smoke_or_partial,,,,,,,,,,,,,,,,,scripts\run_phase79_generator_scenario_diversity_audit.py,outputs\phase79|outputs\phase79_smoke
80,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase80_dense_sampling_recalibration_contract.py,outputs\phase80
81,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase81_stratified_dense_window_reader.py,outputs\phase81
82,1,2,True,True,True,smoke_or_partial,,,,,,,,,,,,,,,,,scripts\run_phase82_stratified_hdfcbank_retest.py,outputs\phase82|outputs\phase82_smoke
83,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase83_stratified_source_event_bar_cache.py,outputs\phase83
84,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase84_cached_stratified_hdfcbank_retest.py,outputs\phase84
85,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase85_cost_budget_signal_design.py,outputs\phase85
86,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase86_composite_signal_precommit.py,outputs\phase86
87,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase87_precommitted_composite_signal_replay.py,outputs\phase87
88,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase88_strategy_pivot_decision_ledger.py,outputs\phase88
89,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase89_passive_queue_capture_cost_floor.py,outputs\phase89
90,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase90_cross_symbol_regime_imbalance_precommit.py,outputs\phase90
91,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase91_cross_symbol_regime_imbalance_replay.py,outputs\phase91
92,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase92_low_turnover_event_window_precommit.py,outputs\phase92
93,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase93_low_turnover_event_window_replay.py,outputs\phase93
94,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase94_generator_realism_calibration_audit.py,outputs\phase94
95,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase95_real_anchor_panel_contract.py,outputs\phase95
96,1,1,True,True,True,gated_waiting_for_more_real_anchor_days,real_l2_anchor_gate,0,,,,,,,,,,,,,,,scripts\run_phase96_real_anchor_panel_builder.py,outputs\phase96
97,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase97_generator_recalibration_patch_plan.py,outputs\phase97
98,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase98_generator_calibration_config_contract.py,outputs\phase98
99,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase99_generator_calibration_wiring_verifier.py,outputs\phase99
100,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase100_calibrated_generator_quality_smoke.py,outputs\phase100
101,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase101_calibrated_phase49_shard_quality_audit.py,outputs\phase101
102,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase102_anchored_price_volatility_patch_audit.py,outputs\phase102
103,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase103_calibrated_realism_rerun.py,outputs\phase103
104,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase104_real_anchor_cadence_profile_audit.py,outputs\phase104
105,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase105_source_mid_volatility_scale_audit.py,outputs\phase105
106,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase106_full_symbol_calibrated_realism_audit.py,outputs\phase106
107,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase107_symbol_aware_calibration_contract.py,outputs\phase107
108,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase108_symbol_aware_generator_override_audit.py,outputs\phase108
109,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase109_residual_imbalance_floor_audit.py,outputs\phase109
110,1,1,True,True,True,gated_waiting_for_more_real_anchor_days,real_l2_anchor_gate,0,,,,,,,,,,,,,,,scripts\run_phase110_multiday_replay_unlock_gate.py,outputs\phase110
111,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase111_real_anchor_ingest_discovery.py,outputs\phase111
112,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase112_dropzone_phase96_compatibility.py,outputs\phase112
113,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase113_real_l2_dropzone_importer.py,outputs\phase113
114,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase114_dropzone_import_integrity_verifier.py,outputs\phase114
115,1,1,True,True,True,gated_waiting_for_more_real_anchor_days,real_l2_anchor_gate,0,,,,,,,,,,,,,,,scripts\run_phase115_real_panel_refresh_orchestrator.py,outputs\phase115
116,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase116_profitability_verdict_and_research_gate.py,outputs\phase116
117,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase117_real_anchor_acquisition_work_order.py,outputs\phase117
118,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase118_richer_passive_hypothesis_precommit.py,outputs\phase118
119,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase119_richer_passive_label_builder.py,outputs\phase119
120,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase120_passive_label_coverage_expansion_plan.py,outputs\phase120
121,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase121_passive_branch_retirement_gate.py,outputs\phase121
122,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase122_non_trading_forecast_filter_precommit.py,outputs\phase122
123,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase123_filter_label_matrix_builder.py,outputs\phase123
124,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase124_non_trading_filter_baselines.py,outputs\phase124
125,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase125_filter_integration_contract.py,outputs\phase125
126,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase126_candidate_generation_permission_ledger.py,outputs\phase126
127,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase127_allowed_universe_precommit_queue.py,outputs\phase127
128,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase128_next_label_design_spec.py,outputs\phase128
129,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase129_allowed_context_label_matrix.py,outputs\phase129
130,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase130_no_replay_diagnostic_baselines.py,outputs\phase130
131,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase131_deep_book_feature_precommit.py,outputs\phase131
132,1,1,True,True,True,closed_kill_switch,top_five_depth_passive,0,,,,,,,,,,,,,,stop_update_phase116_blocklist,scripts\run_phase132_deep_book_feature_diagnostics.py,outputs\phase132
133,1,1,True,True,True,execution_contract_pinned_phase134_closed,top_five_depth_passive,0,,,,,,,,,,,,,,stop_update_phase116_blocklist_do_not_open_phase134,scripts\run_phase133_passive_execution_model_upgrade.py,outputs\phase133
136,1,1,True,True,True,closed_clean_falsification,top_five_depth_passive,0,,,,,,,,,,,,,,wait_for_real_l2_anchor_unlock_or_start_new_precommitted_non_blocklisted_research_branch,scripts\run_phase136_deep_book_verdict_and_handoff.py,outputs\phase136
137,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase137_post_phase132_real_anchor_restart.py,outputs\phase137
138,0,1,False,True,False,script_only,,,,,,,,,,,,,,,,,,outputs\phase138
139,0,1,False,True,False,smoke_or_partial,,,,,,,,,,,,,,,,,,outputs\phase139_smoke
142,1,1,True,True,True,gated_waiting_for_more_real_anchor_days,real_l2_anchor_gate,0,,,,,,,,,,,,,,,scripts\run_phase142_local_real_l2_download_verifier.py,outputs\phase142
143,1,1,True,True,True,gated_waiting_for_more_real_anchor_days,real_l2_anchor_gate,0,,,,,,,,,,,,,,download_missing_required_dates_with_azcopy_sas_or_account_key_then_rerun_phase142_phase143,scripts\run_phase143_real_l2_two_date_preflight.py,outputs\phase143
145,1,1,True,True,True,gated_waiting_for_more_real_anchor_days,real_l2_anchor_gate,0,,,,,,,,,,,,,,download_missing_required_dates_with_azcopy_sas_or_account_key_then_rerun_phase145,scripts\run_phase145_real_l2_post_download_refresh.py,outputs\phase145
146,1,1,True,True,True,gated_waiting_for_more_real_anchor_days,real_l2_anchor_gate,0,,,,,,,,,,,,,,download_missing_required_dates_with_azcopy_sas_or_account_key_then_rerun_phase145_phase146,scripts\run_phase146_real_anchor_minimum_unlock_audit.py,outputs\phase146
147,1,1,True,True,True,gated_waiting_for_more_real_anchor_days,real_l2_anchor_gate,0,,,,,,,,,,,,,,download_missing_required_dates_with_azcopy_sas_or_account_key_then_rerun_phase147,scripts\run_phase147_azcopy_download_intake_audit.py,outputs\phase147
148,1,1,True,True,True,gated_waiting_for_more_real_anchor_days,real_l2_anchor_gate,0,,,,,,,,,,,,,,download_missing_required_dates_with_azcopy_sas_or_account_key_then_rerun_phase148,scripts\run_phase148_real_l2_download_refresh_workflow.ps1,outputs\phase148
149,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase149_research_state_auditor.py,outputs\phase149
150,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase150_real_l2_duckdb_catalog.py,outputs\phase150
151,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase151_real_l2_duckdb_query_benchmark.py,outputs\phase151
152,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase152_real_l2_microstructure_profile.py,outputs\phase152
153,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase153_real_synthetic_microstructure_gap_audit.py,outputs\phase153
154,1,2,True,True,True,smoke_or_partial,,,,,,,,,,,,,,,,,scripts\run_phase154_full_partition_real_cadence_anchor.py,outputs\phase154|outputs\phase154_smoke
155,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase155_full_partition_cadence_calibration_contract.py,outputs\phase155
156,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase156_symbol_aware_tail_cadence_smoke.py,outputs\phase156
157,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase157_full_partition_cadence_rewire_audit.py,outputs\phase157
158,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase158_phase106_style_full_realism_audit.py,outputs\phase158
159,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase159_distributional_cadence_smoke.py,outputs\phase159
160,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase160_phase159_noncadence_realism_audit.py,outputs\phase160
161,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase161_combined_realism_handoff_gate.py,outputs\phase161
162,1,2,True,True,True,smoke_or_partial,,,,,,,,,,,,,,,,,scripts\run_phase162_phase159_full_year_materialization_audit.py,outputs\phase162|outputs\phase162_smoke
163,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase163_synthetic_only_replay_preflight.py,outputs\phase163
164,1,2,True,True,True,smoke_or_partial,,,,,,,,,,,,,,,,,scripts\run_phase164_synthetic_only_full_year_replay.py,outputs\phase164|outputs\phase164_smoke
165,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase165_phase164_full_year_replay_verdict.py,outputs\phase165
166,1,2,True,True,True,smoke_or_partial,,,,,,,,,,,,,,,,,scripts\run_phase166_cross_symbol_lead_lag_cache.py,outputs\phase166|outputs\phase166_smoke
167,1,2,True,True,True,smoke_or_partial,,,,,,,,,,,,,,,,,scripts\run_phase167_s08_cross_symbol_lead_lag_replay.py,outputs\phase167|outputs\phase167_smoke
168,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase168_s08_closure_verdict.py,outputs\phase168
169,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase169_post_s08_research_queue.py,outputs\phase169
170,1,1,True,True,True,evidence_present,,,,,,,,,,,,,,,,,scripts\run_phase170_filter_conditioned_feasibility_matrix.py,outputs\phase170
171,1,1,True,True,True,source_contract_declared_no_replay,real_receive_flow_source,0,,,,,,,,,,,,,,run_download_first_real_l2_receive_flow_availability_audit_or_collect_broker_order_telemetry,scripts\run_phase171_external_orderflow_source_contract.py,outputs\phase171
172,1,1,True,True,True,local_receive_flow_structural_ready_but_day_count_gated,real_receive_flow_source,1,,,,,,,,,,,,,,build_phase173_receive_flow_feature_schema_no_replay,scripts\run_phase172_real_l2_receive_flow_availability_audit.py,outputs\phase172
173,1,1,True,True,True,download_preflight_ready,real_receive_flow_download_gate,0,,,,,,,,,,,,,,run_phase148_with_download_for_required_dates_then_rerun_phase172,scripts\run_phase173_real_l2_download_credential_preflight.py,outputs\phase173
174,1,1,True,True,True,secure_download_executed,real_receive_flow_download_gate,0,,,,,,,,,,,,,,inspect_phase148_phase172_outputs_then_download_remaining_dates_if_needed,scripts\run_phase174_secure_real_l2_download_orchestrator.ps1,outputs\phase174
175,1,1,True,True,True,receive_flow_feature_schema_activation_ready,real_receive_flow_source,0,,,,,,,,,,,,,,run_phase176_receive_flow_feature_materialization_no_strategy,scripts\run_phase175_receive_flow_feature_schema_precommit.py,outputs\phase175
176,1,1,True,True,True,receive_flow_features_materialized_no_replay,real_receive_flow_source,0,,,,,,,,,,,,,,run_phase177_feature_quality_audit,scripts\run_phase176_receive_flow_feature_materializer.py,outputs\phase176
177,1,1,True,True,True,receive_flow_feature_quality_audited_no_replay,real_receive_flow_source,0,,,,,,,,,,,,,,run_phase178_receive_flow_feature_handoff_precommit_no_strategy,scripts\run_phase177_receive_flow_feature_quality_audit.py,outputs\phase177
178,1,1,True,True,True,receive_flow_feature_handoff_precommitted_no_replay,real_receive_flow_source,0,,,,,,,,,,,,,,build_phase179_strategy_family_precommit_no_replay,scripts\run_phase178_receive_flow_feature_handoff_precommit.py,outputs\phase178
179,1,1,True,True,True,strategy_family_precommitted_no_replay,real_receive_flow_source,0,,,,,,,,,,,,,,build_phase180_cost_latency_bound_label_precommit_no_replay,scripts\run_phase179_strategy_family_precommit.py,outputs\phase179
180,1,1,True,True,True,cost_latency_label_precommitted_no_replay,real_receive_flow_source,0,,,,,,,,,,,,,,build_phase181_label_materialization_no_replay,scripts\run_phase180_cost_latency_label_precommit.py,outputs\phase180
181,1,1,True,True,True,labels_materialized_no_replay,real_receive_flow_source,0,,,,,,,,,,,,,,build_phase182_label_quality_leakage_audit_no_replay,scripts\run_phase181_label_materialization.py,outputs\phase181
182,1,1,True,True,True,label_quality_leakage_audited_no_replay,real_receive_flow_source,0,,,,,,,,,,,,,,build_phase183_replay_readiness_precommit_no_pnl,scripts\run_phase182_label_quality_leakage_audit.py,outputs\phase182
183,1,1,True,True,True,replay_readiness_precommitted_no_pnl,real_receive_flow_source,0,0,,,,,,,,,,,,,build_phase184_train_validation_replay_dry_run_no_test_no_promotion,scripts\run_phase183_replay_readiness_precommit.py,outputs\phase183
184,1,1,True,True,True,train_validation_replay_dry_run_complete_no_test_no_promotion,real_receive_flow_source,,,0,,,,,,,,,,0,0,build_phase185_validation_replay_interpretation_and_kill_switch_audit_no_test,scripts\run_phase184_train_validation_replay_dry_run.py,outputs\phase184
