symbol,strategy_id,side,shard_symbol_label_rows,symbols,trade_dates,candidate_orders,inferred_touches,mean_gross_bps_if_touched,median_gross_bps_if_touched,mean_after_cost_bps_if_touched,mean_adverse_selection_rate,mean_cost_clearing_rate,worst_gross_bps_if_touched,best_gross_bps_if_touched,mean_spread_bps,mean_abs_l1_imbalance,touch_rate,label_candidate
ITBEES,P66_JOIN_IMBALANCE,1,4,1,4,981744,10749,-24.695949404215938,-12.442578580666442,-32.96406940421595,0.9950980392156863,0.0,-280.45838359469053,2.220446049250313e-12,3.850138729150616,0.7409770951800024,0.01094888280447856,False
ICICIBANK,P66_FADE_IMBALANCE,1,4,1,4,977776,12048,-25.22342953612295,-13.718716638059792,-33.4915495361229,0.9928944315545244,0.0,-294.15836101882473,2.220446049250313e-12,1.9244223024511227,0.368210345557116,0.0123218405851647,False
SUNPHARMA,P66_FADE_IMBALANCE,1,4,1,4,402584,4250,-25.782933590394514,-14.020629713543121,-34.05105359039448,1.0,0.0,-286.0458076884276,0.0,2.5705243198884524,0.30581988801186155,0.010556803052282257,False
RELIANCE,P66_FADE_IMBALANCE,-1,4,1,4,983728,12150,-26.252553355410846,-16.686112652721242,-34.5206733554109,1.0,0.0,-273.79886601014647,0.0,1.893058024366485,0.4444883145864854,0.012350975066278483,False
RELIANCE,P66_JOIN_IMBALANCE,1,4,1,4,983728,12000,-26.267872683777732,-13.729761110898297,-34.53599268377775,1.0,0.0,-456.8416428728317,0.0,1.8930580243664714,0.4444883145865073,0.012198493892620725,False
ICICIBANK,P66_JOIN_IMBALANCE,-1,4,1,4,977776,12250,-26.82869336865938,-16.671241360435573,-35.096813368659426,1.0,0.0,-181.98770633331085,0.0,1.9244223024511122,0.3682103455571137,0.012528431869876127,False
HDFCBANK,P66_FADE_IMBALANCE,1,4,1,4,969840,12000,-27.626447899169197,-12.80094138940896,-35.89456789916922,1.0,0.0,-470.63940843845245,0.0,1.6481381907432588,0.5714565129555254,0.012373174956693888,False
HCLTECH,P66_JOIN_IMBALANCE,-1,4,1,4,241964,3250,-27.937762105235823,-26.819111727290345,-36.20588210523581,1.0,0.0,-120.19806724702487,0.0,3.0272655209471857,0.305157764835569,0.013431750177712387,False
HDFCBANK,P66_JOIN_IMBALANCE,-1,4,1,4,969840,12100,-28.75712557364495,-18.744454496665565,-37.02524557364494,0.9928571428571429,0.0,-213.43638525564867,2.220446049250313e-12,1.6481381907432275,0.5714565129555182,0.01247628474799967,False
ULTRACEMCO,P66_FADE_IMBALANCE,-1,9,1,4,957936,11800,-30.903035141165958,-20.256207030666662,-39.17115514116599,1.0,0.0,-378.93541058098054,0.0,3.386327211085027,0.41542204674960725,0.012318150690651567,False
HCLTECH,P66_FADE_IMBALANCE,1,4,1,4,241964,2600,-32.21383316005855,-23.31143786954287,-40.481953160058595,1.0,0.0,-372.98229117693205,0.0,3.027265520947122,0.30515776483556484,0.01074540014216991,False
ULTRACEMCO,P66_JOIN_IMBALANCE,1,8,1,4,957936,11300,-49.307429728526024,-22.688829176345514,-57.57554972852605,1.0,0.0,-404.28159736517034,-0.427478305475848,3.7858294195793047,0.4185620441670126,0.011796195152912095,False
