shard_index,shard_path
45,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=HINDUNILVR\part-00000.parquet
46,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ICICIBANK\part-00000.parquet
47,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=INFY\part-00000.parquet
48,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ITBEES\part-00000.parquet
49,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ITC\part-00000.parquet
50,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=JUNIORBEES\part-00000.parquet
51,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=KOTAKBANK\part-00000.parquet
52,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=LT\part-00000.parquet
53,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=M&M\part-00000.parquet
54,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=MARUTI\part-00000.parquet
55,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=NESTLEIND\part-00000.parquet
56,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=NIFTYBEES\part-00000.parquet
57,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ONGC\part-00000.parquet
58,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=RELIANCE\part-00000.parquet
59,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=SBIN\part-00000.parquet
60,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=SUNPHARMA\part-00000.parquet
61,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=TCS\part-00000.parquet
62,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=TECHM\part-00000.parquet
63,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ULTRACEMCO\part-00000.parquet
64,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=WIPRO\part-00000.parquet
65,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ADANIPORTS\part-00000.parquet
66,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=AXISBANK\part-00000.parquet
67,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BAJAJ-AUTO\part-00000.parquet
68,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BANKBEES\part-00000.parquet
69,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BHARTIARTL\part-00000.parquet
70,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BPCL\part-00000.parquet
71,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BRITANNIA\part-00000.parquet
72,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=CIPLA\part-00000.parquet
73,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=DRREDDY\part-00000.parquet
74,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=GOLDBEES\part-00000.parquet
75,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=HCLTECH\part-00000.parquet
76,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=HDFCBANK\part-00000.parquet
77,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=HINDUNILVR\part-00000.parquet
78,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ICICIBANK\part-00000.parquet
79,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=INFY\part-00000.parquet
80,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ITBEES\part-00000.parquet
81,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ITC\part-00000.parquet
82,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=JUNIORBEES\part-00000.parquet
83,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=KOTAKBANK\part-00000.parquet
84,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=LT\part-00000.parquet
85,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=M&M\part-00000.parquet
86,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=MARUTI\part-00000.parquet
87,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=NESTLEIND\part-00000.parquet
88,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=NIFTYBEES\part-00000.parquet
89,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ONGC\part-00000.parquet
90,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=RELIANCE\part-00000.parquet
91,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=SBIN\part-00000.parquet
92,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=SUNPHARMA\part-00000.parquet
93,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=TCS\part-00000.parquet
94,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=TECHM\part-00000.parquet
95,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ULTRACEMCO\part-00000.parquet
96,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=WIPRO\part-00000.parquet
97,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ADANIPORTS\part-00000.parquet
98,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=AXISBANK\part-00000.parquet
99,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BAJAJ-AUTO\part-00000.parquet
100,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BANKBEES\part-00000.parquet
101,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BHARTIARTL\part-00000.parquet
102,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BPCL\part-00000.parquet
103,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BRITANNIA\part-00000.parquet
104,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=CIPLA\part-00000.parquet
105,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=DRREDDY\part-00000.parquet
106,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=GOLDBEES\part-00000.parquet
107,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=HCLTECH\part-00000.parquet
108,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=HDFCBANK\part-00000.parquet
109,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=HINDUNILVR\part-00000.parquet
110,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ICICIBANK\part-00000.parquet
111,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=INFY\part-00000.parquet
112,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ITBEES\part-00000.parquet
113,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ITC\part-00000.parquet
114,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=JUNIORBEES\part-00000.parquet
115,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=KOTAKBANK\part-00000.parquet
116,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=LT\part-00000.parquet
117,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=M&M\part-00000.parquet
118,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=MARUTI\part-00000.parquet
119,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=NESTLEIND\part-00000.parquet
120,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=NIFTYBEES\part-00000.parquet
121,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ONGC\part-00000.parquet
122,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=RELIANCE\part-00000.parquet
123,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=SBIN\part-00000.parquet
124,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=SUNPHARMA\part-00000.parquet
125,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=TCS\part-00000.parquet
126,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=TECHM\part-00000.parquet
127,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ULTRACEMCO\part-00000.parquet
128,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=WIPRO\part-00000.parquet
