queue_rank,priority_band,gate_id,gate_name,strategy_id,strategy_support_level,strategy_role,work_package_focus,primary_work_package,acceptance_milestone,blocker_category,missing_requirement,next_required_evidence,current_evidence_sources,current_evidence_source_count,current_evidence_source_status,primary_wp_backlog_items,primary_wp_proxy_deliverables,primary_wp_acceptance_grade_deliverables,dependency_note,acceptance_ready_now
11,P1,G04_risk,Risk gate,S11,not_supported_by_current_product,risk_filter_only,WP8,WP8,full_lifecycle_acceptance_risk_run,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,7,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full lifecycle risk state over generated trades, daily equity curves, position exposure, halt behavior and tail-loss summaries.",False
12,P2,G02_economic,Economic gate,S01,runnable_proxy,priority,WP8/WP10,WP8,broker_reconciled_full_run_economic_validation,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,6,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full event/tick execution P&L, Zerodha rupee cost formulas, slippage stress and broker contract-note reconciliation where available.",False
13,P2,G02_economic,Economic gate,S02,runnable_proxy,priority,WP8/WP10,WP8,broker_reconciled_full_run_economic_validation,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,6,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full event/tick execution P&L, Zerodha rupee cost formulas, slippage stress and broker contract-note reconciliation where available.",False
14,P2,G02_economic,Economic gate,S05,runnable_proxy,filter,WP8/WP10,WP8,broker_reconciled_full_run_economic_validation,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,6,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full event/tick execution P&L, Zerodha rupee cost formulas, slippage stress and broker contract-note reconciliation where available.",False
15,P2,G02_economic,Economic gate,S07,runnable_proxy,priority,WP8/WP10,WP8,broker_reconciled_full_run_economic_validation,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,6,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full event/tick execution P&L, Zerodha rupee cost formulas, slippage stress and broker contract-note reconciliation where available.",False
16,P2,G02_economic,Economic gate,S09,runnable_proxy,benchmark,WP8/WP10,WP8,broker_reconciled_full_run_economic_validation,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,6,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full event/tick execution P&L, Zerodha rupee cost formulas, slippage stress and broker contract-note reconciliation where available.",False
17,P2,G02_economic,Economic gate,S03,partial_missing_required_features,priority,WP8/WP10,WP8,broker_reconciled_full_run_economic_validation,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,6,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full event/tick execution P&L, Zerodha rupee cost formulas, slippage stress and broker contract-note reconciliation where available.",False
18,P2,G02_economic,Economic gate,S04,partial_missing_required_features,priority,WP8/WP10,WP8,broker_reconciled_full_run_economic_validation,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,6,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full event/tick execution P&L, Zerodha rupee cost formulas, slippage stress and broker contract-note reconciliation where available.",False
19,P2,G02_economic,Economic gate,S06,partial_missing_required_features,priority,WP8/WP10,WP8,broker_reconciled_full_run_economic_validation,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,6,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full event/tick execution P&L, Zerodha rupee cost formulas, slippage stress and broker contract-note reconciliation where available.",False
20,P2,G02_economic,Economic gate,S08,partial_missing_required_features,research,WP8/WP10,WP8,broker_reconciled_full_run_economic_validation,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,6,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full event/tick execution P&L, Zerodha rupee cost formulas, slippage stress and broker contract-note reconciliation where available.",False
21,P2,G02_economic,Economic gate,S10,not_supported_by_current_product,research_only,WP8/WP10,WP8,broker_reconciled_full_run_economic_validation,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,6,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full event/tick execution P&L, Zerodha rupee cost formulas, slippage stress and broker contract-note reconciliation where available.",False
22,P2,G02_economic,Economic gate,S11,not_supported_by_current_product,risk_filter_only,WP8/WP10,WP8,broker_reconciled_full_run_economic_validation,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv,6,present,7,event-driven engine; fees; latency; market and limit orders; partial fills; risk controls; slippage,0,"Requires full event/tick execution P&L, Zerodha rupee cost formulas, slippage stress and broker contract-note reconciliation where available.",False
23,P3,G01_predictive,Predictive gate,S01,runnable_proxy,priority,WP9/WP10,WP9,multi_seed_predictive_validation,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv,3,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires calibrated model outputs, baseline comparisons, multi-seed synthetic runs and later multi-day real holdout.",False
24,P3,G01_predictive,Predictive gate,S02,runnable_proxy,priority,WP9/WP10,WP9,multi_seed_predictive_validation,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv,3,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires calibrated model outputs, baseline comparisons, multi-seed synthetic runs and later multi-day real holdout.",False
25,P3,G01_predictive,Predictive gate,S05,runnable_proxy,filter,WP9/WP10,WP9,multi_seed_predictive_validation,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv,3,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires calibrated model outputs, baseline comparisons, multi-seed synthetic runs and later multi-day real holdout.",False
26,P3,G01_predictive,Predictive gate,S07,runnable_proxy,priority,WP9/WP10,WP9,multi_seed_predictive_validation,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv,3,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires calibrated model outputs, baseline comparisons, multi-seed synthetic runs and later multi-day real holdout.",False
27,P3,G01_predictive,Predictive gate,S09,runnable_proxy,benchmark,WP9/WP10,WP9,multi_seed_predictive_validation,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv,3,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires calibrated model outputs, baseline comparisons, multi-seed synthetic runs and later multi-day real holdout.",False
28,P3,G01_predictive,Predictive gate,S03,partial_missing_required_features,priority,WP9/WP10,WP9,multi_seed_predictive_validation,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv,3,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires calibrated model outputs, baseline comparisons, multi-seed synthetic runs and later multi-day real holdout.",False
29,P3,G01_predictive,Predictive gate,S04,partial_missing_required_features,priority,WP9/WP10,WP9,multi_seed_predictive_validation,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv,3,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires calibrated model outputs, baseline comparisons, multi-seed synthetic runs and later multi-day real holdout.",False
30,P3,G01_predictive,Predictive gate,S06,partial_missing_required_features,priority,WP9/WP10,WP9,multi_seed_predictive_validation,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv,3,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires calibrated model outputs, baseline comparisons, multi-seed synthetic runs and later multi-day real holdout.",False
31,P3,G01_predictive,Predictive gate,S08,partial_missing_required_features,research,WP9/WP10,WP9,multi_seed_predictive_validation,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv,3,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires calibrated model outputs, baseline comparisons, multi-seed synthetic runs and later multi-day real holdout.",False
32,P3,G01_predictive,Predictive gate,S10,not_supported_by_current_product,research_only,WP9/WP10,WP9,multi_seed_predictive_validation,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv,3,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires calibrated model outputs, baseline comparisons, multi-seed synthetic runs and later multi-day real holdout.",False
33,P3,G01_predictive,Predictive gate,S11,not_supported_by_current_product,risk_filter_only,WP9/WP10,WP9,multi_seed_predictive_validation,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv,3,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires calibrated model outputs, baseline comparisons, multi-seed synthetic runs and later multi-day real holdout.",False
34,P4,G03_robustness,Robustness gate,S01,runnable_proxy,priority,WP9/WP10,WP9,full_registry_robustness_execution,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,4,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires full required-seed execution, walk-forward folds, parameter-neighborhood smoothness, holdout-generator reruns and real-data reruns.",False
35,P4,G03_robustness,Robustness gate,S02,runnable_proxy,priority,WP9/WP10,WP9,full_registry_robustness_execution,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,4,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires full required-seed execution, walk-forward folds, parameter-neighborhood smoothness, holdout-generator reruns and real-data reruns.",False
