execution_rank,gate_id,gate_name,gate_priority_rank,execution_milestone,execution_milestone_rank,execution_milestone_description,queue_rank,priority_band,strategy_id,strategy_support_level,strategy_role,work_package_focus,hardening_requirement,requirement_priority,action_class,dependency_type,dependency_status,required_threshold,observed_value,current_evidence_status,proxy_evidence_available,acceptance_requirement_met,acceptance_ready_now,hardening_status,blocking_gap,required_next_evidence,evidence_summary,evidence_source
11,G04_risk,risk,1,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,6,P1,S03,partial_missing_required_features,priority,WP8/WP10,broker_exchange_fill_provenance,1,broker_or_exchange_reconciliation,external_broker_or_exchange_records,missing_required_evidence,"order, arrival, partial-fill, rejection and cancel lineage reconciled to broker/exchange evidence where available",not available in current Phase 12 proxy,missing_broker_exchange_fill_provenance,False,False,False,missing_required_acceptance_evidence,"The current run has no broker/exchange fill, rejection, queue or contract-note provenance.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.,breach_rows=9; high_breach_rows=7; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=1,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
12,G04_risk,risk,1,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,6,P1,S03,partial_missing_required_features,priority,WP8/WP10,contract_note_and_cost_reconciliation,2,broker_contract_note_reconciliation,external_broker_contract_notes_or_documented_synthetic_substitute,missing_required_evidence,costs and realized P&L reconcile to broker contract notes or documented no-note synthetic acceptance substitute,Zerodha formula applied; contract-note reconciliation not available,proxy_formula_available_contract_note_missing,False,False,False,missing_required_acceptance_evidence,"Zerodha rupee order formulas are applied, but broker contract notes and actual fills are missing.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.,breach_rows=9; high_breach_rows=7; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=1,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
13,G04_risk,risk,1,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,7,P1,S04,partial_missing_required_features,priority,WP8/WP10,broker_exchange_fill_provenance,1,broker_or_exchange_reconciliation,external_broker_or_exchange_records,missing_required_evidence,"order, arrival, partial-fill, rejection and cancel lineage reconciled to broker/exchange evidence where available",not available in current Phase 12 proxy,missing_broker_exchange_fill_provenance,False,False,False,missing_required_acceptance_evidence,"The current run has no broker/exchange fill, rejection, queue or contract-note provenance.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.,breach_rows=9; high_breach_rows=9; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
14,G04_risk,risk,1,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,7,P1,S04,partial_missing_required_features,priority,WP8/WP10,contract_note_and_cost_reconciliation,2,broker_contract_note_reconciliation,external_broker_contract_notes_or_documented_synthetic_substitute,missing_required_evidence,costs and realized P&L reconcile to broker contract notes or documented no-note synthetic acceptance substitute,Zerodha formula applied; contract-note reconciliation not available,proxy_formula_available_contract_note_missing,False,False,False,missing_required_acceptance_evidence,"Zerodha rupee order formulas are applied, but broker contract notes and actual fills are missing.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.,breach_rows=9; high_breach_rows=9; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
15,G04_risk,risk,1,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,8,P1,S06,partial_missing_required_features,priority,WP8/WP10,broker_exchange_fill_provenance,1,broker_or_exchange_reconciliation,external_broker_or_exchange_records,missing_required_evidence,"order, arrival, partial-fill, rejection and cancel lineage reconciled to broker/exchange evidence where available",not available in current Phase 12 proxy,missing_broker_exchange_fill_provenance,False,False,False,missing_required_acceptance_evidence,"The current run has no broker/exchange fill, rejection, queue or contract-note provenance.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.,breach_rows=9; high_breach_rows=2; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=7,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
16,G04_risk,risk,1,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,8,P1,S06,partial_missing_required_features,priority,WP8/WP10,contract_note_and_cost_reconciliation,2,broker_contract_note_reconciliation,external_broker_contract_notes_or_documented_synthetic_substitute,missing_required_evidence,costs and realized P&L reconcile to broker contract notes or documented no-note synthetic acceptance substitute,Zerodha formula applied; contract-note reconciliation not available,proxy_formula_available_contract_note_missing,False,False,False,missing_required_acceptance_evidence,"Zerodha rupee order formulas are applied, but broker contract notes and actual fills are missing.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.,breach_rows=9; high_breach_rows=2; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=7,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
17,G04_risk,risk,1,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,9,P1,S08,partial_missing_required_features,research,WP8/WP10,broker_exchange_fill_provenance,1,broker_or_exchange_reconciliation,external_broker_or_exchange_records,missing_required_evidence,"order, arrival, partial-fill, rejection and cancel lineage reconciled to broker/exchange evidence where available",not available in current Phase 12 proxy,missing_broker_exchange_fill_provenance,False,False,False,missing_required_acceptance_evidence,"The current run has no broker/exchange fill, rejection, queue or contract-note provenance.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.,breach_rows=9; high_breach_rows=8; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=1,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
18,G04_risk,risk,1,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,9,P1,S08,partial_missing_required_features,research,WP8/WP10,contract_note_and_cost_reconciliation,2,broker_contract_note_reconciliation,external_broker_contract_notes_or_documented_synthetic_substitute,missing_required_evidence,costs and realized P&L reconcile to broker contract notes or documented no-note synthetic acceptance substitute,Zerodha formula applied; contract-note reconciliation not available,proxy_formula_available_contract_note_missing,False,False,False,missing_required_acceptance_evidence,"Zerodha rupee order formulas are applied, but broker contract notes and actual fills are missing.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.,breach_rows=9; high_breach_rows=8; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=1,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
19,G04_risk,risk,1,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,10,P1,S10,not_supported_by_current_product,research_only,WP8/WP10,broker_exchange_fill_provenance,1,broker_or_exchange_reconciliation,external_broker_or_exchange_records,missing_required_evidence,"order, arrival, partial-fill, rejection and cancel lineage reconciled to broker/exchange evidence where available",not available in current Phase 12 proxy,missing_broker_exchange_fill_provenance,False,False,False,missing_required_acceptance_evidence,"The current run has no broker/exchange fill, rejection, queue or contract-note provenance.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.,breach_rows=0; high_breach_rows=0; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
20,G04_risk,risk,1,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,10,P1,S10,not_supported_by_current_product,research_only,WP8/WP10,contract_note_and_cost_reconciliation,2,broker_contract_note_reconciliation,external_broker_contract_notes_or_documented_synthetic_substitute,missing_required_evidence,costs and realized P&L reconcile to broker contract notes or documented no-note synthetic acceptance substitute,Zerodha formula applied; contract-note reconciliation not available,proxy_formula_available_contract_note_missing,False,False,False,missing_required_acceptance_evidence,"Zerodha rupee order formulas are applied, but broker contract notes and actual fills are missing.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.,breach_rows=0; high_breach_rows=0; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
21,G04_risk,risk,1,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,11,P1,S11,not_supported_by_current_product,risk_filter_only,WP8/WP10,broker_exchange_fill_provenance,1,broker_or_exchange_reconciliation,external_broker_or_exchange_records,missing_required_evidence,"order, arrival, partial-fill, rejection and cancel lineage reconciled to broker/exchange evidence where available",not available in current Phase 12 proxy,missing_broker_exchange_fill_provenance,False,False,False,missing_required_acceptance_evidence,"The current run has no broker/exchange fill, rejection, queue or contract-note provenance.",Capture or import broker/exchange order/fill events and reconcile lifecycle states to those records where available.,breach_rows=0; high_breach_rows=0; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
22,G04_risk,risk,1,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,11,P1,S11,not_supported_by_current_product,risk_filter_only,WP8/WP10,contract_note_and_cost_reconciliation,2,broker_contract_note_reconciliation,external_broker_contract_notes_or_documented_synthetic_substitute,missing_required_evidence,costs and realized P&L reconcile to broker contract notes or documented no-note synthetic acceptance substitute,Zerodha formula applied; contract-note reconciliation not available,proxy_formula_available_contract_note_missing,False,False,False,missing_required_acceptance_evidence,"Zerodha rupee order formulas are applied, but broker contract notes and actual fills are missing.",Reconcile charges and realized P&L to broker contract notes or a documented acceptance substitute for synthetic-only runs.,breach_rows=0; high_breach_rows=0; proxy_pass_rows=0; current_limit_pass_rows=0; any_limit_pass_rows=0,outputs/phase12/full_run_lifecycle_risk_summary.csv; outputs/phase12/full_run_lifecycle_daily_risk_summary.csv; outputs/phase12/full_run_lifecycle_risk_breach_severity.csv; outputs/phase12/full_run_lifecycle_risk_limit_sensitivity.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv
23,G02_economic,economic,2,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,12,P2,S01,runnable_proxy,priority,WP8/WP10,broker_exchange_fill_provenance,1,broker_or_exchange_fill_reconciliation,external_broker_or_exchange_records,missing_required_evidence,actual broker/exchange order and fill identifiers available and reconciled,actual_fill_ready=False,missing_actual_fill_provenance,False,False,False,missing_required_acceptance_evidence,"No actual broker/exchange fill identifiers, prices or quantities are present in current proxy evidence.",Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.,net_positive_rows=1; retail_stress_positive_rows=1; stressed_positive_rows=0; risk_adjusted_joint_pass_rows=0; missing_reconciliation_items=13,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv
24,G02_economic,economic,2,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,12,P2,S01,runnable_proxy,priority,WP8/WP10,contract_note_reconciliation,2,broker_contract_note_reconciliation,external_broker_contract_notes_or_documented_synthetic_substitute,proxy_to_upgrade,broker contract-note charges and net obligation reconcile to strategy P&L,broker_contract_ready=False; missing_items=13; strategy_ready=False,proxy_formula_ready_contract_note_missing,True,False,False,proxy_evidence_needs_acceptance_upgrade,"Contract-note fields are missing, so realized cost/P&L reconciliation is not acceptance-grade.","Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes.",net_positive_rows=1; retail_stress_positive_rows=1; stressed_positive_rows=0; risk_adjusted_joint_pass_rows=0; missing_reconciliation_items=13,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv
25,G02_economic,economic,2,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,13,P2,S02,runnable_proxy,priority,WP8/WP10,broker_exchange_fill_provenance,1,broker_or_exchange_fill_reconciliation,external_broker_or_exchange_records,missing_required_evidence,actual broker/exchange order and fill identifiers available and reconciled,actual_fill_ready=False,missing_actual_fill_provenance,False,False,False,missing_required_acceptance_evidence,"No actual broker/exchange fill identifiers, prices or quantities are present in current proxy evidence.",Capture/import broker order/fill records and map them to strategy decisions and lifecycle state.,net_positive_rows=0; retail_stress_positive_rows=0; stressed_positive_rows=0; risk_adjusted_joint_pass_rows=0; missing_reconciliation_items=13,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv
26,G02_economic,economic,2,M01_broker_external_reconciliation,1,Broker/exchange fill provenance and contract-note/cost reconciliation prerequisites.,13,P2,S02,runnable_proxy,priority,WP8/WP10,contract_note_reconciliation,2,broker_contract_note_reconciliation,external_broker_contract_notes_or_documented_synthetic_substitute,proxy_to_upgrade,broker contract-note charges and net obligation reconcile to strategy P&L,broker_contract_ready=False; missing_items=13; strategy_ready=False,proxy_formula_ready_contract_note_missing,True,False,False,proxy_evidence_needs_acceptance_upgrade,"Contract-note fields are missing, so realized cost/P&L reconciliation is not acceptance-grade.","Reconcile brokerage, STT, exchange transaction charge, SEBI charge, stamp duty, GST and net obligation to broker notes.",net_positive_rows=0; retail_stress_positive_rows=0; stressed_positive_rows=0; risk_adjusted_joint_pass_rows=0; missing_reconciliation_items=13,outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv; outputs/phase16/economic_viability_frontier.csv; outputs/phase16/risk_adjusted_economic_frontier.csv; outputs/phase16/broker_reconciliation_readiness.csv; outputs/phase16/economic_reconciliation_strategy_summary.csv
