trade_month,symbol,rows_checked,min_timestamp_value,max_timestamp_value,min_delta_value,median_delta_value,median_positive_delta_value,p01_positive_delta_value,p99_positive_delta_value,positive_delta_count,inferred_timestamp_unit,source_path,unit_contract_pass
2026-01,HDFCBANK,250000,1784020449.0,1784044983.0,-24433.0,1.0,1.0,1.0,1.0,249873.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HDFCBANK\part-00000.parquet,True
2026-01,HINDUNILVR,250000,1784020500.0,1784044983.0,-24433.0,1.0,1.0,1.0,1.0,249873.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HINDUNILVR\part-00000.parquet,True
2026-01,ICICIBANK,250000,1784020500.0,1784051483.0,-30983.0,1.0,1.0,1.0,1.0,249875.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ICICIBANK\part-00000.parquet,True
2026-01,INFY,250000,1784020500.0,1784051483.0,-30933.0,1.0,1.0,1.0,1.0,249874.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=INFY\part-00000.parquet,True
2026-01,ITBEES,250000,1784020500.0,1784056483.0,-35933.0,1.0,1.0,1.0,1.0,249874.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ITBEES\part-00000.parquet,True
2026-01,ITC,250000,1784020500.0,1784054483.0,-33883.0,1.0,1.0,1.0,1.0,249875.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ITC\part-00000.parquet,True
2026-01,JUNIORBEES,250000,1784020500.0,1784052983.0,-32433.0,1.0,1.0,1.0,1.0,249876.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=JUNIORBEES\part-00000.parquet,True
2026-01,KOTAKBANK,250000,1784020500.0,1784063983.0,-43433.0,1.0,1.0,1.0,1.0,249876.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=KOTAKBANK\part-00000.parquet,True
2026-01,LT,250000,1784020500.0,1784070483.0,-49983.0,1.0,1.0,1.0,1.0,249875.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=LT\part-00000.parquet,True
2026-01,M&M,250000,1784020500.0,1784049483.0,-28883.0,1.0,1.0,1.0,1.0,249874.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=M&M\part-00000.parquet,True
2026-01,MARUTI,250000,1784020500.0,1784045983.0,-25433.0,1.0,1.0,1.0,1.0,249873.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=MARUTI\part-00000.parquet,True
2026-01,NESTLEIND,250000,1784020500.0,1784063483.0,-42933.0,1.0,1.0,1.0,1.0,249874.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=NESTLEIND\part-00000.parquet,True
2026-01,NIFTYBEES,250000,1784020500.0,1784051983.0,-31383.0,1.0,1.0,1.0,1.0,249875.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=NIFTYBEES\part-00000.parquet,True
2026-01,ONGC,250000,1784020500.0,1784049983.0,-29483.0,1.0,1.0,1.0,1.0,249875.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ONGC\part-00000.parquet,True
2026-01,RELIANCE,250000,1784020500.0,1784045483.0,-24933.0,1.0,1.0,1.0,1.0,249873.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=RELIANCE\part-00000.parquet,True
2026-01,SBIN,250000,1784020500.0,1784050983.0,-30433.0,1.0,1.0,1.0,1.0,249875.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=SBIN\part-00000.parquet,True
2026-01,SUNPHARMA,250000,1784020500.0,1784053983.0,-33433.0,1.0,1.0,1.0,1.0,249875.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=SUNPHARMA\part-00000.parquet,True
2026-01,TCS,250000,1784020500.0,1784059983.0,-39433.0,1.0,1.0,1.0,1.0,249875.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=TCS\part-00000.parquet,True
2026-01,TECHM,250000,1784020500.0,1784057983.0,-37433.0,1.0,1.0,1.0,1.0,249874.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=TECHM\part-00000.parquet,True
2026-01,ULTRACEMCO,250000,1784020500.0,1784049983.0,-29383.0,1.0,1.0,1.0,1.0,249874.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ULTRACEMCO\part-00000.parquet,True
2026-01,WIPRO,250000,1784020500.0,1784059483.0,-38933.0,1.0,1.0,1.0,1.0,249875.0,seconds_in_ms_named_column,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=WIPRO\part-00000.parquet,True
