trade_date,exchange,symbol,remote_path,local_path,remote_size
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035018_884533-000705.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035018_884533-000705.parquet,34443
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035033_130685-000737.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035033_130685-000737.parquet,34710
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035047_381715-000769.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035047_381715-000769.parquet,34685
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035101_639995-000801.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035101_639995-000801.parquet,34717
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035115_633976-000833.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035115_633976-000833.parquet,34428
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035130_130688-000865.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035130_130688-000865.parquet,34682
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035144_380381-000897.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035144_380381-000897.parquet,34539
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035158_382635-000929.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035158_382635-000929.parquet,34500
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035212_630922-000961.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035212_630922-000961.parquet,34403
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035226_631121-000993.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035226_631121-000993.parquet,34439
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035240_881395-001025.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035240_881395-001025.parquet,34730
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035255_130613-001057.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035255_130613-001057.parquet,34460
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035309_381927-001089.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035309_381927-001089.parquet,34502
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035323_381499-001121.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035323_381499-001121.parquet,34535
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035337_632874-001153.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035337_632874-001153.parquet,34477
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035352_146574-001185.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035352_146574-001185.parquet,34632
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035406_383072-001217.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035406_383072-001217.parquet,34690
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035420_633467-001249.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035420_633467-001249.parquet,34667
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035435_130270-001281.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035435_130270-001281.parquet,34743
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035449_632023-001313.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035449_632023-001313.parquet,34659
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035504_136098-001345.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035504_136098-001345.parquet,34646
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035518_885342-001377.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035518_885342-001377.parquet,34759
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035533_132685-001409.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035533_132685-001409.parquet,34751
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035547_632775-001441.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035547_632775-001441.parquet,34696
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035602_132746-001473.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035602_132746-001473.parquet,34639
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035616_633275-001505.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035616_633275-001505.parquet,34510
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035631_134396-001537.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035631_134396-001537.parquet,34505
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035645_636250-001569.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035645_636250-001569.parquet,34673
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035700_133446-001601.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035700_133446-001601.parquet,34699
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035714_632328-001633.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035714_632328-001633.parquet,34647
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035729_137649-001665.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035729_137649-001665.parquet,34708
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035743_633214-001697.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035743_633214-001697.parquet,34695
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035757_881430-001729.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035757_881430-001729.parquet,34699
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035811_886385-001761.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035811_886385-001761.parquet,34479
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035826_131476-001793.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035826_131476-001793.parquet,34713
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035840_131954-001825.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035840_131954-001825.parquet,34728
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035854_384850-001857.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035854_384850-001857.parquet,34652
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035908_881773-001889.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035908_881773-001889.parquet,34706
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035923_130877-001921.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035923_130877-001921.parquet,34470
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035937_382041-001953.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035937_382041-001953.parquet,34690
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-035951_381473-001985.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-035951_381473-001985.parquet,34670
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040005_632236-002017.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040005_632236-002017.parquet,34706
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040020_133753-002049.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040020_133753-002049.parquet,34669
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040034_633697-002081.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040034_633697-002081.parquet,34446
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040049_132896-002113.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040049_132896-002113.parquet,34519
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040103_383068-002145.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040103_383068-002145.parquet,34453
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040117_633103-002177.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040117_633103-002177.parquet,34731
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040131_884628-002209.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040131_884628-002209.parquet,34463
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040146_380538-002241.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040146_380538-002241.parquet,34507
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040201_630876-002273.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040201_630876-002273.parquet,34519
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040216_131434-002305.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040216_131434-002305.parquet,34752
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040230_631912-002337.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040230_631912-002337.parquet,34650
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040244_886688-002369.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040244_886688-002369.parquet,34711
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040259_380738-002401.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040259_380738-002401.parquet,34704
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040313_628846-002433.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040313_628846-002433.parquet,34698
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040327_880013-002465.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040327_880013-002465.parquet,34720
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040342_627079-002497.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040342_627079-002497.parquet,34592
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040357_397901-002529.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040357_397901-002529.parquet,34718
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040411_882212-002561.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040411_882212-002561.parquet,34498
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040426_629205-002593.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040426_629205-002593.parquet,34409
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040441_130626-002625.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040441_130626-002625.parquet,34765
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040455_380856-002657.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040455_380856-002657.parquet,34527
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040509_630609-002689.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040509_630609-002689.parquet,34528
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040524_131849-002721.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040524_131849-002721.parquet,34548
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040538_382122-002753.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040538_382122-002753.parquet,34539
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040552_631513-002785.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040552_631513-002785.parquet,34780
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040606_881607-002817.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040606_881607-002817.parquet,34706
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040621_380330-002849.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040621_380330-002849.parquet,34747
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040635_633733-002881.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040635_633733-002881.parquet,34667
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040649_885048-002913.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040649_885048-002913.parquet,34646
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040704_130764-002945.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040704_130764-002945.parquet,34686
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040718_131609-002977.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040718_131609-002977.parquet,34688
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040732_384837-003009.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040732_384837-003009.parquet,34706
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040747_131722-003041.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040747_131722-003041.parquet,34482
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040801_882024-003073.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040801_882024-003073.parquet,34653
2026-07-20,NSE,ADANIPORTS,raw_l2/trade_date=2026-07-20/exchange=NSE/symbol=ADANIPORTS/part-040816_634914-003105.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-20\exchange=NSE\symbol=ADANIPORTS\part-040816_634914-003105.parquet,34643
