execution_rank,gate_id,strategy_id,strategy_support_level,strategy_role,hardening_requirement,action_class,dependency_status,strategy_support_closure_status,realism_rerun_status,observed_realism_metric,quality_pass_rows,quality_warn_rows,quality_fail_rows,holdout_profiles,structural_ready_profiles,holdout_acceptance_eligible_profiles,feed_profiles,disconnect_profiles,holdout_generator_profiles_available,holdout_generator_profiles_present_in_proxy,holdout_status,stressed_profile_positive,all_profiles_positive,interpretable_negative_control_rows,passed_negative_control_rows,holdout_rerun_required,quality_gate_required,feed_imperfection_required,pessimistic_execution_required,artifact_control_required,acceptance_requirement_met_after_contract,blocking_gap_after_contract,required_realism_action,required_next_evidence
336,G03_robustness,S11,not_supported_by_current_product,risk_filter_only,holdout_generator_strategy_rerun,holdout_generator_strategy_rerun,proxy_to_upgrade,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_proxy_not_present_for_strategy; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,0,holdout_proxy_not_present_for_strategy,,,,,True,False,False,False,False,False,Support closure required first: Classify S11 as research-only/risk-filter-only or build a separate non-alpha registry path.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run strategies on holdout-generator outputs and compare against calibration/development results.
337,G05_realism,S03,partial_missing_required_features,priority,synthetic_quality_gate_clear,synthetic_quality_gate_validation,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,quality_pass_rows=24; quality_warn_rows=0; quality_fail_rows=0; warning_triage_rows=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,False,True,False,False,False,False,Support closure required first: Implement missing plan features for S03: explicit_depth_withdrawal_rate; aggressive_trade_flow; multi_level_sweep_labels.,Keep synthetic quality gates green on the accepted generator and rerun strategy realism checks.,Keep quality gates green after any generator changes and rerun strategy realism checks on the accepted generator version.
338,G05_realism,S03,partial_missing_required_features,priority,holdout_generator_coverage,holdout_generator_coverage_validation,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,False,False,False,False,False,False,Support closure required first: Implement missing plan features for S03: explicit_depth_withdrawal_rate; aggressive_trade_flow; multi_level_sweep_labels.,Run artifact/control templates and reject generator-artifact dependent edge.,Run every candidate strategy on predeclared holdout-generator profiles and compare against development/calibration results.
339,G05_realism,S03,partial_missing_required_features,priority,feed_imperfection_coverage,feed_imperfection_coverage_validation,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,feed_profiles=5; disconnect_profiles=6; stressed_profile_positive=False,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,False,False,True,False,False,False,Support closure required first: Implement missing plan features for S03: explicit_depth_withdrawal_rate; aggressive_trade_flow; multi_level_sweep_labels.,Rerun strategies on feed-imperfection profiles with full lifecycle execution.,Rerun strategies on disconnect/stressed feed profiles with full lifecycle execution and verify performance does not depend on ideal feed assumptions.
340,G05_realism,S03,partial_missing_required_features,priority,holdout_strategy_rerun,holdout_generator_strategy_rerun,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,True,False,False,False,False,False,Support closure required first: Implement missing plan features for S03: explicit_depth_withdrawal_rate; aggressive_trade_flow; multi_level_sweep_labels.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run Phase 11/12/13 strategy evaluation on Q-B/Q-C holdout profiles and preserve leakage checks.
341,G05_realism,S03,partial_missing_required_features,priority,pessimistic_execution_realism,pessimistic_execution_realism_rerun,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,stressed_profile_positive=False; all_profiles_positive=False; profile_robustness_status=multi_profile_proxy_not_acceptance,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,False,False,False,True,False,False,Support closure required first: Implement missing plan features for S03: explicit_depth_withdrawal_rate; aggressive_trade_flow; multi_level_sweep_labels.,"Evaluate holdout strategies under stressed retail, partial-fill and pessimistic execution assumptions.","Evaluate holdout-generator strategy results with stressed retail, partial-fill and risk-control assumptions."
342,G05_realism,S03,partial_missing_required_features,priority,artifact_exploitation_rejection,artifact_exploitation_control,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,interpretable_negative_control_rows=27.0; passed_negative_control_rows=18.0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,False,False,False,False,True,False,Support closure required first: Implement missing plan features for S03: explicit_depth_withdrawal_rate; aggressive_trade_flow; multi_level_sweep_labels.,Run artifact/control templates and reject generator-artifact dependent edge.,Run artifact/control templates and reject strategies whose edge disappears or depends on generator-specific artifacts.
343,G05_realism,S04,partial_missing_required_features,priority,synthetic_quality_gate_clear,synthetic_quality_gate_validation,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,quality_pass_rows=24; quality_warn_rows=0; quality_fail_rows=0; warning_triage_rows=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,False,True,False,False,False,False,Support closure required first: Implement missing plan features for S04: aggressive_trade_imbalance; absorption_label; exhaustion_label.,Keep synthetic quality gates green on the accepted generator and rerun strategy realism checks.,Keep quality gates green after any generator changes and rerun strategy realism checks on the accepted generator version.
344,G05_realism,S04,partial_missing_required_features,priority,holdout_generator_coverage,holdout_generator_coverage_validation,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,False,False,False,False,False,False,Support closure required first: Implement missing plan features for S04: aggressive_trade_imbalance; absorption_label; exhaustion_label.,Run artifact/control templates and reject generator-artifact dependent edge.,Run every candidate strategy on predeclared holdout-generator profiles and compare against development/calibration results.
345,G05_realism,S04,partial_missing_required_features,priority,feed_imperfection_coverage,feed_imperfection_coverage_validation,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,feed_profiles=5; disconnect_profiles=6; stressed_profile_positive=False,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,False,False,True,False,False,False,Support closure required first: Implement missing plan features for S04: aggressive_trade_imbalance; absorption_label; exhaustion_label.,Rerun strategies on feed-imperfection profiles with full lifecycle execution.,Rerun strategies on disconnect/stressed feed profiles with full lifecycle execution and verify performance does not depend on ideal feed assumptions.
346,G05_realism,S04,partial_missing_required_features,priority,holdout_strategy_rerun,holdout_generator_strategy_rerun,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,True,False,False,False,False,False,Support closure required first: Implement missing plan features for S04: aggressive_trade_imbalance; absorption_label; exhaustion_label.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run Phase 11/12/13 strategy evaluation on Q-B/Q-C holdout profiles and preserve leakage checks.
347,G05_realism,S04,partial_missing_required_features,priority,pessimistic_execution_realism,pessimistic_execution_realism_rerun,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,stressed_profile_positive=False; all_profiles_positive=False; profile_robustness_status=multi_profile_proxy_not_acceptance,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,False,False,False,True,False,False,Support closure required first: Implement missing plan features for S04: aggressive_trade_imbalance; absorption_label; exhaustion_label.,"Evaluate holdout strategies under stressed retail, partial-fill and pessimistic execution assumptions.","Evaluate holdout-generator strategy results with stressed retail, partial-fill and risk-control assumptions."
348,G05_realism,S04,partial_missing_required_features,priority,artifact_exploitation_rejection,artifact_exploitation_control,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,interpretable_negative_control_rows=0.0; passed_negative_control_rows=0.0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,False,False,False,False,True,False,Support closure required first: Implement missing plan features for S04: aggressive_trade_imbalance; absorption_label; exhaustion_label.,Run artifact/control templates and reject generator-artifact dependent edge.,Run artifact/control templates and reject strategies whose edge disappears or depends on generator-specific artifacts.
349,G05_realism,S06,partial_missing_required_features,priority,synthetic_quality_gate_clear,synthetic_quality_gate_validation,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,quality_pass_rows=24; quality_warn_rows=0; quality_fail_rows=0; warning_triage_rows=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,False,True,False,False,False,False,Support closure required first: Implement missing plan features for S06: signed_aggressive_flow; flow_reversal; replenishment_rate.,Keep synthetic quality gates green on the accepted generator and rerun strategy realism checks.,Keep quality gates green after any generator changes and rerun strategy realism checks on the accepted generator version.
350,G05_realism,S06,partial_missing_required_features,priority,holdout_generator_coverage,holdout_generator_coverage_validation,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,False,False,False,False,False,False,Support closure required first: Implement missing plan features for S06: signed_aggressive_flow; flow_reversal; replenishment_rate.,Run artifact/control templates and reject generator-artifact dependent edge.,Run every candidate strategy on predeclared holdout-generator profiles and compare against development/calibration results.
351,G05_realism,S06,partial_missing_required_features,priority,feed_imperfection_coverage,feed_imperfection_coverage_validation,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,feed_profiles=5; disconnect_profiles=6; stressed_profile_positive=False,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,False,False,True,False,False,False,Support closure required first: Implement missing plan features for S06: signed_aggressive_flow; flow_reversal; replenishment_rate.,Rerun strategies on feed-imperfection profiles with full lifecycle execution.,Rerun strategies on disconnect/stressed feed profiles with full lifecycle execution and verify performance does not depend on ideal feed assumptions.
352,G05_realism,S06,partial_missing_required_features,priority,holdout_strategy_rerun,holdout_generator_strategy_rerun,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,True,False,False,False,False,False,Support closure required first: Implement missing plan features for S06: signed_aggressive_flow; flow_reversal; replenishment_rate.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run Phase 11/12/13 strategy evaluation on Q-B/Q-C holdout profiles and preserve leakage checks.
353,G05_realism,S06,partial_missing_required_features,priority,pessimistic_execution_realism,pessimistic_execution_realism_rerun,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,stressed_profile_positive=False; all_profiles_positive=False; profile_robustness_status=multi_profile_proxy_not_acceptance,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,False,False,False,True,False,False,Support closure required first: Implement missing plan features for S06: signed_aggressive_flow; flow_reversal; replenishment_rate.,"Evaluate holdout strategies under stressed retail, partial-fill and pessimistic execution assumptions.","Evaluate holdout-generator strategy results with stressed retail, partial-fill and risk-control assumptions."
354,G05_realism,S06,partial_missing_required_features,priority,artifact_exploitation_rejection,artifact_exploitation_control,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,interpretable_negative_control_rows=27.0; passed_negative_control_rows=18.0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,27.0,18.0,False,False,False,False,True,False,Support closure required first: Implement missing plan features for S06: signed_aggressive_flow; flow_reversal; replenishment_rate.,Run artifact/control templates and reject generator-artifact dependent edge.,Run artifact/control templates and reject strategies whose edge disappears or depends on generator-specific artifacts.
355,G05_realism,S08,partial_missing_required_features,research,synthetic_quality_gate_clear,synthetic_quality_gate_validation,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,quality_pass_rows=24; quality_warn_rows=0; quality_fail_rows=0; warning_triage_rows=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,False,True,False,False,False,False,Support closure required first: Implement missing plan features for S08: sector_mapping; leader_labels; timestamp_skew_simulations; explicit_lead_lag_scenarios.,Keep synthetic quality gates green on the accepted generator and rerun strategy realism checks.,Keep quality gates green after any generator changes and rerun strategy realism checks on the accepted generator version.
356,G05_realism,S08,partial_missing_required_features,research,holdout_generator_coverage,holdout_generator_coverage_validation,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,False,False,False,False,False,False,Support closure required first: Implement missing plan features for S08: sector_mapping; leader_labels; timestamp_skew_simulations; explicit_lead_lag_scenarios.,Run artifact/control templates and reject generator-artifact dependent edge.,Run every candidate strategy on predeclared holdout-generator profiles and compare against development/calibration results.
357,G05_realism,S08,partial_missing_required_features,research,feed_imperfection_coverage,feed_imperfection_coverage_validation,proxy_to_upgrade,requires_feature_engineering,blocked_by_partial_strategy_support,feed_profiles=5; disconnect_profiles=6; stressed_profile_positive=False,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,False,False,True,False,False,False,Support closure required first: Implement missing plan features for S08: sector_mapping; leader_labels; timestamp_skew_simulations; explicit_lead_lag_scenarios.,Rerun strategies on feed-imperfection profiles with full lifecycle execution.,Rerun strategies on disconnect/stressed feed profiles with full lifecycle execution and verify performance does not depend on ideal feed assumptions.
358,G05_realism,S08,partial_missing_required_features,research,holdout_strategy_rerun,holdout_generator_strategy_rerun,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_profiles_present_as_proxy_not_rerun_acceptance; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,True,False,False,False,False,False,Support closure required first: Implement missing plan features for S08: sector_mapping; leader_labels; timestamp_skew_simulations; explicit_lead_lag_scenarios.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run Phase 11/12/13 strategy evaluation on Q-B/Q-C holdout profiles and preserve leakage checks.
359,G05_realism,S08,partial_missing_required_features,research,pessimistic_execution_realism,pessimistic_execution_realism_rerun,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,stressed_profile_positive=False; all_profiles_positive=False; profile_robustness_status=multi_profile_proxy_not_acceptance,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,False,False,False,True,False,False,Support closure required first: Implement missing plan features for S08: sector_mapping; leader_labels; timestamp_skew_simulations; explicit_lead_lag_scenarios.,"Evaluate holdout strategies under stressed retail, partial-fill and pessimistic execution assumptions.","Evaluate holdout-generator strategy results with stressed retail, partial-fill and risk-control assumptions."
360,G05_realism,S08,partial_missing_required_features,research,artifact_exploitation_rejection,artifact_exploitation_control,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,interpretable_negative_control_rows=0.0; passed_negative_control_rows=0.0,24,0,0,15,15,0,5,6,2,2,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,False,0.0,0.0,False,False,False,False,True,False,Support closure required first: Implement missing plan features for S08: sector_mapping; leader_labels; timestamp_skew_simulations; explicit_lead_lag_scenarios.,Run artifact/control templates and reject generator-artifact dependent edge.,Run artifact/control templates and reject strategies whose edge disappears or depends on generator-specific artifacts.
361,G05_realism,S10,not_supported_by_current_product,research_only,synthetic_quality_gate_clear,synthetic_quality_gate_validation,proxy_to_upgrade,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,quality_pass_rows=24; quality_warn_rows=0; quality_fail_rows=0; warning_triage_rows=0,24,0,0,15,15,0,5,6,2,0,holdout_proxy_not_present_for_strategy,,,,,False,True,False,False,False,False,Support closure required first: Classify S10 as research-only/risk-filter-only or build a separate non-alpha registry path.,Keep synthetic quality gates green on the accepted generator and rerun strategy realism checks.,Keep quality gates green after any generator changes and rerun strategy realism checks on the accepted generator version.
362,G05_realism,S10,not_supported_by_current_product,research_only,holdout_generator_coverage,holdout_generator_coverage_validation,proxy_to_upgrade,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_proxy_not_present_for_strategy; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,0,holdout_proxy_not_present_for_strategy,,,,,False,False,False,False,False,False,Support closure required first: Classify S10 as research-only/risk-filter-only or build a separate non-alpha registry path.,Run artifact/control templates and reject generator-artifact dependent edge.,Run every candidate strategy on predeclared holdout-generator profiles and compare against development/calibration results.
363,G05_realism,S10,not_supported_by_current_product,research_only,feed_imperfection_coverage,feed_imperfection_coverage_validation,proxy_to_upgrade,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,feed_profiles=5; disconnect_profiles=6; stressed_profile_positive=nan,24,0,0,15,15,0,5,6,2,0,holdout_proxy_not_present_for_strategy,,,,,False,False,True,False,False,False,Support closure required first: Classify S10 as research-only/risk-filter-only or build a separate non-alpha registry path.,Rerun strategies on feed-imperfection profiles with full lifecycle execution.,Rerun strategies on disconnect/stressed feed profiles with full lifecycle execution and verify performance does not depend on ideal feed assumptions.
364,G05_realism,S10,not_supported_by_current_product,research_only,holdout_strategy_rerun,holdout_generator_strategy_rerun,missing_required_evidence,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,holdout_profiles=15; structural_ready_profiles=15; holdout_status=holdout_proxy_not_present_for_strategy; acceptance_eligible_profiles=0,24,0,0,15,15,0,5,6,2,0,holdout_proxy_not_present_for_strategy,,,,,True,False,False,False,False,False,Support closure required first: Classify S10 as research-only/risk-filter-only or build a separate non-alpha registry path.,Run strategy on holdout-generator profiles and compare against development/calibration results with leakage checks.,Run Phase 11/12/13 strategy evaluation on Q-B/Q-C holdout profiles and preserve leakage checks.
365,G05_realism,S10,not_supported_by_current_product,research_only,pessimistic_execution_realism,pessimistic_execution_realism_rerun,missing_required_evidence,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,stressed_profile_positive=nan; all_profiles_positive=nan; profile_robustness_status=nan,24,0,0,15,15,0,5,6,2,0,holdout_proxy_not_present_for_strategy,,,,,False,False,False,True,False,False,Support closure required first: Classify S10 as research-only/risk-filter-only or build a separate non-alpha registry path.,"Evaluate holdout strategies under stressed retail, partial-fill and pessimistic execution assumptions.","Evaluate holdout-generator strategy results with stressed retail, partial-fill and risk-control assumptions."
