symbol,trade_month_partition,dense_file_path,file_min_epoch,file_max_epoch,file_min_ist,file_max_ist,source_rows,row_groups
ULTRACEMCO,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ULTRACEMCO\part-00000.parquet,1784020475,1786555957,2026-07-14T14:44:35+05:30,2026-08-12T23:02:37+05:30,16337384,33
WIPRO,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=WIPRO\part-00000.parquet,1784020475,1786565207,2026-07-14T14:44:35+05:30,2026-08-13T01:36:47+05:30,16341350,33
ADANIPORTS,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ADANIPORTS\part-00000.parquet,1786612475,1788973457,2026-08-13T14:44:35+05:30,2026-09-09T22:34:17+05:30,14826022,30
AXISBANK,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=AXISBANK\part-00000.parquet,1786612475,1788974457,2026-08-13T14:44:35+05:30,2026-09-09T22:50:57+05:30,14822055,30
BAJAJ-AUTO,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BAJAJ-AUTO\part-00000.parquet,1786612475,1788983457,2026-08-13T14:44:35+05:30,2026-09-10T01:20:57+05:30,14835939,30
BANKBEES,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BANKBEES\part-00000.parquet,1786612475,1788979957,2026-08-13T14:44:35+05:30,2026-09-10T00:22:37+05:30,14806188,30
BHARTIARTL,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BHARTIARTL\part-00000.parquet,1786612475,1788993457,2026-08-13T14:44:35+05:30,2026-09-10T04:07:37+05:30,14843873,30
BPCL,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BPCL\part-00000.parquet,1786612475,1788984957,2026-08-13T14:44:35+05:30,2026-09-10T01:45:57+05:30,14824038,30
BRITANNIA,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BRITANNIA\part-00000.parquet,1786612475,1788980457,2026-08-13T14:44:35+05:30,2026-09-10T00:30:57+05:30,14796271,30
CIPLA,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=CIPLA\part-00000.parquet,1786612475,1788978707,2026-08-13T14:44:35+05:30,2026-09-10T00:01:47+05:30,14812138,30
DRREDDY,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=DRREDDY\part-00000.parquet,1786612475,1788971457,2026-08-13T14:44:35+05:30,2026-09-09T22:00:57+05:30,14800237,30
GOLDBEES,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=GOLDBEES\part-00000.parquet,1786612475,1788992957,2026-08-13T14:44:35+05:30,2026-09-10T03:59:17+05:30,14812138,30
HCLTECH,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=HCLTECH\part-00000.parquet,1786612475,1788982457,2026-08-13T14:44:35+05:30,2026-09-10T01:04:17+05:30,14806188,30
HDFCBANK,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=HDFCBANK\part-00000.parquet,1786612475,1788978957,2026-08-13T14:44:35+05:30,2026-09-10T00:05:57+05:30,14828005,30
HINDUNILVR,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=HINDUNILVR\part-00000.parquet,1786612475,1788970957,2026-08-13T14:44:35+05:30,2026-09-09T21:52:37+05:30,14802221,30
ICICIBANK,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ICICIBANK\part-00000.parquet,1786612475,1788985207,2026-08-13T14:44:35+05:30,2026-09-10T01:50:07+05:30,14814121,30
INFY,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=INFY\part-00000.parquet,1786612475,1788972957,2026-08-13T14:44:35+05:30,2026-09-09T22:25:57+05:30,14794287,30
ITBEES,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ITBEES\part-00000.parquet,1786612475,1788983457,2026-08-13T14:44:35+05:30,2026-09-10T01:20:57+05:30,14835939,30
ITC,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ITC\part-00000.parquet,1786612475,1788972957,2026-08-13T14:44:35+05:30,2026-09-09T22:25:57+05:30,14847839,30
JUNIORBEES,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=JUNIORBEES\part-00000.parquet,1786612475,1788994957,2026-08-13T14:44:35+05:30,2026-09-10T04:32:37+05:30,14831972,30
KOTAKBANK,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=KOTAKBANK\part-00000.parquet,1786612475,1788970457,2026-08-13T14:44:35+05:30,2026-09-09T21:44:17+05:30,14810155,30
LT,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=LT\part-00000.parquet,1786612475,1788987957,2026-08-13T14:44:35+05:30,2026-09-10T02:35:57+05:30,14804204,30
M&M,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=M&M\part-00000.parquet,1786612475,1788980957,2026-08-13T14:44:35+05:30,2026-09-10T00:39:17+05:30,14790320,30
MARUTI,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=MARUTI\part-00000.parquet,1786612475,1788978957,2026-08-13T14:44:35+05:30,2026-09-10T00:05:57+05:30,14808171,30
NESTLEIND,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=NESTLEIND\part-00000.parquet,1786612475,1788984957,2026-08-13T14:44:35+05:30,2026-09-10T01:45:57+05:30,14808171,30
NIFTYBEES,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=NIFTYBEES\part-00000.parquet,1786612475,1788979957,2026-08-13T14:44:35+05:30,2026-09-10T00:22:37+05:30,14792304,30
ONGC,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ONGC\part-00000.parquet,1786612475,1788980457,2026-08-13T14:44:35+05:30,2026-09-10T00:30:57+05:30,14822055,30
RELIANCE,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=RELIANCE\part-00000.parquet,1786612475,1788984457,2026-08-13T14:44:35+05:30,2026-09-10T01:37:37+05:30,14782387,30
SBIN,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=SBIN\part-00000.parquet,1786612475,1788978894,2026-08-13T14:44:35+05:30,2026-09-10T00:04:54+05:30,14820072,30
SUNPHARMA,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=SUNPHARMA\part-00000.parquet,1786612475,1788982957,2026-08-13T14:44:35+05:30,2026-09-10T01:12:37+05:30,14820072,30
TCS,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=TCS\part-00000.parquet,1786612475,1788975457,2026-08-13T14:44:35+05:30,2026-09-09T23:07:37+05:30,14804204,30
TECHM,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=TECHM\part-00000.parquet,1786612475,1788976111,2026-08-13T14:44:35+05:30,2026-09-09T23:18:31+05:30,14762553,30
ULTRACEMCO,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ULTRACEMCO\part-00000.parquet,1786612475,1788995957,2026-08-13T14:44:35+05:30,2026-09-10T04:49:17+05:30,14806188,30
WIPRO,2026-02,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=WIPRO\part-00000.parquet,1786612475,1788995457,2026-08-13T14:44:35+05:30,2026-09-10T04:40:57+05:30,14806188,30
ADANIPORTS,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ADANIPORTS\part-00000.parquet,1784020475,1791498957,2026-07-14T14:44:35+05:30,2026-10-09T04:05:57+05:30,16289782,33
AXISBANK,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=AXISBANK\part-00000.parquet,1784020343,1791482957,2026-07-14T14:42:23+05:30,2026-10-08T23:39:17+05:30,16299699,33
BAJAJ-AUTO,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BAJAJ-AUTO\part-00000.parquet,1784020475,1791485457,2026-07-14T14:44:35+05:30,2026-10-09T00:20:57+05:30,16305649,33
BANKBEES,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BANKBEES\part-00000.parquet,1784020475,1791487957,2026-07-14T14:44:35+05:30,2026-10-09T01:02:37+05:30,16313583,33
BHARTIARTL,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BHARTIARTL\part-00000.parquet,1784020475,1791489957,2026-07-14T14:44:35+05:30,2026-10-09T01:35:57+05:30,16315566,33
BPCL,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BPCL\part-00000.parquet,1784020475,1791476457,2026-07-14T14:44:35+05:30,2026-10-08T21:50:57+05:30,16327466,33
BRITANNIA,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BRITANNIA\part-00000.parquet,1784020475,1791485457,2026-07-14T14:44:35+05:30,2026-10-09T00:20:57+05:30,16281848,33
CIPLA,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=CIPLA\part-00000.parquet,1784020264,1791506457,2026-07-14T14:41:04+05:30,2026-10-09T06:10:57+05:30,16327466,33
DRREDDY,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=DRREDDY\part-00000.parquet,1784020475,1791488957,2026-07-14T14:44:35+05:30,2026-10-09T01:19:17+05:30,16291765,33
GOLDBEES,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=GOLDBEES\part-00000.parquet,1784020475,1791476457,2026-07-14T14:44:35+05:30,2026-10-08T21:50:57+05:30,16299699,33
HCLTECH,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=HCLTECH\part-00000.parquet,1784020475,1791486957,2026-07-14T14:44:35+05:30,2026-10-09T00:45:57+05:30,16305649,33
HDFCBANK,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=HDFCBANK\part-00000.parquet,1784020475,1791478957,2026-07-14T14:44:35+05:30,2026-10-08T22:32:37+05:30,16303665,33
HINDUNILVR,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=HINDUNILVR\part-00000.parquet,1784020475,1791494457,2026-07-14T14:44:35+05:30,2026-10-09T02:50:57+05:30,16295732,33
ICICIBANK,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ICICIBANK\part-00000.parquet,1784020211,1791479957,2026-07-14T14:40:11+05:30,2026-10-08T22:49:17+05:30,16295732,33
INFY,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=INFY\part-00000.parquet,1784020475,1791483457,2026-07-14T14:44:35+05:30,2026-10-08T23:47:37+05:30,16283831,33
ITBEES,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ITBEES\part-00000.parquet,1784020475,1791482006,2026-07-14T14:44:35+05:30,2026-10-08T23:23:26+05:30,16283831,33
ITC,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ITC\part-00000.parquet,1784020475,1791480296,2026-07-14T14:44:35+05:30,2026-10-08T22:54:56+05:30,16260030,33
JUNIORBEES,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=JUNIORBEES\part-00000.parquet,1784020475,1791487957,2026-07-14T14:44:35+05:30,2026-10-09T01:02:37+05:30,16289782,33
KOTAKBANK,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=KOTAKBANK\part-00000.parquet,1784020475,1791494457,2026-07-14T14:44:35+05:30,2026-10-09T02:50:57+05:30,16295732,33
LT,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=LT\part-00000.parquet,1784020475,1791478957,2026-07-14T14:44:35+05:30,2026-10-08T22:32:37+05:30,16293748,33
M&M,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=M&M\part-00000.parquet,1784020475,1791481957,2026-07-14T14:44:35+05:30,2026-10-08T23:22:37+05:30,16295732,33
MARUTI,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=MARUTI\part-00000.parquet,1784020475,1791495457,2026-07-14T14:44:35+05:30,2026-10-09T03:07:37+05:30,16313583,33
NESTLEIND,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=NESTLEIND\part-00000.parquet,1784020475,1791485957,2026-07-14T14:44:35+05:30,2026-10-09T00:29:17+05:30,16305649,33
NIFTYBEES,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=NIFTYBEES\part-00000.parquet,1784020475,1791477957,2026-07-14T14:44:35+05:30,2026-10-08T22:15:57+05:30,16299699,33
ONGC,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ONGC\part-00000.parquet,1784020475,1791484957,2026-07-14T14:44:35+05:30,2026-10-09T00:12:37+05:30,16293748,33
RELIANCE,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=RELIANCE\part-00000.parquet,1784020475,1791482957,2026-07-14T14:44:35+05:30,2026-10-08T23:39:17+05:30,16309616,33
SBIN,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=SBIN\part-00000.parquet,1784020475,1791491457,2026-07-14T14:44:35+05:30,2026-10-09T02:00:57+05:30,16273914,33
SUNPHARMA,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=SUNPHARMA\part-00000.parquet,1784020375,1791486707,2026-07-14T14:42:55+05:30,2026-10-09T00:41:47+05:30,16303665,33
TCS,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=TCS\part-00000.parquet,1784020475,1791476957,2026-07-14T14:44:35+05:30,2026-10-08T21:59:17+05:30,16317549,33
TECHM,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=TECHM\part-00000.parquet,1784020475,1791498457,2026-07-14T14:44:35+05:30,2026-10-09T03:57:37+05:30,16285815,33
ULTRACEMCO,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ULTRACEMCO\part-00000.parquet,1784020475,1791485457,2026-07-14T14:44:35+05:30,2026-10-09T00:20:57+05:30,16305649,33
WIPRO,2026-03,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=WIPRO\part-00000.parquet,1784020475,1791485457,2026-07-14T14:44:35+05:30,2026-10-09T00:20:57+05:30,16319533,33
ADANIPORTS,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ADANIPORTS\part-00000.parquet,1784106875,1786659457,2026-07-15T14:44:35+05:30,2026-08-14T03:47:37+05:30,16285815,33
AXISBANK,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=AXISBANK\part-00000.parquet,1784106875,1786654457,2026-07-15T14:44:35+05:30,2026-08-14T02:24:17+05:30,16287798,33
BAJAJ-AUTO,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BAJAJ-AUTO\part-00000.parquet,1784106875,1786647457,2026-07-15T14:44:35+05:30,2026-08-14T00:27:37+05:30,16293748,33
BANKBEES,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BANKBEES\part-00000.parquet,1784106875,1786652957,2026-07-15T14:44:35+05:30,2026-08-14T01:59:17+05:30,16307632,33
BHARTIARTL,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BHARTIARTL\part-00000.parquet,1784106875,1786643957,2026-07-15T14:44:35+05:30,2026-08-13T23:29:17+05:30,16317549,33
BPCL,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BPCL\part-00000.parquet,1784106475,1786651457,2026-07-15T14:37:55+05:30,2026-08-14T01:34:17+05:30,16307632,33
BRITANNIA,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=BRITANNIA\part-00000.parquet,1784106725,1786649957,2026-07-15T14:42:05+05:30,2026-08-14T01:09:17+05:30,16289782,33
CIPLA,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=CIPLA\part-00000.parquet,1784106875,1786661957,2026-07-15T14:44:35+05:30,2026-08-14T04:29:17+05:30,16299699,33
DRREDDY,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=DRREDDY\part-00000.parquet,1784106875,1786641957,2026-07-15T14:44:35+05:30,2026-08-13T22:55:57+05:30,16269947,33
GOLDBEES,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=GOLDBEES\part-00000.parquet,1784106875,1786655707,2026-07-15T14:44:35+05:30,2026-08-14T02:45:07+05:30,16297715,33
HCLTECH,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=HCLTECH\part-00000.parquet,1784106475,1786653957,2026-07-15T14:37:55+05:30,2026-08-14T02:15:57+05:30,16293748,33
HDFCBANK,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=HDFCBANK\part-00000.parquet,1784106875,1786652457,2026-07-15T14:44:35+05:30,2026-08-14T01:50:57+05:30,16287798,33
HINDUNILVR,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=HINDUNILVR\part-00000.parquet,1784106475,1786650457,2026-07-15T14:37:55+05:30,2026-08-14T01:17:37+05:30,16265981,33
ICICIBANK,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ICICIBANK\part-00000.parquet,1784106475,1786640457,2026-07-15T14:37:55+05:30,2026-08-13T22:30:57+05:30,16305649,33
INFY,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=INFY\part-00000.parquet,1784106875,1786653915,2026-07-15T14:44:35+05:30,2026-08-14T02:15:15+05:30,16258047,33
ITBEES,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ITBEES\part-00000.parquet,1784106875,1786656957,2026-07-15T14:44:35+05:30,2026-08-14T03:05:57+05:30,16321516,33
ITC,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ITC\part-00000.parquet,1784106725,1786665957,2026-07-15T14:42:05+05:30,2026-08-14T05:35:57+05:30,16287798,33
JUNIORBEES,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=JUNIORBEES\part-00000.parquet,1784106875,1786643957,2026-07-15T14:44:35+05:30,2026-08-13T23:29:17+05:30,16309616,33
KOTAKBANK,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=KOTAKBANK\part-00000.parquet,1784106875,1786654957,2026-07-15T14:44:35+05:30,2026-08-14T02:32:37+05:30,16293748,33
LT,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=LT\part-00000.parquet,1784106875,1786645457,2026-07-15T14:44:35+05:30,2026-08-13T23:54:17+05:30,16260030,33
M&M,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=M&M\part-00000.parquet,1784106875,1786648957,2026-07-15T14:44:35+05:30,2026-08-14T00:52:37+05:30,16291765,33
MARUTI,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=MARUTI\part-00000.parquet,1784106875,1786646957,2026-07-15T14:44:35+05:30,2026-08-14T00:19:17+05:30,16281848,33
NESTLEIND,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=NESTLEIND\part-00000.parquet,1784106875,1786646013,2026-07-15T14:44:35+05:30,2026-08-14T00:03:33+05:30,16293748,33
NIFTYBEES,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=NIFTYBEES\part-00000.parquet,1784106875,1786648457,2026-07-15T14:44:35+05:30,2026-08-14T00:44:17+05:30,16297715,33
ONGC,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=ONGC\part-00000.parquet,1784106875,1786647707,2026-07-15T14:44:35+05:30,2026-08-14T00:31:47+05:30,16262014,33
RELIANCE,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=RELIANCE\part-00000.parquet,1784106875,1786644457,2026-07-15T14:44:35+05:30,2026-08-13T23:37:37+05:30,16287798,33
SBIN,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=SBIN\part-00000.parquet,1784106875,1786650957,2026-07-15T14:44:35+05:30,2026-08-14T01:25:57+05:30,16321516,33
SUNPHARMA,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=SUNPHARMA\part-00000.parquet,1784106875,1786654957,2026-07-15T14:44:35+05:30,2026-08-14T02:32:37+05:30,16307632,33
TCS,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=TCS\part-00000.parquet,1784106725,1786655957,2026-07-15T14:42:05+05:30,2026-08-14T02:49:17+05:30,16297715,33
TECHM,2026-04,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=TECHM\part-00000.parquet,1784106875,1786648457,2026-07-15T14:44:35+05:30,2026-08-14T00:44:17+05:30,16321516,33
