trade_month,symbol,source_rows,dense_rows,multiplier,file_path,bytes,profile_id,output_root
2026-11,HDFCBANK,7858,62864,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT\trade_month=2026-11\symbol=HDFCBANK\part-00000.parquet,1661868,P98_LEGACY_DEFAULT,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT
2026-12,HDFCBANK,5230,41840,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT\trade_month=2026-12\symbol=HDFCBANK\part-00000.parquet,1058953,P98_LEGACY_DEFAULT,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT
2026-01,HDFCBANK,8220,65760,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE\trade_month=2026-01\symbol=HDFCBANK\part-00000.parquet,2141060,P98_TIMING_VOL_MODERATE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE
2026-02,HDFCBANK,7476,59808,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE\trade_month=2026-02\symbol=HDFCBANK\part-00000.parquet,1964453,P98_TIMING_VOL_MODERATE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE
2026-03,HDFCBANK,8220,65760,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE\trade_month=2026-03\symbol=HDFCBANK\part-00000.parquet,2158965,P98_TIMING_VOL_MODERATE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE
2026-04,HDFCBANK,8212,65696,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE\trade_month=2026-04\symbol=HDFCBANK\part-00000.parquet,2167568,P98_TIMING_VOL_MODERATE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE
2026-05,HDFCBANK,7848,62784,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE\trade_month=2026-05\symbol=HDFCBANK\part-00000.parquet,2078779,P98_TIMING_VOL_MODERATE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE
2026-06,HDFCBANK,8198,65584,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE\trade_month=2026-06\symbol=HDFCBANK\part-00000.parquet,2144316,P98_TIMING_VOL_MODERATE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE
2026-07,HDFCBANK,8587,68696,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE\trade_month=2026-07\symbol=HDFCBANK\part-00000.parquet,2258340,P98_TIMING_VOL_MODERATE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE
2026-08,HDFCBANK,7841,62728,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE\trade_month=2026-08\symbol=HDFCBANK\part-00000.parquet,2063170,P98_TIMING_VOL_MODERATE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE
2026-09,HDFCBANK,8208,65664,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE\trade_month=2026-09\symbol=HDFCBANK\part-00000.parquet,2172947,P98_TIMING_VOL_MODERATE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE
2026-10,HDFCBANK,8212,65696,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE\trade_month=2026-10\symbol=HDFCBANK\part-00000.parquet,2128853,P98_TIMING_VOL_MODERATE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE
2026-11,HDFCBANK,7858,62864,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE\trade_month=2026-11\symbol=HDFCBANK\part-00000.parquet,2051721,P98_TIMING_VOL_MODERATE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE
2026-12,HDFCBANK,5230,41840,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE\trade_month=2026-12\symbol=HDFCBANK\part-00000.parquet,1408561,P98_TIMING_VOL_MODERATE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_TIMING_VOL_MODERATE
2026-01,HDFCBANK,8220,65760,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE\trade_month=2026-01\symbol=HDFCBANK\part-00000.parquet,2141060,P98_FULL_BOOK_REBALANCE_BASE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE
2026-02,HDFCBANK,7476,59808,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE\trade_month=2026-02\symbol=HDFCBANK\part-00000.parquet,1964453,P98_FULL_BOOK_REBALANCE_BASE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE
2026-03,HDFCBANK,8220,65760,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE\trade_month=2026-03\symbol=HDFCBANK\part-00000.parquet,2158965,P98_FULL_BOOK_REBALANCE_BASE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE
2026-04,HDFCBANK,8212,65696,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE\trade_month=2026-04\symbol=HDFCBANK\part-00000.parquet,2167568,P98_FULL_BOOK_REBALANCE_BASE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE
2026-05,HDFCBANK,7848,62784,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE\trade_month=2026-05\symbol=HDFCBANK\part-00000.parquet,2078779,P98_FULL_BOOK_REBALANCE_BASE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE
2026-06,HDFCBANK,8198,65584,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE\trade_month=2026-06\symbol=HDFCBANK\part-00000.parquet,2144316,P98_FULL_BOOK_REBALANCE_BASE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE
2026-07,HDFCBANK,8587,68696,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE\trade_month=2026-07\symbol=HDFCBANK\part-00000.parquet,2258340,P98_FULL_BOOK_REBALANCE_BASE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE
2026-08,HDFCBANK,7841,62728,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE\trade_month=2026-08\symbol=HDFCBANK\part-00000.parquet,2063170,P98_FULL_BOOK_REBALANCE_BASE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE
2026-09,HDFCBANK,8208,65664,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE\trade_month=2026-09\symbol=HDFCBANK\part-00000.parquet,2172947,P98_FULL_BOOK_REBALANCE_BASE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE
2026-10,HDFCBANK,8212,65696,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE\trade_month=2026-10\symbol=HDFCBANK\part-00000.parquet,2128853,P98_FULL_BOOK_REBALANCE_BASE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE
2026-11,HDFCBANK,7858,62864,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE\trade_month=2026-11\symbol=HDFCBANK\part-00000.parquet,2051721,P98_FULL_BOOK_REBALANCE_BASE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE
2026-12,HDFCBANK,5230,41840,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE\trade_month=2026-12\symbol=HDFCBANK\part-00000.parquet,1408561,P98_FULL_BOOK_REBALANCE_BASE,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_FULL_BOOK_REBALANCE_BASE
