strategy_id,strategy_name,redesign_priority,contract_requirement_id,evidence_domain,required_artifact_or_test,current_evidence_status,acceptance_requirement_met,replay_expansion_allowed,blocking_reason,source_phase30_decision
S06,Absorption and exhaustion reversal,medium,S06_03_broker_fill_cost_reconciliation,broker_evidence,Broker/exchange fill and cost reconciliation for reversal entries.,missing_or_proxy_only,False,False,Current replay uses model fills/costs.,reject_current_proxy_label_execution_form
S06,Absorption and exhaustion reversal,medium,S06_04_charged_retail_replay_pass,execution_economics,Phase 29-style replay must become positive in retail and stressed profiles.,missing_or_proxy_only,False,False,Current S06 proxy replay is negative after costs.,reject_current_proxy_label_execution_form
S06,Absorption and exhaustion reversal,medium,S06_05_multi_day_real_holdout,real_data,Multi-day validation across high- and low-liquidity names.,missing_or_proxy_only,False,False,Needed to test whether absorption generalizes.,reject_current_proxy_label_execution_form
S07,Mean reversion after imbalance,medium,S07_01_new_mean_reversion_trigger,signal_design,A mean-reversion trigger that avoids catching broad market moves and clears the fee/spread hurdle.,missing_or_proxy_only,False,False,Current S07 realistic variants all failed after costs.,reject_current_signal_form_redesign_required
S07,Mean reversion after imbalance,medium,S07_02_replenishment_and_imbalance_features,feature_engineering,"Event-level replenishment, imbalance persistence and spread-regime features.",missing_or_proxy_only,False,False,Current imbalance proxy is too weak.,reject_current_signal_form_redesign_required
S07,Mean reversion after imbalance,medium,S07_03_zero_latency_edge_to_retail_bridge,execution_economics,Demonstrate that Phase 26 zero-latency positives survive realistic latency/slippage/costs.,missing_or_proxy_only,False,False,Frictionless edge is not tradable.,reject_current_signal_form_redesign_required
S07,Mean reversion after imbalance,medium,S07_04_negative_control_falsification,robustness,"Must beat inverted, lagged and shuffled imbalance controls after costs.",missing_or_proxy_only,False,False,Needed before further compute expansion.,reject_current_signal_form_redesign_required
S07,Mean reversion after imbalance,medium,S07_05_multi_day_real_holdout,real_data,Multi-day real tick validation across spread/liquidity regimes.,missing_or_proxy_only,False,False,Current evidence is one-day/proxy-limited.,reject_current_signal_form_redesign_required
S08,Cross-ticker/index lead-lag OFI,medium,S08_01_lead_lag_causal_label,label_engineering,"Causal lead/lag labels with timestamp-skew, simultaneous-shock and self-impact controls.",missing_or_proxy_only,False,False,Phase 28 lead-lag labels are weak 5s bucket proxies.,reject_current_proxy_label_execution_form
S08,Cross-ticker/index lead-lag OFI,medium,S08_02_sector_and_index_mapping,feature_engineering,Explicit sector/index/leader mapping for cross-symbol OFI tests.,missing_or_proxy_only,False,False,Current proxy uses broad ex-self market flow.,reject_current_proxy_label_execution_form
S08,Cross-ticker/index lead-lag OFI,medium,S08_03_out_of_sample_lead_lag_stability,robustness,Lead-lag sign and magnitude must be stable out-of-sample and across symbol groups.,missing_or_proxy_only,False,False,Single-day bucket correlation is not enough.,reject_current_proxy_label_execution_form
S08,Cross-ticker/index lead-lag OFI,medium,S08_04_charged_retail_replay_pass,execution_economics,Phase 29-style replay must become positive in retail and stressed profiles.,missing_or_proxy_only,False,False,Current S08 proxy replay is negative after costs.,reject_current_proxy_label_execution_form
S08,Cross-ticker/index lead-lag OFI,medium,S08_05_multi_day_real_holdout,real_data,Multi-day real tick validation with clock-skew audit.,missing_or_proxy_only,False,False,Needed before any lead-lag promotion.,reject_current_proxy_label_execution_form
S09,Pure queue-imbalance scalping,medium,S09_01_queue_imbalance_hurdle_trigger,signal_design,"A queue-imbalance trigger that requires expected markout above spread, slippage and Zerodha charges.",missing_or_proxy_only,False,False,Current queue-imbalance proxy is a benchmark and failed realistic costs.,reject_current_signal_form_redesign_required
S09,Pure queue-imbalance scalping,medium,S09_02_event_level_queue_markouts,feature_engineering,Event-level L1/L5 queue markouts and spread-state conditioning.,missing_or_proxy_only,False,False,Accuracy alone is insufficient for scalping.,reject_current_signal_form_redesign_required
S09,Pure queue-imbalance scalping,medium,S09_03_zero_latency_edge_to_retail_bridge,execution_economics,Demonstrate that Phase 26 zero-latency positives survive realistic latency/slippage/costs.,missing_or_proxy_only,False,False,Frictionless edge is not tradable.,reject_current_signal_form_redesign_required
S09,Pure queue-imbalance scalping,medium,S09_04_negative_control_falsification,robustness,"Must beat random-side, inverted-side and stale-book controls after costs.",missing_or_proxy_only,False,False,Needed before queue-imbalance is more than a benchmark.,reject_current_signal_form_redesign_required
S09,Pure queue-imbalance scalping,medium,S09_05_multi_day_real_holdout,real_data,Multi-day real tick validation across queue/spread regimes.,missing_or_proxy_only,False,False,One-day/proxy evidence is insufficient.,reject_current_signal_form_redesign_required
