candidate_id,feature_name,feature_column,direction_rule,feature_abs_quantile,feature_abs_threshold,event_intensity_quantile,event_intensity_threshold,base_fill_prob,adverse_multiplier,favorable_multiplier,shock_multiplier,max_fill_prob,fill_assumption,train_observations,train_expected_fills,train_symbols,train_months,train_expected_net_pnl_inr,train_adverse_selection_rate,train_positive_months,train_max_month_contribution_abs,test_observations,test_expected_fills,test_symbols,test_months,test_expected_net_pnl_inr,test_adverse_selection_rate,test_positive_months,test_max_month_contribution_abs,train_pass,test_pass,assumption_pass
P89_L1_IMBALANCE_Q0_9_I0_5,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.9,0.5739214516995192,0.5,126.3,0.45,1.25,0.75,1.0,0.85,optimistic_queue,3503,1575.0,5,6,-399297.2442356071,0.49671709962888955,0,0.2594718171712982,3398,1536.525,5,6,-379480.0343535304,0.5082401412595644,0,0.2532980320408665,False,False,False
P89_L5_IMBALANCE_Q0_9_I0_5,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.9,0.5738467624146132,0.5,126.3,0.25,1.75,0.5,0.8,0.6,base_queue,3502,903.3500000000001,5,6,-410376.31333173625,0.49628783552255856,0,0.24934250889141618,3394,900.9250000000001,5,6,-394714.59139950515,0.5073659398939304,0,0.24441526287192425,False,False,False
P89_L1_IMBALANCE_Q0_9_I0_5,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.9,0.5739214516995192,0.5,126.3,0.25,1.75,0.5,0.8,0.6,base_queue,3503,903.7625,5,6,-413841.8611496284,0.49671709962888955,0,0.24725449298795982,3398,902.6125,5,6,-395910.0308587656,0.5082401412595644,0,0.24609716792119915,False,False,False
P89_MICROPRICE_DEV_Q0_9_I0_5,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.9,0.00010051431577481006,0.5,126.3,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,4415,556.3230000000001,8,6,-468007.4232139196,0.5001132502831257,0,0.2416362446855455,4043,545.727,8,6,-418658.548399127,0.5218896858768242,0,0.22277696105152567,False,False,False
P89_L1_IMBALANCE_Q0_75_I0_75,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.75,0.4140160808321364,0.75,145.1,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,4319,552.6165000000001,9,6,-491863.04183814325,0.49756888168557534,0,0.24401715065063115,4651,620.892,9,6,-502156.55734686775,0.5022575790152656,0,0.2446363633063419,False,False,False
P89_L5_IMBALANCE_Q0_75_I0_75,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.75,0.4149279930667177,0.75,145.1,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,4289,547.7130000000001,9,6,-487511.1763490101,0.49638610398694333,0,0.2420627460088395,4644,621.864,9,6,-502932.6370176588,0.5040913006029285,0,0.24383187818565716,False,False,False
P89_MICROPRICE_DEV_Q0_9_I0_75,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.9,0.00010051431577481006,0.75,145.1,0.25,1.75,0.5,0.8,0.6,base_queue,2816,661.8125000000001,8,6,-543562.8197915794,0.5074573863636364,0,0.28247870488906596,2761,682.0750000000002,8,6,-507228.88511456625,0.5403839188699746,0,0.23314688551468388,False,False,False
P89_MICROPRICE_DEV_Q0_9_I0_75,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.9,0.00010051431577481006,0.75,145.1,0.45,1.25,0.75,1.0,0.85,optimistic_queue,2816,1273.275,8,6,-638045.3310099854,0.5074573863636364,0,0.35753791882134955,2761,1269.3374999999999,8,6,-603563.8936389672,0.5403839188699746,0,0.2331446490499227,False,False,False
P89_MICROPRICE_DEV_Q0_9_I0_5,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.9,0.00010051431577481006,0.5,126.3,0.25,1.75,0.5,0.8,0.6,base_queue,4415,1074.725,8,6,-694183.3217261015,0.5001132502831257,0,0.25760846881923277,4043,1026.8375,8,6,-611954.2743835057,0.5218896858768242,0,0.21584081936649205,False,False,False
P89_MICROPRICE_DEV_Q0_75_I0_75,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.75,5.204773859470677e-05,0.75,145.1,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,5985,717.3465000000001,16,6,-734404.2451180732,0.5076023391812865,0,0.2485094892186946,6166,761.292,16,6,-686568.5532642963,0.5055141096334739,0,0.22573069060249243,False,False,False
P89_MICROPRICE_DEV_Q0_9_I0_5,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.9,0.00010051431577481006,0.5,126.3,0.45,1.25,0.75,1.0,0.85,optimistic_queue,4415,1988.7749999999999,8,6,-792244.6005756361,0.5001132502831257,0,0.3221282670593664,4043,1841.5125000000003,8,6,-692228.178980516,0.5218896858768242,0,0.2219364001129578,False,False,False
P89_L1_IMBALANCE_Q0_75_I0_75,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.75,0.4140160808321364,0.75,145.1,0.25,1.75,0.5,0.8,0.6,base_queue,4319,1058.9500000000003,9,6,-697523.5767957974,0.49756888168557534,0,0.24468551286260784,4651,1169.075,9,6,-693072.4691200941,0.5022575790152656,0,0.24572130949738588,False,False,False
P89_L5_IMBALANCE_Q0_75_I0_75,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.75,0.4149279930667177,0.75,145.1,0.25,1.75,0.5,0.8,0.6,base_queue,4289,1050.1625,9,6,-690583.1170845003,0.49638610398694333,0,0.24298569547889368,4644,1169.525,9,6,-694637.4167804394,0.5040913006029285,0,0.24462339777473038,False,False,False
P89_L1_IMBALANCE_Q0_75_I0_75,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.75,0.4140160808321364,0.75,145.1,0.45,1.25,0.75,1.0,0.85,optimistic_queue,4319,1942.9875,9,6,-725729.8051156614,0.49756888168557534,0,0.25722013683396205,4651,2097.5625,9,6,-696598.5879715604,0.5022575790152656,0,0.2532796162827172,False,False,False
P89_L5_IMBALANCE_Q0_75_I0_75,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.75,0.4149279930667177,0.75,145.1,0.45,1.25,0.75,1.0,0.85,optimistic_queue,4289,1928.3625,9,6,-715530.8899465543,0.49638610398694333,0,0.2608864584312751,4644,2096.325,9,6,-699104.2026155731,0.5040913006029285,0,0.2515202382371595,False,False,False
P89_L1_IMBALANCE_Q0_75_I0_5,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.75,0.4140160808321364,0.5,126.3,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,8998,1290.183,9,6,-853125.9947466261,0.49977772838408535,0,0.24505613668478593,8861,1297.7355,9,6,-811449.5647819134,0.49667080464958807,0,0.25780841119182374,False,False,False
P89_L5_IMBALANCE_Q0_75_I0_5,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.75,0.4149279930667177,0.5,126.3,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,9001,1291.6905,9,6,-848036.7244260868,0.4996111543161871,0,0.2424157105348935,8862,1302.2324999999998,9,6,-811727.0525372055,0.49842022116903634,0,0.258768977967531,False,False,False
P89_MICROPRICE_DEV_Q0_75_I0_5,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.75,5.204773859470677e-05,0.5,126.3,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,10468,1387.449,16,6,-1059264.5577851543,0.5015284677111196,0,0.26157510041024673,9867,1332.8174999999999,16,6,-932470.1369968638,0.49346305868045,0,0.23615082428931927,False,False,False
P89_MICROPRICE_DEV_Q0_75_I0_75,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.75,5.204773859470677e-05,0.75,145.1,0.25,1.75,0.5,0.8,0.6,base_queue,5985,1425.3250000000003,16,6,-1086405.3855038672,0.5076023391812865,0,0.24751468165873336,6166,1490.8500000000001,16,6,-998433.3562363207,0.5055141096334739,0,0.22516278058962735,False,False,False
P89_L5_IMBALANCE_Q0_75_I0_5,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.75,0.4149279930667177,0.5,126.3,0.45,1.25,0.75,1.0,0.85,optimistic_queue,9001,4053.375000000001,9,6,-1146326.6243995342,0.4996111543161871,0,0.2590531341104269,8862,3989.7000000000007,9,6,-999656.9170438617,0.49842022116903634,0,0.27457398480758666,False,False,False
P89_L1_IMBALANCE_Q0_75_I0_5,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.75,0.4140160808321364,0.5,126.3,0.45,1.25,0.75,1.0,0.85,optimistic_queue,8998,4052.3625000000006,9,6,-1161965.0234566326,0.49977772838408535,0,0.26227107948687367,8861,3985.762500000001,9,6,-1000939.6671611266,0.49667080464958807,0,0.27364465006195576,False,False,False
P89_L1_IMBALANCE_Q0_5_I0_75,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.5,0.19974923134379705,0.75,145.1,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,8312,1067.2605,19,6,-972286.2754401749,0.5062560153994226,0,0.2378037965661808,9009,1207.0635000000002,19,6,-1013998.1810554122,0.507048507048507,0,0.2241440250946255,False,False,False
P89_L5_IMBALANCE_Q0_5_I0_75,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.5,0.19820623076287644,0.75,145.1,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,8342,1068.3435,18,6,-972596.1611925991,0.5046751378566291,0,0.23503364687389794,9030,1208.382,18,6,-1016429.7757928154,0.5060908084163898,0,0.2229826284085688,False,False,False
P89_L5_IMBALANCE_Q0_75_I0_5,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.75,0.4149279930667177,0.5,126.3,0.25,1.75,0.5,0.8,0.6,base_queue,9001,2344.0499999999997,9,6,-1149901.3197792422,0.4996111543161871,0,0.24809217524104185,8862,2340.1250000000005,9,6,-1065280.6133390297,0.49842022116903634,0,0.2614902149505638,False,False,False
P89_L1_IMBALANCE_Q0_75_I0_5,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.75,0.4140160808321364,0.5,126.3,0.25,1.75,0.5,0.8,0.6,base_queue,8998,2342.4125000000004,9,6,-1158985.0229604412,0.49977772838408535,0,0.2507218425071846,8861,2334.975,9,6,-1065281.4697219343,0.49667080464958807,0,0.26060945762346743,False,False,False
P89_MICROPRICE_DEV_Q0_75_I0_75,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.75,5.204773859470677e-05,0.75,145.1,0.45,1.25,0.75,1.0,0.85,optimistic_queue,5985,2705.4,16,6,-1196070.4598218384,0.5076023391812865,0,0.24369449876476318,6166,2784.6000000000004,16,6,-1080077.6000475844,0.5055141096334739,0,0.22729696000218655,False,False,False
P89_MICROPRICE_DEV_Q0_5_I0_75,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.5,2.5130818431459663e-05,0.75,145.1,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,10311,1291.611,22,6,-1198201.122263289,0.5070313257685967,0,0.24136679287221957,10872,1419.4004999999997,22,6,-1219205.0168608548,0.5061626195732156,0,0.22228492041866282,False,False,False
P89_MICROPRICE_DEV_Q0_75_I0_5,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.75,5.204773859470677e-05,0.5,126.3,0.25,1.75,0.5,0.8,0.6,base_queue,10468,2617.25,16,6,-1507535.9316003856,0.5015284677111196,0,0.2648761055003619,9867,2489.3250000000003,16,6,-1288267.4633439058,0.49346305868045,0,0.2367299150833615,False,False,False
P89_MICROPRICE_DEV_Q0_75_I0_5,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.75,5.204773859470677e-05,0.5,126.3,0.45,1.25,0.75,1.0,0.85,optimistic_queue,10468,4718.025,16,6,-1596921.4585306852,0.5015284677111196,0,0.27046017344333906,9867,4429.9125,16,6,-1298232.575564144,0.49346305868045,0,0.24323922397887612,False,False,False
P89_L1_IMBALANCE_Q0_5_I0_75,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.5,0.19974923134379705,0.75,145.1,0.25,1.75,0.5,0.8,0.6,base_queue,8312,2046.6875,19,6,-1386575.7332998933,0.5062560153994226,0,0.23665069088243232,9009,2268.9375000000005,19,6,-1414636.5855411356,0.507048507048507,0,0.2228322427583221,False,False,False
P89_L5_IMBALANCE_Q0_5_I0_75,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.5,0.19820623076287644,0.75,145.1,0.25,1.75,0.5,0.8,0.6,base_queue,8342,2050.3750000000005,18,6,-1385293.8389424838,0.5046751378566291,0,0.23326839519411977,9030,2272.2000000000003,18,6,-1417599.132232773,0.5060908084163898,0,0.22147717188344535,False,False,False
P89_L1_IMBALANCE_Q0_5_I0_75,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.5,0.19974923134379705,0.75,145.1,0.45,1.25,0.75,1.0,0.85,optimistic_queue,8312,3754.5750000000007,19,6,-1453450.7382166784,0.5062560153994226,0,0.2323755173140973,9009,4071.6000000000004,19,6,-1456936.7557210084,0.507048507048507,0,0.22217687511242945,False,False,False
P89_L5_IMBALANCE_Q0_5_I0_75,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.5,0.19820623076287644,0.75,145.1,0.45,1.25,0.75,1.0,0.85,optimistic_queue,8342,3765.15,18,6,-1446079.1882725812,0.5046751378566291,0,0.2271220831453361,9030,4079.362500000001,18,6,-1458427.641783487,0.5060908084163898,0,0.22026200536305468,False,False,False
P89_L5_IMBALANCE_Q0_5_I0_5,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.5,0.19820623076287644,0.5,126.3,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,17717,2530.5074999999997,18,6,-1692793.9079409267,0.4997460066602698,0,0.23430653377660282,17497,2574.6735,18,6,-1667750.35144394,0.49951420243470307,0,0.24051196902674485,False,False,False
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.5,0.19974923134379705,0.5,126.3,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,17649,2527.3035,19,6,-1692173.9564369442,0.5013315201994447,0,0.2364947886761639,17491,2578.8449999999993,19,6,-1668514.976742695,0.500714653250243,0,0.24163599312434111,False,False,False
P89_MICROPRICE_DEV_Q0_5_I0_75,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.5,2.5130818431459663e-05,0.75,145.1,0.25,1.75,0.5,0.8,0.6,base_queue,10311,2507.9125000000004,22,6,-1702086.9330536332,0.5070313257685967,0,0.23878370550018552,10872,2699.0750000000003,22,6,-1700709.2896827576,0.5061626195732156,0,0.22451904943922232,False,False,False
P89_MICROPRICE_DEV_Q0_5_I0_75,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.5,2.5130818431459663e-05,0.75,145.1,0.45,1.25,0.75,1.0,0.85,optimistic_queue,10311,4659.8625,22,6,-1729191.788688016,0.5070313257685967,0,0.2415143312400321,10872,4911.3,22,6,-1709852.1817465336,0.5061626195732156,0,0.2282358644537004,False,False,False
P89_MICROPRICE_DEV_Q0_5_I0_5,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.5,2.5130818431459663e-05,0.5,126.3,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,19598,2719.011,22,6,-1894529.203768501,0.502092050209205,0,0.24047173225356655,18966,2720.3549999999996,22,6,-1847425.253772869,0.5,0,0.23715391422475904,False,False,False
P89_L5_IMBALANCE_Q0_5_I0_5,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.5,0.19820623076287644,0.5,126.3,0.45,1.25,0.75,1.0,0.85,optimistic_queue,17717,7978.612500000001,18,6,-2289770.5039500427,0.4997460066602698,0,0.24140913618508295,17497,7882.312500000001,18,6,-2140012.5652333805,0.49951420243470307,0,0.23778557299528502,False,False,False
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.5,0.19974923134379705,0.5,126.3,0.45,1.25,0.75,1.0,0.85,optimistic_queue,17649,7954.200000000001,19,6,-2298297.739168355,0.5013315201994447,0,0.24667490863017177,17491,7883.6625,19,6,-2142072.4008428794,0.500714653250243,0,0.23925756102534979,False,False,False
P89_L5_IMBALANCE_Q0_5_I0_5,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.5,0.19820623076287644,0.5,126.3,0.25,1.75,0.5,0.8,0.6,base_queue,17717,4603.2625,18,6,-2298435.4127245843,0.4997460066602698,0,0.23752214596228666,17497,4622.5625,18,6,-2213543.475127398,0.49951420243470307,0,0.23864231780635298,False,False,False
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.5,0.19974923134379705,0.5,126.3,0.25,1.75,0.5,0.8,0.6,base_queue,17649,4593.85,19,6,-2299724.4301478644,0.5013315201994447,0,0.24052071510888506,17491,4626.925,19,6,-2214533.423936052,0.500714653250243,0,0.23984707073759828,False,False,False
P89_MICROPRICE_DEV_Q0_5_I0_5,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.5,2.5130818431459663e-05,0.5,126.3,0.45,1.25,0.75,1.0,0.85,optimistic_queue,19598,8835.525000000001,22,6,-2516669.9294660157,0.502092050209205,0,0.25195391938739153,18966,8544.6,22,6,-2358409.4862756804,0.5,0,0.24544335154673652,False,False,False
P89_MICROPRICE_DEV_Q0_5_I0_5,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.5,2.5130818431459663e-05,0.5,126.3,0.25,1.75,0.5,0.8,0.6,base_queue,19598,5017.15,22,6,-2580039.522261098,0.502092050209205,0,0.2445119327824532,18966,4940.0625,22,6,-2466278.788367861,0.5,0,0.2378925767875694,False,False,False
