scenario_id,scope,family_id,entry_timing_policy,horizon_seconds,depth_threshold_quantile,trade_rows,diagnostic_trade_dates,symbols,positive_symbol_date_cells,net_pnl_inr,side_flip_net_pnl_inr,random_side_net_pnl_inr,annualized_return_pct,side_flip_annualized_return_pct,random_side_annualized_return_pct,control_pass,above12,acceptance_candidate
P345_0041_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_60s_H900_Q0p75,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,900,0.75,3,2,3,1,-594.086644891632,-552.5841735912029,-594.086644891632,-29.941966902538255,-27.850242348996623,-29.941966902538255,0,0,0
P345_0060_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_delay_300s_H900_Q0p0,capacity_capped,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,900,0.0,17,6,5,2,-1796.4434943661595,-4683.439036961029,-3126.4845892229882,-30.18025070535148,-78.68177582094529,-52.524941098946194,1,0,0
P345_0011_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H300_Q0p75,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,300,0.75,1,1,1,0,-299.6858525344087,-123.2796801136,-299.6858525344087,-30.208333935468396,-12.426591755450879,-30.208333935468396,0,0,0
P345_0050_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_300s_H900_Q0p75,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,900,0.75,1,1,1,0,-321.6801818895942,-64.07052534878835,-64.07052534878835,-32.4253623344711,-6.458308955157865,-6.458308955157865,0,0,0
P345_0020_P344_CATALYST_CATEGORY_CONTINUATION_delay_300s_H300_Q0p75,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,300,0.75,2,1,2,0,-333.3155115487883,-395.7149938352262,-333.3155115487883,-33.59820356411787,-39.8880713785908,-33.59820356411787,0,0,0
P345_0038_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_60s_H300_Q0p75,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,300,0.75,3,2,3,1,-667.5982515280175,-471.3902483256203,-667.5982515280175,-33.646951877012086,-23.758068515611264,-33.646951877012086,0,0,0
P345_0032_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_first_valid_tick_H900_Q0p75,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,900,0.75,7,4,5,1,-1388.9567783584378,-1655.205766812835,2178.237458058768,-35.00171081463263,-41.711185323683445,54.89158394308095,0,0,0
P345_0066_P344_NEGATIVE_CONTROL_FAILED_SURVIVOR_REPLAY_phase342_exact_H900_Q0p0,capacity_capped,P344_NEGATIVE_CONTROL_FAILED_SURVIVOR_REPLAY,phase342_exact,900,0.0,37,7,16,8,-2644.9927940519356,-9533.192794052062,0.0,-38.087896234347866,-137.27797623434967,0.0,0,0,0
P345_0063_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_delay_300s_H1800_Q0p0,capacity_capped,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,1800,0.0,17,6,5,2,-2325.882311102617,-4182.964890030606,-4439.950248499802,-39.07482282652397,-70.27381015251417,-74.59116417479667,1,0,0
P345_0023_P344_CATALYST_CATEGORY_CONTINUATION_delay_300s_H900_Q0p75,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,900,0.75,2,1,2,0,-436.30780591278835,-315.9042358375797,-436.30780591278835,-43.97982683600907,-31.84314697242803,-43.97982683600907,0,0,0
P345_0040_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_60s_H900_Q0p5,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,900,0.5,17,6,14,4,-3116.131397352626,-3251.633848247797,-1680.586215150197,-52.35100747552412,-54.62744865056299,-28.233848414523308,0,0,0
P345_0045_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_300s_H300_Q0p0,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,300,0.0,36,7,18,5,-4065.2920612854628,-9515.223615548253,-6992.093935951578,-58.54020568251066,-137.01922006389483,-100.68615267770272,1,0,0
P345_0046_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_300s_H300_Q0p5,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,300,0.5,15,6,11,2,-3687.901731576661,-2048.5267703596155,-3214.68512490062,-61.9567490904879,-34.415249742041546,-54.006710098330416,0,0,0
P345_0019_P344_CATALYST_CATEGORY_CONTINUATION_delay_300s_H300_Q0p5,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,300,0.5,6,3,4,0,-1877.1339234695765,-401.8952015432087,-334.48758258238536,-63.07169982857777,-13.503678771851812,-11.238782774768149,0,0,0
P345_0059_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_market_open_or_first_tick_after_announcement_H1800_Q0p75,capacity_capped,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,market_open_or_first_tick_after_announcement,1800,0.75,5,4,3,1,-2542.6653546200205,544.9332761076232,-424.99773895198535,-64.07516693642452,13.732318557912105,-10.709943021590032,0,0,0
P345_0043_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_60s_H1800_Q0p5,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,1800,0.5,17,6,14,5,-3902.7455280228232,-2510.387366238945,-2552.7903361933254,-65.56612487078344,-42.174507752814286,-42.886877648047864,0,0,0
P345_0056_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_market_open_or_first_tick_after_announcement_H900_Q0p75,capacity_capped,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,market_open_or_first_tick_after_announcement,900,0.75,5,4,3,1,-2622.8531498272173,570.1467353220057,-2051.5311789939856,-66.09589937564587,14.367697730114546,-51.69858571064844,0,0,0
P345_0028_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_first_valid_tick_H300_Q0p5,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,300,0.5,19,6,11,2,-3938.0748603405386,-3749.5758029943618,-3542.0487436521644,-66.15965765372106,-62.99287349030527,-59.50641889335637,0,0,0
P345_0049_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_300s_H900_Q0p5,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,900,0.5,15,6,11,4,-4021.0902124791937,-1592.7301842701204,-1990.4179683074085,-67.55431556965046,-26.75786709573802,-33.43902186756446,0,0,0
P345_0044_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_60s_H1800_Q0p75,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,1800,0.75,3,2,3,1,-1424.669741032803,239.88370516918258,-2404.796597101209,-71.80335494805327,12.090138740526802,-121.20174849390092,0,0,0
P345_0039_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_60s_H900_Q0p0,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,900,0.0,37,7,19,7,-5155.996931454391,-8831.518638924843,-12019.109641715611,-74.24635581294324,-127.17386840051775,-173.0751788407048,1,0,0
P345_0037_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_60s_H300_Q0p5,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,300,0.5,17,6,14,3,-4505.678682119636,-2075.085464848189,-2905.123550384879,-75.69540185960989,-34.861435809449574,-48.80607564646596,0,0,0
P345_0018_P344_CATALYST_CATEGORY_CONTINUATION_delay_300s_H300_Q0p0,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,300,0.0,19,6,11,2,-4832.395213784648,-2438.5011710686117,-3524.5420312166407,-81.18423959158208,-40.96681967395268,-59.21230612443957,0,0,0
P345_0025_P344_CATALYST_CATEGORY_CONTINUATION_delay_300s_H1800_Q0p5,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,1800,0.5,6,3,4,1,-2468.889649727965,211.98754606240874,-1000.4477778175709,-82.95469223085964,7.122781547696934,-33.61504533467039,0,0,0
P345_0042_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_60s_H1800_Q0p0,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,1800,0.0,36,7,19,10,-6538.135608235386,-7026.30624255409,-8371.2486962753,-94.14915275858957,-101.1788098927789,-120.54598122636432,1,0,0
P345_0022_P344_CATALYST_CATEGORY_CONTINUATION_delay_300s_H900_Q0p5,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,900,0.5,6,3,4,0,-2867.5598221835626,610.0412012384521,712.7473741924495,-96.3500100253677,20.49738436161199,23.948311772866305,0,0,0
P345_0054_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_market_open_or_first_tick_after_announcement_H900_Q0p0,capacity_capped,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,market_open_or_first_tick_after_announcement,900,0.0,18,7,5,2,-6808.247532031965,-449.06283064675046,-3710.6523326115503,-98.0387644612603,-6.466504761313208,-53.433393589606325,0,0,0
P345_0055_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_market_open_or_first_tick_after_announcement_H900_Q0p5,capacity_capped,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,market_open_or_first_tick_after_announcement,900,0.5,11,6,5,1,-6012.951776404812,1469.6759133236262,1583.5672350188204,-101.01758984360085,24.69055534383692,26.603929548316184,0,0,0
P345_0031_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_first_valid_tick_H900_Q0p5,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,900,0.5,19,6,11,2,-6130.733927940442,-1292.4380281583942,-2590.0031176394305,-102.99632998939944,-21.712958873061023,-43.51205237634243,0,0,0
P345_0057_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_market_open_or_first_tick_after_announcement_H1800_Q0p0,capacity_capped,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,market_open_or_first_tick_after_announcement,1800,0.0,18,7,5,2,-7496.993064919605,258.2744045622259,-2916.305538367018,-107.95670013484231,3.719151425696053,-41.994799752485065,0,0,0
P345_0027_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_first_valid_tick_H300_Q0p0,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,300,0.0,37,7,18,3,-7566.974514235413,-6901.671259984751,-6786.286373889932,-108.96443300498996,-99.3840661437804,-97.72252378401501,0,0,0
P345_0036_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_60s_H300_Q0p0,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_60s,300,0.0,37,7,19,2,-7671.647885798374,-6373.360882373973,-8866.077953138383,-110.47172955549658,-91.77639670618521,-127.67152252519271,0,0,0
P345_0058_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_market_open_or_first_tick_after_announcement_H1800_Q0p5,capacity_capped,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,market_open_or_first_tick_after_announcement,1800,0.5,11,6,5,1,-6781.422832300821,2300.90115421384,-390.9243838892177,-113.9279035826538,38.65513939079252,-6.567529649338859,0,0,0
P345_0034_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_first_valid_tick_H1800_Q0p5,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,1800,0.5,19,6,11,3,-7208.627976742673,-242.43641099498245,-4285.186222040134,-121.10495000927692,-4.072931704715705,-71.99112853027425,0,0,0
P345_0053_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_300s_H1800_Q0p75,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,1800,0.75,1,1,1,0,-1204.9992478480058,819.0634006928087,-1204.9992478480058,-121.46392418307899,82.56159078983512,-121.46392418307899,0,0,0
P345_0024_P344_CATALYST_CATEGORY_CONTINUATION_delay_300s_H1800_Q0p0,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,1800,0.0,19,6,11,5,-7250.454300413687,43.3433662575178,-6380.562142287678,-121.80763224694994,0.728168553126299,-107.19344399043298,0,0,0
P345_0052_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_300s_H1800_Q0p5,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,1800,0.5,15,6,11,2,-7522.203349728186,1828.97142309305,-2926.1863830963134,-126.37301627543353,30.72671990796324,-49.15993123601806,0,0,0
P345_0029_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_first_valid_tick_H300_Q0p75,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,300,0.75,7,4,5,0,-5079.481087472852,1936.398663130032,-75.55164239919122,-128.00292340431588,48.79724631087681,-1.9039013884596188,0,0,0
P345_0017_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H1800_Q0p75,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,1800,0.75,1,1,1,0,-1324.4091851967971,901.6584752239883,901.6584752239883,-133.50044586783716,90.88717430257802,90.88717430257802,0,0,0
P345_0014_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H900_Q0p75,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,900,0.75,1,1,1,0,-1366.406043092797,943.6641373279883,-1366.406043092797,-137.73372914375395,95.12134504266122,-137.73372914375395,0,0,0
P345_0030_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_first_valid_tick_H900_Q0p0,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,900,0.0,37,7,18,4,-9615.744766343047,-4631.571628793553,-10874.338059686772,-138.4667246353399,-66.69463145462716,-156.59046805948952,0,0,0
P345_0021_P344_CATALYST_CATEGORY_CONTINUATION_delay_300s_H900_Q0p0,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,900,0.0,19,6,11,2,-8928.318766625856,1737.061669031446,2107.0667737850176,-149.99575527931438,29.18263603972829,35.398721799588294,0,0,0
P345_0033_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_first_valid_tick_H1800_Q0p0,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,1800,0.0,36,7,18,7,-10961.034450334195,-2883.871041459795,-7476.734577986954,-157.8388960848124,-41.52774299702105,-107.66497792301213,0,0,0
P345_0009_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H300_Q0p0,isolated_all_events,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,300,0.0,40,6,13,9,5436.8398203323595,-21245.489183131445,-10600.81703168964,91.33890898158364,-356.9242182766083,-178.09372613238597,1,1,0
P345_0012_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H900_Q0p0,isolated_all_events,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,900,0.0,40,6,13,13,5368.084964405498,-20835.583930433255,-10878.897096412056,90.18382740201235,-350.0378100312787,-182.7654712197225,1,1,0
P345_0065_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_delay_300s_H1800_Q0p75,isolated_all_events,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,1800,0.75,2,2,2,1,1135.1671988583882,-1922.5321594552174,-1775.5211462992174,57.21242682246277,-96.89562083654296,-89.48626577348055,1,1,0
P345_0002_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H300_Q0p75,isolated_all_events,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,300,0.75,11,3,6,5,1678.042331696896,-6369.48035739888,-15.213683940773763,56.38222234501571,-214.01454000860235,-0.5111797804099985,1,1,0
P345_0001_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H300_Q0p5,isolated_all_events,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,300,0.5,22,5,10,8,2407.9674247965136,-11807.183785150126,-2743.8503895976146,48.544623283897714,-238.03282510862655,-55.31602385428791,1,1,0
P345_0004_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H900_Q0p5,isolated_all_events,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,900,0.5,22,5,10,8,2202.5827911811734,-11365.524252170902,-6078.608537241255,44.40406907021246,-229.1289689237654,-122.54474811078369,1,1,0
P345_0015_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H1800_Q0p0,isolated_all_events,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,1800,0.0,40,6,13,14,2616.700816356596,-18212.690380570784,-5375.671215452045,43.960573714790804,-305.97319839358914,-90.31127641959436,1,1,0
P345_0007_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H1800_Q0p5,isolated_all_events,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,1800,0.5,22,5,10,7,2025.6960254239505,-11082.78614081849,-2324.392088603264,40.838031872546836,-223.42896859890075,-46.859744506241796,1,1,0
P345_0013_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H900_Q0p5,isolated_all_events,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,900,0.5,7,4,5,1,1564.5931079615916,-4162.284342405235,1560.39352698398,39.42774632063211,-104.88956542861195,39.321916879996294,1,1,0
P345_0062_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_delay_300s_H900_Q0p75,isolated_all_events,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,900,0.75,2,2,2,1,778.1939067423883,-1502.4755384152174,624.1892867423883,39.220972899816374,-75.72476713612696,31.459140051816366,1,1,0
P345_0026_P344_CATALYST_CATEGORY_CONTINUATION_delay_300s_H1800_Q0p75,isolated_all_events,P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,1800,0.75,2,1,2,1,347.8335265168233,-1100.2099554080057,-1100.2099554080057,35.06161947289579,-110.90116350512699,-110.90116350512699,1,1,0
P345_0048_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_300s_H900_Q0p0,isolated_all_events,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,900,0.0,97,7,23,22,1905.996995768465,-38913.16349964343,-26537.428434167745,27.446356739065894,-560.3495543948654,-382.1389694520155,1,1,0
P345_0010_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H300_Q0p5,isolated_all_events,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,300,0.5,7,4,5,1,992.7358929443391,-3623.2116787372206,-443.4086679048522,25.016944502197347,-91.30493430417796,-11.173898431202275,1,1,0
P345_0051_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_300s_H1800_Q0p0,isolated_all_events,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,1800,0.0,97,7,23,22,-43.22135756473898,-36752.4605225921,-20771.20735893895,-0.6223875489322414,-529.2354315253261,-299.1053859687209,1,0,0
