scenario_id,scope,proxy_symbol,lookback_seconds,rule_id,trade_rows,diagnostic_trade_dates,symbols,positive_trade_rows,positive_symbols,positive_symbol_date_cells,net_pnl_inr,annualized_return_pct,above12,event_floor_met,breadth_met,acceptance_candidate,uses_real_l2,uses_market_proxy_l2,uses_official_catalyst_events,uses_full_depth_1_5,uses_depth_2_5,l1_only_variant
P354_capacity_selected_events_NIFTYBEES_LB300_market_stretched_deep_fade,capacity_selected_events,NIFTYBEES,300,market_stretched_deep_fade,4,3,4,1,1,1,-357.2791951975948,-12.004580958639185,0,0,0,0,1,1,1,1,1,0
P354_lead_catalyst_categories_NIFTYBEES_LB900_market_confirmed_top5_follow,lead_catalyst_categories,NIFTYBEES,900,market_confirmed_top5_follow,5,3,4,1,1,1,-728.5275756404009,-24.47852654151747,0,0,0,0,1,1,1,1,0,0
P354_lead_catalyst_categories_BANKBEES_LB900_market_confirmed_top5_follow,lead_catalyst_categories,BANKBEES,900,market_confirmed_top5_follow,4,4,2,0,0,0,-1017.3767882480164,-25.637895063850006,0,0,0,0,1,1,1,1,0,0
P354_lead_catalyst_categories_BANKBEES_LB300_market_confirmed_deep_follow,lead_catalyst_categories,BANKBEES,300,market_confirmed_deep_follow,4,4,3,0,0,0,-1050.4229272780042,-26.470657767405708,0,0,0,0,1,1,1,1,1,0
P354_all_official_catalyst_events_BANKBEES_LB900_market_confirmed_top5_follow,all_official_catalyst_events,BANKBEES,900,market_confirmed_top5_follow,6,5,4,0,0,0,-1413.7577779188232,-28.501356802843475,0,0,0,0,1,1,1,1,0,0
P354_capacity_selected_events_BANKBEES_LB900_market_confirmed_top5_follow,capacity_selected_events,BANKBEES,900,market_confirmed_top5_follow,6,5,4,0,0,0,-1413.7577779188232,-28.501356802843475,0,0,0,0,1,1,1,1,0,0
P354_lead_catalyst_categories_NIFTYBEES_LB300_market_confirmed_top5_follow,lead_catalyst_categories,NIFTYBEES,300,market_confirmed_top5_follow,8,6,6,0,0,0,-1788.4978915148022,-30.046764577448677,0,0,0,0,1,1,1,1,0,0
P354_lead_catalyst_categories_NIFTYBEES_LB300_market_confirmed_deep_follow,lead_catalyst_categories,NIFTYBEES,300,market_confirmed_deep_follow,6,5,5,0,0,0,-1516.5662110079923,-30.573974813921122,0,0,0,0,1,1,1,1,1,0
P354_all_official_catalyst_events_BANKBEES_LB300_market_confirmed_deep_follow,all_official_catalyst_events,BANKBEES,300,market_confirmed_deep_follow,5,4,4,0,0,0,-1293.7886778164138,-32.603474680973626,0,0,0,0,1,1,1,1,1,0
P354_capacity_selected_events_BANKBEES_LB300_market_confirmed_deep_follow,capacity_selected_events,BANKBEES,300,market_confirmed_deep_follow,5,4,4,0,0,0,-1293.7886778164138,-32.603474680973626,0,0,0,0,1,1,1,1,1,0
P354_lead_catalyst_categories_BANKBEES_LB300_market_confirmed_top5_follow,lead_catalyst_categories,BANKBEES,300,market_confirmed_top5_follow,5,4,4,0,0,0,-1294.554322470802,-32.62276892626421,0,0,0,0,1,1,1,1,0,0
P354_lead_catalyst_categories_BANKBEES_LB900_market_confirmed_deep_follow,lead_catalyst_categories,BANKBEES,900,market_confirmed_deep_follow,3,3,2,0,0,0,-989.5765029340041,-33.24977049858254,0,0,0,0,1,1,1,1,1,0
P354_all_official_catalyst_events_NIFTYBEES_LB300_market_confirmed_top5_follow,all_official_catalyst_events,NIFTYBEES,300,market_confirmed_top5_follow,9,6,7,0,0,0,-2031.8636420532118,-34.13530918649396,0,0,0,0,1,1,1,1,0,0
P354_capacity_selected_events_NIFTYBEES_LB300_market_confirmed_top5_follow,capacity_selected_events,NIFTYBEES,300,market_confirmed_top5_follow,9,6,7,0,0,0,-2031.8636420532118,-34.13530918649396,0,0,0,0,1,1,1,1,0,0
P354_all_official_catalyst_events_BANKBEES_LB900_market_confirmed_deep_follow,all_official_catalyst_events,BANKBEES,900,market_confirmed_deep_follow,5,4,4,0,0,0,-1385.957492604811,-34.92612881364124,0,0,0,0,1,1,1,1,1,0
P354_capacity_selected_events_BANKBEES_LB900_market_confirmed_deep_follow,capacity_selected_events,BANKBEES,900,market_confirmed_deep_follow,5,4,4,0,0,0,-1385.957492604811,-34.92612881364124,0,0,0,0,1,1,1,1,1,0
P354_lead_catalyst_categories_NIFTYBEES_LB900_market_confirmed_deep_follow,lead_catalyst_categories,NIFTYBEES,900,market_confirmed_deep_follow,4,2,4,1,1,1,-700.7272903263886,-35.31665543244999,0,0,0,0,1,1,1,1,1,0
P354_all_official_catalyst_events_NIFTYBEES_LB300_market_confirmed_deep_follow,all_official_catalyst_events,NIFTYBEES,300,market_confirmed_deep_follow,7,5,6,0,0,0,-1759.9319615464021,-35.48022834477547,0,0,0,0,1,1,1,1,1,0
P354_capacity_selected_events_NIFTYBEES_LB300_market_confirmed_deep_follow,capacity_selected_events,NIFTYBEES,300,market_confirmed_deep_follow,7,5,6,0,0,0,-1759.9319615464021,-35.48022834477547,0,0,0,0,1,1,1,1,1,0
P354_all_official_catalyst_events_NIFTYBEES_LB900_market_confirmed_deep_follow,all_official_catalyst_events,NIFTYBEES,900,market_confirmed_deep_follow,7,4,7,1,1,1,-1427.3310364131955,-35.96874211761253,0,0,0,0,1,1,1,1,1,0
P354_capacity_selected_events_NIFTYBEES_LB900_market_confirmed_deep_follow,capacity_selected_events,NIFTYBEES,900,market_confirmed_deep_follow,7,4,7,1,1,1,-1427.3310364131955,-35.96874211761253,0,0,0,0,1,1,1,1,1,0
P354_all_official_catalyst_events_NIFTYBEES_LB900_market_confirmed_top5_follow,all_official_catalyst_events,NIFTYBEES,900,market_confirmed_top5_follow,8,4,7,1,1,1,-1455.1313217272077,-36.66930930752563,0,0,0,0,1,1,1,1,0,0
P354_capacity_selected_events_NIFTYBEES_LB900_market_confirmed_top5_follow,capacity_selected_events,NIFTYBEES,900,market_confirmed_top5_follow,8,4,7,1,1,1,-1455.1313217272077,-36.66930930752563,0,0,0,0,1,1,1,1,0,0
P354_all_official_catalyst_events_BANKBEES_LB300_market_confirmed_top5_follow,all_official_catalyst_events,BANKBEES,300,market_confirmed_top5_follow,6,4,5,0,0,0,-1537.9200730092116,-38.755585839832136,0,0,0,0,1,1,1,1,0,0
P354_capacity_selected_events_BANKBEES_LB300_market_confirmed_top5_follow,capacity_selected_events,BANKBEES,300,market_confirmed_top5_follow,6,4,5,0,0,0,-1537.9200730092116,-38.755585839832136,0,0,0,0,1,1,1,1,0,0
P354_lead_catalyst_categories_BANKBEES_LB900_market_neutral_top5_fade,lead_catalyst_categories,BANKBEES,900,market_neutral_top5_fade,36,7,14,15,6,9,-3090.8092567978338,-44.50765329788881,0,1,1,0,1,1,1,1,0,0
P354_lead_catalyst_categories_NIFTYBEES_LB900_market_neutral_top5_fade,lead_catalyst_categories,NIFTYBEES,900,market_neutral_top5_fade,39,7,15,16,6,10,-3418.583172372628,-49.227597682165836,0,1,1,0,1,1,1,1,0,0
P354_lead_catalyst_categories_NIFTYBEES_LB300_market_neutral_top5_fade,lead_catalyst_categories,NIFTYBEES,300,market_neutral_top5_fade,37,7,14,15,6,9,-3524.930184179834,-50.758994652189614,0,1,1,0,1,1,1,1,0,0
P354_lead_catalyst_categories_BANKBEES_LB300_market_neutral_top5_fade,lead_catalyst_categories,BANKBEES,300,market_neutral_top5_fade,38,7,14,15,6,9,-3550.335498160229,-51.12483117350729,0,1,1,0,1,1,1,1,0,0
P354_all_official_catalyst_events_NIFTYBEES_LB900_market_neutral_top5_fade,all_official_catalyst_events,NIFTYBEES,900,market_neutral_top5_fade,56,7,18,21,7,14,-8952.828235607365,-128.92072659274604,0,1,1,0,1,1,1,1,0,0
P354_all_official_catalyst_events_NIFTYBEES_LB300_market_neutral_top5_fade,all_official_catalyst_events,NIFTYBEES,300,market_neutral_top5_fade,55,7,18,21,7,13,-9053.398003830574,-130.36893125516028,0,1,1,0,1,1,1,1,0,0
P354_all_official_catalyst_events_BANKBEES_LB300_market_neutral_top5_fade,all_official_catalyst_events,BANKBEES,300,market_neutral_top5_fade,55,7,18,20,7,13,-9084.580561394969,-130.81796008408756,0,1,1,0,1,1,1,1,0,0
P354_all_official_catalyst_events_BANKBEES_LB900_market_neutral_top5_fade,all_official_catalyst_events,BANKBEES,900,market_neutral_top5_fade,55,7,18,20,7,13,-9245.96499645657,-133.14189594897462,0,1,1,0,1,1,1,1,0,0
