phase219_model_fit_id,target_label,horizon_sec,split_role,threshold,candidate_score_rows,decision_events,activation_rate,row_level_prediction_export_allowed,test_rows_used
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,event_surprise_vol_expansion_conditional_label,5,train,0.65,25922,8893,0.3430676645320577,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,event_surprise_vol_expansion_conditional_label,5,train,0.7,25922,5087,0.19624257387547256,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,event_surprise_vol_expansion_conditional_label,5,validation,0.55,17072,12198,0.7145032802249297,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,event_surprise_vol_expansion_conditional_label,5,validation,0.6,17072,9795,0.5737464854732895,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,event_surprise_vol_expansion_conditional_label,5,validation,0.65,17072,6263,0.3668580131208997,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,event_surprise_vol_expansion_conditional_label,5,validation,0.7,17072,1559,0.0913191190253046,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,event_surprise_up_conditional_label,5,train,0.55,25922,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,event_surprise_up_conditional_label,5,train,0.6,25922,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,event_surprise_up_conditional_label,5,train,0.65,25922,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,event_surprise_up_conditional_label,5,train,0.7,25922,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,event_surprise_up_conditional_label,5,validation,0.55,17072,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,event_surprise_up_conditional_label,5,validation,0.6,17072,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,event_surprise_up_conditional_label,5,validation,0.65,17072,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H5s,event_surprise_up_conditional_label,5,validation,0.7,17072,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,event_surprise_down_conditional_label,5,train,0.55,25922,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,event_surprise_down_conditional_label,5,train,0.6,25922,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,event_surprise_down_conditional_label,5,train,0.65,25922,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,event_surprise_down_conditional_label,5,train,0.7,25922,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,event_surprise_down_conditional_label,5,validation,0.55,17072,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,event_surprise_down_conditional_label,5,validation,0.6,17072,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,event_surprise_down_conditional_label,5,validation,0.65,17072,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H5s,event_surprise_down_conditional_label,5,validation,0.7,17072,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,event_surprise_down_conditional_label,1,train,0.55,52764,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,event_surprise_down_conditional_label,1,train,0.6,52764,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,event_surprise_down_conditional_label,1,train,0.65,52764,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,event_surprise_down_conditional_label,1,train,0.7,52764,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,event_surprise_down_conditional_label,1,validation,0.55,31457,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,event_surprise_down_conditional_label,1,validation,0.6,31457,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,event_surprise_down_conditional_label,1,validation,0.65,31457,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,event_surprise_down_conditional_label,1,validation,0.7,31457,0,0.0,0,0
