horizon_sec,trade_date,exchange,symbol,split_role,event_only_joined_rows,test_rows_used
1,2026-07-09,NSE,RELIANCE,train,790,0
1,2026-07-09,NSE,SBIN,train,590,0
1,2026-07-09,NSE,SUNPHARMA,train,773,0
1,2026-07-09,NSE,TCS,train,807,0
1,2026-07-09,NSE,TECHM,train,1291,0
1,2026-07-09,NSE,ULTRACEMCO,train,185,0
1,2026-07-09,NSE,WIPRO,train,1976,0
1,2026-07-10,NSE,ADANIPORTS,train,704,0
1,2026-07-10,NSE,AXISBANK,train,565,0
1,2026-07-10,NSE,BAJAJ-AUTO,train,711,0
1,2026-07-10,NSE,BANKBEES,train,593,0
1,2026-07-10,NSE,BHARTIARTL,train,663,0
1,2026-07-10,NSE,BPCL,train,290,0
1,2026-07-10,NSE,BRITANNIA,train,879,0
1,2026-07-10,NSE,CIPLA,train,437,0
1,2026-07-10,NSE,DRREDDY,train,925,0
1,2026-07-10,NSE,GOLDBEES,train,715,0
1,2026-07-10,NSE,HCLTECH,train,1321,0
1,2026-07-10,NSE,HDFCBANK,train,1255,0
1,2026-07-10,NSE,HINDUNILVR,train,533,0
1,2026-07-10,NSE,ICICIBANK,train,612,0
1,2026-07-10,NSE,INFY,train,1263,0
1,2026-07-10,NSE,ITBEES,train,1249,0
1,2026-07-10,NSE,ITC,train,617,0
1,2026-07-10,NSE,JUNIORBEES,train,1165,0
1,2026-07-10,NSE,KOTAKBANK,train,452,0
1,2026-07-10,NSE,LT,train,544,0
1,2026-07-10,NSE,M&M,train,472,0
1,2026-07-10,NSE,MARUTI,train,680,0
1,2026-07-10,NSE,NESTLEIND,train,419,0
1,2026-07-10,NSE,NIFTYBEES,train,697,0
1,2026-07-10,NSE,ONGC,train,693,0
1,2026-07-10,NSE,RELIANCE,train,656,0
1,2026-07-10,NSE,SBIN,train,809,0
1,2026-07-10,NSE,SUNPHARMA,train,443,0
1,2026-07-10,NSE,TCS,train,1457,0
1,2026-07-10,NSE,TECHM,train,683,0
1,2026-07-10,NSE,ULTRACEMCO,train,1107,0
1,2026-07-10,NSE,WIPRO,train,914,0
1,2026-07-13,NSE,ADANIPORTS,validation,709,0
1,2026-07-13,NSE,AXISBANK,validation,565,0
1,2026-07-13,NSE,BAJAJ-AUTO,validation,1285,0
1,2026-07-13,NSE,BANKBEES,validation,1133,0
1,2026-07-13,NSE,BHARTIARTL,validation,667,0
1,2026-07-13,NSE,BPCL,validation,1851,0
1,2026-07-13,NSE,BRITANNIA,validation,1368,0
1,2026-07-13,NSE,CIPLA,validation,528,0
1,2026-07-13,NSE,DRREDDY,validation,207,0
1,2026-07-13,NSE,GOLDBEES,validation,661,0
1,2026-07-13,NSE,HCLTECH,validation,1317,0
1,2026-07-13,NSE,HDFCBANK,validation,1513,0
1,2026-07-13,NSE,HINDUNILVR,validation,529,0
1,2026-07-13,NSE,ICICIBANK,validation,1031,0
1,2026-07-13,NSE,INFY,validation,1459,0
1,2026-07-13,NSE,ITBEES,validation,2136,0
1,2026-07-13,NSE,ITC,validation,217,0
1,2026-07-13,NSE,JUNIORBEES,validation,933,0
1,2026-07-13,NSE,KOTAKBANK,validation,322,0
1,2026-07-13,NSE,LT,validation,670,0
1,2026-07-13,NSE,M&M,validation,1139,0
1,2026-07-13,NSE,MARUTI,validation,1359,0
1,2026-07-13,NSE,NESTLEIND,validation,586,0
1,2026-07-13,NSE,NIFTYBEES,validation,980,0
1,2026-07-13,NSE,ONGC,validation,853,0
1,2026-07-13,NSE,RELIANCE,validation,962,0
1,2026-07-13,NSE,SBIN,validation,932,0
1,2026-07-13,NSE,SUNPHARMA,validation,713,0
1,2026-07-13,NSE,TCS,validation,1550,0
1,2026-07-13,NSE,TECHM,validation,954,0
1,2026-07-13,NSE,ULTRACEMCO,validation,1317,0
1,2026-07-13,NSE,WIPRO,validation,1011,0
5,2026-07-08,NSE,ADANIPORTS,train,0,0
5,2026-07-08,NSE,AXISBANK,train,0,0
5,2026-07-08,NSE,BAJAJ-AUTO,train,0,0
5,2026-07-08,NSE,BANKBEES,train,0,0
5,2026-07-08,NSE,BHARTIARTL,train,0,0
5,2026-07-08,NSE,BPCL,train,0,0
5,2026-07-08,NSE,BRITANNIA,train,0,0
5,2026-07-08,NSE,CIPLA,train,0,0
5,2026-07-08,NSE,DRREDDY,train,0,0
5,2026-07-08,NSE,GOLDBEES,train,0,0
5,2026-07-08,NSE,HCLTECH,train,0,0
5,2026-07-08,NSE,HDFCBANK,train,0,0
5,2026-07-08,NSE,HINDUNILVR,train,0,0
5,2026-07-08,NSE,ICICIBANK,train,0,0
5,2026-07-08,NSE,INFY,train,0,0
5,2026-07-08,NSE,ITBEES,train,0,0
5,2026-07-08,NSE,ITC,train,0,0
5,2026-07-08,NSE,JUNIORBEES,train,0,0
5,2026-07-08,NSE,KOTAKBANK,train,0,0
5,2026-07-08,NSE,LT,train,0,0
5,2026-07-08,NSE,M&M,train,0,0
5,2026-07-08,NSE,MARUTI,train,0,0
5,2026-07-08,NSE,NESTLEIND,train,0,0
5,2026-07-08,NSE,NIFTYBEES,train,0,0
5,2026-07-08,NSE,ONGC,train,0,0
5,2026-07-08,NSE,RELIANCE,train,0,0
5,2026-07-08,NSE,SBIN,train,0,0
5,2026-07-08,NSE,SUNPHARMA,train,0,0
5,2026-07-08,NSE,TCS,train,0,0
5,2026-07-08,NSE,TECHM,train,0,0
5,2026-07-08,NSE,ULTRACEMCO,train,0,0
5,2026-07-08,NSE,WIPRO,train,0,0
5,2026-07-09,NSE,ADANIPORTS,train,240,0
5,2026-07-09,NSE,AXISBANK,train,268,0
5,2026-07-09,NSE,BAJAJ-AUTO,train,210,0
5,2026-07-09,NSE,BANKBEES,train,318,0
5,2026-07-09,NSE,BHARTIARTL,train,667,0
5,2026-07-09,NSE,BPCL,train,192,0
5,2026-07-09,NSE,BRITANNIA,train,732,0
5,2026-07-09,NSE,CIPLA,train,209,0
5,2026-07-09,NSE,DRREDDY,train,1216,0
5,2026-07-09,NSE,GOLDBEES,train,316,0
5,2026-07-09,NSE,HCLTECH,train,664,0
5,2026-07-09,NSE,HDFCBANK,train,459,0
5,2026-07-09,NSE,HINDUNILVR,train,428,0
5,2026-07-09,NSE,ICICIBANK,train,441,0
5,2026-07-09,NSE,INFY,train,296,0
5,2026-07-09,NSE,ITBEES,train,431,0
5,2026-07-09,NSE,ITC,train,403,0
5,2026-07-09,NSE,JUNIORBEES,train,325,0
5,2026-07-09,NSE,KOTAKBANK,train,489,0
5,2026-07-09,NSE,LT,train,446,0
5,2026-07-09,NSE,M&M,train,321,0
5,2026-07-09,NSE,MARUTI,train,410,0
5,2026-07-09,NSE,NESTLEIND,train,165,0
5,2026-07-09,NSE,NIFTYBEES,train,237,0
5,2026-07-09,NSE,ONGC,train,220,0
5,2026-07-09,NSE,RELIANCE,train,402,0
5,2026-07-09,NSE,SBIN,train,387,0
5,2026-07-09,NSE,SUNPHARMA,train,487,0
5,2026-07-09,NSE,TCS,train,506,0
5,2026-07-09,NSE,TECHM,train,586,0
5,2026-07-09,NSE,ULTRACEMCO,train,99,0
5,2026-07-09,NSE,WIPRO,train,779,0
5,2026-07-10,NSE,ADANIPORTS,train,379,0
5,2026-07-10,NSE,AXISBANK,train,253,0
5,2026-07-10,NSE,BAJAJ-AUTO,train,435,0
5,2026-07-10,NSE,BANKBEES,train,201,0
5,2026-07-10,NSE,BHARTIARTL,train,256,0
5,2026-07-10,NSE,BPCL,train,155,0
5,2026-07-10,NSE,BRITANNIA,train,509,0
5,2026-07-10,NSE,CIPLA,train,256,0
5,2026-07-10,NSE,DRREDDY,train,504,0
5,2026-07-10,NSE,GOLDBEES,train,311,0
5,2026-07-10,NSE,HCLTECH,train,1091,0
5,2026-07-10,NSE,HDFCBANK,train,525,0
5,2026-07-10,NSE,HINDUNILVR,train,239,0
5,2026-07-10,NSE,ICICIBANK,train,254,0
5,2026-07-10,NSE,INFY,train,671,0
5,2026-07-10,NSE,ITBEES,train,696,0
5,2026-07-10,NSE,ITC,train,364,0
5,2026-07-10,NSE,JUNIORBEES,train,456,0
5,2026-07-10,NSE,KOTAKBANK,train,181,0
5,2026-07-10,NSE,LT,train,199,0
5,2026-07-10,NSE,M&M,train,185,0
5,2026-07-10,NSE,MARUTI,train,281,0
5,2026-07-10,NSE,NESTLEIND,train,260,0
5,2026-07-10,NSE,NIFTYBEES,train,297,0
5,2026-07-10,NSE,ONGC,train,340,0
5,2026-07-10,NSE,RELIANCE,train,241,0
5,2026-07-10,NSE,SBIN,train,383,0
5,2026-07-10,NSE,SUNPHARMA,train,221,0
5,2026-07-10,NSE,TCS,train,815,0
5,2026-07-10,NSE,TECHM,train,456,0
5,2026-07-10,NSE,ULTRACEMCO,train,627,0
5,2026-07-10,NSE,WIPRO,train,532,0
5,2026-07-13,NSE,ADANIPORTS,validation,364,0
5,2026-07-13,NSE,AXISBANK,validation,345,0
5,2026-07-13,NSE,BAJAJ-AUTO,validation,969,0
5,2026-07-13,NSE,BANKBEES,validation,427,0
5,2026-07-13,NSE,BHARTIARTL,validation,320,0
5,2026-07-13,NSE,BPCL,validation,901,0
5,2026-07-13,NSE,BRITANNIA,validation,795,0
5,2026-07-13,NSE,CIPLA,validation,328,0
5,2026-07-13,NSE,DRREDDY,validation,96,0
5,2026-07-13,NSE,GOLDBEES,validation,306,0
5,2026-07-13,NSE,HCLTECH,validation,961,0
5,2026-07-13,NSE,HDFCBANK,validation,677,0
5,2026-07-13,NSE,HINDUNILVR,validation,257,0
5,2026-07-13,NSE,ICICIBANK,validation,488,0
5,2026-07-13,NSE,INFY,validation,789,0
5,2026-07-13,NSE,ITBEES,validation,950,0
5,2026-07-13,NSE,ITC,validation,119,0
5,2026-07-13,NSE,JUNIORBEES,validation,401,0
5,2026-07-13,NSE,KOTAKBANK,validation,176,0
5,2026-07-13,NSE,LT,validation,320,0
5,2026-07-13,NSE,M&M,validation,552,0
5,2026-07-13,NSE,MARUTI,validation,580,0
5,2026-07-13,NSE,NESTLEIND,validation,424,0
5,2026-07-13,NSE,NIFTYBEES,validation,447,0
5,2026-07-13,NSE,ONGC,validation,507,0
5,2026-07-13,NSE,RELIANCE,validation,587,0
5,2026-07-13,NSE,SBIN,validation,499,0
5,2026-07-13,NSE,SUNPHARMA,validation,387,0
5,2026-07-13,NSE,TCS,validation,911,0
5,2026-07-13,NSE,TECHM,validation,713,0
5,2026-07-13,NSE,ULTRACEMCO,validation,764,0
5,2026-07-13,NSE,WIPRO,validation,712,0
