scenario_id,scope_id,scope_candidate_id,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,cost_profile,cost_multiplier,extra_slippage_bps,input_event_rows,scheduled_event_rows,rejected_event_rows,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,rejected_insufficient_cash_rows,candidate_rows,scheduled_candidate_rows,symbols,scheduled_symbols,observed_trade_dates,realized_net_pnl_inr,portfolio_return_pct,mechanical_one_date_annualized_portfolio_return_pct,annualized_return_is_robust_portfolio_claim,annualized_above_12pct_research_diagnostic,scheduled_notional_inr,notional_turnover_x_initial_capital,avg_open_notional_utilization,max_drawdown_inr,portfolio_claim_allowed,strategy_replay_allowed,promotion_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed,phase298_variant_id,strategy_family,symbol,threshold_quantile,daily_event_limit,exit_horizon_ticks,selected_event_rows,trade_months,source_files,uses_raw_book_state_l1_l5,uses_top5,uses_levels_2_to_5,uses_order_count_levels_1_to_5,l1_only_variant,uses_net_edge_as_live_mask,sparse_diagnostic_event_floor_met,robust_portfolio_event_floor_met,cost200_above12_sparse_diagnostic,robust_portfolio_floor_above12
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H6_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H6,1000000.0,100000.0,1,cost200,2.0,0.0,48,3,45,0,45,0,1,1,1,1,16,-484.1675385183703,-0.048416753851837024,-0.7625638731664331,1,0,300000.0,0.3,0.09375,-484.1675385183703,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,3,6,48,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H6_CAP1000000_NOT100000_CONC2_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H6,1000000.0,100000.0,2,cost200,2.0,0.0,48,6,42,0,42,0,1,1,1,1,16,-1066.0022732767327,-0.10660022732767327,-1.678953580410854,1,0,600000.0,0.6,0.18125000000000002,-1066.0022732767327,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,3,6,48,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H1_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H1,1000000.0,100000.0,1,cost200,2.0,0.0,5,1,4,0,4,0,1,1,1,1,5,-165.3624,-0.01653624,-0.8334264960000001,1,0,100000.0,0.1,0.08,-165.3624,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.99,1,1,5,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H1_CAP1000000_NOT100000_CONC2_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H1,1000000.0,100000.0,2,cost200,2.0,0.0,5,2,3,0,3,0,1,1,1,1,5,-330.7248,-0.03307248,-1.6668529920000001,1,0,200000.0,0.2,0.14,-330.7248,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.99,1,1,5,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H3_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H3,1000000.0,100000.0,1,cost200,2.0,0.0,5,1,4,0,4,0,1,1,1,1,5,-165.3624,-0.01653624,-0.8334264960000001,1,0,100000.0,0.1,0.08,-165.3624,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.99,1,3,5,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H3_CAP1000000_NOT100000_CONC2_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H3,1000000.0,100000.0,2,cost200,2.0,0.0,5,2,3,0,3,0,1,1,1,1,5,-330.7248,-0.03307248,-1.6668529920000001,1,0,200000.0,0.2,0.14,-330.7248,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.99,1,3,5,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H6_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H6,1000000.0,100000.0,1,cost200,2.0,0.0,5,1,4,0,4,0,1,1,1,1,5,-165.3624,-0.01653624,-0.8334264960000001,1,0,100000.0,0.1,0.08,-165.3624,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.99,1,6,5,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H6_CAP1000000_NOT100000_CONC2_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H6,1000000.0,100000.0,2,cost200,2.0,0.0,5,2,3,0,3,0,1,1,1,1,5,-330.7248,-0.03307248,-1.6668529920000001,1,0,200000.0,0.2,0.14,-330.7248,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL1_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.99,1,6,5,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H1_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H1,1000000.0,100000.0,1,cost200,2.0,0.0,15,3,12,0,12,0,1,1,1,1,5,-496.08720000000005,-0.04960872,-2.500279488,1,0,300000.0,0.3,0.08000000000000002,-496.08720000000005,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.99,3,1,15,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H1_CAP1000000_NOT100000_CONC2_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H1,1000000.0,100000.0,2,cost200,2.0,0.0,15,6,9,0,9,0,1,1,1,1,5,-992.1744,-0.09921743999999999,-5.000558975999999,1,0,600000.0,0.6,0.14,-992.1744,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.99,3,1,15,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H3_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H3,1000000.0,100000.0,1,cost200,2.0,0.0,15,3,12,0,12,0,1,1,1,1,5,-496.08720000000005,-0.04960872,-2.500279488,1,0,300000.0,0.3,0.08000000000000002,-496.08720000000005,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.99,3,3,15,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H3_CAP1000000_NOT100000_CONC2_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H3,1000000.0,100000.0,2,cost200,2.0,0.0,15,6,9,0,9,0,1,1,1,1,5,-992.1744,-0.09921743999999999,-5.000558975999999,1,0,600000.0,0.6,0.14,-992.1744,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.99,3,3,15,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H6_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H6,1000000.0,100000.0,1,cost200,2.0,0.0,15,3,12,0,12,0,1,1,1,1,5,-47.19217237569251,-0.004719217237569251,-0.23784854877349026,1,0,300000.0,0.3,0.08000000000000002,-330.7248,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.99,3,6,15,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H6_CAP1000000_NOT100000_CONC2_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H6,1000000.0,100000.0,2,cost200,2.0,0.0,15,6,9,0,9,0,1,1,1,1,5,-839.3198312383822,-0.08393198312383822,-4.230171949441447,1,0,600000.0,0.6,0.14,-839.3198312383822,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q99_DL3_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.99,3,6,15,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H1_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H1,1000000.0,100000.0,1,cost200,2.0,0.0,15,1,14,0,14,0,1,1,1,1,15,-165.3624,-0.01653624,-0.277808832,1,0,100000.0,0.1,0.09333333333333334,-165.3624,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,1,1,15,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H1_CAP1000000_NOT100000_CONC2_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H1,1000000.0,100000.0,2,cost200,2.0,0.0,15,2,13,0,13,0,1,1,1,1,15,-330.7248,-0.03307248,-0.555617664,1,0,200000.0,0.2,0.18000000000000002,-330.7248,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,1,1,15,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H3_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H3,1000000.0,100000.0,1,cost200,2.0,0.0,15,1,14,0,14,0,1,1,1,1,15,-165.3624,-0.01653624,-0.277808832,1,0,100000.0,0.1,0.09333333333333334,-165.3624,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,1,3,15,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H3_CAP1000000_NOT100000_CONC2_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H3,1000000.0,100000.0,2,cost200,2.0,0.0,15,2,13,0,13,0,1,1,1,1,15,-330.7248,-0.03307248,-0.555617664,1,0,200000.0,0.2,0.18000000000000002,-330.7248,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,1,3,15,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H6_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H6,1000000.0,100000.0,1,cost200,2.0,0.0,15,1,14,0,14,0,1,1,1,1,15,-165.3624,-0.01653624,-0.277808832,1,0,100000.0,0.1,0.09333333333333334,-165.3624,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-02_Q95_DL1_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,1,6,15,1,1,1,1,1,1,0,0,0,0,0,0
