shock_id,counterfactual_group,variant,quarter_profile,scenario_day,trade_date,regime_code,regime_family,scope,target,shock_type,required_l2_effects,evidence_label,start_time,duration_minutes,price_jump_bps,drift_after_jump_bps,volatility_multiplier,event_rate_multiplier,spread_multiplier,depth_multiplier_bid,depth_multiplier_ask,buy_sell_flow_bias,correlation_multiplier,recovery_half_life_minutes,reversal_probability
Q-A-002-D12-T-BAJAJ-AUTO-negative_shock,Q-A-002-D12-BAJAJ-AUTO,negative_shock,Q-A,2,2026-07-15,D12,Event day,ticker,BAJAJ-AUTO,regulatory_action,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,11:45:00,90,-57.8698,4.1759,4.3572,3.5985,1.4608,0.4351,0.8399,-0.3971,1.9521,30,0.349
Q-A-002-D12-T-BAJAJ-AUTO-quick_recovery,Q-A-002-D12-BAJAJ-AUTO,quick_recovery,Q-A,2,2026-07-15,D12,Event day,ticker,BAJAJ-AUTO,regulatory_action,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:30:00,30,-26.1312,15.6787,2.4306,3.7334,2.0279,0.5679,0.7893,-0.7286,2.0641,5,0.5653
Q-A-002-D12-T-BAJAJ-AUTO-continuation,Q-A-002-D12-BAJAJ-AUTO,continuation,Q-A,2,2026-07-15,D12,Event day,ticker,BAJAJ-AUTO,regulatory_action,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,13:15:00,30,150.1783,67.5803,3.0468,2.9217,1.9819,0.838,0.6793,0.5922,2.0574,45,0.1104
Q-A-002-D12-T-BANKBEES-positive_shock,Q-A-002-D12-BANKBEES,positive_shock,Q-A,2,2026-07-15,D12,Event day,ticker,BANKBEES,block_volume_burst,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,14:00:00,45,27.7493,3.5854,2.1319,1.9297,1.8415,0.7993,0.4388,0.6569,1.2919,60,0.3908
Q-A-002-D12-T-BANKBEES-negative_shock,Q-A-002-D12-BANKBEES,negative_shock,Q-A,2,2026-07-15,D12,Event day,ticker,BANKBEES,block_volume_burst,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:00:00,90,-86.7942,12.6283,4.071,2.2763,1.8382,0.3781,0.747,-0.8112,1.89,15,0.2132
Q-A-002-D12-T-BANKBEES-quick_recovery,Q-A-002-D12-BANKBEES,quick_recovery,Q-A,2,2026-07-15,D12,Event day,ticker,BANKBEES,block_volume_burst,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:00:00,30,-19.951,11.9706,3.6218,2.6755,2.3734,0.4038,0.8945,-0.2954,1.8572,15,0.6252
Q-A-002-D12-T-BANKBEES-continuation,Q-A-002-D12-BANKBEES,continuation,Q-A,2,2026-07-15,D12,Event day,ticker,BANKBEES,block_volume_burst,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,13:15:00,30,44.5778,20.06,4.0751,3.7647,2.5731,0.8195,0.3122,0.689,2.0919,60,0.2187
Q-A-002-D12-T-BHARTIARTL-positive_shock,Q-A-002-D12-BHARTIARTL,positive_shock,Q-A,2,2026-07-15,D12,Event day,ticker,BHARTIARTL,headline_rumor_reversal,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,10:30:00,45,131.0568,19.069,3.8725,3.7237,2.1995,0.982,0.3429,0.6912,1.2692,30,0.2263
Q-A-002-D12-T-BHARTIARTL-negative_shock,Q-A-002-D12-BHARTIARTL,negative_shock,Q-A,2,2026-07-15,D12,Event day,ticker,BHARTIARTL,headline_rumor_reversal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:00:00,60,-73.2391,-3.7582,3.4367,2.8298,1.9096,0.5697,0.7065,-0.707,1.2161,45,0.3551
Q-A-002-D12-T-BHARTIARTL-quick_recovery,Q-A-002-D12-BHARTIARTL,quick_recovery,Q-A,2,2026-07-15,D12,Event day,ticker,BHARTIARTL,headline_rumor_reversal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:00:00,30,-100.8728,60.5237,3.7998,3.122,2.6256,0.5466,0.8056,-0.7217,1.4666,10,0.6281
Q-A-002-D12-T-BHARTIARTL-continuation,Q-A-002-D12-BHARTIARTL,continuation,Q-A,2,2026-07-15,D12,Event day,ticker,BHARTIARTL,headline_rumor_reversal,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,11:45:00,30,25.8869,11.6491,3.5718,2.3015,2.553,0.6951,0.5403,0.7657,1.2724,90,0.2386
Q-A-005-D07-M-no_shock,Q-A-005-D07,no_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,market,ALL,broad_risk_off,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,30,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.7,45,0.4687
Q-A-005-D07-M-positive_shock,Q-A-005-D07,positive_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,market,ALL,broad_risk_off,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:45:00,60,103.1771,1.975,4.1768,3.1475,2.3043,0.5979,0.4096,0.7807,1.9054,60,0.4376
Q-A-005-D07-M-negative_shock,Q-A-005-D07,negative_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,market,ALL,broad_risk_off,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,45,-104.7103,4.904,3.6409,2.8463,1.9411,0.4955,0.746,-0.5614,2.2221,60,0.4798
Q-A-005-D07-M-quick_recovery,Q-A-005-D07,quick_recovery,Q-A,5,2026-07-20,D07,Sell-off/panic,market,ALL,broad_risk_off,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:30:00,15,-208.6446,125.1868,5.2183,2.6738,3.4346,0.3209,0.6059,-0.6595,2.8295,10,0.7584
Q-A-005-D07-M-continuation,Q-A-005-D07,continuation,Q-A,5,2026-07-20,D07,Sell-off/panic,market,ALL,broad_risk_off,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,60,-104.2429,-46.9093,5.4625,2.8588,2.1318,0.3562,0.5234,-0.7924,1.7121,45,0.18
Q-A-005-D07-T-ADANIPORTS-positive_shock,Q-A-005-D07-ADANIPORTS,positive_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,ADANIPORTS,headline_rumor_reversal,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,14:45:00,30,430.3576,-70.4417,3.298,3.6523,3.6296,0.6111,0.2312,0.4768,2.7387,30,0.2872
Q-A-005-D07-T-ADANIPORTS-negative_shock,Q-A-005-D07-ADANIPORTS,negative_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,ADANIPORTS,headline_rumor_reversal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,20,-78.7351,-10.6738,4.1463,3.6747,2.7077,0.4702,0.5725,-0.4284,2.0421,45,0.2263
Q-A-005-D07-T-ADANIPORTS-quick_recovery,Q-A-005-D07-ADANIPORTS,quick_recovery,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,ADANIPORTS,headline_rumor_reversal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:30:00,30,-70.5666,42.3399,5.5666,2.9281,2.0629,0.448,0.6505,-0.2685,2.8441,15,0.6218
Q-A-005-D07-T-ADANIPORTS-continuation,Q-A-005-D07-ADANIPORTS,continuation,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,ADANIPORTS,headline_rumor_reversal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,45,-189.0365,-85.0664,4.4288,2.402,3.1713,0.4663,0.6573,-0.613,2.346,120,0.1763
Q-A-005-D07-T-BAJAJ-AUTO-positive_shock,Q-A-005-D07-BAJAJ-AUTO,positive_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BAJAJ-AUTO,liquidity_disappearance,visible depth thinning;spread widening;stale pockets;replenishment test,synthetic_shock_design,14:45:00,20,303.0558,-30.4852,3.7674,3.4164,2.4876,0.7172,0.2379,0.3023,2.8492,15,0.2731
Q-A-005-D07-T-BAJAJ-AUTO-negative_shock,Q-A-005-D07-BAJAJ-AUTO,negative_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BAJAJ-AUTO,liquidity_disappearance,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,20,-28.9452,0.9969,6.5533,3.8411,2.1141,0.4753,0.5767,-0.3359,2.2574,60,0.4449
Q-A-005-D07-T-BAJAJ-AUTO-quick_recovery,Q-A-005-D07-BAJAJ-AUTO,quick_recovery,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BAJAJ-AUTO,liquidity_disappearance,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:30:00,30,-260.9982,156.5989,5.3269,2.5253,3.6448,0.4341,0.488,-0.6416,1.9123,15,0.6987
Q-A-005-D07-T-BAJAJ-AUTO-continuation,Q-A-005-D07-BAJAJ-AUTO,continuation,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BAJAJ-AUTO,liquidity_disappearance,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,13:45:00,60,-105.0164,-47.2574,3.0758,3.9586,2.2565,0.2591,0.631,-0.8497,1.9845,45,0.1671
Q-A-005-D07-T-BANKBEES-positive_shock,Q-A-005-D07-BANKBEES,positive_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BANKBEES,sharp_move_absorption,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,14:45:00,30,252.8861,-39.6239,3.2087,2.5329,4.1772,0.5878,0.2908,0.4464,1.833,15,0.2202
Q-A-005-D07-T-BANKBEES-negative_shock,Q-A-005-D07-BANKBEES,negative_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BANKBEES,sharp_move_absorption,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,60,-95.2315,-7.3616,6.0421,2.2664,4.1131,0.2411,0.7799,-0.4626,2.7687,45,0.348
Q-A-005-D07-T-BANKBEES-quick_recovery,Q-A-005-D07-BANKBEES,quick_recovery,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BANKBEES,sharp_move_absorption,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:30:00,15,-118.0665,70.8399,2.9113,2.2835,3.5278,0.2939,0.5641,-0.8492,2.9944,5,0.5836
Q-A-005-D07-T-BANKBEES-continuation,Q-A-005-D07-BANKBEES,continuation,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BANKBEES,sharp_move_absorption,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,45,-56.042,-25.2189,6.3208,2.4392,2.7042,0.3306,0.6299,-0.6486,2.8577,45,0.1821
Q-A-005-D07-T-BHARTIARTL-positive_shock,Q-A-005-D07-BHARTIARTL,positive_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BHARTIARTL,false_breakout_depth_withdrawal,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,14:45:00,60,228.3847,-15.1504,4.7103,4.1819,3.1639,0.7076,0.4802,0.5981,2.7492,60,0.4555
Q-A-005-D07-T-BHARTIARTL-negative_shock,Q-A-005-D07-BHARTIARTL,negative_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BHARTIARTL,false_breakout_depth_withdrawal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,20,-144.749,-6.5384,3.3962,3.6814,2.3555,0.4721,0.5443,-0.6297,2.2039,30,0.218
Q-A-005-D07-T-BHARTIARTL-quick_recovery,Q-A-005-D07-BHARTIARTL,quick_recovery,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BHARTIARTL,false_breakout_depth_withdrawal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:00:00,15,-266.1918,159.7151,3.7248,3.8462,3.5406,0.2845,0.702,-0.4632,2.3645,10,0.7365
Q-A-005-D07-T-BHARTIARTL-continuation,Q-A-005-D07-BHARTIARTL,continuation,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BHARTIARTL,false_breakout_depth_withdrawal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,13:45:00,20,-103.2788,-46.4755,3.8104,1.967,3.3007,0.4724,0.6359,-0.5784,2.2071,120,0.2478
Q-A-005-D07-T-BPCL-positive_shock,Q-A-005-D07-BPCL,positive_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BPCL,earnings_beat,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,14:45:00,20,284.0276,17.3155,2.8968,4.2434,2.4025,0.7,0.2819,0.5952,1.9933,30,0.3208
Q-A-005-D07-T-BPCL-negative_shock,Q-A-005-D07-BPCL,negative_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BPCL,earnings_beat,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,20,-51.6162,2.8005,4.3585,2.8891,3.9017,0.3508,0.5212,-0.722,1.9773,30,0.267
Q-A-005-D07-T-BPCL-quick_recovery,Q-A-005-D07-BPCL,quick_recovery,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BPCL,earnings_beat,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:30:00,30,-84.6749,50.8049,2.9263,2.0536,2.5381,0.3406,0.5204,-0.6414,1.9439,15,0.8201
Q-A-005-D07-T-BPCL-continuation,Q-A-005-D07-BPCL,continuation,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BPCL,earnings_beat,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,20,-113.0694,-50.8812,3.2298,4.0694,4.0723,0.3165,0.6465,-0.8336,1.9728,120,0.1425
Q-A-005-D07-T-BRITANNIA-positive_shock,Q-A-005-D07-BRITANNIA,positive_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BRITANNIA,earnings_miss,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,10:45:00,60,46.5008,-0.7733,5.9661,3.7827,2.6489,0.6486,0.3344,0.7095,2.4723,45,0.5273
Q-A-005-D07-T-BRITANNIA-negative_shock,Q-A-005-D07-BRITANNIA,negative_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BRITANNIA,earnings_miss,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,60,-174.335,-13.1871,4.9711,2.4813,4.132,0.3753,0.5811,-0.4702,1.963,60,0.4614
Q-A-005-D07-T-BRITANNIA-quick_recovery,Q-A-005-D07-BRITANNIA,quick_recovery,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BRITANNIA,earnings_miss,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:30:00,20,-225.029,135.0174,5.2306,3.3021,2.2846,0.3459,0.7242,-0.6011,2.578,15,0.7344
Q-A-005-D07-T-BRITANNIA-continuation,Q-A-005-D07-BRITANNIA,continuation,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,BRITANNIA,earnings_miss,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:45:00,60,-23.1417,-10.4138,6.0175,1.8869,2.841,0.5011,0.7024,-0.759,2.0852,90,0.1804
Q-A-005-D07-T-CIPLA-positive_shock,Q-A-005-D07-CIPLA,positive_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,CIPLA,guidance_change,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,09:45:00,20,100.9742,10.152,4.3497,2.4006,3.1574,0.5589,0.4115,0.7885,1.948,30,0.5246
Q-A-005-D07-T-CIPLA-negative_shock,Q-A-005-D07-CIPLA,negative_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,CIPLA,guidance_change,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,60,-228.8708,2.8899,6.0088,2.8666,2.3792,0.3584,0.7186,-0.7292,2.7379,45,0.2401
Q-A-005-D07-T-CIPLA-quick_recovery,Q-A-005-D07-CIPLA,quick_recovery,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,CIPLA,guidance_change,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:00:00,15,-74.0803,44.4482,6.0276,3.0105,2.0983,0.3415,0.7592,-0.576,2.183,15,0.8185
Q-A-005-D07-T-CIPLA-continuation,Q-A-005-D07-CIPLA,continuation,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,CIPLA,guidance_change,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:45:00,20,-233.1615,-104.9227,4.3445,2.2242,2.046,0.298,0.5274,-0.6768,2.4783,45,0.2204
Q-A-005-D07-T-DRREDDY-positive_shock,Q-A-005-D07-DRREDDY,positive_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,DRREDDY,regulatory_action,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,10:45:00,60,328.5731,10.7165,6.5426,3.4246,2.9227,0.6959,0.3826,0.8042,1.847,30,0.2396
Q-A-005-D07-T-DRREDDY-negative_shock,Q-A-005-D07-DRREDDY,negative_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,DRREDDY,regulatory_action,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,45,-231.3745,-20.7286,4.2296,2.2458,4.1229,0.4996,0.6798,-0.2569,1.8522,30,0.4007
Q-A-005-D07-T-DRREDDY-quick_recovery,Q-A-005-D07-DRREDDY,quick_recovery,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,DRREDDY,regulatory_action,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:30:00,20,-184.5988,110.7593,4.5429,2.7754,2.5123,0.4587,0.5583,-0.8073,2.1417,10,0.6907
Q-A-005-D07-T-DRREDDY-continuation,Q-A-005-D07-DRREDDY,continuation,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,DRREDDY,regulatory_action,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:45:00,30,-68.2396,-30.7078,5.9708,2.5838,2.079,0.2985,0.7522,-0.7662,2.8299,120,0.2237
Q-A-005-D07-T-GOLDBEES-positive_shock,Q-A-005-D07-GOLDBEES,positive_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,GOLDBEES,block_volume_burst,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,12:15:00,30,341.708,65.2157,4.2135,2.3112,3.3905,0.6763,0.3746,0.5383,2.8353,15,0.54
Q-A-005-D07-T-GOLDBEES-negative_shock,Q-A-005-D07-GOLDBEES,negative_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,GOLDBEES,block_volume_burst,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,13:45:00,20,-183.5605,25.1574,2.9393,3.6932,4.2009,0.2663,0.6443,-0.6486,2.3649,60,0.3198
Q-A-005-D07-T-GOLDBEES-quick_recovery,Q-A-005-D07-GOLDBEES,quick_recovery,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,GOLDBEES,block_volume_burst,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:30:00,15,-286.0886,171.6531,5.2953,2.2649,3.0492,0.3681,0.6223,-0.5279,2.4956,15,0.7902
Q-A-005-D07-T-GOLDBEES-continuation,Q-A-005-D07-GOLDBEES,continuation,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,GOLDBEES,block_volume_burst,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,30,-339.8672,-152.9402,6.1315,4.1002,2.8549,0.3844,0.6628,-0.7446,1.8584,45,0.1141
Q-A-005-D07-T-HINDUNILVR-positive_shock,Q-A-005-D07-HINDUNILVR,positive_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,HINDUNILVR,headline_rumor_reversal,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,14:45:00,60,70.5225,-0.6004,4.5846,3.3626,2.8524,0.737,0.458,0.4787,1.8639,45,0.3946
Q-A-005-D07-T-HINDUNILVR-negative_shock,Q-A-005-D07-HINDUNILVR,negative_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,HINDUNILVR,headline_rumor_reversal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:45:00,20,-256.6938,-31.921,3.2204,3.1429,1.9309,0.2382,0.6942,-0.6217,2.0627,45,0.237
Q-A-005-D07-T-HINDUNILVR-quick_recovery,Q-A-005-D07-HINDUNILVR,quick_recovery,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,HINDUNILVR,headline_rumor_reversal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:30:00,15,-100.4817,60.289,5.799,2.4654,2.8722,0.4754,0.6708,-0.5603,2.3746,15,0.7757
Q-A-005-D07-T-HINDUNILVR-continuation,Q-A-005-D07-HINDUNILVR,continuation,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,HINDUNILVR,headline_rumor_reversal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,30,-244.3009,-109.9354,3.6187,3.1311,2.7978,0.2532,0.7399,-0.8429,2.461,60,0.1679
Q-A-005-D07-T-ITBEES-positive_shock,Q-A-005-D07-ITBEES,positive_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,ITBEES,liquidity_disappearance,visible depth thinning;spread widening;stale pockets;replenishment test,synthetic_shock_design,10:45:00,30,92.7985,8.259,6.4233,2.2111,3.6431,0.6814,0.4478,0.6445,1.7743,15,0.3721
Q-A-005-D07-T-ITBEES-negative_shock,Q-A-005-D07-ITBEES,negative_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,ITBEES,liquidity_disappearance,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,13:45:00,60,-432.6418,50.5545,5.9697,4.2521,3.9955,0.316,0.7535,-0.4936,2.6956,45,0.477
Q-A-005-D07-T-ITBEES-quick_recovery,Q-A-005-D07-ITBEES,quick_recovery,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,ITBEES,liquidity_disappearance,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:30:00,20,-223.3793,134.0276,4.286,3.4071,2.2667,0.245,0.5172,-0.7799,1.9559,5,0.8163
Q-A-005-D07-T-ITBEES-continuation,Q-A-005-D07-ITBEES,continuation,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,ITBEES,liquidity_disappearance,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,20,-171.7555,-77.29,5.5647,3.3578,2.051,0.5142,0.6436,-0.7442,2.7957,45,0.1915
Q-A-005-D07-T-ITC-positive_shock,Q-A-005-D07-ITC,positive_shock,Q-A,5,2026-07-20,D07,Sell-off/panic,ticker,ITC,sharp_move_absorption,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,14:45:00,30,106.9857,8.4817,5.3624,3.3369,3.0718,0.7239,0.2787,0.3641,2.2102,45,0.5182
