horizon_sec,trade_date,exchange,symbol,split_role,rows_joined,used_in_phase184,used_in_phase197_feature_precommit
1,2026-07-09,NSE,GOLDBEES,train,6407,1,1
1,2026-07-09,NSE,HCLTECH,train,5477,1,1
1,2026-07-09,NSE,HDFCBANK,train,9419,1,1
1,2026-07-09,NSE,HINDUNILVR,train,6946,1,1
1,2026-07-09,NSE,ICICIBANK,train,9152,1,1
1,2026-07-09,NSE,INFY,train,7566,1,1
1,2026-07-09,NSE,ITBEES,train,3872,1,1
1,2026-07-09,NSE,ITC,train,7309,1,1
1,2026-07-09,NSE,JUNIORBEES,train,8589,1,1
1,2026-07-09,NSE,KOTAKBANK,train,8943,1,1
1,2026-07-09,NSE,LT,train,9072,1,1
1,2026-07-09,NSE,M&M,train,7704,1,1
1,2026-07-09,NSE,MARUTI,train,7379,1,1
1,2026-07-09,NSE,NESTLEIND,train,4454,1,1
1,2026-07-09,NSE,NIFTYBEES,train,8019,1,1
1,2026-07-09,NSE,ONGC,train,5782,1,1
1,2026-07-09,NSE,RELIANCE,train,9017,1,1
1,2026-07-09,NSE,SBIN,train,7833,1,1
1,2026-07-09,NSE,SUNPHARMA,train,7322,1,1
1,2026-07-09,NSE,TCS,train,7969,1,1
1,2026-07-09,NSE,TECHM,train,4929,1,1
1,2026-07-09,NSE,ULTRACEMCO,train,3979,1,1
1,2026-07-09,NSE,WIPRO,train,5788,1,1
1,2026-07-10,NSE,ADANIPORTS,train,9546,1,1
1,2026-07-10,NSE,AXISBANK,train,10801,1,1
1,2026-07-10,NSE,BAJAJ-AUTO,train,9727,1,1
1,2026-07-10,NSE,BANKBEES,train,9229,1,1
1,2026-07-10,NSE,BHARTIARTL,train,11365,1,1
1,2026-07-10,NSE,BPCL,train,6758,1,1
1,2026-07-10,NSE,BRITANNIA,train,6029,1,1
1,2026-07-10,NSE,CIPLA,train,7907,1,1
1,2026-07-10,NSE,DRREDDY,train,13141,1,1
1,2026-07-10,NSE,GOLDBEES,train,9148,1,1
1,2026-07-10,NSE,HCLTECH,train,14317,1,1
1,2026-07-10,NSE,HDFCBANK,train,15043,1,1
1,2026-07-10,NSE,HINDUNILVR,train,8661,1,1
1,2026-07-10,NSE,ICICIBANK,train,11236,1,1
1,2026-07-10,NSE,INFY,train,15210,1,1
1,2026-07-10,NSE,ITBEES,train,6822,1,1
1,2026-07-10,NSE,ITC,train,11084,1,1
1,2026-07-10,NSE,JUNIORBEES,train,13252,1,1
1,2026-07-10,NSE,KOTAKBANK,train,10164,1,1
1,2026-07-10,NSE,LT,train,10640,1,1
1,2026-07-10,NSE,M&M,train,9987,1,1
1,2026-07-10,NSE,MARUTI,train,11104,1,1
1,2026-07-10,NSE,NESTLEIND,train,7878,1,1
1,2026-07-10,NSE,NIFTYBEES,train,11226,1,1
1,2026-07-10,NSE,ONGC,train,9395,1,1
1,2026-07-10,NSE,RELIANCE,train,11459,1,1
1,2026-07-10,NSE,SBIN,train,12205,1,1
1,2026-07-10,NSE,SUNPHARMA,train,9908,1,1
1,2026-07-10,NSE,TCS,train,16259,1,1
1,2026-07-10,NSE,TECHM,train,9551,1,1
1,2026-07-10,NSE,ULTRACEMCO,train,6525,1,1
1,2026-07-10,NSE,WIPRO,train,10157,1,1
1,2026-07-13,NSE,ADANIPORTS,validation,9453,1,1
1,2026-07-13,NSE,AXISBANK,validation,10797,1,1
1,2026-07-13,NSE,BAJAJ-AUTO,validation,14298,1,1
1,2026-07-13,NSE,BANKBEES,validation,13183,1,1
1,2026-07-13,NSE,BHARTIARTL,validation,11538,1,1
1,2026-07-13,NSE,BPCL,validation,8034,1,1
1,2026-07-13,NSE,BRITANNIA,validation,6759,1,1
1,2026-07-13,NSE,CIPLA,validation,8387,1,1
1,2026-07-13,NSE,DRREDDY,validation,8735,1,1
1,2026-07-13,NSE,GOLDBEES,validation,8947,1,1
1,2026-07-13,NSE,HCLTECH,validation,14296,1,1
1,2026-07-13,NSE,HDFCBANK,validation,16565,1,1
1,2026-07-13,NSE,HINDUNILVR,validation,8591,1,1
1,2026-07-13,NSE,ICICIBANK,validation,13716,1,1
1,2026-07-13,NSE,INFY,validation,16206,1,1
1,2026-07-13,NSE,ITBEES,validation,8304,1,1
1,2026-07-13,NSE,ITC,validation,8757,1,1
1,2026-07-13,NSE,JUNIORBEES,validation,11801,1,1
1,2026-07-13,NSE,KOTAKBANK,validation,9402,1,1
1,2026-07-13,NSE,LT,validation,11478,1,1
1,2026-07-13,NSE,M&M,validation,14145,1,1
1,2026-07-13,NSE,MARUTI,validation,15406,1,1
1,2026-07-13,NSE,NESTLEIND,validation,9035,1,1
1,2026-07-13,NSE,NIFTYBEES,validation,13039,1,1
1,2026-07-13,NSE,ONGC,validation,10644,1,1
1,2026-07-13,NSE,RELIANCE,validation,13219,1,1
1,2026-07-13,NSE,SBIN,validation,13084,1,1
1,2026-07-13,NSE,SUNPHARMA,validation,9572,1,1
1,2026-07-13,NSE,TCS,validation,16806,1,1
1,2026-07-13,NSE,TECHM,validation,11316,1,1
1,2026-07-13,NSE,ULTRACEMCO,validation,6783,1,1
1,2026-07-13,NSE,WIPRO,validation,11490,1,1
1,2026-07-14,NSE,ADANIPORTS,test_untouched,0,0,0
1,2026-07-14,NSE,AXISBANK,test_untouched,0,0,0
1,2026-07-14,NSE,BAJAJ-AUTO,test_untouched,0,0,0
1,2026-07-14,NSE,BANKBEES,test_untouched,0,0,0
1,2026-07-14,NSE,BHARTIARTL,test_untouched,0,0,0
1,2026-07-14,NSE,BPCL,test_untouched,0,0,0
1,2026-07-14,NSE,BRITANNIA,test_untouched,0,0,0
1,2026-07-14,NSE,CIPLA,test_untouched,0,0,0
1,2026-07-14,NSE,DRREDDY,test_untouched,0,0,0
1,2026-07-14,NSE,GOLDBEES,test_untouched,0,0,0
1,2026-07-14,NSE,HCLTECH,test_untouched,0,0,0
1,2026-07-14,NSE,HDFCBANK,test_untouched,0,0,0
1,2026-07-14,NSE,HINDUNILVR,test_untouched,0,0,0
1,2026-07-14,NSE,ICICIBANK,test_untouched,0,0,0
1,2026-07-14,NSE,INFY,test_untouched,0,0,0
1,2026-07-14,NSE,ITBEES,test_untouched,0,0,0
1,2026-07-14,NSE,ITC,test_untouched,0,0,0
1,2026-07-14,NSE,JUNIORBEES,test_untouched,0,0,0
1,2026-07-14,NSE,KOTAKBANK,test_untouched,0,0,0
1,2026-07-14,NSE,LT,test_untouched,0,0,0
1,2026-07-14,NSE,M&M,test_untouched,0,0,0
1,2026-07-14,NSE,MARUTI,test_untouched,0,0,0
1,2026-07-14,NSE,NESTLEIND,test_untouched,0,0,0
1,2026-07-14,NSE,NIFTYBEES,test_untouched,0,0,0
1,2026-07-14,NSE,ONGC,test_untouched,0,0,0
1,2026-07-14,NSE,RELIANCE,test_untouched,0,0,0
1,2026-07-14,NSE,SBIN,test_untouched,0,0,0
1,2026-07-14,NSE,SUNPHARMA,test_untouched,0,0,0
1,2026-07-14,NSE,TCS,test_untouched,0,0,0
1,2026-07-14,NSE,TECHM,test_untouched,0,0,0
1,2026-07-14,NSE,ULTRACEMCO,test_untouched,0,0,0
1,2026-07-14,NSE,WIPRO,test_untouched,0,0,0
1,2026-07-15,NSE,ADANIPORTS,unassigned,10122,0,1
1,2026-07-15,NSE,AXISBANK,unassigned,15633,0,1
1,2026-07-15,NSE,BAJAJ-AUTO,unassigned,14796,0,1
1,2026-07-15,NSE,BANKBEES,unassigned,12143,0,1
1,2026-07-15,NSE,BHARTIARTL,unassigned,11419,0,1
1,2026-07-15,NSE,BPCL,unassigned,8174,0,1
1,2026-07-15,NSE,BRITANNIA,unassigned,6462,0,1
1,2026-07-15,NSE,CIPLA,unassigned,8701,0,1
1,2026-07-15,NSE,DRREDDY,unassigned,7817,0,1
1,2026-07-15,NSE,GOLDBEES,unassigned,9168,0,1
1,2026-07-15,NSE,HCLTECH,unassigned,10357,0,1
1,2026-07-15,NSE,HDFCBANK,unassigned,15202,0,1
1,2026-07-15,NSE,HINDUNILVR,unassigned,9060,0,1
1,2026-07-15,NSE,ICICIBANK,unassigned,14979,0,1
1,2026-07-15,NSE,INFY,unassigned,15270,0,1
1,2026-07-15,NSE,ITBEES,unassigned,6724,0,1
1,2026-07-15,NSE,ITC,unassigned,9669,0,1
1,2026-07-15,NSE,JUNIORBEES,unassigned,14350,0,1
1,2026-07-15,NSE,KOTAKBANK,unassigned,9571,0,1
1,2026-07-15,NSE,LT,unassigned,13053,0,1
1,2026-07-15,NSE,M&M,unassigned,14535,0,1
1,2026-07-15,NSE,MARUTI,unassigned,11029,0,1
1,2026-07-15,NSE,NESTLEIND,unassigned,7019,0,1
1,2026-07-15,NSE,NIFTYBEES,unassigned,13045,0,1
1,2026-07-15,NSE,ONGC,unassigned,10932,0,1
1,2026-07-15,NSE,RELIANCE,unassigned,13691,0,1
1,2026-07-15,NSE,SBIN,unassigned,14129,0,1
1,2026-07-15,NSE,SUNPHARMA,unassigned,11789,0,1
1,2026-07-15,NSE,TCS,unassigned,15133,0,1
1,2026-07-15,NSE,TECHM,unassigned,12408,0,1
1,2026-07-15,NSE,ULTRACEMCO,unassigned,9875,0,1
1,2026-07-15,NSE,WIPRO,unassigned,9446,0,1
1,2026-07-16,NSE,ADANIPORTS,unassigned,10220,0,1
1,2026-07-16,NSE,AXISBANK,unassigned,10953,0,1
1,2026-07-16,NSE,BAJAJ-AUTO,unassigned,11215,0,1
1,2026-07-16,NSE,BANKBEES,unassigned,13923,0,1
1,2026-07-16,NSE,BHARTIARTL,unassigned,11103,0,1
1,2026-07-16,NSE,BPCL,unassigned,8955,0,1
1,2026-07-16,NSE,BRITANNIA,unassigned,8888,0,1
1,2026-07-16,NSE,CIPLA,unassigned,7852,0,1
1,2026-07-16,NSE,DRREDDY,unassigned,9392,0,1
1,2026-07-16,NSE,GOLDBEES,unassigned,9121,0,1
1,2026-07-16,NSE,HCLTECH,unassigned,11915,0,1
1,2026-07-16,NSE,HDFCBANK,unassigned,14729,0,1
1,2026-07-16,NSE,HINDUNILVR,unassigned,9789,0,1
1,2026-07-16,NSE,ICICIBANK,unassigned,13217,0,1
1,2026-07-16,NSE,INFY,unassigned,15264,0,1
1,2026-07-16,NSE,ITBEES,unassigned,7338,0,1
1,2026-07-16,NSE,ITC,unassigned,15576,0,1
1,2026-07-16,NSE,JUNIORBEES,unassigned,14823,0,1
1,2026-07-16,NSE,KOTAKBANK,unassigned,11769,0,1
1,2026-07-16,NSE,LT,unassigned,15915,0,1
1,2026-07-16,NSE,M&M,unassigned,14878,0,1
1,2026-07-16,NSE,MARUTI,unassigned,13272,0,1
1,2026-07-16,NSE,NESTLEIND,unassigned,7416,0,1
1,2026-07-16,NSE,NIFTYBEES,unassigned,12010,0,1
1,2026-07-16,NSE,ONGC,unassigned,9277,0,1
1,2026-07-16,NSE,RELIANCE,unassigned,13337,0,1
1,2026-07-16,NSE,SBIN,unassigned,11540,0,1
1,2026-07-16,NSE,SUNPHARMA,unassigned,10004,0,1
1,2026-07-16,NSE,TCS,unassigned,15263,0,1
1,2026-07-16,NSE,TECHM,unassigned,12463,0,1
1,2026-07-16,NSE,ULTRACEMCO,unassigned,10843,0,1
1,2026-07-16,NSE,WIPRO,unassigned,9635,0,1
5,2026-07-08,NSE,ADANIPORTS,train,1617,1,1
5,2026-07-08,NSE,AXISBANK,train,1699,1,1
5,2026-07-08,NSE,BAJAJ-AUTO,train,1594,1,1
5,2026-07-08,NSE,BANKBEES,train,1693,1,1
5,2026-07-08,NSE,BHARTIARTL,train,1616,1,1
5,2026-07-08,NSE,BPCL,train,1578,1,1
5,2026-07-08,NSE,BRITANNIA,train,1525,1,1
5,2026-07-08,NSE,CIPLA,train,1572,1,1
5,2026-07-08,NSE,DRREDDY,train,1582,1,1
5,2026-07-08,NSE,GOLDBEES,train,1642,1,1
5,2026-07-08,NSE,HCLTECH,train,1564,1,1
5,2026-07-08,NSE,HDFCBANK,train,1745,1,1
5,2026-07-08,NSE,HINDUNILVR,train,1618,1,1
5,2026-07-08,NSE,ICICIBANK,train,1722,1,1
5,2026-07-08,NSE,INFY,train,1682,1,1
5,2026-07-08,NSE,ITBEES,train,1585,1,1
5,2026-07-08,NSE,ITC,train,1643,1,1
5,2026-07-08,NSE,JUNIORBEES,train,1685,1,1
5,2026-07-08,NSE,KOTAKBANK,train,1664,1,1
5,2026-07-08,NSE,LT,train,1733,1,1
5,2026-07-08,NSE,M&M,train,1714,1,1
5,2026-07-08,NSE,MARUTI,train,1679,1,1
5,2026-07-08,NSE,NESTLEIND,train,1580,1,1
5,2026-07-08,NSE,NIFTYBEES,train,1687,1,1
5,2026-07-08,NSE,ONGC,train,1628,1,1
5,2026-07-08,NSE,RELIANCE,train,1731,1,1
5,2026-07-08,NSE,SBIN,train,1686,1,1
5,2026-07-08,NSE,SUNPHARMA,train,1600,1,1
5,2026-07-08,NSE,TCS,train,1651,1,1
5,2026-07-08,NSE,TECHM,train,1574,1,1
5,2026-07-08,NSE,ULTRACEMCO,train,1577,1,1
5,2026-07-08,NSE,WIPRO,train,1569,1,1
5,2026-07-09,NSE,ADANIPORTS,train,2448,1,1
5,2026-07-09,NSE,AXISBANK,train,2522,1,1
5,2026-07-09,NSE,BAJAJ-AUTO,train,2390,1,1
5,2026-07-09,NSE,BANKBEES,train,2537,1,1
5,2026-07-09,NSE,BHARTIARTL,train,2558,1,1
5,2026-07-09,NSE,BPCL,train,2421,1,1
5,2026-07-09,NSE,BRITANNIA,train,2364,1,1
5,2026-07-09,NSE,CIPLA,train,2407,1,1
5,2026-07-09,NSE,DRREDDY,train,2539,1,1
5,2026-07-09,NSE,GOLDBEES,train,2469,1,1
5,2026-07-09,NSE,HCLTECH,train,2462,1,1
5,2026-07-09,NSE,HDFCBANK,train,2557,1,1
5,2026-07-09,NSE,HINDUNILVR,train,2484,1,1
5,2026-07-09,NSE,ICICIBANK,train,2548,1,1
5,2026-07-09,NSE,INFY,train,2532,1,1
5,2026-07-09,NSE,ITBEES,train,2350,1,1
5,2026-07-09,NSE,ITC,train,2527,1,1
5,2026-07-09,NSE,JUNIORBEES,train,2525,1,1
5,2026-07-09,NSE,KOTAKBANK,train,2555,1,1
5,2026-07-09,NSE,LT,train,2557,1,1
5,2026-07-09,NSE,M&M,train,2505,1,1
5,2026-07-09,NSE,MARUTI,train,2493,1,1
5,2026-07-09,NSE,NESTLEIND,train,2386,1,1
5,2026-07-09,NSE,NIFTYBEES,train,2514,1,1
5,2026-07-09,NSE,ONGC,train,2451,1,1
5,2026-07-09,NSE,RELIANCE,train,2539,1,1
5,2026-07-09,NSE,SBIN,train,2520,1,1
5,2026-07-09,NSE,SUNPHARMA,train,2517,1,1
5,2026-07-09,NSE,TCS,train,2530,1,1
5,2026-07-09,NSE,TECHM,train,2392,1,1
5,2026-07-09,NSE,ULTRACEMCO,train,2358,1,1
5,2026-07-09,NSE,WIPRO,train,2447,1,1
5,2026-07-10,NSE,ADANIPORTS,train,4276,1,1
5,2026-07-10,NSE,AXISBANK,train,4310,1,1
5,2026-07-10,NSE,BAJAJ-AUTO,train,4202,1,1
5,2026-07-10,NSE,BANKBEES,train,4105,1,1
5,2026-07-10,NSE,BHARTIARTL,train,4351,1,1
5,2026-07-10,NSE,BPCL,train,4073,1,1
5,2026-07-10,NSE,BRITANNIA,train,3917,1,1
5,2026-07-10,NSE,CIPLA,train,4190,1,1
5,2026-07-10,NSE,DRREDDY,train,4375,1,1
5,2026-07-10,NSE,GOLDBEES,train,4250,1,1
5,2026-07-10,NSE,HCLTECH,train,4425,1,1
5,2026-07-10,NSE,HDFCBANK,train,4448,1,1
5,2026-07-10,NSE,HINDUNILVR,train,4184,1,1
5,2026-07-10,NSE,ICICIBANK,train,4342,1,1
5,2026-07-10,NSE,INFY,train,4460,1,1
5,2026-07-10,NSE,ITBEES,train,4066,1,1
5,2026-07-10,NSE,ITC,train,4335,1,1
5,2026-07-10,NSE,JUNIORBEES,train,4329,1,1
5,2026-07-10,NSE,KOTAKBANK,train,4285,1,1
5,2026-07-10,NSE,LT,train,4270,1,1
5,2026-07-10,NSE,M&M,train,4236,1,1
5,2026-07-10,NSE,MARUTI,train,4273,1,1
5,2026-07-10,NSE,NESTLEIND,train,4127,1,1
5,2026-07-10,NSE,NIFTYBEES,train,4295,1,1
5,2026-07-10,NSE,ONGC,train,4237,1,1
5,2026-07-10,NSE,RELIANCE,train,4360,1,1
5,2026-07-10,NSE,SBIN,train,4354,1,1
5,2026-07-10,NSE,SUNPHARMA,train,4285,1,1
5,2026-07-10,NSE,TCS,train,4481,1,1
5,2026-07-10,NSE,TECHM,train,4254,1,1
5,2026-07-10,NSE,ULTRACEMCO,train,4018,1,1
5,2026-07-10,NSE,WIPRO,train,4321,1,1
5,2026-07-13,NSE,ADANIPORTS,validation,4268,1,1
5,2026-07-13,NSE,AXISBANK,validation,4285,1,1
5,2026-07-13,NSE,BAJAJ-AUTO,validation,4384,1,1
5,2026-07-13,NSE,BANKBEES,validation,4285,1,1
5,2026-07-13,NSE,BHARTIARTL,validation,4367,1,1
5,2026-07-13,NSE,BPCL,validation,4189,1,1
5,2026-07-13,NSE,BRITANNIA,validation,4043,1,1
5,2026-07-13,NSE,CIPLA,validation,4212,1,1
5,2026-07-13,NSE,DRREDDY,validation,4258,1,1
5,2026-07-13,NSE,GOLDBEES,validation,4227,1,1
5,2026-07-13,NSE,HCLTECH,validation,4400,1,1
5,2026-07-13,NSE,HDFCBANK,validation,4473,1,1
5,2026-07-13,NSE,HINDUNILVR,validation,4217,1,1
5,2026-07-13,NSE,ICICIBANK,validation,4388,1,1
5,2026-07-13,NSE,INFY,validation,4471,1,1
5,2026-07-13,NSE,ITBEES,validation,4192,1,1
5,2026-07-13,NSE,ITC,validation,4227,1,1
5,2026-07-13,NSE,JUNIORBEES,validation,4245,1,1
5,2026-07-13,NSE,KOTAKBANK,validation,4253,1,1
5,2026-07-13,NSE,LT,validation,4319,1,1
5,2026-07-13,NSE,M&M,validation,4396,1,1
5,2026-07-13,NSE,MARUTI,validation,4442,1,1
5,2026-07-13,NSE,NESTLEIND,validation,4206,1,1
5,2026-07-13,NSE,NIFTYBEES,validation,4323,1,1
5,2026-07-13,NSE,ONGC,validation,4308,1,1
5,2026-07-13,NSE,RELIANCE,validation,4366,1,1
5,2026-07-13,NSE,SBIN,validation,4353,1,1
5,2026-07-13,NSE,SUNPHARMA,validation,4236,1,1
5,2026-07-13,NSE,TCS,validation,4484,1,1
5,2026-07-13,NSE,TECHM,validation,4288,1,1
5,2026-07-13,NSE,ULTRACEMCO,validation,4084,1,1
5,2026-07-13,NSE,WIPRO,validation,4288,1,1
5,2026-07-14,NSE,ADANIPORTS,test_untouched,0,0,0
5,2026-07-14,NSE,AXISBANK,test_untouched,0,0,0
5,2026-07-14,NSE,BAJAJ-AUTO,test_untouched,0,0,0
5,2026-07-14,NSE,BANKBEES,test_untouched,0,0,0
5,2026-07-14,NSE,BHARTIARTL,test_untouched,0,0,0
5,2026-07-14,NSE,BPCL,test_untouched,0,0,0
5,2026-07-14,NSE,BRITANNIA,test_untouched,0,0,0
5,2026-07-14,NSE,CIPLA,test_untouched,0,0,0
5,2026-07-14,NSE,DRREDDY,test_untouched,0,0,0
5,2026-07-14,NSE,GOLDBEES,test_untouched,0,0,0
5,2026-07-14,NSE,HCLTECH,test_untouched,0,0,0
5,2026-07-14,NSE,HDFCBANK,test_untouched,0,0,0
5,2026-07-14,NSE,HINDUNILVR,test_untouched,0,0,0
5,2026-07-14,NSE,ICICIBANK,test_untouched,0,0,0
5,2026-07-14,NSE,INFY,test_untouched,0,0,0
5,2026-07-14,NSE,ITBEES,test_untouched,0,0,0
5,2026-07-14,NSE,ITC,test_untouched,0,0,0
5,2026-07-14,NSE,JUNIORBEES,test_untouched,0,0,0
5,2026-07-14,NSE,KOTAKBANK,test_untouched,0,0,0
5,2026-07-14,NSE,LT,test_untouched,0,0,0
5,2026-07-14,NSE,M&M,test_untouched,0,0,0
5,2026-07-14,NSE,MARUTI,test_untouched,0,0,0
5,2026-07-14,NSE,NESTLEIND,test_untouched,0,0,0
5,2026-07-14,NSE,NIFTYBEES,test_untouched,0,0,0
5,2026-07-14,NSE,ONGC,test_untouched,0,0,0
5,2026-07-14,NSE,RELIANCE,test_untouched,0,0,0
5,2026-07-14,NSE,SBIN,test_untouched,0,0,0
5,2026-07-14,NSE,SUNPHARMA,test_untouched,0,0,0
5,2026-07-14,NSE,TCS,test_untouched,0,0,0
5,2026-07-14,NSE,TECHM,test_untouched,0,0,0
5,2026-07-14,NSE,ULTRACEMCO,test_untouched,0,0,0
5,2026-07-14,NSE,WIPRO,test_untouched,0,0,0
5,2026-07-15,NSE,ADANIPORTS,unassigned,4242,0,1
5,2026-07-15,NSE,AXISBANK,unassigned,4453,0,1
5,2026-07-15,NSE,BAJAJ-AUTO,unassigned,4419,0,1
5,2026-07-15,NSE,BANKBEES,unassigned,4223,0,1
5,2026-07-15,NSE,BHARTIARTL,unassigned,4306,0,1
5,2026-07-15,NSE,BPCL,unassigned,4181,0,1
5,2026-07-15,NSE,BRITANNIA,unassigned,3928,0,1
5,2026-07-15,NSE,CIPLA,unassigned,4175,0,1
5,2026-07-15,NSE,DRREDDY,unassigned,4165,0,1
5,2026-07-15,NSE,GOLDBEES,unassigned,4215,0,1
5,2026-07-15,NSE,HCLTECH,unassigned,4284,0,1
5,2026-07-15,NSE,HDFCBANK,unassigned,4420,0,1
5,2026-07-15,NSE,HINDUNILVR,unassigned,4198,0,1
5,2026-07-15,NSE,ICICIBANK,unassigned,4423,0,1
5,2026-07-15,NSE,INFY,unassigned,4469,0,1
5,2026-07-15,NSE,ITBEES,unassigned,4072,0,1
5,2026-07-15,NSE,ITC,unassigned,4280,0,1
5,2026-07-15,NSE,JUNIORBEES,unassigned,4355,0,1
5,2026-07-15,NSE,KOTAKBANK,unassigned,4238,0,1
5,2026-07-15,NSE,LT,unassigned,4357,0,1
5,2026-07-15,NSE,M&M,unassigned,4418,0,1
5,2026-07-15,NSE,MARUTI,unassigned,4266,0,1
5,2026-07-15,NSE,NESTLEIND,unassigned,4050,0,1
5,2026-07-15,NSE,NIFTYBEES,unassigned,4341,0,1
5,2026-07-15,NSE,ONGC,unassigned,4285,0,1
5,2026-07-15,NSE,RELIANCE,unassigned,4387,0,1
5,2026-07-15,NSE,SBIN,unassigned,4391,0,1
5,2026-07-15,NSE,SUNPHARMA,unassigned,4308,0,1
5,2026-07-15,NSE,TCS,unassigned,4447,0,1
5,2026-07-15,NSE,TECHM,unassigned,4351,0,1
5,2026-07-15,NSE,ULTRACEMCO,unassigned,4186,0,1
5,2026-07-15,NSE,WIPRO,unassigned,4261,0,1
5,2026-07-16,NSE,ADANIPORTS,unassigned,4298,0,1
5,2026-07-16,NSE,AXISBANK,unassigned,4372,0,1
5,2026-07-16,NSE,BAJAJ-AUTO,unassigned,4303,0,1
5,2026-07-16,NSE,BANKBEES,unassigned,4365,0,1
5,2026-07-16,NSE,BHARTIARTL,unassigned,4359,0,1
5,2026-07-16,NSE,BPCL,unassigned,4272,0,1
5,2026-07-16,NSE,BRITANNIA,unassigned,4201,0,1
5,2026-07-16,NSE,CIPLA,unassigned,4206,0,1
5,2026-07-16,NSE,DRREDDY,unassigned,4303,0,1
5,2026-07-16,NSE,GOLDBEES,unassigned,4277,0,1
5,2026-07-16,NSE,HCLTECH,unassigned,4376,0,1
5,2026-07-16,NSE,HDFCBANK,unassigned,4440,0,1
5,2026-07-16,NSE,HINDUNILVR,unassigned,4286,0,1
5,2026-07-16,NSE,ICICIBANK,unassigned,4408,0,1
5,2026-07-16,NSE,INFY,unassigned,4461,0,1
5,2026-07-16,NSE,ITBEES,unassigned,4139,0,1
5,2026-07-16,NSE,ITC,unassigned,4438,0,1
5,2026-07-16,NSE,JUNIORBEES,unassigned,4391,0,1
5,2026-07-16,NSE,KOTAKBANK,unassigned,4361,0,1
5,2026-07-16,NSE,LT,unassigned,4457,0,1
5,2026-07-16,NSE,M&M,unassigned,4447,0,1
5,2026-07-16,NSE,MARUTI,unassigned,4404,0,1
5,2026-07-16,NSE,NESTLEIND,unassigned,4171,0,1
5,2026-07-16,NSE,NIFTYBEES,unassigned,4343,0,1
5,2026-07-16,NSE,ONGC,unassigned,4289,0,1
5,2026-07-16,NSE,RELIANCE,unassigned,4422,0,1
5,2026-07-16,NSE,SBIN,unassigned,4352,0,1
5,2026-07-16,NSE,SUNPHARMA,unassigned,4306,0,1
5,2026-07-16,NSE,TCS,unassigned,4440,0,1
5,2026-07-16,NSE,TECHM,unassigned,4366,0,1
5,2026-07-16,NSE,ULTRACEMCO,unassigned,4294,0,1
5,2026-07-16,NSE,WIPRO,unassigned,4305,0,1
15,2026-07-08,NSE,ADANIPORTS,train,583,1,1
15,2026-07-08,NSE,AXISBANK,train,583,1,1
15,2026-07-08,NSE,BAJAJ-AUTO,train,583,1,1
15,2026-07-08,NSE,BANKBEES,train,583,1,1
15,2026-07-08,NSE,BHARTIARTL,train,583,1,1
15,2026-07-08,NSE,BPCL,train,583,1,1
15,2026-07-08,NSE,BRITANNIA,train,583,1,1
15,2026-07-08,NSE,CIPLA,train,583,1,1
15,2026-07-08,NSE,DRREDDY,train,583,1,1
