candidate_id,family_id,split,symbol,trades,months,net_pnl_inr,gross_pnl_inr,cost_pnl_drag_inr,precision_cost_clear
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,MARUTI,5,1,-869.1146001822508,-313.3030852009777,555.8115149812729,0.0
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,SUNPHARMA,152,5,-2737.756398094398,13459.714345000017,16197.470743094416,0.46710526315789475
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,WIPRO,8,3,224.86869083744355,1077.8937625619765,853.0250717245331,0.75
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,HCLTECH,38,4,-4064.148901045982,-4.575423410612757,4059.573477635368,0.5789473684210527
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,HDFCBANK,1050,6,-74953.0434997059,30719.843560915713,105672.88706062162,0.4961904761904762
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,ICICIBANK,222,6,-21052.611963956857,1156.836163352382,22209.44812730924,0.5225225225225225
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,INFY,24,3,-4750.793272090073,-2122.683597931352,2628.1096741587207,0.375
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,M&M,22,3,-6383.274745823002,-4228.963545415965,2154.3112004070376,0.22727272727272727
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,SUNPHARMA,93,6,-3692.1702927714773,6235.316328522944,9927.486621294422,0.4946236559139785
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,WIPRO,3,2,-376.3794548729621,-45.262628304465466,331.1168265684966,0.6666666666666666
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,HCLTECH,5,1,-1215.5727323195617,-683.0075051731499,532.5652271464119,0.0
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,HDFCBANK,1266,6,-107838.05936965316,16142.207922751004,123980.26729240417,0.42496050552922593
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,ICICIBANK,31,4,-5617.628934939177,-2501.565338059786,3116.0635968793913,0.5483870967741935
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,SUNPHARMA,9,3,1719.5889260426334,2668.580528108377,948.9916020657441,0.6666666666666666
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,HDFCBANK,1237,6,-94826.1085745945,27939.548377084553,122765.65695167906,0.4793856103476152
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,ICICIBANK,22,4,-1499.4874181219016,710.4441844549169,2209.9316025768185,0.5909090909090909
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,SUNPHARMA,4,2,136.78078835497524,570.6211246242932,433.84033626931796,0.5
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,HCLTECH,5,1,-1215.5727323195617,-683.0075051731499,532.5652271464119,0.0
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,HDFCBANK,771,6,-35348.91582079621,41651.33252288355,77000.24834367976,0.503242542153048
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,ICICIBANK,27,4,-3097.891295536855,-368.68103300111716,2729.210262535738,0.6296296296296297
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,SUNPHARMA,9,3,1719.5889260426334,2668.580528108377,948.9916020657441,0.6666666666666666
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,HDFCBANK,751,6,-72707.41798187917,3019.6683307114345,75727.0863125906,0.49533954727030627
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,ICICIBANK,17,3,-1500.4549557792739,228.16722179509475,1728.6221775743684,0.5882352941176471
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,SUNPHARMA,4,2,136.78078835497524,570.6211246242932,433.84033626931796,0.5
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,test,SUNPHARMA,1034,6,-48874.943816194966,60395.879971470786,109270.82378766577,0.437137330754352
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,train,SUNPHARMA,940,6,-75372.14530911608,23900.56818790779,99272.71349702387,0.4297872340425532
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,test,SUNPHARMA,242,5,34608.98928122032,60370.789682303235,25761.800401082925,0.5785123966942148
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,train,SUNPHARMA,180,6,-7116.872225067618,12056.281034900585,19173.153259968203,0.5
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,test,SUNPHARMA,137,5,-9102.533994772883,5477.2859441855735,14579.819938958455,0.5036496350364964
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,train,SUNPHARMA,91,6,-1920.6885890850867,7707.907713736639,9628.596302821725,0.5604395604395604
