strategy_id,gate_id,gate_name,blocker,evidence_source,blocker_category,missing_requirement,next_required_evidence,evidence_source_status
S03,G01_predictive,Predictive gate,No acceptance-level predictive evidence; current diagnostics are proxy-only and/or directional accuracy below threshold.,outputs/phase11/strategy_signal_diagnostics.csv,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",present
S03,G02_economic,Economic gate,"stressed profile mean_net_return not positive; statutory/brokerage charges use Zerodha-sourced rupee order formulas in the P&L proxy, but broker contract-note reconciliation and actual fills remain missing; execution result is still a 5-minute proxy and not acceptance evidence",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",present
S03,G03_robustness,Robustness gate,"Phase 13 has deterministic proxy smoke and multi-profile robustness ledgers, but no acceptance-grade full multi-seed, walk-forward, parameter-smoothness, holdout-generator or real-data rerun evidence.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",present
S03,G04_risk,Risk gate,"Full-run marketable-proxy risk diagnostics now exist, but no acceptance-grade fill-adjusted drawdown, position-limit, tail-loss or daily-loss-limit validation exists.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",present
S03,G05_realism,Realism gate,Synthetic quality has warnings and/or strategy only has proxy/partial support; no holdout generator evidence.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase11/strategy_validation_matrix.csv,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",present
S04,G01_predictive,Predictive gate,No acceptance-level predictive evidence; current diagnostics are proxy-only and/or directional accuracy below threshold.,outputs/phase11/strategy_signal_diagnostics.csv,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",present
S04,G02_economic,Economic gate,"retail profile mean_net_return not positive; stressed profile mean_net_return not positive; statutory/brokerage charges use Zerodha-sourced rupee order formulas in the P&L proxy, but broker contract-note reconciliation and actual fills remain missing; execution result is still a 5-minute proxy and not acceptance evidence",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",present
S04,G03_robustness,Robustness gate,"Phase 13 has deterministic proxy smoke and multi-profile robustness ledgers, but no acceptance-grade full multi-seed, walk-forward, parameter-smoothness, holdout-generator or real-data rerun evidence.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",present
S04,G04_risk,Risk gate,"Full-run marketable-proxy risk diagnostics now exist, but no acceptance-grade fill-adjusted drawdown, position-limit, tail-loss or daily-loss-limit validation exists.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",present
S04,G05_realism,Realism gate,Synthetic quality has warnings and/or strategy only has proxy/partial support; no holdout generator evidence.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase11/strategy_validation_matrix.csv,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",present
S05,G01_predictive,Predictive gate,No acceptance-level predictive evidence; current diagnostics are proxy-only and/or directional accuracy below threshold.,outputs/phase11/strategy_signal_diagnostics.csv,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",present
S05,G02_economic,Economic gate,"retail profile mean_net_return not positive; stressed profile mean_net_return not positive; statutory/brokerage charges use Zerodha-sourced rupee order formulas in the P&L proxy, but broker contract-note reconciliation and actual fills remain missing; execution result is still a 5-minute proxy and not acceptance evidence",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",present
S05,G03_robustness,Robustness gate,"Phase 13 has deterministic proxy smoke and multi-profile robustness ledgers, but no acceptance-grade full multi-seed, walk-forward, parameter-smoothness, holdout-generator or real-data rerun evidence.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",present
S05,G04_risk,Risk gate,"Full-run marketable-proxy risk diagnostics now exist, but no acceptance-grade fill-adjusted drawdown, position-limit, tail-loss or daily-loss-limit validation exists.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",present
S05,G05_realism,Realism gate,Synthetic quality has warnings and/or strategy only has proxy/partial support; no holdout generator evidence.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase11/strategy_validation_matrix.csv,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",present
S06,G01_predictive,Predictive gate,No acceptance-level predictive evidence; current diagnostics are proxy-only and/or directional accuracy below threshold.,outputs/phase11/strategy_signal_diagnostics.csv,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",present
S06,G02_economic,Economic gate,"retail profile mean_net_return not positive; stressed profile mean_net_return not positive; statutory/brokerage charges use Zerodha-sourced rupee order formulas in the P&L proxy, but broker contract-note reconciliation and actual fills remain missing; execution result is still a 5-minute proxy and not acceptance evidence",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",present
S06,G03_robustness,Robustness gate,"Phase 13 has deterministic proxy smoke and multi-profile robustness ledgers, but no acceptance-grade full multi-seed, walk-forward, parameter-smoothness, holdout-generator or real-data rerun evidence.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",present
S06,G04_risk,Risk gate,"Full-run marketable-proxy risk diagnostics now exist, but no acceptance-grade fill-adjusted drawdown, position-limit, tail-loss or daily-loss-limit validation exists.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",present
S06,G05_realism,Realism gate,Synthetic quality has warnings and/or strategy only has proxy/partial support; no holdout generator evidence.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase11/strategy_validation_matrix.csv,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",present
S07,G01_predictive,Predictive gate,No acceptance-level predictive evidence; current diagnostics are proxy-only and/or directional accuracy below threshold.,outputs/phase11/strategy_signal_diagnostics.csv,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",present
S07,G02_economic,Economic gate,"retail profile mean_net_return not positive; stressed profile mean_net_return not positive; statutory/brokerage charges use Zerodha-sourced rupee order formulas in the P&L proxy, but broker contract-note reconciliation and actual fills remain missing; execution result is still a 5-minute proxy and not acceptance evidence",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",present
S07,G03_robustness,Robustness gate,"Phase 13 has deterministic proxy smoke and multi-profile robustness ledgers, but no acceptance-grade full multi-seed, walk-forward, parameter-smoothness, holdout-generator or real-data rerun evidence.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",present
S07,G04_risk,Risk gate,"Full-run marketable-proxy risk diagnostics now exist, but no acceptance-grade fill-adjusted drawdown, position-limit, tail-loss or daily-loss-limit validation exists.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",present
S07,G05_realism,Realism gate,Synthetic quality has warnings and/or strategy only has proxy/partial support; no holdout generator evidence.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase11/strategy_validation_matrix.csv,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",present
S08,G01_predictive,Predictive gate,No acceptance-level predictive evidence; current diagnostics are proxy-only and/or directional accuracy below threshold.,outputs/phase11/strategy_signal_diagnostics.csv,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",present
S08,G02_economic,Economic gate,"retail profile mean_net_return not positive; stressed profile mean_net_return not positive; statutory/brokerage charges use Zerodha-sourced rupee order formulas in the P&L proxy, but broker contract-note reconciliation and actual fills remain missing; execution result is still a 5-minute proxy and not acceptance evidence",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",present
S08,G03_robustness,Robustness gate,"Phase 13 has deterministic proxy smoke and multi-profile robustness ledgers, but no acceptance-grade full multi-seed, walk-forward, parameter-smoothness, holdout-generator or real-data rerun evidence.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",present
S08,G04_risk,Risk gate,"Full-run marketable-proxy risk diagnostics now exist, but no acceptance-grade fill-adjusted drawdown, position-limit, tail-loss or daily-loss-limit validation exists.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",present
S08,G05_realism,Realism gate,Synthetic quality has warnings and/or strategy only has proxy/partial support; no holdout generator evidence.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase11/strategy_validation_matrix.csv,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",present
S09,G01_predictive,Predictive gate,No acceptance-level predictive evidence; current diagnostics are proxy-only and/or directional accuracy below threshold.,outputs/phase11/strategy_signal_diagnostics.csv,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",present
S09,G02_economic,Economic gate,"retail profile mean_net_return not positive; stressed profile mean_net_return not positive; statutory/brokerage charges use Zerodha-sourced rupee order formulas in the P&L proxy, but broker contract-note reconciliation and actual fills remain missing; execution result is still a 5-minute proxy and not acceptance evidence",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",present
S09,G03_robustness,Robustness gate,"Phase 13 has deterministic proxy smoke and multi-profile robustness ledgers, but no acceptance-grade full multi-seed, walk-forward, parameter-smoothness, holdout-generator or real-data rerun evidence.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",present
S09,G04_risk,Risk gate,"Full-run marketable-proxy risk diagnostics now exist, but no acceptance-grade fill-adjusted drawdown, position-limit, tail-loss or daily-loss-limit validation exists.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",present
S09,G05_realism,Realism gate,Synthetic quality has warnings and/or strategy only has proxy/partial support; no holdout generator evidence.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase11/strategy_validation_matrix.csv,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",present
S10,G01_predictive,Predictive gate,No acceptance-level predictive evidence; current diagnostics are proxy-only and/or directional accuracy below threshold.,outputs/phase11/strategy_signal_diagnostics.csv,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",present
S10,G02_economic,Economic gate,"missing retail/stressed execution profile; statutory/brokerage charges use Zerodha-sourced rupee order formulas in the P&L proxy, but broker contract-note reconciliation and actual fills remain missing; execution result is still a 5-minute proxy and not acceptance evidence",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",present
S10,G03_robustness,Robustness gate,"No Phase 13 proxy smoke row is registered for this strategy; no completed multi-seed, walk-forward, parameter-smoothness, holdout or real-data rerun evidence.",outputs/phase13/experiment_registry.csv,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",present
S10,G04_risk,Risk gate,"Full-run marketable-proxy risk diagnostics now exist, but no acceptance-grade fill-adjusted drawdown, position-limit, tail-loss or daily-loss-limit validation exists.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",present
S10,G05_realism,Realism gate,Synthetic quality has warnings and/or strategy only has proxy/partial support; no holdout generator evidence.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase11/strategy_validation_matrix.csv,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",present
S11,G01_predictive,Predictive gate,No acceptance-level predictive evidence; current diagnostics are proxy-only and/or directional accuracy below threshold.,outputs/phase11/strategy_signal_diagnostics.csv,predictive_proxy_or_weak_signal,"Acceptance-level predictive evidence with baseline improvement, multi-seed stability and no ticker/template dependence.","Full predictive validation over multi-seed synthetic runs and later multi-day real holdout, including calibrated model outputs and baseline comparisons.",present
S11,G02_economic,Economic gate,"missing retail/stressed execution profile; statutory/brokerage charges use Zerodha-sourced rupee order formulas in the P&L proxy, but broker contract-note reconciliation and actual fills remain missing; execution result is still a 5-minute proxy and not acceptance evidence",outputs/phase12/execution_summary.csv; outputs/phase12/cost_schedule.csv,economic_proxy_or_negative_net_return,"Positive net performance after realistic costs, slippage stress and retail latency, using acceptance-grade fill/cost evidence.","Full-run event/tick execution P&L with rupee order-formula costs, broker contract-note reconciliation where possible, and stress-profile net profitability.",present
S11,G03_robustness,Robustness gate,"No Phase 13 proxy smoke row is registered for this strategy; no completed multi-seed, walk-forward, parameter-smoothness, holdout or real-data rerun evidence.",outputs/phase13/experiment_registry.csv,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",present
S11,G04_risk,Risk gate,"Full-run marketable-proxy risk diagnostics now exist, but no acceptance-grade fill-adjusted drawdown, position-limit, tail-loss or daily-loss-limit validation exists.",outputs/phase12/execution_summary.csv; outputs/phase12/full_run_risk_summary.csv; outputs/phase12_order_lifecycle/risk_control_summary.csv,risk_sample_proxy_only,"Acceptance-grade full-run drawdown, position-limit, tail-loss and daily-loss-limit validation.","Full lifecycle/risk run over all generated trades with daily equity curves, position exposure, halt behavior and tail-loss summaries.",present
S11,G05_realism,Realism gate,Synthetic quality has warnings and/or strategy only has proxy/partial support; no holdout generator evidence.,outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase11/strategy_validation_matrix.csv,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",present
