rule_id,signal_id,feature,side_mode,bar_events,feature_quantile,abs_threshold,discovery_trades,discovery_net_pnl_inr,discovery_gross_pnl_proxy_inr,discovery_cost_pnl_drag_proxy_inr,discovery_mean_net_return,discovery_precision_cost_clear,discovery_symbols,discovery_shards,discovery_positive_symbol_fraction,discovery_positive_shard_fraction,discovery_positive_after_costs,validation_trades,validation_net_pnl_inr,validation_gross_pnl_proxy_inr,validation_cost_pnl_drag_proxy_inr,validation_mean_net_return,validation_precision_cost_clear,validation_symbols,validation_shards,validation_positive_symbol_fraction,validation_positive_shard_fraction,validation_positive_after_costs,phase60_scale_candidate
P60_BAR_MICROPRICE_B5000_Q90,BAR_MICROPRICE,avg_microprice_dev,sign,5000,0.9,7.76804276353641e-05,39,-3267.266603139672,1762.3640549370489,5029.6306580767205,-0.0008377606674717108,0.358974358974359,1,1,0.0,0.0,False,48,-6044.431731061087,387.9481355059666,6432.379866567054,-0.0012592566106377264,0.2916666666666667,1,1,0.0,0.0,False,False
P60_BAR_IMBALANCE_B10000_Q90,BAR_IMBALANCE,avg_l1_imbalance,sign,10000,0.9,0.5667078887620599,19,-882.7411194064501,1566.9726443271693,2449.71376373362,-0.00046460058916128954,0.5263157894736842,1,1,0.0,0.0,False,46,-6704.605298363173,-1193.1855533432567,5511.419745019915,-0.0014575228909485159,0.34782608695652173,2,2,0.0,0.0,False,False
P60_BAR_CONTRARIAN_B10000_Q70,BAR_CONTRARIAN,prev_bar_return,opposite,10000,0.7,0.005445625041611079,55,-7471.7404913205055,-731.723161079767,6740.01733024074,-0.0013584982711491828,0.43636363636363634,8,8,0.25,0.25,False,55,-13095.743237929913,-6756.389391673479,6339.3538462564375,-0.002381044225078166,0.4,8,8,0.25,0.25,False,False
P60_BAR_IMBALANCE_B5000_Q90,BAR_IMBALANCE,avg_l1_imbalance,sign,5000,0.9,0.5654618555146794,39,-5432.655834376096,-405.3055345454526,5027.350299830643,-0.0013929886754810504,0.3076923076923077,1,1,0.0,0.0,False,93,-13203.364310284867,-2017.5732922200984,11185.79101806477,-0.0014197165925037493,0.2903225806451613,2,2,0.0,0.0,False,False
P60_BAR_IMBALANCE_B10000_Q70,BAR_IMBALANCE,avg_l1_imbalance,sign,10000,0.7,0.21484523106254622,55,-2943.1718944155728,4313.5221768377805,7256.694071253356,-0.0005351221626210132,0.4727272727272727,3,3,0.3333333333333333,0.3333333333333333,False,92,-13950.141465828625,-3092.933474485682,10857.207991342942,-0.0015163197245465897,0.3804347826086957,4,4,0.0,0.0,False,False
P60_BAR_MICROPRICE_B10000_Q70,BAR_MICROPRICE,avg_microprice_dev,sign,10000,0.7,2.3187546198128894e-05,55,-1912.9200341327437,5344.700009289194,7257.620043421939,-0.00034780364256958976,0.4909090909090909,3,3,0.3333333333333333,0.3333333333333333,False,115,-16237.502107916485,-2538.435770307268,13699.066337609216,-0.001411956705036216,0.3652173913043478,5,5,0.0,0.0,False,False
P60_BAR_MICROPRICE_B10000_Q50,BAR_MICROPRICE,avg_microprice_dev,sign,10000,0.5,9.708658294222253e-06,92,-8376.888957072288,3566.0727126195725,11942.96166969186,-0.0009105314083774225,0.43478260869565216,4,4,0.0,0.0,False,138,-19907.370108531046,-3579.9272666245274,16327.44284190652,-0.0014425630513428295,0.34782608695652173,6,6,0.0,0.0,False,False
P60_BAR_IMBALANCE_B10000_Q50,BAR_IMBALANCE,avg_l1_imbalance,sign,10000,0.5,0.0872480045294036,92,-8376.888957072288,3566.0727126195725,11942.96166969186,-0.0009105314083774225,0.43478260869565216,4,4,0.0,0.0,False,161,-22809.518599541083,-4175.31366863787,18634.20493090322,-0.0014167402856857816,0.33540372670807456,7,7,0.0,0.0,False,False
P60_BAR_CONTRARIAN_B10000_Q50,BAR_CONTRARIAN,prev_bar_return,opposite,10000,0.5,0.003713867531443482,92,-15035.312686419094,-3749.320337652229,11285.992348766868,-0.001634273118089032,0.42391304347826086,8,8,0.0,0.0,False,93,-26364.028861921834,-15651.513369671722,10712.515492250108,-0.002834841813109875,0.3978494623655914,8,8,0.0,0.0,False,False
P60_BAR_IMBALANCE_B5000_Q70,BAR_IMBALANCE,avg_l1_imbalance,sign,5000,0.7,0.2145296241862669,115,-11661.34460575359,3509.9611005655283,15171.30570631912,-0.0010140299657177036,0.34782608695652173,3,3,0.0,0.0,False,194,-27478.00602777638,-4552.29788166751,22925.708146108864,-0.0014163920632874424,0.31443298969072164,5,5,0.0,0.0,False,False
P60_BAR_CONTRARIAN_B5000_Q70,BAR_CONTRARIAN,prev_bar_return,opposite,5000,0.7,0.003452977243062682,115,-29066.184010464614,-14984.723870501626,14081.460139962986,-0.0025274942617795316,0.1826086956521739,8,8,0.0,0.0,False,119,-27547.34217965124,-13864.142279997372,13683.199899653871,-0.0023149027041723734,0.226890756302521,8,8,0.0,0.0,False,False
P60_BAR_MICROPRICE_B1000_Q90,BAR_MICROPRICE,avg_microprice_dev,sign,1000,0.9,7.740538810580716e-05,197,-22842.288019325246,2563.628309559385,25405.916328884632,-0.0011595070060571192,0.15228426395939088,1,1,0.0,0.0,False,244,-31796.24153663162,900.6612874822628,32696.902824113888,-0.0013031246531406402,0.11885245901639344,1,1,0.0,0.0,False,False
P60_BAR_MICROPRICE_B5000_Q70,BAR_MICROPRICE,avg_microprice_dev,sign,5000,0.7,2.3178614192380383e-05,115,-12970.729654998902,2201.4167794007553,15172.146434399661,-0.0011278895352172958,0.3565217391304348,3,3,0.0,0.0,False,239,-31874.3396550657,-3388.669189010374,28485.67046605533,-0.001333654378873042,0.3263598326359833,5,5,0.0,0.0,False,False
P60_BAR_MOMENTUM_B1000_Q90,BAR_MOMENTUM,prev_bar_return,sign,1000,0.9,0.0027977745438829693,197,-46869.468792693246,-22696.409991892775,24173.05880080047,-0.002379160852420977,0.23857868020304568,8,8,0.0,0.0,False,181,-39905.07549571264,-19017.657643228013,20887.417852484625,-0.0022047003036305326,0.27624309392265195,8,8,0.0,0.0,False,False
P60_BAR_CONTRARIAN_B5000_Q50,BAR_CONTRARIAN,prev_bar_return,opposite,5000,0.5,0.00212317460386241,192,-45463.115552139025,-21694.12652100148,23768.989031137546,-0.0023678706016739075,0.21875,8,8,0.0,0.0,False,198,-44106.67057937832,-21201.38536763779,22905.285211740524,-0.0022276096252211272,0.2222222222222222,8,8,0.0,0.0,False,False
P60_BAR_MICROPRICE_B5000_Q50,BAR_MICROPRICE,avg_microprice_dev,sign,5000,0.5,8.222698341640727e-06,192,-19912.47651692738,5012.287125830694,24924.763642758073,-0.001037108151923301,0.3697916666666667,4,4,0.0,0.0,False,332,-44394.65604392859,-5909.312058512095,38485.34398541649,-0.00133718843505809,0.3132530120481928,7,7,0.0,0.0,False,False
P60_BAR_IMBALANCE_B5000_Q50,BAR_IMBALANCE,avg_l1_imbalance,sign,5000,0.5,0.08601854789954332,192,-21242.63653087782,3544.2282867552353,24786.864817633057,-0.0011063873193165531,0.3645833333333333,5,5,0.0,0.0,False,336,-44860.30059017951,-5942.978515957675,38917.32207422184,-0.0013351279937553427,0.30952380952380953,8,8,0.0,0.0,False,False
P60_BAR_CONTRARIAN_B1000_Q70,BAR_CONTRARIAN,prev_bar_return,opposite,1000,0.7,0.0010816657652785722,591,-56290.29915184802,16883.588466840294,73173.88761868831,-0.0009524585304881222,0.32148900169204736,8,8,0.125,0.125,False,595,-47303.90498485144,21629.145380275706,68933.05036512714,-0.0007950236131907805,0.35294117647058826,8,8,0.0,0.0,False,False
P60_BAR_IMBALANCE_B1000_Q90,BAR_IMBALANCE,avg_l1_imbalance,sign,1000,0.9,0.5645048678866463,197,-24541.573226239412,857.1500768172147,25398.723303056624,-0.0012457651383877874,0.13705583756345177,1,1,0.0,0.0,False,460,-58071.380939868475,-2559.2570433283777,55512.1238965401,-0.0012624213247797494,0.11521739130434783,2,2,0.0,0.0,False,False
P60_BAR_CONTRARIAN_B1000_Q50,BAR_CONTRARIAN,prev_bar_return,opposite,1000,0.5,0.0,964,-104746.62650907968,15018.015781224969,119764.64229030466,-0.0010865832625423205,0.28526970954356845,8,8,0.0,0.0,False,927,-82434.35962017547,24618.421910472254,107052.78153064773,-0.0008892595428282143,0.32362459546925565,8,8,0.0,0.0,False,False
P60_BAR_MOMENTUM_B1000_Q70,BAR_MOMENTUM,prev_bar_return,sign,1000,0.7,0.0010816657652785722,591,-90057.47608552861,-16883.588466840294,73173.88761868831,-0.0015238151621916854,0.2910321489001692,8,8,0.0,0.0,False,595,-90562.19574540285,-21629.145380275706,68933.05036512714,-0.0015220537100067706,0.2722689075630252,8,8,0.0,0.0,False,False
P60_BAR_IMBALANCE_B1000_Q70,BAR_IMBALANCE,avg_l1_imbalance,sign,1000,0.7,0.21618057777976413,590,-71101.2758059317,6643.858410309367,77745.13421624106,-0.0012051063695920627,0.15084745762711865,3,3,0.0,0.0,False,991,-121299.61912806035,-4175.976391976044,117123.64273608431,-0.0012240123019985909,0.13319878910191726,6,6,0.0,0.0,False,False
P60_BAR_MOMENTUM_B1000_Q50,BAR_MOMENTUM,prev_bar_return,sign,1000,0.5,0.0,964,-134782.65807152961,-15018.015781224969,119764.64229030466,-0.0013981603534391038,0.2676348547717842,8,8,0.0,0.0,False,927,-131671.20344112,-24618.421910472254,107052.78153064773,-0.0014204013316194174,0.2664509169363538,8,8,0.0,0.0,False,False
P60_BAR_MICROPRICE_B1000_Q70,BAR_MICROPRICE,avg_microprice_dev,sign,1000,0.7,2.3358522200199812e-05,590,-68618.46431621943,9131.418362267807,77749.88267848722,-0.0011630248189189733,0.14915254237288136,3,3,0.0,0.0,False,1208,-147544.6538440183,-3564.5327170464757,143980.12112697182,-0.0012213961410928666,0.13741721854304637,5,5,0.0,0.0,False,False
P60_BAR_IMBALANCE_B1000_Q50,BAR_IMBALANCE,avg_l1_imbalance,sign,1000,0.5,0.08945686096268868,983,-118880.46063106493,8053.1664211773605,126933.62705224229,-0.001209363790753458,0.1607324516785351,5,5,0.0,0.0,False,1702,-204756.58770389674,-7653.782632963246,197102.8050709335,-0.0012030351803989233,0.13513513513513514,8,8,0.0,0.0,False,False
P60_BAR_MICROPRICE_B1000_Q50,BAR_MICROPRICE,avg_microprice_dev,sign,1000,0.5,7.0029534033509505e-06,984,-119191.18916565909,8012.325958064681,127203.5151237238,-0.0012112925728217387,0.15853658536585366,5,5,0.0,0.0,False,1839,-218002.7883923489,-5090.45890269828,212912.3294896506,-0.0011854420249719896,0.1397498640565525,8,8,0.0,0.0,False,False
