execution_rank,gate_id,strategy_id,strategy_support_level,strategy_role,hardening_requirement,action_class,dependency_status,strategy_support_closure_status,real_multiday_acceptance_status,observed_real_multiday_metric,real_sample_days_available,real_sample_symbols,real_sample_rows,symbols_with_15s_gaps,dense_1s_full_session_symbols,holdout_profiles,holdout_acceptance_eligible_profiles,real_multiday_data_required,economic_real_validation_required,predictive_real_holdout_required,robustness_real_rerun_required,realism_real_validation_required,acceptance_requirement_met_after_contract,blocking_gap_after_contract,required_real_multiday_action,required_next_evidence
383,G02_economic,S11,not_supported_by_current_product,risk_filter_only,multi_day_real_or_holdout_economic_validation,holdout_or_real_multiday_economic_validation,missing_required_evidence,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,economic_acceptance_ready_now=False; broker_contract_note_reconciliation_ready=False; real_multiday_rows=0,1,32,620853,32,0,15,0,True,True,False,False,False,False,Support closure required first: Classify S11 as research-only/risk-filter-only or build a separate non-alpha registry path.,"Collect/run multi-day real economic validation with reconciled fills, costs and P&L.",
384,G01_predictive,S01,runnable_proxy,priority,real_multi_day_holdout,real_multiday_predictive_holdout,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_predictive_holdout_missing,predictive_promotion_candidate_proxy=False; falsification_status=falsified_for_predictive_promotion_under_current_proxy_evidence; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,True,False,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,Collect/run multi-day real predictive holdout validation with frozen model and baseline checks.,
385,G01_predictive,S02,runnable_proxy,priority,real_multi_day_holdout,real_multiday_predictive_holdout,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_predictive_holdout_missing,predictive_promotion_candidate_proxy=False; falsification_status=falsified_for_predictive_promotion_under_current_proxy_evidence; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,True,False,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,Collect/run multi-day real predictive holdout validation with frozen model and baseline checks.,
386,G01_predictive,S05,runnable_proxy,filter,real_multi_day_holdout,real_multiday_predictive_holdout,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_predictive_holdout_missing,predictive_promotion_candidate_proxy=False; falsification_status=falsified_for_predictive_promotion_under_current_proxy_evidence; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,True,False,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,Collect/run multi-day real predictive holdout validation with frozen model and baseline checks.,
387,G01_predictive,S07,runnable_proxy,priority,real_multi_day_holdout,real_multiday_predictive_holdout,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_predictive_holdout_missing,predictive_promotion_candidate_proxy=False; falsification_status=falsified_for_predictive_promotion_under_current_proxy_evidence; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,True,False,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,Collect/run multi-day real predictive holdout validation with frozen model and baseline checks.,
388,G01_predictive,S09,runnable_proxy,benchmark,real_multi_day_holdout,real_multiday_predictive_holdout,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_predictive_holdout_missing,predictive_promotion_candidate_proxy=False; falsification_status=falsified_for_predictive_promotion_under_current_proxy_evidence; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,True,False,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,Collect/run multi-day real predictive holdout validation with frozen model and baseline checks.,
389,G01_predictive,S03,partial_missing_required_features,priority,real_multi_day_holdout,real_multiday_predictive_holdout,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,predictive_promotion_candidate_proxy=False; falsification_status=falsified_for_predictive_promotion_under_current_proxy_evidence; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,True,False,False,False,Support closure required first: Implement missing plan features for S03: explicit_depth_withdrawal_rate; aggressive_trade_flow; multi_level_sweep_labels.,Collect/run multi-day real predictive holdout validation with frozen model and baseline checks.,
390,G01_predictive,S04,partial_missing_required_features,priority,real_multi_day_holdout,real_multiday_predictive_holdout,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,predictive_promotion_candidate_proxy=False; falsification_status=falsified_for_predictive_promotion_under_current_proxy_evidence; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,True,False,False,False,Support closure required first: Implement missing plan features for S04: aggressive_trade_imbalance; absorption_label; exhaustion_label.,Collect/run multi-day real predictive holdout validation with frozen model and baseline checks.,
391,G01_predictive,S06,partial_missing_required_features,priority,real_multi_day_holdout,real_multiday_predictive_holdout,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,predictive_promotion_candidate_proxy=False; falsification_status=falsified_for_predictive_promotion_under_current_proxy_evidence; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,True,False,False,False,Support closure required first: Implement missing plan features for S06: signed_aggressive_flow; flow_reversal; replenishment_rate.,Collect/run multi-day real predictive holdout validation with frozen model and baseline checks.,
392,G01_predictive,S08,partial_missing_required_features,research,real_multi_day_holdout,real_multiday_predictive_holdout,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,predictive_promotion_candidate_proxy=False; falsification_status=falsified_for_predictive_promotion_under_current_proxy_evidence; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,True,False,False,False,Support closure required first: Implement missing plan features for S08: sector_mapping; leader_labels; timestamp_skew_simulations; explicit_lead_lag_scenarios.,Collect/run multi-day real predictive holdout validation with frozen model and baseline checks.,
393,G01_predictive,S10,not_supported_by_current_product,research_only,real_multi_day_holdout,real_multiday_predictive_holdout,missing_required_evidence,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,predictive_promotion_candidate_proxy=False; falsification_status=falsified_for_predictive_promotion_under_current_proxy_evidence; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,True,False,False,False,Support closure required first: Classify S10 as research-only/risk-filter-only or build a separate non-alpha registry path.,Collect/run multi-day real predictive holdout validation with frozen model and baseline checks.,
394,G01_predictive,S11,not_supported_by_current_product,risk_filter_only,real_multi_day_holdout,real_multiday_predictive_holdout,missing_required_evidence,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,predictive_promotion_candidate_proxy=False; falsification_status=falsified_for_predictive_promotion_under_current_proxy_evidence; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,True,False,False,False,Support closure required first: Classify S11 as research-only/risk-filter-only or build a separate non-alpha registry path.,Collect/run multi-day real predictive holdout validation with frozen model and baseline checks.,
395,G03_robustness,S01,runnable_proxy,priority,real_data_rerun,real_data_robustness_rerun,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_robustness_rerun_missing,real_data_rerun_status=not_available_one_day_seed_only; dimension_status=robustness_proxy_dimensions_available_not_acceptance; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,True,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,Collect/run multi-day real robustness reruns and compare against synthetic scenario behavior.,
396,G03_robustness,S02,runnable_proxy,priority,real_data_rerun,real_data_robustness_rerun,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_robustness_rerun_missing,real_data_rerun_status=not_available_one_day_seed_only; dimension_status=robustness_proxy_dimensions_available_not_acceptance; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,True,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,Collect/run multi-day real robustness reruns and compare against synthetic scenario behavior.,
397,G03_robustness,S05,runnable_proxy,filter,real_data_rerun,real_data_robustness_rerun,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_robustness_rerun_missing,real_data_rerun_status=not_available_one_day_seed_only; dimension_status=robustness_proxy_dimensions_available_not_acceptance; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,True,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,Collect/run multi-day real robustness reruns and compare against synthetic scenario behavior.,
398,G03_robustness,S07,runnable_proxy,priority,real_data_rerun,real_data_robustness_rerun,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_robustness_rerun_missing,real_data_rerun_status=not_available_one_day_seed_only; dimension_status=robustness_proxy_dimensions_available_not_acceptance; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,True,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,Collect/run multi-day real robustness reruns and compare against synthetic scenario behavior.,
399,G03_robustness,S09,runnable_proxy,benchmark,real_data_rerun,real_data_robustness_rerun,missing_required_evidence,proxy_supported_requires_acceptance_upgrade,real_multiday_robustness_rerun_missing,real_data_rerun_status=not_available_one_day_seed_only; dimension_status=robustness_proxy_dimensions_available_not_acceptance; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,True,False,False,Real multi-day acceptance evidence is missing; current evidence is one-day/proxy/synthetic only.,Collect/run multi-day real robustness reruns and compare against synthetic scenario behavior.,
400,G03_robustness,S03,partial_missing_required_features,priority,real_data_rerun,real_data_robustness_rerun,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,real_data_rerun_status=not_available_one_day_seed_only; dimension_status=robustness_proxy_dimensions_available_not_acceptance; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,True,False,False,Support closure required first: Implement missing plan features for S03: explicit_depth_withdrawal_rate; aggressive_trade_flow; multi_level_sweep_labels.,Collect/run multi-day real robustness reruns and compare against synthetic scenario behavior.,
401,G03_robustness,S04,partial_missing_required_features,priority,real_data_rerun,real_data_robustness_rerun,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,real_data_rerun_status=not_available_one_day_seed_only; dimension_status=robustness_proxy_dimensions_available_not_acceptance; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,True,False,False,Support closure required first: Implement missing plan features for S04: aggressive_trade_imbalance; absorption_label; exhaustion_label.,Collect/run multi-day real robustness reruns and compare against synthetic scenario behavior.,
402,G03_robustness,S06,partial_missing_required_features,priority,real_data_rerun,real_data_robustness_rerun,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,real_data_rerun_status=not_available_one_day_seed_only; dimension_status=robustness_proxy_dimensions_available_not_acceptance; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,True,False,False,Support closure required first: Implement missing plan features for S06: signed_aggressive_flow; flow_reversal; replenishment_rate.,Collect/run multi-day real robustness reruns and compare against synthetic scenario behavior.,
403,G03_robustness,S08,partial_missing_required_features,research,real_data_rerun,real_data_robustness_rerun,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,real_data_rerun_status=not_available_one_day_seed_only; dimension_status=robustness_proxy_dimensions_available_not_acceptance; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,True,False,False,Support closure required first: Implement missing plan features for S08: sector_mapping; leader_labels; timestamp_skew_simulations; explicit_lead_lag_scenarios.,Collect/run multi-day real robustness reruns and compare against synthetic scenario behavior.,
404,G03_robustness,S10,not_supported_by_current_product,research_only,real_data_rerun,real_data_robustness_rerun,missing_required_evidence,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,real_data_rerun_status=not_available_one_day_seed_only; dimension_status=not_registered_for_phase13_proxy_run; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,True,False,False,Support closure required first: Classify S10 as research-only/risk-filter-only or build a separate non-alpha registry path.,Collect/run multi-day real robustness reruns and compare against synthetic scenario behavior.,
405,G03_robustness,S11,not_supported_by_current_product,risk_filter_only,real_data_rerun,real_data_robustness_rerun,missing_required_evidence,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,real_data_rerun_status=not_available_one_day_seed_only; dimension_status=not_registered_for_phase13_proxy_run; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,True,False,False,Support closure required first: Classify S11 as research-only/risk-filter-only or build a separate non-alpha registry path.,Collect/run multi-day real robustness reruns and compare against synthetic scenario behavior.,
406,G05_realism,S03,partial_missing_required_features,priority,real_multi_day_realism_validation,real_multiday_realism_validation,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; holdout_acceptance_eligible_profiles=0; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,False,True,False,Support closure required first: Implement missing plan features for S03: explicit_depth_withdrawal_rate; aggressive_trade_flow; multi_level_sweep_labels.,Collect/run multi-day real realism validation and compare against synthetic/holdout envelopes.,
407,G05_realism,S04,partial_missing_required_features,priority,real_multi_day_realism_validation,real_multiday_realism_validation,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; holdout_acceptance_eligible_profiles=0; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,False,True,False,Support closure required first: Implement missing plan features for S04: aggressive_trade_imbalance; absorption_label; exhaustion_label.,Collect/run multi-day real realism validation and compare against synthetic/holdout envelopes.,
408,G05_realism,S06,partial_missing_required_features,priority,real_multi_day_realism_validation,real_multiday_realism_validation,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; holdout_acceptance_eligible_profiles=0; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,False,True,False,Support closure required first: Implement missing plan features for S06: signed_aggressive_flow; flow_reversal; replenishment_rate.,Collect/run multi-day real realism validation and compare against synthetic/holdout envelopes.,
409,G05_realism,S08,partial_missing_required_features,research,real_multi_day_realism_validation,real_multiday_realism_validation,missing_required_evidence,requires_feature_engineering,blocked_by_partial_strategy_support,holdout_profiles=15; holdout_acceptance_eligible_profiles=0; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,False,True,False,Support closure required first: Implement missing plan features for S08: sector_mapping; leader_labels; timestamp_skew_simulations; explicit_lead_lag_scenarios.,Collect/run multi-day real realism validation and compare against synthetic/holdout envelopes.,
410,G05_realism,S10,not_supported_by_current_product,research_only,real_multi_day_realism_validation,real_multiday_realism_validation,missing_required_evidence,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,holdout_profiles=15; holdout_acceptance_eligible_profiles=0; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,False,True,False,Support closure required first: Classify S10 as research-only/risk-filter-only or build a separate non-alpha registry path.,Collect/run multi-day real realism validation and compare against synthetic/holdout envelopes.,
411,G05_realism,S11,not_supported_by_current_product,risk_filter_only,real_multi_day_realism_validation,real_multiday_realism_validation,missing_required_evidence,requires_explicit_non_alpha_classification,blocked_by_unsupported_strategy_scope,holdout_profiles=15; holdout_acceptance_eligible_profiles=0; real_multiday_rows=0,1,32,620853,32,0,15,0,True,False,False,False,True,False,Support closure required first: Classify S11 as research-only/risk-filter-only or build a separate non-alpha registry path.,Collect/run multi-day real realism validation and compare against synthetic/holdout envelopes.,
