symbol,category,metric,real_value,synthetic_value,synthetic_to_real_ratio,lower_ratio_gate,upper_ratio_gate,calibration_gap,anchor_source,synthetic_source,gate_type,absolute_delta
BPCL,rewired received tick cadence distribution,gap_le_1s_fraction,0.3921183188243003,0.37558539225554055,0.957836893164464,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.016532926568759765
BRITANNIA,rewired received tick cadence,median_gap_ms,2000.0,5923.0,2.9615,0.5,2.0,True,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
BRITANNIA,rewired tail received tick cadence,p90_gap_ms,5923.0,5923.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
BRITANNIA,rewired tail received tick cadence,p95_gap_ms,7000.799999999999,7001.0,1.0000285681636385,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
BRITANNIA,rewired received tick cadence distribution,gap_le_1s_fraction,0.3456891495601173,0.32865715859239986,0.9507303281303728,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.01703199096771746
CIPLA,rewired received tick cadence,median_gap_ms,1378.0,5000.0,3.6284470246734397,0.5,2.0,True,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
CIPLA,rewired tail received tick cadence,p90_gap_ms,5000.0,5000.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
CIPLA,rewired tail received tick cadence,p95_gap_ms,5953.9,5954.0,1.0000167957137338,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
CIPLA,rewired received tick cadence distribution,gap_le_1s_fraction,0.4382368016401845,0.4224651104408123,0.9640110297895027,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.015771691199372218
DRREDDY,rewired received tick cadence,median_gap_ms,1250.0,4792.0,3.8336,0.5,2.0,True,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
DRREDDY,rewired tail received tick cadence,p90_gap_ms,4792.5,4792.0,0.9998956703182055,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
DRREDDY,rewired tail received tick cadence,p95_gap_ms,5750.0,5750.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
DRREDDY,rewired received tick cadence distribution,gap_le_1s_fraction,0.4612434725848564,0.4538550757705398,0.9839815688384461,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.007388396814316578
GOLDBEES,rewired received tick cadence,median_gap_ms,750.0,750.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
GOLDBEES,rewired tail received tick cadence,p90_gap_ms,3999.0,3999.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
GOLDBEES,rewired tail received tick cadence,p95_gap_ms,5250.0,5250.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
GOLDBEES,rewired received tick cadence distribution,gap_le_1s_fraction,0.6672162948593598,0.6570319240724762,0.9847360280836212,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.010184370786883612
HCLTECH,rewired received tick cadence,median_gap_ms,1000.0,1000.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
HCLTECH,rewired tail received tick cadence,p90_gap_ms,4500.0,4500.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
HCLTECH,rewired tail received tick cadence,p95_gap_ms,5324.849999999999,5325.0,1.0000281698076003,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
HCLTECH,rewired received tick cadence distribution,gap_le_1s_fraction,0.5206416314349664,0.500766261669804,0.9618252391565711,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.019875369765162465
HINDUNILVR,rewired received tick cadence,median_gap_ms,1000.0,1000.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
HINDUNILVR,rewired tail received tick cadence,p90_gap_ms,4750.0,4750.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
HINDUNILVR,rewired tail received tick cadence,p95_gap_ms,5859.449999999999,5859.0,0.9999232009830276,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
HINDUNILVR,rewired received tick cadence distribution,gap_le_1s_fraction,0.5779003348434114,0.5632261159957809,0.9746076996968575,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.014674218847630538
ICICIBANK,rewired received tick cadence,median_gap_ms,500.0,500.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ICICIBANK,rewired tail received tick cadence,p90_gap_ms,1001.0,1001.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ICICIBANK,rewired tail received tick cadence,p95_gap_ms,3403.0,3403.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ICICIBANK,rewired received tick cadence distribution,gap_le_1s_fraction,0.8969552609776305,0.8763807191717016,0.9770617970583017,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.02057454180592888
INFY,rewired received tick cadence,median_gap_ms,500.0,500.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
INFY,rewired tail received tick cadence,p90_gap_ms,2001.0,2001.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
INFY,rewired tail received tick cadence,p95_gap_ms,3922.15,3922.0,0.9999617556697219,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
INFY,rewired received tick cadence distribution,gap_le_1s_fraction,0.8290536342928142,0.8137897100562713,0.9815887373202784,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.01526392423654288
ITBEES,rewired received tick cadence,median_gap_ms,2001.0,5829.0,2.9130434782608696,0.5,2.0,True,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ITBEES,rewired tail received tick cadence,p90_gap_ms,5828.900000000001,5829.0,1.0000171558956235,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ITBEES,rewired tail received tick cadence,p95_gap_ms,6911.049999999997,6911.0,0.999992765209339,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ITBEES,rewired received tick cadence distribution,gap_le_1s_fraction,0.3066136458769359,0.29741554548252397,0.9700010077238906,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.009198100394411934
ITC,rewired received tick cadence,median_gap_ms,749.0,749.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ITC,rewired tail received tick cadence,p90_gap_ms,3752.800000000001,3753.0,1.0000532935408226,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ITC,rewired tail received tick cadence,p95_gap_ms,4815.399999999987,4815.0,0.9999169331727402,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ITC,rewired received tick cadence distribution,gap_le_1s_fraction,0.7275742916378715,0.7195435569585152,0.9889623166023666,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.008030734679356222
JUNIORBEES,rewired received tick cadence,median_gap_ms,999.0,999.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
JUNIORBEES,rewired tail received tick cadence,p90_gap_ms,3347.7000000000016,3348.0,1.0000896137646738,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
JUNIORBEES,rewired tail received tick cadence,p95_gap_ms,4511.0,4511.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
JUNIORBEES,rewired received tick cadence distribution,gap_le_1s_fraction,0.7607160253287871,0.7509945674725994,0.98722064800464,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.00972145785618772
KOTAKBANK,rewired received tick cadence,median_gap_ms,500.0,500.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
KOTAKBANK,rewired tail received tick cadence,p90_gap_ms,3000.0,3000.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
KOTAKBANK,rewired tail received tick cadence,p95_gap_ms,4051.2999999999993,4051.0,0.9999259496951598,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
KOTAKBANK,rewired received tick cadence distribution,gap_le_1s_fraction,0.8332975986277873,0.8136215846215276,0.9763877706612131,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.019676014006259734
LT,rewired received tick cadence,median_gap_ms,500.0,500.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
LT,rewired tail received tick cadence,p90_gap_ms,1001.0,1001.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
LT,rewired tail received tick cadence,p95_gap_ms,3367.0,3367.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
LT,rewired received tick cadence distribution,gap_le_1s_fraction,0.8857976338393387,0.8763903941589185,0.9893799223196769,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.009407239680420232
M&M,rewired received tick cadence,median_gap_ms,501.0,501.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
M&M,rewired tail received tick cadence,p90_gap_ms,1750.0,1750.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
M&M,rewired tail received tick cadence,p95_gap_ms,4285.449999999993,4285.0,0.9998949935246022,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
M&M,rewired received tick cadence distribution,gap_le_1s_fraction,0.8254338859055179,0.8137039274006375,0.9857893421809156,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.011729958504880456
MARUTI,rewired received tick cadence,median_gap_ms,683.0,683.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
MARUTI,rewired tail received tick cadence,p90_gap_ms,2502.0,2502.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
MARUTI,rewired tail received tick cadence,p95_gap_ms,4212.0,4212.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
MARUTI,rewired received tick cadence distribution,gap_le_1s_fraction,0.7746207746207746,0.7667905984042048,0.9898916005442752,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.007830176216569784
NESTLEIND,rewired received tick cadence,median_gap_ms,1251.0,5210.0,4.164668265387689,0.5,2.0,True,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
NESTLEIND,rewired tail received tick cadence,p90_gap_ms,5209.8,5210.0,1.000038389189604,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
NESTLEIND,rewired tail received tick cadence,p95_gap_ms,6232.4,6232.0,0.9999358192670561,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
NESTLEIND,rewired received tick cadence distribution,gap_le_1s_fraction,0.4375650364203954,0.4224594048710351,0.9654779740334477,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.015105631549360288
NIFTYBEES,rewired received tick cadence,median_gap_ms,749.0,749.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
NIFTYBEES,rewired tail received tick cadence,p90_gap_ms,2751.8,2752.0,1.0000726797005595,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
NIFTYBEES,rewired tail received tick cadence,p95_gap_ms,4467.049999999999,4467.0,0.9999888069307487,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
NIFTYBEES,rewired received tick cadence distribution,gap_le_1s_fraction,0.7907018248338018,0.7822735884517107,0.9893408158203472,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.008428236382091114
ONGC,rewired received tick cadence,median_gap_ms,750.0,750.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ONGC,rewired tail received tick cadence,p90_gap_ms,4001.0,4001.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ONGC,rewired tail received tick cadence,p95_gap_ms,5002.0,5002.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ONGC,rewired received tick cadence distribution,gap_le_1s_fraction,0.6639505316689782,0.6414103582930604,0.9660514265735153,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.02254017337591785
RELIANCE,rewired received tick cadence,median_gap_ms,500.0,500.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
RELIANCE,rewired tail received tick cadence,p90_gap_ms,1001.0,1001.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
RELIANCE,rewired tail received tick cadence,p95_gap_ms,2999.0,2999.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
RELIANCE,rewired received tick cadence distribution,gap_le_1s_fraction,0.8903781713738631,0.8763891689526209,0.9842886956677553,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.013989002421242236
SBIN,rewired received tick cadence,median_gap_ms,500.0,500.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
SBIN,rewired tail received tick cadence,p90_gap_ms,2000.0,2000.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
SBIN,rewired tail received tick cadence,p95_gap_ms,4257.699999999999,4258.0,1.0000704605773072,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
SBIN,rewired received tick cadence distribution,gap_le_1s_fraction,0.8250144908868423,0.8136961756616413,0.986281070999087,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.011318315225200992
SUNPHARMA,rewired received tick cadence,median_gap_ms,982.0,982.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
SUNPHARMA,rewired tail received tick cadence,p90_gap_ms,4577.0,4577.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
SUNPHARMA,rewired tail received tick cadence,p95_gap_ms,5483.999999999993,5484.0,1.0000000000000013,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
SUNPHARMA,rewired received tick cadence distribution,gap_le_1s_fraction,0.6000410705729345,0.5789114508286158,0.9647863774988875,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.021129619744318706
TCS,rewired received tick cadence,median_gap_ms,500.0,500.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
TCS,rewired tail received tick cadence,p90_gap_ms,2000.0,2000.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
TCS,rewired tail received tick cadence,p95_gap_ms,4250.699999999999,4251.0,1.0000705766109115,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
TCS,rewired received tick cadence distribution,gap_le_1s_fraction,0.8194144232658676,0.7981180090016522,0.9740102033116086,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.021296414264215358
TECHM,rewired received tick cadence,median_gap_ms,1238.5,4764.0,3.8465886152603956,0.5,2.0,True,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
TECHM,rewired tail received tick cadence,p90_gap_ms,4764.200000000001,4764.0,0.999958020234247,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
TECHM,rewired tail received tick cadence,p95_gap_ms,5806.099999999999,5806.0,0.9999827767348135,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
TECHM,rewired received tick cadence distribution,gap_le_1s_fraction,0.4718614718614718,0.45385326299855855,0.9618358142446517,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.018008208862913266
ULTRACEMCO,rewired received tick cadence,median_gap_ms,2000.0,5569.0,2.7845,0.5,2.0,True,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ULTRACEMCO,rewired tail received tick cadence,p90_gap_ms,5569.4,5569.0,0.9999281789779869,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ULTRACEMCO,rewired tail received tick cadence,p95_gap_ms,6772.599999999999,6773.0,1.0000590615125655,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ULTRACEMCO,rewired received tick cadence distribution,gap_le_1s_fraction,0.3112397684168497,0.29741475796079264,0.9555808355520271,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.013825010456057052
WIPRO,rewired received tick cadence,median_gap_ms,751.0,751.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
WIPRO,rewired tail received tick cadence,p90_gap_ms,4227.0,4227.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
WIPRO,rewired tail received tick cadence,p95_gap_ms,5142.199999999997,5142.0,0.9999611061413408,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
WIPRO,rewired received tick cadence distribution,gap_le_1s_fraction,0.6017467248908297,0.5945333925056043,0.9880126769505326,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.007213332385225368
HDFCBANK,rewired received tick cadence,median_gap_ms,500.0,500.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
HDFCBANK,rewired tail received tick cadence,p90_gap_ms,1000.0,500.0,0.5,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
HDFCBANK,rewired tail received tick cadence,p95_gap_ms,1250.0,1250.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
HDFCBANK,rewired received tick cadence distribution,gap_le_1s_fraction,0.9219645141554036,0.9372768782149496,1.016608409352472,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,0.015312364059546058
ADANIPORTS,median spread scale,median_spread_bps,2.207261891623943,2.2129860789349505,1.0025933430612513,0.25,4.0,False,phase106_existing_non_cadence_real_anchor,phase106_existing_synthetic_anchor_profile,ratio,
ADANIPORTS,tail spread scale,p90_spread_bps,3.8593258401394497,4.40100893129725,1.1403569207668216,0.25,4.0,False,phase106_existing_non_cadence_real_anchor,phase106_existing_synthetic_anchor_profile,ratio,
ADANIPORTS,displayed L1 depth scale,median_l1_depth,131.0,806.0,6.152671755725191,0.1,10.0,False,phase106_existing_non_cadence_real_anchor,phase106_existing_synthetic_anchor_profile,ratio,
ADANIPORTS,displayed L5 depth scale,median_l5_depth,1088.0,6851.0,6.296875,0.1,10.0,False,phase106_existing_non_cadence_real_anchor,phase106_existing_synthetic_anchor_profile,ratio,
ADANIPORTS,L1 imbalance scale,median_abs_l1_imbalance,0.6296296296296297,0.2128514056224899,0.3380581148121899,0.25,4.0,False,phase106_existing_non_cadence_real_anchor,phase106_existing_synthetic_anchor_profile,ratio,
