phase277_variant_id,redesign_family,feature_rule,scenario_rows,selected_event_rows,cost200_above12_scenario_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr,min_net_pnl_inr,best_scenario_id,best_initial_capital_inr,best_fixed_notional_inr,best_max_concurrent_positions,best_scheduled_event_rows,uses_top5,uses_levels_2_to_5,l1_only_variant,near_miss_under_12,material_clue,close_for_acceptance
P277_REPLENISH_WITHDRAW_GE_Q70,depth_replenishment_withdrawal,depth_replenish_withdraw_ratio >= 8.417774,6,384,0,-0.3784277710249591,2.153406608028296,4.496027101569071,142.73101909743082,-12.013580032538384,P271_P277_REPLENISH_WITHDRAW_GE_Q70_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,3,0,1,0,1,1,1
P277_REPLENISH_WITHDRAW_GE_Q80,depth_replenishment_withdrawal,depth_replenish_withdraw_ratio >= 10.699868,6,256,0,-0.3784277710249591,2.153406608028296,4.496027101569071,142.73101909743082,-12.013580032538384,P271_P277_REPLENISH_WITHDRAW_GE_Q80_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,3,0,1,0,1,1,1
P277_SPARSITY_PRESSURE_LE_Q70,spread_and_churn_sparsity,event_sparsity_pressure <= 825012.273327,6,384,0,-0.3784277710249591,2.153406608028296,4.496027101569071,142.73101909743082,-12.013580032538384,P271_P277_SPARSITY_PRESSURE_LE_Q70_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,3,1,0,0,1,1,1
P277_SPREAD_LE_Q70,spread_regime,avg_spread_bps <= 3.515855,6,400,0,-0.3784277710249591,2.153406608028296,4.496027101569071,142.73101909743082,-12.013580032538384,P271_P277_SPREAD_LE_Q70_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,3,0,0,0,1,1,1
P277_SPARSITY_PRESSURE_LE_Q60,spread_and_churn_sparsity,event_sparsity_pressure <= 1470251.984942,6,512,0,1.231324741732161,1.6753543354943934,4.238767858513251,134.56405900042066,39.08967434070353,P271_P277_SPARSITY_PRESSURE_LE_Q60_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,3,1,0,0,1,1,1
P277_SPREAD_LE_Q60,spread_regime,avg_spread_bps <= 4.195193,6,527,0,1.231324741732161,1.6753543354943934,4.238767858513251,134.56405900042066,39.08967434070353,P271_P277_SPREAD_LE_Q60_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,3,0,0,0,1,1,1
P277_CHURN_LE_Q70,event_sparsity,top5_churn_pressure <= 342736.393969,6,384,0,-1.1234039680761558,0.4979899805902348,4.238767858513251,134.56405900042066,-35.66361803416368,P271_P277_CHURN_LE_Q70_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,3,1,0,0,1,1,1
P277_BEYOND_L1_IMBALANCE_GE_Q90,levels_2_to_5_depth,avg_depth_beyond_l1_qty_imbalance >= 0.671965,6,128,0,2.067122183430357,2.408971144293381,4.134244366860714,131.24585291621315,65.62292645810658,P271_P277_BEYOND_L1_IMBALANCE_GE_Q90_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,3,0,1,0,1,1,1
P277_CHURN_LE_Q50,event_sparsity,top5_churn_pressure <= 610494.118466,6,640,0,1.385352770661341,1.4799597134175808,3.149133312347641,99.97248610627432,43.97945303686797,P271_P277_CHURN_LE_Q50_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,4,1,0,0,1,1,1
P277_SPREAD_LE_Q50,spread_regime,avg_spread_bps <= 4.915814,6,677,0,1.385352770661341,1.4799597134175808,3.149133312347641,99.97248610627432,43.97945303686797,P271_P277_SPREAD_LE_Q50_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,4,0,0,0,1,1,1
P277_REPLENISH_WITHDRAW_GE_Q50,depth_replenishment_withdrawal,depth_replenish_withdraw_ratio >= 5.126904,6,640,0,1.2705099203628936,2.6710468020969627,2.8010737634681377,88.92297661803612,40.33364826548869,P271_P277_REPLENISH_WITHDRAW_GE_Q50_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,4,0,1,0,1,1,1
P277_SPARSITY_PRESSURE_LE_Q50,spread_and_churn_sparsity,event_sparsity_pressure <= 2187162.832698,6,640,0,1.081296034850414,1.175902977606654,2.541019840725787,80.66729653097737,34.32685824921949,P271_P277_SPARSITY_PRESSURE_LE_Q50_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,4,1,0,0,1,1,1
P277_DEPTH_CONSENSUS_GE_Q90,top5_and_levels_2_to_5_consensus,depth_consensus_imbalance >= 0.630512,6,128,0,-8.164875472855568,-3.893226353801972,0.7568455305032495,24.0268422381984,-259.20239596366883,P271_P277_DEPTH_CONSENSUS_GE_Q90_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,4,1,1,0,1,1,1
P277_REPLENISH_WITHDRAW_GE_Q60,depth_replenishment_withdrawal,depth_replenish_withdraw_ratio >= 5.629741,6,512,0,0.0854427571440544,0.1800496999002942,0.549313285313068,17.43851699406565,2.712468480763633,P271_P277_REPLENISH_WITHDRAW_GE_Q60_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,4,0,1,0,1,1,1
P277_CHURN_LE_Q90,event_sparsity,top5_churn_pressure <= 49389.356500,6,128,0,-1.8725171969284968,-0.430484640079062,0.0752893183061244,2.3901370890833142,-59.44499037868244,P271_P277_CHURN_LE_Q90_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,2,1,0,0,1,1,1
P277_WEIGHTED_DEPTH_GE_Q70,levels_2_to_5_depth,avg_level_weighted_depth_imbalance >= 0.607609,6,384,0,-8.702729611737498,-5.136090545809201,-0.7847257399404519,-24.91192825207784,-276.27713053134914,P271_P277_WEIGHTED_DEPTH_GE_Q70_CAP100000_NOT50000_CONC1_COST200,100000.0,50000.0,1,4,0,1,0,0,0,1
P277_WEIGHTED_DEPTH_GE_Q80,levels_2_to_5_depth,avg_level_weighted_depth_imbalance >= 0.634034,6,256,0,-8.702729611737498,-5.136090545809201,-0.7847257399404519,-24.91192825207784,-276.27713053134914,P271_P277_WEIGHTED_DEPTH_GE_Q80_CAP100000_NOT50000_CONC1_COST200,100000.0,50000.0,1,4,0,1,0,0,0,1
P277_SPREAD_LE_Q90,spread_regime,avg_spread_bps <= 2.059387,6,153,0,-5.439176489748987,-3.807030483851711,-1.0874422389772174,-34.52197584054658,-172.67226951584087,P271_P277_SPREAD_LE_Q90_CAP100000_NOT50000_CONC1_COST200,100000.0,50000.0,1,2,0,0,0,0,0,1
P277_CONSENSUS_SPREAD_Q60,consensus_spread_filter,depth_consensus_imbalance >= 0.590831 and avg_spread_bps <= 4.195193,6,73,0,-6.884341897571069,-2.3735898569539646,-1.3050087651223945,-41.42884968642521,-218.5505364308276,P271_P277_CONSENSUS_SPREAD_Q60_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,2,1,1,0,0,0,1
P277_CONSENSUS_SPREAD_Q70,consensus_spread_filter,depth_consensus_imbalance >= 0.603199 and avg_spread_bps <= 3.515855,6,36,0,-6.884341897571069,-2.3735898569539646,-1.3050087651223945,-41.42884968642521,-218.5505364308276,P271_P277_CONSENSUS_SPREAD_Q70_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,2,1,1,0,0,0,1
P277_BEYOND_L1_IMBALANCE_GE_Q50,levels_2_to_5_depth,avg_depth_beyond_l1_qty_imbalance >= 0.569244,6,640,0,-13.615855277573504,-4.1094535503048055,-1.4109794618228595,-44.79299878802729,-432.2493738912223,P271_P277_BEYOND_L1_IMBALANCE_GE_Q50_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,4,0,1,0,0,0,1
P277_BEYOND_L1_IMBALANCE_GE_Q60,levels_2_to_5_depth,avg_depth_beyond_l1_qty_imbalance >= 0.585786,6,512,0,-13.615855277573504,-4.1094535503048055,-1.4109794618228595,-44.79299878802729,-432.2493738912223,P271_P277_BEYOND_L1_IMBALANCE_GE_Q60_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,4,0,1,0,0,0,1
P277_TOP5_IMBALANCE_GE_Q90,top5_imbalance,avg_cum_top5_qty_imbalance >= 0.648963,6,128,0,-10.950209486002375,-3.8980352228735335,-2.3209657027458785,-73.68145088082153,-347.6256979683294,P271_P277_TOP5_IMBALANCE_GE_Q90_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,5,1,0,0,0,0,1
P277_BEYOND_L1_IMBALANCE_GE_Q70,levels_2_to_5_depth,avg_depth_beyond_l1_qty_imbalance >= 0.606370,6,384,0,-13.615855277573504,-4.681298307515489,-2.554668976244226,-81.10060242045162,-432.2493738912223,P271_P277_BEYOND_L1_IMBALANCE_GE_Q70_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,4,0,1,0,0,0,1
P277_BEYOND_L1_IMBALANCE_GE_Q80,levels_2_to_5_depth,avg_depth_beyond_l1_qty_imbalance >= 0.634331,6,256,0,-13.615855277573504,-4.681298307515489,-2.554668976244226,-81.10060242045162,-432.2493738912223,P271_P277_BEYOND_L1_IMBALANCE_GE_Q80_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,4,0,1,0,0,0,1
P277_BASE_ALL_COST200_EVENTS,baseline,all cost200 anchor events,6,1280,0,-14.0597678410495,-4.90419287815392,-2.77850183578309,-88.20640748517748,-446.3418362237937,P271_P277_BASE_ALL_COST200_EVENTS_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,4,1,1,0,0,0,1
P277_TOP5_IMBALANCE_GE_Q80,top5_imbalance,avg_cum_top5_qty_imbalance >= 0.627174,6,256,0,-13.615855277573504,-5.677629523215902,-4.547331407645053,-144.3597272268271,-432.2493738912223,P271_P277_TOP5_IMBALANCE_GE_Q80_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,5,1,0,0,0,0,1
P277_WEIGHTED_DEPTH_GE_Q60,levels_2_to_5_depth,avg_level_weighted_depth_imbalance >= 0.582283,6,512,0,-11.479924324188524,-7.743130880556125,-5.739962162094263,-182.22102101886549,-364.44204203773097,P271_P277_WEIGHTED_DEPTH_GE_Q60_CAP100000_NOT50000_CONC1_COST200,100000.0,50000.0,1,4,0,1,0,0,0,1
P277_DEPTH_CONSENSUS_GE_Q60,top5_and_levels_2_to_5_consensus,depth_consensus_imbalance >= 0.590831,6,512,0,-13.615855277573504,-6.346470691217207,-5.885013743647662,-186.8258331316718,-432.2493738912223,P271_P277_DEPTH_CONSENSUS_GE_Q60_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,4,1,1,0,0,0,1
P277_DEPTH_CONSENSUS_GE_Q70,top5_and_levels_2_to_5_consensus,depth_consensus_imbalance >= 0.603199,6,384,0,-13.615855277573504,-6.396552228542422,-5.985176818298093,-190.00561327930453,-432.2493738912223,P271_P277_DEPTH_CONSENSUS_GE_Q70_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,4,1,1,0,0,0,1
P277_WEIGHTED_DEPTH_GE_Q50,levels_2_to_5_depth,avg_level_weighted_depth_imbalance >= 0.557013,6,640,0,-14.291373939052589,-6.684230021956749,-6.222773074387204,-197.54835156784776,-453.6944107635742,P271_P277_WEIGHTED_DEPTH_GE_Q50_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,4,0,1,0,0,0,1
P277_DEPTH_CONSENSUS_GE_Q50,top5_and_levels_2_to_5_consensus,depth_consensus_imbalance >= 0.575120,6,640,0,-13.615855277573504,-7.419255130075267,-6.807927638786752,-216.1246869456112,-432.2493738912223,P271_P277_DEPTH_CONSENSUS_GE_Q50_CAP100000_NOT50000_CONC1_COST200,100000.0,50000.0,1,4,1,1,0,0,0,1
P277_TOP5_IMBALANCE_GE_Q50,top5_imbalance,avg_cum_top5_qty_imbalance >= 0.568664,6,640,0,-13.615855277573504,-7.519418204725698,-6.807927638786752,-216.1246869456112,-432.2493738912223,P271_P277_TOP5_IMBALANCE_GE_Q50_CAP100000_NOT50000_CONC1_COST200,100000.0,50000.0,1,4,1,0,0,0,0,1
P277_TOP5_IMBALANCE_GE_Q60,top5_imbalance,avg_cum_top5_qty_imbalance >= 0.586461,6,512,0,-13.615855277573504,-9.741369784548144,-6.807927638786752,-216.1246869456112,-432.2493738912223,P271_P277_TOP5_IMBALANCE_GE_Q60_CAP100000_NOT50000_CONC1_COST200,100000.0,50000.0,1,4,1,0,0,0,0,1
P277_TOP5_IMBALANCE_GE_Q70,top5_imbalance,avg_cum_top5_qty_imbalance >= 0.607049,6,384,0,-13.615855277573504,-9.741369784548144,-6.807927638786752,-216.1246869456112,-432.2493738912223,P271_P277_TOP5_IMBALANCE_GE_Q70_CAP100000_NOT50000_CONC1_COST200,100000.0,50000.0,1,4,1,0,0,0,0,1
P277_DEPTH_CONSENSUS_GE_Q80,top5_and_levels_2_to_5_consensus,depth_consensus_imbalance >= 0.616025,6,256,0,-13.615855277573504,-10.019723824073848,-6.807927638786752,-216.1246869456112,-432.2493738912223,P271_P277_DEPTH_CONSENSUS_GE_Q80_CAP100000_NOT50000_CONC1_COST200,100000.0,50000.0,1,4,1,1,0,0,0,1
P277_CONSENSUS_SPREAD_Q80,consensus_spread_filter,depth_consensus_imbalance >= 0.616025 and avg_spread_bps <= 2.559387,6,3,0,-18.35824506018952,-17.595728981570648,-9.17912253009476,-109.2752682154138,-218.5505364308276,P271_P277_CONSENSUS_SPREAD_Q80_CAP100000_NOT50000_CONC1_COST200,100000.0,50000.0,1,2,1,1,0,0,0,1
