strategy_id,strategy_name,redesign_priority,contract_requirement_id,evidence_domain,required_artifact_or_test,current_evidence_status,acceptance_requirement_met,replay_expansion_allowed,blocking_reason,source_phase30_decision,scanner_evidence_status,available_evidence_source,scanner_note,scanner_acceptance_requirement_met,scanner_replay_expansion_allowed
S04,Trade-flow plus depth confirmation,medium,S04_05_charged_retail_replay_pass,execution_economics,Phase 29-style replay must become positive in retail and stressed profiles.,missing_or_proxy_only,False,False,Current S04 proxy replay is negative after costs.,reject_current_proxy_label_execution_form,negative_execution_evidence_available,outputs/phase30/strategy_rejection_or_redesign_overall_summary.csv; outputs/phase25; outputs/phase26; outputs/phase27; outputs/phase29,"Current realistic-positive rows=0 and candidate rows=0; this is blocking evidence, not satisfaction.",False,False
S05,Microprice entry/exit filter,medium,S05_01_new_microprice_trigger,signal_design,A microprice trigger that explicitly requires forecast edge greater than spread plus Zerodha charge hurdle.,missing_or_proxy_only,False,False,Standalone microprice proxy did not survive realistic execution.,reject_current_signal_form_redesign_required,not_started_new_thesis_required,,No new post-Phase-30 cost-aware signal thesis artifact exists for this requirement.,False,False
S05,Microprice entry/exit filter,medium,S05_02_event_level_microprice_markouts,feature_engineering,Event-level markout curves for 1/2/3/5 event horizons and short clock horizons.,missing_or_proxy_only,False,False,Current edge scan did not clear cost hurdle.,reject_current_signal_form_redesign_required,partial_proxy_available_not_acceptance,outputs/phase1/phase1_feature_summary.csv,"Phase 1 has 620853 received-delta rows with 349538 withdrawal and 344771 replenishment proxy rows, but not acceptance-grade redesigned features.",False,False
S05,Microprice entry/exit filter,medium,S05_03_zero_latency_edge_to_retail_bridge,execution_economics,Demonstrate that the tiny Phase 26 zero-latency controls survive realistic latency/slippage.,missing_or_proxy_only,False,False,Zero-latency evidence alone is not tradable.,reject_current_signal_form_redesign_required,negative_execution_evidence_available,outputs/phase30/strategy_rejection_or_redesign_overall_summary.csv; outputs/phase25; outputs/phase26; outputs/phase27; outputs/phase29,"Current realistic-positive rows=0 and candidate rows=0; this is blocking evidence, not satisfaction.",False,False
S05,Microprice entry/exit filter,medium,S05_04_multi_day_real_holdout,real_data,Multi-day real tick validation across symbols with different spread regimes.,missing_or_proxy_only,False,False,Needed before retesting as a filter or entry signal.,reject_current_signal_form_redesign_required,one_day_real_sample_available_multiday_missing,outputs/stage_a2/stage_a2_readiness_summary.csv,1 current sample day is available; minimum required complete days is 5.,False,False
S06,Absorption and exhaustion reversal,medium,S06_01_acceptance_grade_absorption_label,label_engineering,Absorption/replenishment labels with signed flow and visible-depth recovery.,missing_or_proxy_only,False,False,Phase 28 absorption labels are proxy-only.,reject_current_proxy_label_execution_form,proxy_available_not_acceptance,outputs/phase28/strategy_support_upgrade_summary.csv; outputs/phase28/event_label_summary.csv,"Phase 28 has 71244 weak proxy label rows for S06, but acceptance_ready is false.",False,False
S06,Absorption and exhaustion reversal,medium,S06_02_flow_reversal_label,label_engineering,Flow-reversal labels separating replenishment from stale-book updates.,missing_or_proxy_only,False,False,Current labels cannot prove participant absorption.,reject_current_proxy_label_execution_form,proxy_available_not_acceptance,outputs/phase28/strategy_support_upgrade_summary.csv; outputs/phase28/event_label_summary.csv,"Phase 28 has 71244 weak proxy label rows for S06, but acceptance_ready is false.",False,False
S06,Absorption and exhaustion reversal,medium,S06_03_broker_fill_cost_reconciliation,broker_evidence,Broker/exchange fill and cost reconciliation for reversal entries.,missing_or_proxy_only,False,False,Current replay uses model fills/costs.,reject_current_proxy_label_execution_form,external_evidence_missing,outputs/phase20_m01/broker_evidence_import_checklist.csv; outputs/phase16/broker_reconciliation_readiness.csv,4 broker/external evidence files are still missing; formula costs exist but broker fills/contract notes do not.,False,False
S06,Absorption and exhaustion reversal,medium,S06_04_charged_retail_replay_pass,execution_economics,Phase 29-style replay must become positive in retail and stressed profiles.,missing_or_proxy_only,False,False,Current S06 proxy replay is negative after costs.,reject_current_proxy_label_execution_form,negative_execution_evidence_available,outputs/phase30/strategy_rejection_or_redesign_overall_summary.csv; outputs/phase25; outputs/phase26; outputs/phase27; outputs/phase29,"Current realistic-positive rows=0 and candidate rows=0; this is blocking evidence, not satisfaction.",False,False
S06,Absorption and exhaustion reversal,medium,S06_05_multi_day_real_holdout,real_data,Multi-day validation across high- and low-liquidity names.,missing_or_proxy_only,False,False,Needed to test whether absorption generalizes.,reject_current_proxy_label_execution_form,one_day_real_sample_available_multiday_missing,outputs/stage_a2/stage_a2_readiness_summary.csv,1 current sample day is available; minimum required complete days is 5.,False,False
S07,Mean reversion after imbalance,medium,S07_01_new_mean_reversion_trigger,signal_design,A mean-reversion trigger that avoids catching broad market moves and clears the fee/spread hurdle.,missing_or_proxy_only,False,False,Current S07 realistic variants all failed after costs.,reject_current_signal_form_redesign_required,not_started_new_thesis_required,,No new post-Phase-30 cost-aware signal thesis artifact exists for this requirement.,False,False
S07,Mean reversion after imbalance,medium,S07_02_replenishment_and_imbalance_features,feature_engineering,"Event-level replenishment, imbalance persistence and spread-regime features.",missing_or_proxy_only,False,False,Current imbalance proxy is too weak.,reject_current_signal_form_redesign_required,partial_proxy_available_not_acceptance,outputs/phase1/phase1_feature_summary.csv,"Phase 1 has 620853 received-delta rows with 349538 withdrawal and 344771 replenishment proxy rows, but not acceptance-grade redesigned features.",False,False
S07,Mean reversion after imbalance,medium,S07_03_zero_latency_edge_to_retail_bridge,execution_economics,Demonstrate that Phase 26 zero-latency positives survive realistic latency/slippage/costs.,missing_or_proxy_only,False,False,Frictionless edge is not tradable.,reject_current_signal_form_redesign_required,negative_execution_evidence_available,outputs/phase30/strategy_rejection_or_redesign_overall_summary.csv; outputs/phase25; outputs/phase26; outputs/phase27; outputs/phase29,"Current realistic-positive rows=0 and candidate rows=0; this is blocking evidence, not satisfaction.",False,False
S07,Mean reversion after imbalance,medium,S07_04_negative_control_falsification,robustness,"Must beat inverted, lagged and shuffled imbalance controls after costs.",missing_or_proxy_only,False,False,Needed before further compute expansion.,reject_current_signal_form_redesign_required,proxy_robustness_available_new_control_missing,outputs/phase13; outputs/phase16; outputs/phase31/redesign_evidence_contract_ledger.csv,"Earlier robustness/proxy artifacts exist, but the Phase 31 strategy-specific negative controls have not been generated.",False,False
S07,Mean reversion after imbalance,medium,S07_05_multi_day_real_holdout,real_data,Multi-day real tick validation across spread/liquidity regimes.,missing_or_proxy_only,False,False,Current evidence is one-day/proxy-limited.,reject_current_signal_form_redesign_required,one_day_real_sample_available_multiday_missing,outputs/stage_a2/stage_a2_readiness_summary.csv,1 current sample day is available; minimum required complete days is 5.,False,False
S08,Cross-ticker/index lead-lag OFI,medium,S08_01_lead_lag_causal_label,label_engineering,"Causal lead/lag labels with timestamp-skew, simultaneous-shock and self-impact controls.",missing_or_proxy_only,False,False,Phase 28 lead-lag labels are weak 5s bucket proxies.,reject_current_proxy_label_execution_form,proxy_available_not_acceptance,outputs/phase28/strategy_support_upgrade_summary.csv; outputs/phase28/event_label_summary.csv,"Phase 28 has 132988 weak proxy label rows for S08, but acceptance_ready is false.",False,False
S08,Cross-ticker/index lead-lag OFI,medium,S08_02_sector_and_index_mapping,feature_engineering,Explicit sector/index/leader mapping for cross-symbol OFI tests.,missing_or_proxy_only,False,False,Current proxy uses broad ex-self market flow.,reject_current_proxy_label_execution_form,proxy_available_not_acceptance,outputs/phase28/feature_label_catalog.csv,"Phase 28 feature-label proxy exists, but its catalog states acceptance blockers remain.",False,False
S08,Cross-ticker/index lead-lag OFI,medium,S08_03_out_of_sample_lead_lag_stability,robustness,Lead-lag sign and magnitude must be stable out-of-sample and across symbol groups.,missing_or_proxy_only,False,False,Single-day bucket correlation is not enough.,reject_current_proxy_label_execution_form,proxy_robustness_available_new_control_missing,outputs/phase13; outputs/phase16; outputs/phase31/redesign_evidence_contract_ledger.csv,"Earlier robustness/proxy artifacts exist, but the Phase 31 strategy-specific negative controls have not been generated.",False,False
S08,Cross-ticker/index lead-lag OFI,medium,S08_04_charged_retail_replay_pass,execution_economics,Phase 29-style replay must become positive in retail and stressed profiles.,missing_or_proxy_only,False,False,Current S08 proxy replay is negative after costs.,reject_current_proxy_label_execution_form,negative_execution_evidence_available,outputs/phase30/strategy_rejection_or_redesign_overall_summary.csv; outputs/phase25; outputs/phase26; outputs/phase27; outputs/phase29,"Current realistic-positive rows=0 and candidate rows=0; this is blocking evidence, not satisfaction.",False,False
S08,Cross-ticker/index lead-lag OFI,medium,S08_05_multi_day_real_holdout,real_data,Multi-day real tick validation with clock-skew audit.,missing_or_proxy_only,False,False,Needed before any lead-lag promotion.,reject_current_proxy_label_execution_form,one_day_real_sample_available_multiday_missing,outputs/stage_a2/stage_a2_readiness_summary.csv,1 current sample day is available; minimum required complete days is 5.,False,False
S09,Pure queue-imbalance scalping,medium,S09_01_queue_imbalance_hurdle_trigger,signal_design,"A queue-imbalance trigger that requires expected markout above spread, slippage and Zerodha charges.",missing_or_proxy_only,False,False,Current queue-imbalance proxy is a benchmark and failed realistic costs.,reject_current_signal_form_redesign_required,not_started_new_thesis_required,,No new post-Phase-30 cost-aware signal thesis artifact exists for this requirement.,False,False
S09,Pure queue-imbalance scalping,medium,S09_02_event_level_queue_markouts,feature_engineering,Event-level L1/L5 queue markouts and spread-state conditioning.,missing_or_proxy_only,False,False,Accuracy alone is insufficient for scalping.,reject_current_signal_form_redesign_required,partial_proxy_available_not_acceptance,outputs/phase1/phase1_feature_summary.csv,"Phase 1 has 620853 received-delta rows with 349538 withdrawal and 344771 replenishment proxy rows, but not acceptance-grade redesigned features.",False,False
S09,Pure queue-imbalance scalping,medium,S09_03_zero_latency_edge_to_retail_bridge,execution_economics,Demonstrate that Phase 26 zero-latency positives survive realistic latency/slippage/costs.,missing_or_proxy_only,False,False,Frictionless edge is not tradable.,reject_current_signal_form_redesign_required,negative_execution_evidence_available,outputs/phase30/strategy_rejection_or_redesign_overall_summary.csv; outputs/phase25; outputs/phase26; outputs/phase27; outputs/phase29,"Current realistic-positive rows=0 and candidate rows=0; this is blocking evidence, not satisfaction.",False,False
S09,Pure queue-imbalance scalping,medium,S09_04_negative_control_falsification,robustness,"Must beat random-side, inverted-side and stale-book controls after costs.",missing_or_proxy_only,False,False,Needed before queue-imbalance is more than a benchmark.,reject_current_signal_form_redesign_required,proxy_robustness_available_new_control_missing,outputs/phase13; outputs/phase16; outputs/phase31/redesign_evidence_contract_ledger.csv,"Earlier robustness/proxy artifacts exist, but the Phase 31 strategy-specific negative controls have not been generated.",False,False
S09,Pure queue-imbalance scalping,medium,S09_05_multi_day_real_holdout,real_data,Multi-day real tick validation across queue/spread regimes.,missing_or_proxy_only,False,False,One-day/proxy evidence is insufficient.,reject_current_signal_form_redesign_required,one_day_real_sample_available_multiday_missing,outputs/stage_a2/stage_a2_readiness_summary.csv,1 current sample day is available; minimum required complete days is 5.,False,False
