symbol,rows,months,dates,regimes,feed_profiles,market_shock_row_fraction,symbol_shock_row_fraction,median_gap_ms,p90_gap_ms,p95_gap_ms,gap_le_1s_fraction,median_spread_bps,p90_spread_bps,median_l1_depth,median_l5_depth,median_abs_l1_imbalance,one_tick_return_std
HCLTECH,752960,12,252,18,5,0.1267318317042074,0.0,500.0,692.0,792.0,0.9920779324266893,2.4614021377273834,4.886984413028124,810.0,6885.0,0.29396325459317585,0.00012517490967594333
HDFCBANK,752880,12,252,18,5,0.1268090532355754,0.0,500.0,692.0,792.0,0.9919482520454787,1.2229947472378389,3.037187321565245,808.0,6868.0,0.5723684210526315,0.00012154440469128039
HINDUNILVR,752728,12,252,18,5,0.12693031214462594,0.06343858604967531,500.0,442440.0,442540.0,0.875,1.8845367867474232,4.2064182932462035,802.0,6816.0,0.2924731182795699,0.00010566452121244453
ICICIBANK,753208,12,252,18,5,0.1269450138607131,0.0,500.0,692.0,792.0,0.992150906522501,1.4257708073414228,3.5390337729992956,810.0,6884.0,0.3687707641196013,0.00012014139561304032
INFY,752888,12,252,18,5,0.12668019678889822,0.0,500.0,692.0,792.0,0.9920970981075539,1.8159778813898175,4.5082512268078645,810.0,6885.0,0.75,0.0001241827718092192
ITBEES,753280,12,252,18,5,0.12657179269328803,0.05534197111299915,500.0,446258.0,446358.0,0.875,3.114294612271914,6.203993510623756,193832.0,1647329.0,0.7403360384043891,0.0001024943476622879
ITC,753264,12,252,18,5,0.12672316744195927,0.05147730410586461,500.0,443821.0,443921.0,0.875,1.7860370481312915,5.329117409339602,13371.0,113657.0,0.5099049128367671,0.00010529686627195734
JUNIORBEES,753024,12,252,18,5,0.12696540880503146,0.04356833248342682,500.0,4750.0,4850.0,0.8763386027536971,3.965496597859059,6.039543590404753,798.0,6784.0,0.6977401129943502,9.608197023518793e-05
KOTAKBANK,752912,12,252,18,5,0.12667615870114968,0.0355738784877914,500.0,6375.0,6475.0,0.8763388018785728,2.636235371530523,4.033517996749986,808.0,6870.0,0.6022727272727273,0.00012056015152363438
LT,752656,12,252,18,5,0.12647477732191068,0.0,500.0,3751.0,3851.0,0.876339257243681,1.503406154569857,3.5468157511556373,56.0,481.0,0.45714285714285713,0.00011417436418234592
M&M,752944,12,252,18,5,0.1266707749845938,0.0,500.0,692.0,792.0,0.9920272955226418,1.274666794133636,3.4667370519337988,50.0,424.0,0.1891891891891892,0.0001123359792219271
MARUTI,753352,12,252,18,5,0.12664464951310941,0.0,500.0,692.0,792.0,0.9922718729093438,2.9304888055327627,4.369440569621128,44.0,375.0,0.5,0.00011112515189126683
NESTLEIND,752944,12,252,18,5,0.1268301493869398,0.019847425572154104,500.0,443604.0,443704.0,0.875,2.7965378860960577,4.877530436661228,802.0,6817.0,0.4119601328903654,0.00010029785415425016
NIFTYBEES,753320,12,252,18,5,0.12674560611692243,0.0,500.0,692.0,792.0,0.9921361440025487,1.4588647552141822,3.625647540649523,798.0,6783.0,0.6209150326797386,8.835800929659555e-05
ONGC,752920,12,252,18,5,0.1269510704988578,0.019805557031291506,500.0,4017.0,4117.0,0.8763387876534028,2.3810969475528583,4.0281844006151335,810.0,6884.0,0.19090909090909092,0.00012229845544236903
RELIANCE,752784,12,252,18,5,0.12665518927076028,0.0,500.0,692.0,792.0,0.9923205062806861,1.5419962683676283,3.0728869580922824,810.0,6885.0,0.44358974358974357,0.00012023252017786321
SBIN,752920,12,252,18,5,0.12662168623492537,0.0,500.0,692.0,792.0,0.9920775115550124,1.928849561789929,3.8302069269279215,808.0,6868.0,0.19047619047619047,0.00012049890049613508
SUNPHARMA,753288,12,252,18,5,0.1266235490277291,0.019827741846411995,500.0,436729.0,436829.0,0.875,2.0816203332667054,4.14542675225222,802.0,6816.0,0.2948717948717949,9.591121528261899e-05
TCS,753312,12,252,18,5,0.12676819166560468,0.0,500.0,692.0,792.0,0.9922382757741812,1.8392622719031582,3.6555135425361587,810.0,6885.0,0.05221932114882506,0.00012317317483342413
TECHM,752536,12,252,18,5,0.12689891247727683,0.0,500.0,3500.0,3600.0,0.8763394708027257,3.931596768883616,5.3053564204757215,810.0,6886.0,0.5,0.00012406303861786332
ULTRACEMCO,753416,12,252,18,5,0.12686749418647866,0.0,500.0,450515.0,450615.0,0.875,2.5894213506421764,5.155801888312441,33.0,282.0,0.42105263157894735,0.00011679380082615461
WIPRO,753376,12,252,18,5,0.12660875844199976,0.0,500.0,692.0,792.0,0.9920477955230854,2.2480902473344417,3.909118577527213,810.0,6885.0,0.384180790960452,0.00012120047541358952
