candidate_id,feature_id,feature_family,feature_column,polarity,horizon_events,threshold_quantile,threshold_value,candidate_scope
F02_mlofi_qty_event_h2_q50,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,2,0.5,1.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h2_q70,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,2,0.7,2.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h2_q85,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,2,0.85,4.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h2_q95,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,2,0.95,6.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h3_q50,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,3,0.5,1.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h3_q70,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,3,0.7,2.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h3_q85,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,3,0.85,4.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h3_q95,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,3,0.95,6.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h5_q50,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,5,0.5,1.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h5_q70,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,5,0.7,2.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h5_q85,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,5,0.85,4.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F02_mlofi_qty_event_h5_q95,F02_mlofi_qty_event,order_flow_imbalance,mlofi_qty_event,1,5,0.95,6.0,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h1_q50,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,1,0.5,0.1111111111111111,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h1_q70,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,1,0.7,0.21621621621621623,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h1_q85,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,1,0.85,0.3242506811989101,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h1_q95,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,1,0.95,0.33152173913043476,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h2_q50,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,2,0.5,0.1111111111111111,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h2_q70,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,2,0.7,0.21621621621621623,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h2_q85,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,2,0.85,0.3242506811989101,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h2_q95,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,2,0.95,0.33152173913043476,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h3_q50,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,3,0.5,0.1111111111111111,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h3_q70,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,3,0.7,0.21621621621621623,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h3_q85,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,3,0.85,0.3242506811989101,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h3_q95,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,3,0.95,0.33152173913043476,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h5_q50,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,5,0.5,0.1111111111111111,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h5_q70,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,5,0.7,0.21621621621621623,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h5_q85,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,5,0.85,0.3242506811989101,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F03_l1_imbalance_h5_q95,F03_l1_imbalance,top_of_book_imbalance,l1_imbalance,1,5,0.95,0.33152173913043476,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h1_q50,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,1,0.5,0.08047411104179664,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h1_q70,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,1,0.7,0.2140221402214022,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h1_q85,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,1,0.85,0.3244304791830322,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h1_q95,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,1,0.95,0.33124183006535945,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h2_q50,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,2,0.5,0.08047411104179664,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h2_q70,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,2,0.7,0.2140221402214022,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h2_q85,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,2,0.85,0.3244304791830322,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h2_q95,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,2,0.95,0.33124183006535945,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h3_q50,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,3,0.5,0.08047411104179664,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h3_q70,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,3,0.7,0.2140221402214022,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h3_q85,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,3,0.85,0.3244304791830322,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h3_q95,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,3,0.95,0.33124183006535945,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h5_q50,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,5,0.5,0.08047411104179664,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h5_q70,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,5,0.7,0.2140221402214022,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h5_q85,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,5,0.85,0.3244304791830322,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F04_l5_imbalance_h5_q95,F04_l5_imbalance,depth_imbalance,l5_imbalance,1,5,0.95,0.33124183006535945,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h1_q50,F05_microprice_dev,microprice_pressure,microprice_dev,1,1,0.5,2.4252125092626667e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h1_q70,F05_microprice_dev,microprice_pressure,microprice_dev,1,1,0.7,3.3406671329129574e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h1_q85,F05_microprice_dev,microprice_pressure,microprice_dev,1,1,0.85,6.506886845799212e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h1_q95,F05_microprice_dev,microprice_pressure,microprice_dev,1,1,0.95,6.646416112941604e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h2_q50,F05_microprice_dev,microprice_pressure,microprice_dev,1,2,0.5,2.4252125092626667e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h2_q70,F05_microprice_dev,microprice_pressure,microprice_dev,1,2,0.7,3.3406671329129574e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h2_q85,F05_microprice_dev,microprice_pressure,microprice_dev,1,2,0.85,6.506886845799212e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h2_q95,F05_microprice_dev,microprice_pressure,microprice_dev,1,2,0.95,6.646416112941604e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h3_q50,F05_microprice_dev,microprice_pressure,microprice_dev,1,3,0.5,2.4252125092626667e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h3_q70,F05_microprice_dev,microprice_pressure,microprice_dev,1,3,0.7,3.3406671329129574e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h3_q85,F05_microprice_dev,microprice_pressure,microprice_dev,1,3,0.85,6.506886845799212e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h3_q95,F05_microprice_dev,microprice_pressure,microprice_dev,1,3,0.95,6.646416112941604e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h5_q50,F05_microprice_dev,microprice_pressure,microprice_dev,1,5,0.5,2.4252125092626667e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h5_q70,F05_microprice_dev,microprice_pressure,microprice_dev,1,5,0.7,3.3406671329129574e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h5_q85,F05_microprice_dev,microprice_pressure,microprice_dev,1,5,0.85,6.506886845799212e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F05_microprice_dev_h5_q95,F05_microprice_dev,microprice_pressure,microprice_dev,1,5,0.95,6.646416112941604e-05,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h1_q50,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,1,0.5,0.08047411104179664,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h1_q70,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,1,0.7,0.2140221402214022,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h1_q85,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,1,0.85,0.3244304791830322,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h1_q95,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,1,0.95,0.33124183006535945,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h2_q50,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,2,0.5,0.08047411104179664,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h2_q70,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,2,0.7,0.2140221402214022,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h2_q85,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,2,0.85,0.3244304791830322,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h2_q95,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,2,0.95,0.33124183006535945,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h3_q50,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,3,0.5,0.08047411104179664,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h3_q70,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,3,0.7,0.2140221402214022,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h3_q85,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,3,0.85,0.3244304791830322,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h3_q95,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,3,0.95,0.33124183006535945,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h5_q50,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,5,0.5,0.08047411104179664,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h5_q70,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,5,0.7,0.2140221402214022,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h5_q85,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,5,0.85,0.3244304791830322,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F06_l5_mean_reversion_h5_q95,F06_l5_mean_reversion,depth_mean_reversion,l5_imbalance,-1,5,0.95,0.33124183006535945,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h1_q50,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,1,0.5,0.1111111111111111,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h1_q70,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,1,0.7,0.21621621621621623,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h1_q85,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,1,0.85,0.3242506811989101,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h1_q95,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,1,0.95,0.33152173913043476,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h2_q50,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,2,0.5,0.1111111111111111,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h2_q70,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,2,0.7,0.21621621621621623,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h2_q85,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,2,0.85,0.3242506811989101,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h2_q95,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,2,0.95,0.33152173913043476,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h3_q50,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,3,0.5,0.1111111111111111,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h3_q70,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,3,0.7,0.21621621621621623,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h3_q85,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,3,0.85,0.3242506811989101,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h3_q95,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,3,0.95,0.33152173913043476,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h5_q50,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,5,0.5,0.1111111111111111,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h5_q70,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,5,0.7,0.21621621621621623,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h5_q85,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,5,0.85,0.3242506811989101,phase27_feature_edge_cost_hurdle_scan_not_acceptance
F07_l1_mean_reversion_h5_q95,F07_l1_mean_reversion,top_of_book_mean_reversion,l1_imbalance,-1,5,0.95,0.33152173913043476,phase27_feature_edge_cost_hurdle_scan_not_acceptance
