retest_trade_month,trade_date,global_time_bucket_id,symbols_present,fresh_symbols,total_rows,min_first_timestamp_seconds,max_last_timestamp_seconds,max_staleness_seconds,median_staleness_seconds,expected_symbols,coverage_fraction,fresh_fraction,coverage_pass
2026-09,2026-09-01,357930,32,32,1656482,1789650000.0,1789654999.0,1.0,1.0,32,1.0,1.0,True
2026-09,2026-09-01,357931,32,32,981680,1789655000.0,1789659999.0,1.0,1.0,32,1.0,1.0,True
2026-10,2026-10-01,356942,32,32,932352,1784711500.0,1784714999.0,1.0,1.0,32,1.0,1.0,True
2026-10,2026-10-01,356943,32,32,2052958,1784715000.0,1784719999.0,1.0,1.0,32,1.0,1.0,True
2026-10,2026-10-01,356944,32,32,2036522,1784720000.0,1784724999.0,1.0,1.0,32,1.0,1.0,True
2026-10,2026-10-01,356945,32,32,1702704,1784725000.0,1784729999.0,1.0,1.0,32,1.0,1.0,True
2026-10,2026-10-01,356946,32,32,964920,1784730000.0,1784734999.0,1.0,1.0,32,1.0,1.0,True
2026-11,2026-11-02,357460,32,32,190350,1787303500.0,1787304999.0,1.0,1.0,32,1.0,1.0,True
2026-11,2026-11-02,357461,32,32,1965260,1787305000.0,1787309999.0,1.0,1.0,32,1.0,1.0,True
2026-11,2026-11-02,357462,32,32,2046696,1787310000.0,1787314999.0,1.0,1.0,32,1.0,1.0,True
2026-11,2026-11-02,357463,32,32,2034796,1787315000.0,1787319999.0,1.0,1.0,32,1.0,1.0,True
2026-11,2026-11-02,357464,32,32,1054826,1787320000.0,1787324999.0,1.0,1.0,32,1.0,1.0,True
2026-12,2026-12-01,357996,32,32,769236,1789982000.0,1789984999.0,1.0,1.0,32,1.0,1.0,True
2026-12,2026-12-01,357997,32,32,2007292,1789985000.0,1789989999.0,1.0,1.0,32,1.0,1.0,True
2026-12,2026-12-01,357998,32,32,2086104,1789990000.0,1789994999.0,1.0,1.0,32,1.0,1.0,True
2026-12,2026-12-01,357999,32,32,1757986,1789995000.0,1789999999.0,1.0,1.0,32,1.0,1.0,True
2026-12,2026-12-01,358000,32,32,1016446,1790000000.0,1790004999.0,1.0,1.0,32,1.0,1.0,True
