symbol,trade_date,rows,sampled_files,first_ts_ms,last_ts_ms,window_seconds,median_gap_ms,p90_gap_ms,p95_gap_ms,gap_le_1s_fraction,median_spread_bps,p90_spread_bps,median_l1_depth,median_l5_depth,median_abs_l1_imbalance,one_tick_return_std
ITC,2026-07-13,369,49,1783914093966.0,1783936351711.0,22257.745,1254.5,443821.10000000003,452334.55,0.44715447154471544,1.7871503887056162,3.9255538375853747,5559.0,113657.0,0.5893918609967993,0.00035381346381810726
JUNIORBEES,2026-07-13,525,49,1783914310962.0,1783936351961.0,22040.999,999.0,4750.0,450119.39999999997,0.7028571428571428,3.6007767389819154,5.535779804703658,417.0,8912.0,0.8632375189107413,0.0002105588049157738
KOTAKBANK,2026-07-13,487,49,1783914093966.0,1783936348961.0,22254.995,750.0,6375.0,450484.0,0.6406570841889117,2.623294858342674,3.96432111000931,1719.0,25525.0,0.6708571428571428,0.0004387580939967396
LT,2026-07-13,595,49,1783914093966.0,1783936351460.0,22257.494,749.0,3750.7,448220.10000000003,0.7109243697478992,1.2775471095496647,2.8017982450552315,106.0,481.0,0.5492957746478874,0.0003339160897955575
M&M,2026-07-13,840,49,1783914093966.0,1783936350460.0,22256.494,500.0,1250.0,439145.5999999999,0.8392857142857143,1.2672263583071004,2.8643906801859527,47.0,447.0,0.6765475152571927,0.00042012921386494836
MARUTI,2026-07-13,826,49,1783914093966.0,1783936350460.0,22256.494,749.0,1250.0,439089.19999999995,0.8256658595641646,2.911530203192002,4.362050163576881,40.0,411.0,0.592948717948718,0.00042889714699494066
NESTLEIND,2026-07-13,388,49,1783914093966.0,1783936348961.0,22254.995,1000.0,443603.8,452660.6,0.5412371134020618,2.4406884964413553,4.188189306157591,349.0,2850.0,0.6190476190476191,0.0006511569426619996
NIFTYBEES,2026-07-13,736,49,1783914310962.0,1783936349211.0,22038.249,501.0,2320.200000000001,443529.39999999997,0.8084239130434783,1.4575665925723724,3.6411964983767007,2941.0,51029.5,0.8034544371649791,0.0001498300794340265
ONGC,2026-07-13,560,49,1783914093966.0,1783936351210.0,22257.244,749.0,4016.999999999999,449102.60000000003,0.7035714285714286,1.6212053661894394,3.6357025995274963,1042.0,7000.5,0.6120805369127517,0.0005115545132356549
RELIANCE,2026-07-13,798,49,1783914093966.0,1783936351961.0,22257.995,500.0,2142.399999999999,440431.39999999997,0.8220551378446115,0.7711586658948066,3.0788177339908476,986.0,11881.5,0.7167036670286846,0.000201419896687226
SBIN,2026-07-13,864,49,1783914093966.0,1783936351961.0,22257.995,500.0,1750.0,437687.3,0.8483796296296297,1.9254837777996103,3.844972239728642,1048.0,13743.5,0.6489188956738625,0.0003895484406278971
SUNPHARMA,2026-07-13,451,49,1783914093966.0,1783936351460.0,22257.494,751.0,436729.0,450896.64999999997,0.6075388026607539,1.5569452733734048,3.1282586027106833,113.0,986.0,0.6103896103896104,0.0003448151930137831
TCS,2026-07-13,1153,49,1783914093966.0,1783936352210.0,22258.244,499.0,1000.0,1001.0,0.9323503902862099,1.8300773207672187,3.214444927692387,231.0,2997.0,0.6826086956521739,0.0006492641320056243
TECHM,2026-07-13,635,49,1783914093966.0,1783936351460.0,22257.494,501.0,3499.7,448353.8,0.75748031496063,3.28655470470306,4.671653778297445,137.0,1436.0,0.6256684491978609,0.0008667501064612425
ULTRACEMCO,2026-07-13,253,49,1783914093966.0,1783936348961.0,22254.995,2140.5,450515.3,455826.05,0.308300395256917,2.584981258885873,4.316112046268722,30.0,309.0,0.6666666666666666,0.00044190390590710937
WIPRO,2026-07-13,626,49,1783914093966.0,1783936350711.0,22256.745,501.0,3459.200000000001,447213.2,0.7539936102236422,2.2278537569527366,3.4081226924170562,1427.0,14713.0,0.7019619685292031,0.0005066272743296041
