quarter_profile,profile_description,seed,scenario_day,trade_date,weekday,regime_code,regime_family,intraday_template,vol_multiplier,event_rate_multiplier,spread_multiplier,depth_multiplier,correlation_multiplier,is_gap_day,is_market_shock_day,event_cluster,shock_symbol_count,shock_symbols,observed_anchor_regime_code,observed_anchor_evidence,evidence_label,experiment_segment,segment_purpose,shuffle_allowed
Q-A,typical mix,4101,11,2026-07-28,Tuesday,D08,Gap-up continuation,gap_open_then_path,1.35,1.2,1.05,0.95,1.2,True,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,12,2026-07-29,Wednesday,D08,Gap-up continuation,gap_open_then_path,1.35,1.2,1.05,0.95,1.2,True,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,13,2026-07-30,Thursday,D02,Low-volatility sideways,normal_open_lull_close,0.65,0.8,0.85,1.05,0.8,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,14,2026-07-31,Friday,D03,High-volatility sideways,normal_open_lull_close,1.45,1.15,1.2,0.95,1.05,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,15,2026-08-03,Monday,D15,Rotation day,dispersion_rotation,1.15,1.1,1.05,1.0,0.65,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,16,2026-08-04,Tuesday,D10,Gap-down continuation,gap_open_then_path,1.55,1.3,1.25,0.85,1.3,True,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,17,2026-08-05,Wednesday,D02,Low-volatility sideways,normal_open_lull_close,0.65,0.8,0.85,1.05,0.8,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,18,2026-08-06,Thursday,D17,Stock-specific dispersion,dispersion_rotation,1.25,1.15,1.1,0.95,0.55,False,False,False,5,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,19,2026-08-07,Friday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,True,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,20,2026-08-10,Monday,D03,High-volatility sideways,normal_open_lull_close,1.45,1.15,1.2,0.95,1.05,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,21,2026-08-11,Tuesday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,22,2026-08-12,Wednesday,D06,Gradual bearish trend,trend_with_lulls,1.15,1.1,1.05,0.95,1.15,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,23,2026-08-13,Thursday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,24,2026-08-14,Friday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,25,2026-08-17,Monday,D05,Strong rally,trend_with_lulls,1.65,1.35,1.1,0.9,1.35,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,26,2026-08-18,Tuesday,D03,High-volatility sideways,normal_open_lull_close,1.45,1.15,1.2,0.95,1.05,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,27,2026-08-19,Wednesday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,28,2026-08-20,Thursday,D12,Event day,event_cluster,1.6,1.35,1.25,0.85,1.2,False,False,True,2,ADANIPORTS|BAJAJ-AUTO,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,29,2026-08-21,Friday,D06,Gradual bearish trend,trend_with_lulls,1.15,1.1,1.05,0.95,1.15,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,30,2026-08-24,Monday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-A,typical mix,4101,31,2026-08-25,Tuesday,D02,Low-volatility sideways,normal_open_lull_close,0.65,0.8,0.85,1.05,0.8,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,32,2026-08-26,Wednesday,D20,Shock-and-normalize,shock_liquidity_recovery,2.0,1.45,1.6,0.7,1.55,False,True,False,8,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,33,2026-08-27,Thursday,D19,Trend reversal day,breakout_reversal,1.5,1.25,1.15,0.9,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,34,2026-08-28,Friday,D19,Trend reversal day,breakout_reversal,1.5,1.25,1.15,0.9,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,35,2026-08-31,Monday,D02,Low-volatility sideways,normal_open_lull_close,0.65,0.8,0.85,1.05,0.8,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,36,2026-09-01,Tuesday,D12,Event day,event_cluster,1.6,1.35,1.25,0.85,1.2,False,False,True,2,ADANIPORTS|BAJAJ-AUTO,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,37,2026-09-02,Wednesday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,38,2026-09-03,Thursday,D18,False-breakout day,breakout_reversal,1.4,1.2,1.15,0.9,0.85,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,39,2026-09-04,Friday,D13,Liquidity-stressed,liquidity_stress,1.35,0.8,2.0,0.5,0.9,False,True,False,10,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,40,2026-09-07,Monday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,41,2026-09-08,Tuesday,D18,False-breakout day,breakout_reversal,1.4,1.2,1.15,0.9,0.85,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,42,2026-09-09,Wednesday,D07,Sell-off/panic,shock_liquidity_recovery,2.2,1.55,1.75,0.65,1.7,False,True,False,17,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR|ITBEES|ITC|JUNIORBEES|KOTAKBANK|NESTLEIND|ONGC|SUNPHARMA,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,43,2026-09-10,Thursday,D06,Gradual bearish trend,trend_with_lulls,1.15,1.1,1.05,0.95,1.15,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,44,2026-09-11,Friday,D11,Gap-down recovery,gap_open_then_path,1.5,1.25,1.2,0.9,1.2,True,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,45,2026-09-14,Monday,D09,Gap-up fade,gap_open_then_path,1.45,1.2,1.15,0.9,1.1,True,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-A,typical mix,4101,46,2026-09-15,Tuesday,D17,Stock-specific dispersion,dispersion_rotation,1.25,1.15,1.1,0.95,0.55,False,False,False,2,ADANIPORTS|BAJAJ-AUTO,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,47,2026-09-16,Wednesday,D05,Strong rally,trend_with_lulls,1.65,1.35,1.1,0.9,1.35,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,48,2026-09-17,Thursday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,49,2026-09-18,Friday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,50,2026-09-21,Monday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,51,2026-09-22,Tuesday,D18,False-breakout day,breakout_reversal,1.4,1.2,1.15,0.9,0.85,True,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,52,2026-09-23,Wednesday,D07,Sell-off/panic,shock_liquidity_recovery,2.2,1.55,1.75,0.65,1.7,False,True,False,14,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES|HINDUNILVR|ITBEES|ITC|JUNIORBEES|KOTAKBANK,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,53,2026-09-24,Thursday,D02,Low-volatility sideways,normal_open_lull_close,0.65,0.8,0.85,1.05,0.8,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,54,2026-09-25,Friday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,55,2026-09-28,Monday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,56,2026-09-29,Tuesday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,57,2026-09-30,Wednesday,D03,High-volatility sideways,normal_open_lull_close,1.45,1.15,1.2,0.95,1.05,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,58,2026-10-01,Thursday,D02,Low-volatility sideways,normal_open_lull_close,0.65,0.8,0.85,1.05,0.8,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,59,2026-10-02,Friday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,60,2026-10-05,Monday,D06,Gradual bearish trend,trend_with_lulls,1.15,1.1,1.05,0.95,1.15,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,61,2026-10-06,Tuesday,D12,Event day,event_cluster,1.6,1.35,1.25,0.85,1.2,False,False,True,5,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,62,2026-10-07,Wednesday,D06,Gradual bearish trend,trend_with_lulls,1.15,1.1,1.05,0.95,1.15,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-A,typical mix,4101,63,2026-10-08,Thursday,D12,Event day,event_cluster,1.6,1.35,1.25,0.85,1.2,False,True,True,2,ADANIPORTS|BAJAJ-AUTO,D04,one_day_candidate_not_promotable,synthetic_scenario_design,untouched_test,final quarter evaluation,False
Q-B,bullish/high-momentum,4102,1,2026-07-14,Tuesday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,2,2026-07-15,Wednesday,D05,Strong rally,trend_with_lulls,1.65,1.35,1.1,0.9,1.35,False,True,False,1,ADANIPORTS,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,3,2026-07-16,Thursday,D07,Sell-off/panic,shock_liquidity_recovery,2.2,1.55,1.75,0.65,1.7,False,True,False,9,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY|GOLDBEES,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,4,2026-07-17,Friday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,5,2026-07-20,Monday,D13,Liquidity-stressed,liquidity_stress,1.35,0.8,2.0,0.5,0.9,False,False,False,8,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA|CIPLA|DRREDDY,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,6,2026-07-21,Tuesday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,7,2026-07-22,Wednesday,D02,Low-volatility sideways,normal_open_lull_close,0.65,0.8,0.85,1.05,0.8,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,8,2026-07-23,Thursday,D05,Strong rally,trend_with_lulls,1.65,1.35,1.1,0.9,1.35,False,True,False,1,ADANIPORTS,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,9,2026-07-24,Friday,D05,Strong rally,trend_with_lulls,1.65,1.35,1.1,0.9,1.35,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,10,2026-07-27,Monday,D15,Rotation day,dispersion_rotation,1.15,1.1,1.05,1.0,0.65,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,11,2026-07-28,Tuesday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,12,2026-07-29,Wednesday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,13,2026-07-30,Thursday,D05,Strong rally,trend_with_lulls,1.65,1.35,1.1,0.9,1.35,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,14,2026-07-31,Friday,D18,False-breakout day,breakout_reversal,1.4,1.2,1.15,0.9,0.85,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,15,2026-08-03,Monday,D08,Gap-up continuation,gap_open_then_path,1.35,1.2,1.05,0.95,1.2,True,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,16,2026-08-04,Tuesday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,17,2026-08-05,Wednesday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,18,2026-08-06,Thursday,D05,Strong rally,trend_with_lulls,1.65,1.35,1.1,0.9,1.35,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,19,2026-08-07,Friday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,20,2026-08-10,Monday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,21,2026-08-11,Tuesday,D06,Gradual bearish trend,trend_with_lulls,1.15,1.1,1.05,0.95,1.15,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,22,2026-08-12,Wednesday,D12,Event day,event_cluster,1.6,1.35,1.25,0.85,1.2,True,False,True,6,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL|BRITANNIA,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,23,2026-08-13,Thursday,D12,Event day,event_cluster,1.6,1.35,1.25,0.85,1.2,False,False,True,3,ADANIPORTS|BAJAJ-AUTO|BANKBEES,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,24,2026-08-14,Friday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,25,2026-08-17,Monday,D15,Rotation day,dispersion_rotation,1.15,1.1,1.05,1.0,0.65,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,26,2026-08-18,Tuesday,D19,Trend reversal day,breakout_reversal,1.5,1.25,1.15,0.9,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,27,2026-08-19,Wednesday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,28,2026-08-20,Thursday,D12,Event day,event_cluster,1.6,1.35,1.25,0.85,1.2,False,False,True,2,ADANIPORTS|BAJAJ-AUTO,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,29,2026-08-21,Friday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,True,False,3,ADANIPORTS|BAJAJ-AUTO|BANKBEES,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,30,2026-08-24,Monday,D12,Event day,event_cluster,1.6,1.35,1.25,0.85,1.2,False,False,True,5,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL,D04,one_day_candidate_not_promotable,synthetic_scenario_design,calibration_development,feature construction and rough thresholds,False
Q-B,bullish/high-momentum,4102,31,2026-08-25,Tuesday,D08,Gap-up continuation,gap_open_then_path,1.35,1.2,1.05,0.95,1.2,True,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-B,bullish/high-momentum,4102,32,2026-08-26,Wednesday,D09,Gap-up fade,gap_open_then_path,1.45,1.2,1.15,0.9,1.1,True,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-B,bullish/high-momentum,4102,33,2026-08-27,Thursday,D12,Event day,event_cluster,1.6,1.35,1.25,0.85,1.2,False,False,True,5,ADANIPORTS|BAJAJ-AUTO|BANKBEES|BHARTIARTL|BPCL,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-B,bullish/high-momentum,4102,34,2026-08-28,Friday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-B,bullish/high-momentum,4102,35,2026-08-31,Monday,D08,Gap-up continuation,gap_open_then_path,1.35,1.2,1.05,0.95,1.2,True,True,False,1,ADANIPORTS,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-B,bullish/high-momentum,4102,36,2026-09-01,Tuesday,D04,Gradual bullish trend,trend_with_lulls,1.1,1.1,1.0,1.0,1.1,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-B,bullish/high-momentum,4102,37,2026-09-02,Wednesday,D03,High-volatility sideways,normal_open_lull_close,1.45,1.15,1.2,0.95,1.05,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
Q-B,bullish/high-momentum,4102,38,2026-09-03,Thursday,D01,Normal balanced,normal_open_lull_close,1.0,1.0,1.0,1.0,1.0,False,False,False,0,,D04,one_day_candidate_not_promotable,synthetic_scenario_design,validation,model/threshold selection,False
