strategy_id,robustness_requirement,required_threshold,observed_value,current_evidence_status,acceptance_requirement_met,blocking_gap,evidence_source,required_next_evidence,acceptance_eligible_now
S02,walk_forward_coverage,48 walk-forward windows run,0 walk-forward windows run,design_available_not_run,False,Walk-forward design exists but no walk-forward windows have been executed.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute registered walk-forward windows and preserve train/test leakage checks.,False
S03,execution_profile_robustness,all deployable/stress execution profiles positive and evaluated,3 profiles; all_profiles_positive=False,multi_profile_proxy_not_acceptance,False,Current multi-profile proxy does not show positive results across all execution profiles.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run full strategy registry across deployable and stressed execution profiles with acceptance-grade fills/costs.,False
S03,full_validation_seed_coverage,30 required full-validation seeds,9 initial-engineering proxy seeds,initial_engineering_seed_proxy_only,False,Only initial-engineering seed proxy coverage is complete; full required-seed execution is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute all required full-validation seeds from outputs/phase13/seed_plan.csv.,False
S03,holdout_generator_strategy_rerun,holdout-generator profiles rerun as strategy evidence,2 holdout profiles present as proxy,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,Holdout-generator profiles exist as realism/proxy evidence but strategy reruns are not acceptance-grade.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run strategies on holdout-generator outputs and compare against calibration/development results.,False
S03,negative_control_rejection,all interpretable negative controls rejected or degraded,18/27 negative-control rows passed proxy criterion,proxy_negative_controls_available,False,Negative-control evidence is proxy-only or incomplete.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run mandatory negative controls under full experiment execution and require rejection/degradation before promotion.,False
S03,parameter_neighborhood_smoothness,6 predeclared parameter sets evaluated smoothly,1 parameter set(s) run,design_available_single_parameter_proxy_run,False,Only one/sparse parameter-set proxy evidence exists; parameter-neighborhood smoothness is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute the full predeclared parameter grid and summarize neighborhood smoothness without final-test reuse.,False
S03,real_data_rerun,multi-day real-data rerun evidence available,not_available_one_day_seed_only,not_available_one_day_seed_only,False,Current evidence is one-day seed/synthetic only; multi-day real rerun is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,"Collect and run multiple real market days, then compare stability against synthetic scenarios.",False
S03,registered_for_alpha_parameter_proxy_grid,strategy registered in Phase 13 proxy experiment grid,True,registered_proxy,True,,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Register strategy in the applicable alpha-parameter experiment grid or classify it as non-alpha/risk-only before robustness acceptance.,False
S03,walk_forward_coverage,48 walk-forward windows run,0 walk-forward windows run,design_available_not_run,False,Walk-forward design exists but no walk-forward windows have been executed.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute registered walk-forward windows and preserve train/test leakage checks.,False
S04,execution_profile_robustness,all deployable/stress execution profiles positive and evaluated,3 profiles; all_profiles_positive=False,multi_profile_proxy_not_acceptance,False,Current multi-profile proxy does not show positive results across all execution profiles.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run full strategy registry across deployable and stressed execution profiles with acceptance-grade fills/costs.,False
S04,full_validation_seed_coverage,30 required full-validation seeds,9 initial-engineering proxy seeds,initial_engineering_seed_proxy_only,False,Only initial-engineering seed proxy coverage is complete; full required-seed execution is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute all required full-validation seeds from outputs/phase13/seed_plan.csv.,False
S04,holdout_generator_strategy_rerun,holdout-generator profiles rerun as strategy evidence,2 holdout profiles present as proxy,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,Holdout-generator profiles exist as realism/proxy evidence but strategy reruns are not acceptance-grade.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run strategies on holdout-generator outputs and compare against calibration/development results.,False
S04,negative_control_rejection,all interpretable negative controls rejected or degraded,0/27 negative-control rows passed proxy criterion,proxy_negative_controls_available,False,Negative-control evidence is proxy-only or incomplete.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run mandatory negative controls under full experiment execution and require rejection/degradation before promotion.,False
S04,parameter_neighborhood_smoothness,4 predeclared parameter sets evaluated smoothly,1 parameter set(s) run,design_available_single_parameter_proxy_run,False,Only one/sparse parameter-set proxy evidence exists; parameter-neighborhood smoothness is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute the full predeclared parameter grid and summarize neighborhood smoothness without final-test reuse.,False
S04,real_data_rerun,multi-day real-data rerun evidence available,not_available_one_day_seed_only,not_available_one_day_seed_only,False,Current evidence is one-day seed/synthetic only; multi-day real rerun is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,"Collect and run multiple real market days, then compare stability against synthetic scenarios.",False
S04,registered_for_alpha_parameter_proxy_grid,strategy registered in Phase 13 proxy experiment grid,True,registered_proxy,True,,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Register strategy in the applicable alpha-parameter experiment grid or classify it as non-alpha/risk-only before robustness acceptance.,False
S04,walk_forward_coverage,48 walk-forward windows run,0 walk-forward windows run,design_available_not_run,False,Walk-forward design exists but no walk-forward windows have been executed.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute registered walk-forward windows and preserve train/test leakage checks.,False
S05,execution_profile_robustness,all deployable/stress execution profiles positive and evaluated,3 profiles; all_profiles_positive=False,multi_profile_proxy_not_acceptance,False,Current multi-profile proxy does not show positive results across all execution profiles.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run full strategy registry across deployable and stressed execution profiles with acceptance-grade fills/costs.,False
S05,full_validation_seed_coverage,30 required full-validation seeds,9 initial-engineering proxy seeds,initial_engineering_seed_proxy_only,False,Only initial-engineering seed proxy coverage is complete; full required-seed execution is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute all required full-validation seeds from outputs/phase13/seed_plan.csv.,False
S05,holdout_generator_strategy_rerun,holdout-generator profiles rerun as strategy evidence,2 holdout profiles present as proxy,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,Holdout-generator profiles exist as realism/proxy evidence but strategy reruns are not acceptance-grade.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run strategies on holdout-generator outputs and compare against calibration/development results.,False
S05,negative_control_rejection,all interpretable negative controls rejected or degraded,0/27 negative-control rows passed proxy criterion,proxy_negative_controls_available,False,Negative-control evidence is proxy-only or incomplete.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run mandatory negative controls under full experiment execution and require rejection/degradation before promotion.,False
S05,parameter_neighborhood_smoothness,3 predeclared parameter sets evaluated smoothly,1 parameter set(s) run,design_available_single_parameter_proxy_run,False,Only one/sparse parameter-set proxy evidence exists; parameter-neighborhood smoothness is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute the full predeclared parameter grid and summarize neighborhood smoothness without final-test reuse.,False
S05,real_data_rerun,multi-day real-data rerun evidence available,not_available_one_day_seed_only,not_available_one_day_seed_only,False,Current evidence is one-day seed/synthetic only; multi-day real rerun is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,"Collect and run multiple real market days, then compare stability against synthetic scenarios.",False
S05,registered_for_alpha_parameter_proxy_grid,strategy registered in Phase 13 proxy experiment grid,True,registered_proxy,True,,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Register strategy in the applicable alpha-parameter experiment grid or classify it as non-alpha/risk-only before robustness acceptance.,False
S05,walk_forward_coverage,48 walk-forward windows run,0 walk-forward windows run,design_available_not_run,False,Walk-forward design exists but no walk-forward windows have been executed.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute registered walk-forward windows and preserve train/test leakage checks.,False
S06,execution_profile_robustness,all deployable/stress execution profiles positive and evaluated,3 profiles; all_profiles_positive=False,multi_profile_proxy_not_acceptance,False,Current multi-profile proxy does not show positive results across all execution profiles.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run full strategy registry across deployable and stressed execution profiles with acceptance-grade fills/costs.,False
S06,full_validation_seed_coverage,30 required full-validation seeds,9 initial-engineering proxy seeds,initial_engineering_seed_proxy_only,False,Only initial-engineering seed proxy coverage is complete; full required-seed execution is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute all required full-validation seeds from outputs/phase13/seed_plan.csv.,False
S06,holdout_generator_strategy_rerun,holdout-generator profiles rerun as strategy evidence,2 holdout profiles present as proxy,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,Holdout-generator profiles exist as realism/proxy evidence but strategy reruns are not acceptance-grade.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run strategies on holdout-generator outputs and compare against calibration/development results.,False
S06,negative_control_rejection,all interpretable negative controls rejected or degraded,0/27 negative-control rows passed proxy criterion,proxy_negative_controls_available,False,Negative-control evidence is proxy-only or incomplete.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run mandatory negative controls under full experiment execution and require rejection/degradation before promotion.,False
S06,parameter_neighborhood_smoothness,4 predeclared parameter sets evaluated smoothly,1 parameter set(s) run,design_available_single_parameter_proxy_run,False,Only one/sparse parameter-set proxy evidence exists; parameter-neighborhood smoothness is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute the full predeclared parameter grid and summarize neighborhood smoothness without final-test reuse.,False
S06,real_data_rerun,multi-day real-data rerun evidence available,not_available_one_day_seed_only,not_available_one_day_seed_only,False,Current evidence is one-day seed/synthetic only; multi-day real rerun is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,"Collect and run multiple real market days, then compare stability against synthetic scenarios.",False
S06,registered_for_alpha_parameter_proxy_grid,strategy registered in Phase 13 proxy experiment grid,True,registered_proxy,True,,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Register strategy in the applicable alpha-parameter experiment grid or classify it as non-alpha/risk-only before robustness acceptance.,False
S06,walk_forward_coverage,48 walk-forward windows run,0 walk-forward windows run,design_available_not_run,False,Walk-forward design exists but no walk-forward windows have been executed.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute registered walk-forward windows and preserve train/test leakage checks.,False
S07,execution_profile_robustness,all deployable/stress execution profiles positive and evaluated,3 profiles; all_profiles_positive=False,multi_profile_proxy_not_acceptance,False,Current multi-profile proxy does not show positive results across all execution profiles.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run full strategy registry across deployable and stressed execution profiles with acceptance-grade fills/costs.,False
S07,full_validation_seed_coverage,30 required full-validation seeds,9 initial-engineering proxy seeds,initial_engineering_seed_proxy_only,False,Only initial-engineering seed proxy coverage is complete; full required-seed execution is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute all required full-validation seeds from outputs/phase13/seed_plan.csv.,False
S07,holdout_generator_strategy_rerun,holdout-generator profiles rerun as strategy evidence,2 holdout profiles present as proxy,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,Holdout-generator profiles exist as realism/proxy evidence but strategy reruns are not acceptance-grade.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run strategies on holdout-generator outputs and compare against calibration/development results.,False
S07,negative_control_rejection,all interpretable negative controls rejected or degraded,0/27 negative-control rows passed proxy criterion,proxy_negative_controls_available,False,Negative-control evidence is proxy-only or incomplete.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run mandatory negative controls under full experiment execution and require rejection/degradation before promotion.,False
S07,parameter_neighborhood_smoothness,4 predeclared parameter sets evaluated smoothly,1 parameter set(s) run,design_available_single_parameter_proxy_run,False,Only one/sparse parameter-set proxy evidence exists; parameter-neighborhood smoothness is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute the full predeclared parameter grid and summarize neighborhood smoothness without final-test reuse.,False
S07,real_data_rerun,multi-day real-data rerun evidence available,not_available_one_day_seed_only,not_available_one_day_seed_only,False,Current evidence is one-day seed/synthetic only; multi-day real rerun is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,"Collect and run multiple real market days, then compare stability against synthetic scenarios.",False
S07,registered_for_alpha_parameter_proxy_grid,strategy registered in Phase 13 proxy experiment grid,True,registered_proxy,True,,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Register strategy in the applicable alpha-parameter experiment grid or classify it as non-alpha/risk-only before robustness acceptance.,False
S07,walk_forward_coverage,48 walk-forward windows run,0 walk-forward windows run,design_available_not_run,False,Walk-forward design exists but no walk-forward windows have been executed.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute registered walk-forward windows and preserve train/test leakage checks.,False
S08,execution_profile_robustness,all deployable/stress execution profiles positive and evaluated,3 profiles; all_profiles_positive=False,multi_profile_proxy_not_acceptance,False,Current multi-profile proxy does not show positive results across all execution profiles.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run full strategy registry across deployable and stressed execution profiles with acceptance-grade fills/costs.,False
S08,full_validation_seed_coverage,30 required full-validation seeds,9 initial-engineering proxy seeds,initial_engineering_seed_proxy_only,False,Only initial-engineering seed proxy coverage is complete; full required-seed execution is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute all required full-validation seeds from outputs/phase13/seed_plan.csv.,False
S08,holdout_generator_strategy_rerun,holdout-generator profiles rerun as strategy evidence,2 holdout profiles present as proxy,holdout_profiles_present_as_proxy_not_rerun_acceptance,False,Holdout-generator profiles exist as realism/proxy evidence but strategy reruns are not acceptance-grade.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run strategies on holdout-generator outputs and compare against calibration/development results.,False
S08,negative_control_rejection,all interpretable negative controls rejected or degraded,0/27 negative-control rows passed proxy criterion,proxy_negative_controls_available,False,Negative-control evidence is proxy-only or incomplete.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run mandatory negative controls under full experiment execution and require rejection/degradation before promotion.,False
S08,parameter_neighborhood_smoothness,9 predeclared parameter sets evaluated smoothly,1 parameter set(s) run,design_available_single_parameter_proxy_run,False,Only one/sparse parameter-set proxy evidence exists; parameter-neighborhood smoothness is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute the full predeclared parameter grid and summarize neighborhood smoothness without final-test reuse.,False
S08,real_data_rerun,multi-day real-data rerun evidence available,not_available_one_day_seed_only,not_available_one_day_seed_only,False,Current evidence is one-day seed/synthetic only; multi-day real rerun is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,"Collect and run multiple real market days, then compare stability against synthetic scenarios.",False
S08,registered_for_alpha_parameter_proxy_grid,strategy registered in Phase 13 proxy experiment grid,True,registered_proxy,True,,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Register strategy in the applicable alpha-parameter experiment grid or classify it as non-alpha/risk-only before robustness acceptance.,False
S08,walk_forward_coverage,48 walk-forward windows run,0 walk-forward windows run,design_available_not_run,False,Walk-forward design exists but no walk-forward windows have been executed.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute registered walk-forward windows and preserve train/test leakage checks.,False
S09,execution_profile_robustness,all deployable/stress execution profiles positive and evaluated,3 profiles; all_profiles_positive=False,multi_profile_proxy_not_acceptance,False,Current multi-profile proxy does not show positive results across all execution profiles.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Run full strategy registry across deployable and stressed execution profiles with acceptance-grade fills/costs.,False
S09,full_validation_seed_coverage,30 required full-validation seeds,9 initial-engineering proxy seeds,initial_engineering_seed_proxy_only,False,Only initial-engineering seed proxy coverage is complete; full required-seed execution is missing.,outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,Execute all required full-validation seeds from outputs/phase13/seed_plan.csv.,False
