remote_path,local_path,bytes,status,error
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-041521_482335-004001.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-041521_482335-004001.parquet,34430,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042000_482690-004609.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042000_482690-004609.parquet,34604,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035326_727425-001121.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035326_727425-001121.parquet,34697,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040354_260062-002497.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040354_260062-002497.parquet,34515,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035705_228756-001601.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035705_228756-001601.parquet,34489,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043846_483052-007105.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043846_483052-007105.parquet,34740,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043105_730982-006081.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043105_730982-006081.parquet,34585,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-034920_726727-000577.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-034920_726727-000577.parquet,34414,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-041506_981903-003969.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-041506_981903-003969.parquet,34701,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035018_228977-000705.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035018_228977-000705.parquet,34422,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040339_731038-002465.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040339_731038-002465.parquet,34719,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035650_978932-001569.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035650_978932-001569.parquet,34668,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043051_232872-006049.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043051_232872-006049.parquet,34430,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035719_728373-001633.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035719_728373-001633.parquet,34487,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-041452_579695-003937.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-041452_579695-003937.parquet,34623,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042257_229904-004993.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042257_229904-004993.parquet,34735,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040324_980670-002433.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040324_980670-002433.parquet,34475,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043817_730668-007041.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043817_730668-007041.parquet,34663,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043036_980433-006017.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043036_980433-006017.parquet,34632,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-041605_737708-004097.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-041605_737708-004097.parquet,34761,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035046_977315-000769.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035046_977315-000769.parquet,34470,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-034822_727307-000449.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-034822_727307-000449.parquet,34485,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-034949_229234-000641.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-034949_229234-000641.parquet,34181,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040310_229448-002401.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040310_229448-002401.parquet,34520,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035636_482141-001537.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035636_482141-001537.parquet,34650,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-034739_480709-000353.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-034739_480709-000353.parquet,34155,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043803_229743-007009.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043803_229743-007009.parquet,34913,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043022_478986-005985.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043022_478986-005985.parquet,34695,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042520_479085-005313.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042520_479085-005313.parquet,34592,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-044527_731934-008001.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-044527_731934-008001.parquet,35038,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040255_486082-002369.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040255_486082-002369.parquet,34498,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035622_228059-001505.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035622_228059-001505.parquet,34734,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-034500_789549-000001.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-034500_789549-000001.parquet,34371,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-034906_226176-000545.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-034906_226176-000545.parquet,34396,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-034935_226228-000609.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-034935_226228-000609.parquet,34533,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040944_981461-003265.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040944_981461-003265.parquet,34669,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043748_730800-006977.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043748_730800-006977.parquet,34678,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043007_979444-005953.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043007_979444-005953.parquet,34473,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-044513_481661-007969.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-044513_481661-007969.parquet,35867,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035607_484354-001473.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035607_484354-001473.parquet,34773,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040240_480870-002337.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040240_480870-002337.parquet,34526,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040930_230211-003233.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040930_230211-003233.parquet,34427,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043734_480410-006945.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043734_480410-006945.parquet,34873,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042953_731268-005921.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042953_731268-005921.parquet,34528,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040521_480672-002689.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040521_480672-002689.parquet,34688,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-034544_477667-000097.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-034544_477667-000097.parquet,36271,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035553_228056-001441.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035553_228056-001441.parquet,34658,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042939_482840-005889.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042939_482840-005889.parquet,34646,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035003_727210-000673.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035003_727210-000673.parquet,34526,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042451_732129-005249.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042451_732129-005249.parquet,34534,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-044445_002492-007905.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-044445_002492-007905.parquet,35712,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040423_230272-002561.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040423_230272-002561.parquet,34523,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035538_481044-001409.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035538_481044-001409.parquet,34611,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043705_730496-006881.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043705_730496-006881.parquet,34586,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042925_230446-005857.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042925_230446-005857.parquet,34350,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040535_731510-002721.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040535_731510-002721.parquet,34537,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042437_486754-005217.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042437_486754-005217.parquet,34670,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-044430_730843-007873.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-044430_730843-007873.parquet,35673,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-034724_726957-000321.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-034724_726957-000321.parquet,34753,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-034851_726529-000513.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-034851_726529-000513.parquet,34723,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040506_981147-002657.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040506_981147-002657.parquet,34494,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040900_481296-003169.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040900_481296-003169.parquet,34674,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043651_228987-006849.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043651_228987-006849.parquet,34528,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042910_983162-005825.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042910_983162-005825.parquet,34679,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042043_733313-004705.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042043_733313-004705.parquet,34729,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042422_981295-005185.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042422_981295-005185.parquet,34534,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035959_731486-001985.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035959_731486-001985.parquet,34488,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040845_734085-003137.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040845_734085-003137.parquet,34670,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043636_732573-006817.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043636_732573-006817.parquet,34624,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042856_481627-005793.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042856_481627-005793.parquet,34741,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035915_977586-001889.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035915_977586-001889.parquet,34476,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-034808_226268-000417.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-034808_226268-000417.parquet,34494,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042408_730561-005153.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042408_730561-005153.parquet,34427,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-041945_978749-004577.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-041945_978749-004577.parquet,34502,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040452_480405-002625.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040452_480405-002625.parquet,34462,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035523_728686-001377.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035523_728686-001377.parquet,34333,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040830_981045-003105.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040830_981045-003105.parquet,34640,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043622_230475-006785.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043622_230475-006785.parquet,34768,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042841_982301-005761.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042841_982301-005761.parquet,34793,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042354_481382-005121.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042354_481382-005121.parquet,34538,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-041437_978160-003905.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-041437_978160-003905.parquet,34594,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040816_230402-003073.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040816_230402-003073.parquet,34656,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043607_772504-006753.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043607_772504-006753.parquet,34645,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042827_478976-005729.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042827_478976-005729.parquet,34817,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-034753_729091-000385.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-034753_729091-000385.parquet,34445,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035509_228476-001345.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035509_228476-001345.parquet,34463,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042339_979335-005089.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042339_979335-005089.parquet,34511,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-041931_728850-004545.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-041931_728850-004545.parquet,34448,skipped_existing,
