symbol,horizon_sec,spread_regime,liquidity_regime,receive_event_rate_zscore_bucket,baseline_mid_return_bps,baseline_abs_return_bps,baseline_spread_change_bps,baseline_rows
ADANIPORTS,5,mid,high,positive,0.0,0.5432568246633658,0.0,55
ADANIPORTS,5,mid,low,normal,0.0,0.5420641803996987,0.0,783
ADANIPORTS,5,mid,low,positive,0.0,0.5473903166648004,0.0,51
ADANIPORTS,5,mid,mid,normal,0.0,0.5441732663790564,0.0,782
ADANIPORTS,5,mid,mid,positive,0.0,0.27621638839346657,0.0,62
ADANIPORTS,15,high,high,normal,0.27136305663198906,1.368738023542294,-1.091583888220817,223
ADANIPORTS,15,high,high,positive,-5000.412927379838,5000.412927379838,-6.296877281106403,2
ADANIPORTS,15,high,low,normal,0.0,1.3762730525736306,-1.0841871306977724,327
ADANIPORTS,15,high,low,positive,-1.6562689780817894,1.6562689780817894,0.0,1
ADANIPORTS,15,high,mid,normal,0.0,1.6304127172452616,-1.0932247396761077,332
ADANIPORTS,15,low,high,normal,0.0,1.0919723358309938,0.5464779500228553,436
ADANIPORTS,15,low,high,positive,-3.5865037106524182,3.5865037106524182,0.5517698016382545,1
ADANIPORTS,15,low,low,normal,0.0,0.8267537515519952,6.140421708478005e-13,356
ADANIPORTS,15,low,low,positive,-7.158787411547424,7.158787411547424,1.2520921580617972e-12,1
ADANIPORTS,15,low,mid,normal,0.0,1.1057071509687693,0.5468440314213379,394
ADANIPORTS,15,low,mid,positive,-0.5502820195351368,0.5502820195351368,0.0,2
ADANIPORTS,15,mid,high,normal,0.0,1.3578478399877383,0.0,310
ADANIPORTS,15,mid,low,normal,-0.2703067982169585,1.9006244909036603,0.0,287
ADANIPORTS,15,mid,mid,normal,0.0,1.1186933661485932,0.0,271
ADANIPORTS,60,high,high,normal,-0.2733510100329765,3.0192407981772265,-1.0884649922449345,51
ADANIPORTS,60,high,high,positive,-10000.0,10000.0,-9.840905363293174,1
ADANIPORTS,60,high,low,normal,-0.9538798033455118,3.325766734593457,-1.104534882227306,80
ADANIPORTS,60,high,mid,normal,-0.13763867096024213,3.2942493962883956,-1.115682311415553,84
ADANIPORTS,60,low,high,normal,0.0,1.9080358178649668,0.5473460640481723,104
ADANIPORTS,60,low,low,normal,0.0,1.9126205634041171,0.545970735969297,79
ADANIPORTS,60,low,mid,normal,0.0,2.7593057586723733,1.0840402178923303,91
ADANIPORTS,60,mid,high,normal,-0.5442028788339714,2.7764666685176445,0.0,89
ADANIPORTS,60,mid,low,normal,-0.4089339140745759,3.5477135940265008,0.0,86
ADANIPORTS,60,mid,mid,normal,0.8258547596755138,2.992545840359797,0.0,75
AXISBANK,1,high,high,normal,0.0,0.0,0.0,1626
AXISBANK,1,high,high,positive,0.0,0.0,0.0,79
AXISBANK,1,high,low,normal,0.0,0.37804324814724427,0.0,2514
AXISBANK,1,high,low,positive,0.0,0.0,0.0,144
AXISBANK,1,high,mid,normal,0.0,0.0,0.0,2376
AXISBANK,1,high,mid,positive,0.0,0.0,0.0,97
AXISBANK,1,low,high,normal,0.0,0.0,0.0,3516
AXISBANK,1,low,high,positive,0.0,0.0,0.0,139
AXISBANK,1,low,low,normal,0.0,0.0,0.0,2810
AXISBANK,1,low,low,positive,0.0,0.0,0.0,152
AXISBANK,1,low,mid,normal,0.0,0.0,0.0,2966
AXISBANK,1,low,mid,positive,0.0,0.0,0.0,151
AXISBANK,1,mid,high,normal,0.0,0.0,0.0,2461
AXISBANK,1,mid,high,positive,0.0,0.0,0.0,123
AXISBANK,1,mid,low,normal,0.0,0.0,0.0,2227
AXISBANK,1,mid,low,positive,0.0,0.0,0.0,99
AXISBANK,1,mid,mid,normal,0.0,0.0,0.0,2486
AXISBANK,1,mid,mid,positive,0.0,0.0,0.0,110
AXISBANK,5,high,high,normal,0.0,0.7571168988502153,-0.7564868749503115,573
AXISBANK,5,high,high,positive,0.18905021173520548,0.7612110325181389,-0.7575350658546348,40
AXISBANK,5,high,low,normal,0.0,0.7549733882632235,-0.757977715455338,860
AXISBANK,5,high,low,positive,0.0,0.7579783958960316,-0.7574754327697832,68
AXISBANK,5,high,mid,normal,0.0,0.3844379517142436,-0.7575470626105758,801
AXISBANK,5,high,mid,positive,0.0,0.7578053999264304,-0.7583515894976858,44
AXISBANK,5,low,high,normal,0.0,0.3796002974494548,0.0,1256
AXISBANK,5,low,high,positive,0.0,0.3784684132354408,0.0,60
AXISBANK,5,low,low,normal,0.0,0.3800114003433927,0.0,1001
AXISBANK,5,low,low,positive,0.0,0.3791686700855468,0.0,78
AXISBANK,5,low,mid,normal,0.0,0.3789601333953456,0.0,1051
AXISBANK,5,low,mid,positive,0.0,0.7556008916100829,1.7244874891409333e-12,73
AXISBANK,5,mid,high,normal,0.0,0.3834649896478403,0.0,841
AXISBANK,5,mid,high,positive,0.0,0.38381822368716634,0.0,45
AXISBANK,5,mid,low,normal,0.0,0.3834649896460965,0.0,757
AXISBANK,5,mid,low,positive,0.0,0.38346502573275604,0.0,52
AXISBANK,5,mid,mid,normal,0.0,0.383229861268699,0.0,870
AXISBANK,5,mid,mid,positive,0.0,0.3836415253566112,0.0,61
AXISBANK,15,high,high,normal,0.3788739865117415,1.530866087489345,-0.7685508972824736,217
AXISBANK,15,high,low,normal,0.0,1.5224755452369005,-0.7628346937211766,341
AXISBANK,15,high,mid,normal,0.0,1.1376995714671845,-0.7599650416091228,301
AXISBANK,15,high,mid,positive,0.0,0.0,0.0,1
AXISBANK,15,low,high,normal,0.0,1.138131188589028,1.7504420912524121e-12,505
AXISBANK,15,low,low,normal,0.0,1.151499200202239,1.7429948315620323e-12,380
AXISBANK,15,low,mid,normal,0.0,1.1387792286675598,1.7430616385697578e-12,439
AXISBANK,15,mid,high,normal,0.0,1.1498658557420616,0.0,250
AXISBANK,15,mid,low,normal,0.0,1.1555350127098343,-1.7190116840041741e-12,251
AXISBANK,15,mid,mid,normal,0.0,1.1512342287668151,0.0,258
AXISBANK,60,high,high,normal,-0.18974611969167973,3.0701981311276185,-1.5160417378417848,62
AXISBANK,60,high,low,normal,-0.38197097020591697,3.798381889315152,-1.5165876777254632,93
AXISBANK,60,high,mid,normal,-0.1896381703707598,3.2556405084329123,-0.7707945852905427,64
AXISBANK,60,low,high,normal,0.0,3.0340956498660523,0.7580926389215102,115
AXISBANK,60,low,low,normal,-1.514319787022124,3.80901904648368,0.7572172334777332,98
AXISBANK,60,low,mid,normal,0.0,2.653425457646842,0.7500758947603094,112
AXISBANK,60,mid,high,normal,0.1893867656517827,3.6095395581306016,0.0,68
AXISBANK,60,mid,low,normal,0.0,2.8444423628587527,0.0,54
AXISBANK,60,mid,mid,normal,0.0,2.696795304955244,-0.7577480611291161,74
BAJAJ-AUTO,1,high,high,normal,0.0,0.2439708699144405,0.0,1430
BAJAJ-AUTO,1,high,high,positive,0.0,0.1223121896328188,0.0,96
BAJAJ-AUTO,1,high,low,normal,0.0,0.24517916471143197,0.0,1690
BAJAJ-AUTO,1,high,low,positive,0.0,0.0,0.0,115
BAJAJ-AUTO,1,high,mid,normal,0.0,0.2445226917057903,0.0,1657
BAJAJ-AUTO,1,high,mid,positive,0.0,0.0,0.0,96
BAJAJ-AUTO,1,low,high,normal,0.0,0.0,0.0,2527
BAJAJ-AUTO,1,low,high,positive,0.0,0.0,0.0,148
BAJAJ-AUTO,1,low,low,normal,0.0,0.0,0.0,2338
BAJAJ-AUTO,1,low,low,positive,0.0,0.0,0.0,120
BAJAJ-AUTO,1,low,mid,normal,0.0,0.0,0.0,2451
BAJAJ-AUTO,1,low,mid,positive,0.0,0.0,0.0,166
BAJAJ-AUTO,1,mid,high,normal,0.0,0.0,0.0,1662
BAJAJ-AUTO,1,mid,high,positive,0.0,0.0,0.0,104
BAJAJ-AUTO,1,mid,low,normal,0.0,0.0,0.0,1616
BAJAJ-AUTO,1,mid,low,positive,0.0,0.0,0.0,100
BAJAJ-AUTO,1,mid,mid,normal,0.0,0.0,0.0,1689
BAJAJ-AUTO,1,mid,mid,positive,0.0,0.0,0.0,94
BAJAJ-AUTO,5,high,high,normal,0.0,0.4914850219939548,-0.48988389869194254,612
BAJAJ-AUTO,5,high,high,positive,0.0,0.4905327185323261,-0.4909421179242967,61
BAJAJ-AUTO,5,high,low,normal,0.0,0.4916179145568064,-0.4904364884747425,727
BAJAJ-AUTO,5,high,low,positive,0.0,0.7336398317519319,-0.4894642813440689,77
BAJAJ-AUTO,5,high,mid,normal,0.0,0.4917387883556255,-0.488328938372888,715
BAJAJ-AUTO,5,high,mid,positive,0.0,0.4907012120319937,0.0,59
BAJAJ-AUTO,5,low,high,normal,0.0,0.24581197845484037,0.0,928
BAJAJ-AUTO,5,low,high,positive,0.0,0.24628116412639692,0.0,60
BAJAJ-AUTO,5,low,low,normal,0.0,0.24616899505237194,0.0,812
BAJAJ-AUTO,5,low,low,positive,0.0,0.24654832347140038,0.0,61
BAJAJ-AUTO,5,low,mid,normal,0.0,0.2457062827096489,0.0,899
BAJAJ-AUTO,5,low,mid,positive,0.0,0.24658480051289636,0.0,79
BAJAJ-AUTO,5,mid,high,normal,0.0,0.24619626781380816,0.0,970
BAJAJ-AUTO,5,mid,high,positive,0.0,0.24699896260435705,0.0,71
BAJAJ-AUTO,5,mid,low,normal,0.0,0.2461477871313937,0.0,931
BAJAJ-AUTO,5,mid,low,positive,0.0,0.2455554464198016,0.0,95
BAJAJ-AUTO,5,mid,mid,normal,0.0,0.24649970420035497,0.0,947
BAJAJ-AUTO,5,mid,mid,positive,0.0,0.489950808317112,0.0,82
BAJAJ-AUTO,15,high,high,normal,0.0,1.2329696074866179,-0.9778290464540149,256
BAJAJ-AUTO,15,high,high,positive,-5000.614658372876,5000.614658372876,-3.199177870543413,2
BAJAJ-AUTO,15,high,low,normal,0.0,1.2326504449868105,-0.97890460574617,289
BAJAJ-AUTO,15,high,mid,normal,0.0,0.9863148810257675,-0.9815950920245399,271
BAJAJ-AUTO,15,high,mid,positive,0.7371369600471768,0.7371369600471768,0.49142464003145114,1
BAJAJ-AUTO,15,low,high,normal,0.0,1.2241865180703682,0.49207755142210413,376
BAJAJ-AUTO,15,low,high,positive,0.49024414158250806,0.49024414158250806,0.0,3
BAJAJ-AUTO,15,low,low,normal,0.0,1.226181437602734,0.978644540354746,340
BAJAJ-AUTO,15,low,low,positive,3.4224808096611747,3.4224808096611747,2.933554979709578,3
BAJAJ-AUTO,15,low,mid,normal,0.0,0.9846275104162936,0.4926411725607166,358
BAJAJ-AUTO,15,low,mid,positive,-1.3557629996025211,1.6028168820542836,1.2322360583766396,2
BAJAJ-AUTO,15,mid,high,normal,0.0,0.9813185101334277,0.0,334
BAJAJ-AUTO,15,mid,high,positive,0.0,0.0,0.0,1
BAJAJ-AUTO,15,mid,low,normal,0.0,0.9820529817583659,0.0,339
BAJAJ-AUTO,15,mid,low,positive,1.1062408068146596,1.1062408068146596,-1.2307901592534296,2
BAJAJ-AUTO,15,mid,mid,normal,-0.24402160466535008,0.9839735348334469,0.0,362
BAJAJ-AUTO,15,mid,mid,positive,-1.2306693355834977,2.7027451898301695,-0.492107901936226,4
BAJAJ-AUTO,60,high,high,normal,0.4915937469275391,2.2135865020414185,-0.49261083743842365,63
BAJAJ-AUTO,60,high,high,positive,-10000.0,10000.0,-3.9397222495814046,1
BAJAJ-AUTO,60,high,low,normal,-0.9842035332906844,3.6797173977038566,-1.4776505356483192,73
BAJAJ-AUTO,60,high,mid,normal,0.2456278247199843,3.4131356965234776,-0.98294588882882,75
BAJAJ-AUTO,60,low,high,normal,0.3680749848162815,3.0786878839208325,1.463700694989135,88
BAJAJ-AUTO,60,low,low,normal,0.0,2.3324512305279157,0.984954824753254,80
BAJAJ-AUTO,60,low,mid,normal,0.0,3.199568293600419,0.9839735431694583,86
BAJAJ-AUTO,60,mid,high,normal,-0.7368653746960431,2.697070001225941,0.0,93
BAJAJ-AUTO,60,mid,low,normal,0.0,2.9578871046756037,0.0,92
BAJAJ-AUTO,60,mid,mid,normal,-0.4925501785494397,2.465361668556777,-0.48960806874097285,89
BANKBEES,1,high,high,normal,0.0,0.0841425037442649,0.0,2279
BANKBEES,1,high,high,positive,0.0,0.08334514056150376,0.0,145
BANKBEES,1,high,low,normal,0.0,0.08421939151631314,0.0,2332
BANKBEES,1,high,low,positive,0.0,0.08423003255501085,0.0,138
BANKBEES,1,high,mid,normal,0.0,0.08427084650057645,0.0,2388
BANKBEES,1,high,mid,positive,0.0,0.0833948394639033,0.0,158
BANKBEES,1,low,high,normal,0.0,0.0,0.0,2450
BANKBEES,1,low,high,positive,0.0,0.0,0.0,170
BANKBEES,1,low,low,normal,0.0,0.0,0.0,2690
BANKBEES,1,low,low,positive,0.0,0.0,0.0,150
BANKBEES,1,low,mid,normal,0.0,0.0,0.0,2687
BANKBEES,1,low,mid,positive,0.0,0.0,0.0,158
BANKBEES,1,mid,high,normal,0.0,0.0,0.0,2576
BANKBEES,1,mid,high,positive,0.0,0.0,0.0,219
BANKBEES,1,mid,low,normal,0.0,0.0,0.0,2380
BANKBEES,1,mid,low,positive,0.0,0.08356802018805755,0.0,153
BANKBEES,1,mid,mid,normal,0.0,0.08326186689750385,0.0,2529
BANKBEES,1,mid,mid,positive,0.0,0.0,0.0,157
BANKBEES,5,high,high,normal,0.0,0.2509593472466527,-0.16646136431719055,816
BANKBEES,5,high,high,positive,0.0,0.336966960605406,-0.3371445043020632,62
BANKBEES,5,high,low,normal,0.0,0.25077426607471,-0.16669584817904579,826
BANKBEES,5,high,low,positive,0.0,0.25262201665505,-0.3367244850651253,52
BANKBEES,5,high,mid,normal,0.0,0.252561396043754,-0.1670104298011892,848
BANKBEES,5,high,mid,positive,0.0,0.24968794245802456,-0.16709905182370877,54
BANKBEES,5,low,high,normal,0.0,0.1667625551357181,0.0,883
BANKBEES,5,low,high,positive,0.0,0.16654869467445402,0.0,55
BANKBEES,5,low,low,normal,0.0,0.08358268849854046,0.0,928
BANKBEES,5,low,low,positive,0.0,0.08378517642987188,0.0,70
BANKBEES,5,low,mid,normal,0.0,0.16646136431719055,0.0,921
BANKBEES,5,low,mid,positive,0.0,0.16880518107988016,0.0,50
BANKBEES,5,mid,high,normal,0.0,0.16702716696855557,0.0,865
BANKBEES,5,mid,high,positive,0.0,0.20930353869987645,0.0,70
BANKBEES,5,mid,low,normal,0.0,0.16708437761054146,0.0,823
BANKBEES,5,mid,low,positive,0.0,0.16852984743016713,0.0,52
BANKBEES,5,mid,mid,normal,0.0,0.16841821612604457,0.0,906
BANKBEES,5,mid,mid,positive,0.0,0.33651197145925943,0.0,54
BANKBEES,15,high,high,normal,0.0,0.6682146973816612,-0.49990835013535373,313
BANKBEES,15,high,low,normal,0.0,0.5889479706530284,-0.3374758493842215,307
BANKBEES,15,high,mid,normal,0.0,0.5889901023619766,-0.3373549166564106,330
BANKBEES,15,low,high,normal,0.0,0.4209746404872742,0.17022290689642627,355
BANKBEES,15,low,low,normal,0.0,0.417885499374692,0.16701182443701826,365
BANKBEES,15,low,mid,normal,0.0,0.6680779814134193,0.3339554311873184,342
BANKBEES,15,mid,high,normal,0.0,0.5055910239306123,0.0,304
BANKBEES,15,mid,low,normal,0.0,0.4211217888760946,0.0,302
BANKBEES,15,mid,mid,normal,0.0,0.5015045135401657,0.0,325
BANKBEES,60,high,high,normal,-0.4239666163771115,1.4991699182028162,-0.8373864014583324,74
BANKBEES,60,high,low,normal,-0.16704390749093212,1.4204901526615203,-0.8424812758528779,75
BANKBEES,60,high,mid,normal,-0.08354707854132332,1.251215387652461,-1.0109150117318348,90
BANKBEES,60,low,high,normal,0.0,1.666396184158919,0.6771967998930948,84
BANKBEES,60,low,low,normal,0.0,1.4315811410992247,0.5030727857556667,84
BANKBEES,60,low,mid,normal,0.16766598964233376,2.020119490522849,0.8465393248247238,90
BANKBEES,60,mid,high,normal,-0.08337094515794408,1.4236366191555734,0.16677589245356528,86
BANKBEES,60,mid,low,normal,0.0,1.348288095459487,-0.16713604037991533,85
BANKBEES,60,mid,mid,normal,-0.3369527676474041,1.1780049644503348,1.8974370405503706e-12,71
BHARTIARTL,1,high,high,normal,0.0,0.26046414711109783,0.0,1585
BHARTIARTL,1,high,high,positive,0.0,0.25984824862256795,0.0,125
BHARTIARTL,1,high,low,normal,0.0,0.26130810839036567,0.0,2291
BHARTIARTL,1,high,low,positive,0.0,0.26146525287660344,0.0,164
BHARTIARTL,1,high,mid,normal,0.0,0.2610625244743742,0.0,2198
BHARTIARTL,1,high,mid,positive,0.0,0.2616260336062887,-0.2559508574357216,170
BHARTIARTL,1,low,high,normal,0.0,0.0,0.0,3462
BHARTIARTL,1,low,high,positive,0.0,0.0,0.0,246
BHARTIARTL,1,low,low,normal,0.0,0.0,0.0,2931
BHARTIARTL,1,low,low,positive,0.0,0.0,0.0,201
BHARTIARTL,1,low,mid,normal,0.0,0.0,0.0,3020
BHARTIARTL,1,low,mid,positive,0.0,0.0,0.0,177
BHARTIARTL,1,mid,high,normal,0.0,0.2557512052697244,0.0,2558
BHARTIARTL,1,mid,high,positive,0.0,0.2591278261918124,0.0,184
BHARTIARTL,1,mid,low,normal,0.0,0.25824445419893677,0.0,2399
BHARTIARTL,1,mid,low,positive,0.0,0.2582511233921519,0.0,175
BHARTIARTL,1,mid,mid,normal,0.0,0.0,0.0,2661
BHARTIARTL,1,mid,mid,positive,0.0,0.2557544757030922,0.0,181
BHARTIARTL,5,high,high,normal,0.0,0.5233341641860025,-0.5214511994830291,610
BHARTIARTL,5,high,high,positive,0.0,0.7822073892517589,-1.035197120710305,72
BHARTIARTL,5,high,low,normal,0.0,0.7762468476664051,-0.5227596489864548,824
BHARTIARTL,5,high,low,positive,0.0,0.776890307003615,-1.0450822564888633,96
BHARTIARTL,5,high,mid,normal,0.0,0.523628747217746,-0.52239780592874,859
BHARTIARTL,5,high,mid,positive,0.0,1.0413141384417677,-1.0335116140858231,93
BHARTIARTL,5,low,high,normal,0.0,0.26084461486150273,0.0,1009
BHARTIARTL,5,low,high,positive,0.0,0.2613012803760362,0.0,115
BHARTIARTL,5,low,low,normal,0.0,0.0,0.0,812
BHARTIARTL,5,low,low,positive,0.0,0.5174510361964059,1.1684456200993453e-12,95
BHARTIARTL,5,low,mid,normal,0.0,0.0,0.0,816
BHARTIARTL,5,low,mid,positive,0.0,0.5165956402815806,1.1709127125732877e-12,104
BHARTIARTL,5,mid,high,normal,0.0,0.2650059643101027,0.0,890
BHARTIARTL,5,mid,high,positive,0.0,0.7776555886593901,0.0,116
BHARTIARTL,5,mid,low,normal,0.0,0.5173372672595,0.0,876
BHARTIARTL,5,mid,low,positive,0.0,0.7783141709799469,0.0,110
BHARTIARTL,5,mid,mid,normal,0.0,0.26550904726733526,0.0,906
BHARTIARTL,5,mid,mid,positive,0.0,0.7742539243065079,0.0,122
BHARTIARTL,15,high,high,normal,0.0,1.047368272960088,-1.0444682379585994,228
BHARTIARTL,15,high,high,positive,-1.2949006811177584,1.2949006811177584,-1.5538808173410743,1
BHARTIARTL,15,high,low,normal,0.0,1.5669685327714917,-1.0440184313706034,330
BHARTIARTL,15,high,mid,normal,0.0,1.308284054633942,-1.0374789262107267,331
BHARTIARTL,15,high,mid,positive,-3.6142090045438118,3.6142090045438118,-2.065262288309911,3
BHARTIARTL,15,low,high,normal,0.0,0.7831466833742707,1.1739960007395483e-12,413
BHARTIARTL,15,low,high,positive,-3.8962050962362658,3.8962050962362658,2.597470064157511,1
BHARTIARTL,15,low,low,normal,0.0,1.0362962771058601,1.1842687332650956e-12,321
BHARTIARTL,15,low,low,positive,0.7750936571507089,0.7750936571507089,0.516729104767531,3
BHARTIARTL,15,low,mid,normal,0.0,0.5318158853412207,1.1768519212402996e-12,301
BHARTIARTL,15,mid,high,normal,0.0,1.0339123415037106,0.0,328
BHARTIARTL,15,mid,high,positive,-1.8051472484405406,1.8051472484405406,-0.5157563566978,1
BHARTIARTL,15,mid,low,normal,0.0,1.3063357282821686,0.0,315
BHARTIARTL,15,mid,low,positive,-0.2582778036064977,2.331787444620284,0.5176787285805718,3
BHARTIARTL,15,mid,mid,normal,0.0,1.2958070512800364,0.0,362
BHARTIARTL,15,mid,mid,positive,0.775251291442307,0.775251291442307,0.5186359193381602,2
BHARTIARTL,60,high,high,normal,1.0529150977699089,3.6012393579461675,-1.5669479151499033,52
BHARTIARTL,60,high,low,normal,0.0,4.138644593895264,-1.046983379137904,77
BHARTIARTL,60,high,mid,normal,-1.0468189788283242,3.872366790582404,-1.0475043209555621,63
BHARTIARTL,60,low,high,normal,0.0,1.4463939255429543,0.2568119366197689,108
BHARTIARTL,60,low,low,normal,0.0,2.8683228051809273,0.5216632928284777,70
BHARTIARTL,60,low,mid,normal,0.0,1.829156758733748,1.1842687332650956e-12,75
BHARTIARTL,60,mid,high,normal,-0.260443796228537,2.0900825582615266,1.18146882537403e-12,85
BHARTIARTL,60,mid,low,normal,0.6513190916152123,2.6007480651296966,0.0,98
BHARTIARTL,60,mid,mid,normal,0.2610693407288148,2.979852505910335,0.0,112
BPCL,1,high,high,normal,0.0,0.0,0.0,827
BPCL,1,high,high,positive,0.0,0.0,0.0,45
BPCL,1,high,low,normal,0.0,0.0,0.0,1088
BPCL,1,high,low,positive,0.0,0.0,0.0,51
BPCL,1,high,mid,normal,0.0,0.0,0.0,991
BPCL,1,high,mid,positive,0.0,0.0,0.0,43
BPCL,1,low,high,normal,0.0,0.0,0.0,2319
BPCL,1,low,high,positive,0.0,0.0,0.0,100
BPCL,1,low,low,normal,0.0,0.0,0.0,2292
BPCL,1,low,low,positive,0.0,0.0,0.0,94
BPCL,1,low,mid,normal,0.0,0.0,0.0,2305
BPCL,1,low,mid,positive,0.0,0.0,0.0,85
BPCL,1,mid,high,normal,0.0,0.0,0.0,1353
BPCL,1,mid,high,positive,0.0,0.0,0.0,76
BPCL,1,mid,low,normal,0.0,0.0,0.0,1127
BPCL,1,mid,low,positive,0.0,0.0,0.0,70
BPCL,1,mid,mid,normal,0.0,0.0,0.0,1349
BPCL,1,mid,mid,positive,0.0,0.0,0.0,91
BPCL,5,high,high,normal,0.0,0.0,0.0,446
BPCL,5,high,high,positive,0.0,0.802246289610181,0.0,29
BPCL,5,high,low,normal,0.0,1.819426065801649e-12,0.0,599
BPCL,5,high,low,positive,0.0,0.8016675147030593,-0.8013462617207858,26
BPCL,5,high,mid,normal,0.0,0.8004482715351993,0.0,540
BPCL,5,high,mid,positive,0.0,0.0,0.0,24
BPCL,5,low,high,normal,0.0,0.0,0.0,1333
BPCL,5,low,high,positive,0.0,0.8045052761470722,0.0,54
BPCL,5,low,low,normal,0.0,0.0,0.0,1308
BPCL,5,low,low,positive,0.0,0.0,0.0,58
BPCL,5,low,mid,normal,0.0,0.0,0.0,1344
BPCL,5,low,mid,positive,0.0,0.0,0.0,37
BPCL,5,mid,high,normal,0.0,0.0,0.0,763
BPCL,5,mid,high,positive,0.0,0.0,0.0,39
BPCL,5,mid,low,normal,0.0,0.0,0.0,639
BPCL,5,mid,low,positive,0.0,0.0,0.0,36
BPCL,5,mid,mid,normal,0.0,0.0,0.0,753
BPCL,5,mid,mid,positive,0.0,0.0,0.0,44
BPCL,15,high,high,normal,0.0,0.8153946510103477,-1.8770535634594956e-12,180
BPCL,15,high,high,positive,0.0,0.0,0.0,1
BPCL,15,high,low,normal,0.0,0.8249463784865239,-1.603592056492938,216
BPCL,15,high,mid,normal,0.0,0.8139345596606631,-1.6039778651076497,207
BPCL,15,high,mid,positive,3.248670869095318,3.248670869095318,0.01148585923985801,2
BPCL,15,low,high,normal,0.0,0.0,0.0,470
BPCL,15,low,low,normal,0.0,0.8213552361388833,0.0,469
BPCL,15,low,low,positive,0.004513824026735946,1.2198758509182688,1.6176498631284666,4
BPCL,15,low,mid,normal,0.0,0.8016032064120966,0.0,461
BPCL,15,mid,high,normal,0.0,0.8054123711332882,0.0,321
BPCL,15,mid,low,normal,0.0,0.8119849091266417,0.0,282
BPCL,15,mid,low,positive,-3.2061558191717183,3.2061558191717183,1.8224885816225718e-12,1
BPCL,15,mid,mid,normal,0.0,0.8056071556028249,0.0,324
BPCL,15,mid,mid,positive,-1.6264129462474217,1.6264129462474217,0.0,5
BPCL,60,high,high,normal,0.0,1.6206092064552138,-3.2146591765347674,34
BPCL,60,high,low,normal,-0.804699444758481,3.2533553667130626,-1.6171131258041396,50
BPCL,60,high,mid,normal,-1.829674703816143e-12,1.6274717226791884,-1.6278691193231767,53
BPCL,60,low,high,normal,0.0,1.6110842701596129,1.8314432174243423e-12,126
BPCL,60,low,low,normal,0.0,2.4137098720748402,1.827028328189892e-12,109
BPCL,60,low,mid,normal,-0.4008016032060483,2.455331924712655,0.0,112
BPCL,60,mid,high,normal,0.0,2.405388069274812,0.0,85
BPCL,60,mid,low,normal,0.0,2.4405128346849194,-1.8335709128246267e-12,86
BPCL,60,mid,mid,normal,-9.252611517995933e-13,2.4615011764236323,0.0,84
BPCL,60,mid,mid,positive,-3.253090435913009,3.253090435913009,1.849167822407548e-12,1
BRITANNIA,1,high,high,normal,0.0,0.0,0.0,802
BRITANNIA,1,high,high,positive,0.0,0.0,0.0,132
BRITANNIA,1,high,low,normal,0.0,0.0,0.0,1263
BRITANNIA,1,high,low,positive,0.0,0.0,0.0,234
BRITANNIA,1,high,mid,normal,0.0,0.0,0.0,1162
