horizon_sec,trade_date,exchange,symbol,split_role,rows,event_surprise_rows,label_file,bytes,test_rows_used
1,2026-07-08,NSE,HDFCBANK,train,6816,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=HDFCBANK\event_surprise_conditional_labels.parquet,62288,0
1,2026-07-08,NSE,HINDUNILVR,train,3470,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR\event_surprise_conditional_labels.parquet,36410,0
1,2026-07-08,NSE,ICICIBANK,train,6210,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK\event_surprise_conditional_labels.parquet,57684,0
1,2026-07-08,NSE,INFY,train,5152,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=INFY\event_surprise_conditional_labels.parquet,49651,0
1,2026-07-08,NSE,ITBEES,train,2355,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ITBEES\event_surprise_conditional_labels.parquet,26610,0
1,2026-07-08,NSE,ITC,train,4271,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ITC\event_surprise_conditional_labels.parquet,42774,0
1,2026-07-08,NSE,JUNIORBEES,train,5241,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=JUNIORBEES\event_surprise_conditional_labels.parquet,49945,0
1,2026-07-08,NSE,KOTAKBANK,train,4944,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=KOTAKBANK\event_surprise_conditional_labels.parquet,47874,0
1,2026-07-08,NSE,LT,train,6328,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=LT\event_surprise_conditional_labels.parquet,58567,0
1,2026-07-08,NSE,M&M,train,6037,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=M&M\event_surprise_conditional_labels.parquet,56393,0
1,2026-07-08,NSE,MARUTI,train,4917,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=MARUTI\event_surprise_conditional_labels.parquet,47843,0
1,2026-07-08,NSE,NESTLEIND,train,2943,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=NESTLEIND\event_surprise_conditional_labels.parquet,32322,0
1,2026-07-08,NSE,NIFTYBEES,train,5016,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=NIFTYBEES\event_surprise_conditional_labels.parquet,48143,0
1,2026-07-08,NSE,ONGC,train,4121,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ONGC\event_surprise_conditional_labels.parquet,41650,0
1,2026-07-08,NSE,RELIANCE,train,6547,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=RELIANCE\event_surprise_conditional_labels.parquet,60070,0
1,2026-07-08,NSE,SBIN,train,5499,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=SBIN\event_surprise_conditional_labels.parquet,52281,0
1,2026-07-08,NSE,SUNPHARMA,train,3352,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=SUNPHARMA\event_surprise_conditional_labels.parquet,35470,0
1,2026-07-08,NSE,TCS,train,3904,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=TCS\event_surprise_conditional_labels.parquet,39663,0
1,2026-07-08,NSE,TECHM,train,2802,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=TECHM\event_surprise_conditional_labels.parquet,31361,0
1,2026-07-08,NSE,ULTRACEMCO,train,3043,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ULTRACEMCO\event_surprise_conditional_labels.parquet,33200,0
1,2026-07-08,NSE,WIPRO,train,2625,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=WIPRO\event_surprise_conditional_labels.parquet,30037,0
1,2026-07-09,NSE,ADANIPORTS,train,5553,509,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=ADANIPORTS\event_surprise_conditional_labels.parquet,56075,0
1,2026-07-09,NSE,AXISBANK,train,7446,529,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=AXISBANK\event_surprise_conditional_labels.parquet,70396,0
1,2026-07-09,NSE,BAJAJ-AUTO,train,5049,328,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BAJAJ-AUTO\event_surprise_conditional_labels.parquet,51379,0
1,2026-07-09,NSE,BANKBEES,train,8885,855,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BANKBEES\event_surprise_conditional_labels.parquet,83309,0
1,2026-07-09,NSE,BHARTIARTL,train,9411,960,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BHARTIARTL\event_surprise_conditional_labels.parquet,88411,0
1,2026-07-09,NSE,BPCL,train,4696,365,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BPCL\event_surprise_conditional_labels.parquet,48129,0
1,2026-07-09,NSE,BRITANNIA,train,4229,909,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BRITANNIA\event_surprise_conditional_labels.parquet,45862,0
1,2026-07-09,NSE,CIPLA,train,4886,421,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=CIPLA\event_surprise_conditional_labels.parquet,49312,0
1,2026-07-09,NSE,DRREDDY,train,9053,5218,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=DRREDDY\event_surprise_conditional_labels.parquet,88176,0
1,2026-07-09,NSE,GOLDBEES,train,6407,590,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=GOLDBEES\event_surprise_conditional_labels.parquet,61635,0
1,2026-07-09,NSE,HCLTECH,train,5477,1575,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=HCLTECH\event_surprise_conditional_labels.parquet,55889,0
1,2026-07-09,NSE,HDFCBANK,train,9419,866,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=HDFCBANK\event_surprise_conditional_labels.parquet,87645,0
1,2026-07-09,NSE,HINDUNILVR,train,6946,659,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=HINDUNILVR\event_surprise_conditional_labels.parquet,67320,0
1,2026-07-09,NSE,ICICIBANK,train,9152,822,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=ICICIBANK\event_surprise_conditional_labels.parquet,85507,0
1,2026-07-09,NSE,INFY,train,7566,541,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=INFY\event_surprise_conditional_labels.parquet,70684,0
1,2026-07-09,NSE,ITBEES,train,3872,705,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=ITBEES\event_surprise_conditional_labels.parquet,41417,0
1,2026-07-09,NSE,ITC,train,7309,789,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=ITC\event_surprise_conditional_labels.parquet,68432,0
1,2026-07-09,NSE,JUNIORBEES,train,8589,815,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=JUNIORBEES\event_surprise_conditional_labels.parquet,80818,0
1,2026-07-09,NSE,KOTAKBANK,train,8943,760,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=KOTAKBANK\event_surprise_conditional_labels.parquet,82897,0
1,2026-07-09,NSE,LT,train,9072,805,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=LT\event_surprise_conditional_labels.parquet,85093,0
1,2026-07-09,NSE,M&M,train,7704,592,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=M&M\event_surprise_conditional_labels.parquet,72614,0
1,2026-07-09,NSE,MARUTI,train,7379,729,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=MARUTI\event_surprise_conditional_labels.parquet,70395,0
1,2026-07-09,NSE,NESTLEIND,train,4454,287,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=NESTLEIND\event_surprise_conditional_labels.parquet,46882,0
1,2026-07-09,NSE,NIFTYBEES,train,8019,657,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=NIFTYBEES\event_surprise_conditional_labels.parquet,74044,0
1,2026-07-09,NSE,ONGC,train,5782,543,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=ONGC\event_surprise_conditional_labels.parquet,57650,0
1,2026-07-09,NSE,RELIANCE,train,9017,790,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=RELIANCE\event_surprise_conditional_labels.parquet,84285,0
1,2026-07-09,NSE,SBIN,train,7833,590,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=SBIN\event_surprise_conditional_labels.parquet,73566,0
1,2026-07-09,NSE,SUNPHARMA,train,7322,773,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=SUNPHARMA\event_surprise_conditional_labels.parquet,70246,0
1,2026-07-09,NSE,TCS,train,7969,807,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=TCS\event_surprise_conditional_labels.parquet,75762,0
1,2026-07-09,NSE,TECHM,train,4929,1291,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=TECHM\event_surprise_conditional_labels.parquet,51540,0
1,2026-07-09,NSE,ULTRACEMCO,train,3979,185,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=ULTRACEMCO\event_surprise_conditional_labels.parquet,41684,0
1,2026-07-09,NSE,WIPRO,train,5788,1976,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=WIPRO\event_surprise_conditional_labels.parquet,58881,0
1,2026-07-10,NSE,ADANIPORTS,train,9546,704,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=ADANIPORTS\event_surprise_conditional_labels.parquet,88527,0
1,2026-07-10,NSE,AXISBANK,train,10801,565,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=AXISBANK\event_surprise_conditional_labels.parquet,97342,0
1,2026-07-10,NSE,BAJAJ-AUTO,train,9727,711,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=BAJAJ-AUTO\event_surprise_conditional_labels.parquet,90469,0
1,2026-07-10,NSE,BANKBEES,train,9229,593,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=BANKBEES\event_surprise_conditional_labels.parquet,84349,0
1,2026-07-10,NSE,BHARTIARTL,train,11365,663,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=BHARTIARTL\event_surprise_conditional_labels.parquet,102290,0
1,2026-07-10,NSE,BPCL,train,6758,290,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=BPCL\event_surprise_conditional_labels.parquet,63081,0
1,2026-07-10,NSE,BRITANNIA,train,6029,879,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=BRITANNIA\event_surprise_conditional_labels.parquet,59652,0
1,2026-07-10,NSE,CIPLA,train,7907,437,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=CIPLA\event_surprise_conditional_labels.parquet,73326,0
1,2026-07-10,NSE,DRREDDY,train,13141,925,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=DRREDDY\event_surprise_conditional_labels.parquet,117867,0
1,2026-07-10,NSE,GOLDBEES,train,9148,715,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=GOLDBEES\event_surprise_conditional_labels.parquet,84353,0
1,2026-07-10,NSE,HCLTECH,train,14317,1321,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=HCLTECH\event_surprise_conditional_labels.parquet,126019,0
1,2026-07-10,NSE,HDFCBANK,train,15043,1255,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=HDFCBANK\event_surprise_conditional_labels.parquet,130691,0
1,2026-07-10,NSE,HINDUNILVR,train,8661,533,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=HINDUNILVR\event_surprise_conditional_labels.parquet,80552,0
1,2026-07-10,NSE,ICICIBANK,train,11236,612,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=ICICIBANK\event_surprise_conditional_labels.parquet,100668,0
1,2026-07-10,NSE,INFY,train,15210,1263,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=INFY\event_surprise_conditional_labels.parquet,132749,0
1,2026-07-10,NSE,ITBEES,train,6822,1249,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=ITBEES\event_surprise_conditional_labels.parquet,62577,0
1,2026-07-10,NSE,ITC,train,11084,617,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=ITC\event_surprise_conditional_labels.parquet,97925,0
1,2026-07-10,NSE,JUNIORBEES,train,13252,1165,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=JUNIORBEES\event_surprise_conditional_labels.parquet,118247,0
1,2026-07-10,NSE,KOTAKBANK,train,10164,452,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=KOTAKBANK\event_surprise_conditional_labels.parquet,92326,0
1,2026-07-10,NSE,LT,train,10640,544,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=LT\event_surprise_conditional_labels.parquet,95863,0
1,2026-07-10,NSE,M&M,train,9987,472,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=M&M\event_surprise_conditional_labels.parquet,89801,0
1,2026-07-10,NSE,MARUTI,train,11104,680,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=MARUTI\event_surprise_conditional_labels.parquet,99877,0
1,2026-07-10,NSE,NESTLEIND,train,7878,419,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=NESTLEIND\event_surprise_conditional_labels.parquet,73637,0
1,2026-07-10,NSE,NIFTYBEES,train,11226,697,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=NIFTYBEES\event_surprise_conditional_labels.parquet,99904,0
1,2026-07-10,NSE,ONGC,train,9395,693,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=ONGC\event_surprise_conditional_labels.parquet,86669,0
1,2026-07-10,NSE,RELIANCE,train,11459,656,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=RELIANCE\event_surprise_conditional_labels.parquet,102561,0
1,2026-07-10,NSE,SBIN,train,12205,809,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=SBIN\event_surprise_conditional_labels.parquet,109742,0
1,2026-07-10,NSE,SUNPHARMA,train,9908,443,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=SUNPHARMA\event_surprise_conditional_labels.parquet,90680,0
1,2026-07-10,NSE,TCS,train,16259,1457,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=TCS\event_surprise_conditional_labels.parquet,144159,0
1,2026-07-10,NSE,TECHM,train,9551,683,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=TECHM\event_surprise_conditional_labels.parquet,89415,0
1,2026-07-10,NSE,ULTRACEMCO,train,6525,1107,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=ULTRACEMCO\event_surprise_conditional_labels.parquet,64098,0
1,2026-07-10,NSE,WIPRO,train,10157,914,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-10\exchange=NSE\symbol=WIPRO\event_surprise_conditional_labels.parquet,94164,0
1,2026-07-13,NSE,ADANIPORTS,validation,9453,709,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=ADANIPORTS\event_surprise_conditional_labels.parquet,88713,0
1,2026-07-13,NSE,AXISBANK,validation,10797,565,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=AXISBANK\event_surprise_conditional_labels.parquet,97857,0
1,2026-07-13,NSE,BAJAJ-AUTO,validation,14298,1285,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=BAJAJ-AUTO\event_surprise_conditional_labels.parquet,127729,0
1,2026-07-13,NSE,BANKBEES,validation,13183,1133,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=BANKBEES\event_surprise_conditional_labels.parquet,115659,0
1,2026-07-13,NSE,BHARTIARTL,validation,11538,667,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=BHARTIARTL\event_surprise_conditional_labels.parquet,103894,0
1,2026-07-13,NSE,BPCL,validation,8034,1851,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=BPCL\event_surprise_conditional_labels.parquet,74861,0
1,2026-07-13,NSE,BRITANNIA,validation,6759,1368,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=BRITANNIA\event_surprise_conditional_labels.parquet,65613,0
1,2026-07-13,NSE,CIPLA,validation,8387,528,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=CIPLA\event_surprise_conditional_labels.parquet,78584,0
1,2026-07-13,NSE,DRREDDY,validation,8735,207,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=DRREDDY\event_surprise_conditional_labels.parquet,80685,0
1,2026-07-13,NSE,GOLDBEES,validation,8947,661,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=GOLDBEES\event_surprise_conditional_labels.parquet,83151,0
1,2026-07-13,NSE,HCLTECH,validation,14296,1317,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=HCLTECH\event_surprise_conditional_labels.parquet,128472,0
1,2026-07-13,NSE,HDFCBANK,validation,16565,1513,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=HDFCBANK\event_surprise_conditional_labels.parquet,147703,0
1,2026-07-13,NSE,HINDUNILVR,validation,8591,529,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=HINDUNILVR\event_surprise_conditional_labels.parquet,80772,0
1,2026-07-13,NSE,ICICIBANK,validation,13716,1031,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=ICICIBANK\event_surprise_conditional_labels.parquet,122345,0
1,2026-07-13,NSE,INFY,validation,16206,1459,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=INFY\event_surprise_conditional_labels.parquet,141151,0
1,2026-07-13,NSE,ITBEES,validation,8304,2136,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=ITBEES\event_surprise_conditional_labels.parquet,79030,0
1,2026-07-13,NSE,ITC,validation,8757,217,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=ITC\event_surprise_conditional_labels.parquet,77051,0
1,2026-07-13,NSE,JUNIORBEES,validation,11801,933,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=JUNIORBEES\event_surprise_conditional_labels.parquet,105885,0
1,2026-07-13,NSE,KOTAKBANK,validation,9402,322,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=KOTAKBANK\event_surprise_conditional_labels.parquet,85801,0
1,2026-07-13,NSE,LT,validation,11478,670,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=LT\event_surprise_conditional_labels.parquet,104024,0
1,2026-07-13,NSE,M&M,validation,14145,1139,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=M&M\event_surprise_conditional_labels.parquet,126631,0
1,2026-07-13,NSE,MARUTI,validation,15406,1359,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=MARUTI\event_surprise_conditional_labels.parquet,135777,0
1,2026-07-13,NSE,NESTLEIND,validation,9035,586,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=NESTLEIND\event_surprise_conditional_labels.parquet,83561,0
1,2026-07-13,NSE,NIFTYBEES,validation,13039,980,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=NIFTYBEES\event_surprise_conditional_labels.parquet,114837,0
1,2026-07-13,NSE,ONGC,validation,10644,853,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=ONGC\event_surprise_conditional_labels.parquet,97408,0
1,2026-07-13,NSE,RELIANCE,validation,13219,962,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=RELIANCE\event_surprise_conditional_labels.parquet,117141,0
1,2026-07-13,NSE,SBIN,validation,13084,932,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=SBIN\event_surprise_conditional_labels.parquet,117020,0
1,2026-07-13,NSE,SUNPHARMA,validation,9572,713,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=SUNPHARMA\event_surprise_conditional_labels.parquet,89229,0
1,2026-07-13,NSE,TCS,validation,16806,1550,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=TCS\event_surprise_conditional_labels.parquet,150197,0
1,2026-07-13,NSE,TECHM,validation,11316,954,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=TECHM\event_surprise_conditional_labels.parquet,104167,0
1,2026-07-13,NSE,ULTRACEMCO,validation,6783,1317,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=ULTRACEMCO\event_surprise_conditional_labels.parquet,66374,0
1,2026-07-13,NSE,WIPRO,validation,11490,1011,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-13\exchange=NSE\symbol=WIPRO\event_surprise_conditional_labels.parquet,105586,0
5,2026-07-08,NSE,ADANIPORTS,train,1617,0,derived_phase214_event_surprise_conditional_labels\horizon=5s\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\event_surprise_conditional_labels.parquet,22382,0
