scenario_id,family_id,horizon_seconds,threshold_policy,side_policy,execution_policy,event_bucket_policy,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,scheduled_event_rows,symbol_rows,observed_trade_dates,trade_rows,gross_pnl_inr,cost_inr,passive_penalty_inr,net_pnl_inr,annualized_return_pct,annualized_gap_to_12pct
P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,100000.0,100000.0,4,40,6,40,40,8154.870174036816,6615.72355936468,0.0,1539.146614672136,9.696623672434455,2.3033763275655446
P331_DEPTH_ACCEL_REVERSAL_H900_all_nonzero_signal_all_events_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,all_nonzero_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,2,50,17,50,100,20093.4231539772,16538.96404006966,0.0,3554.459113907542,7.165789573637605,4.834210426362395
P331_DEPTH_ACCEL_REVERSAL_H900_all_nonzero_signal_all_events_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,all_nonzero_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,4,50,17,50,100,20093.4231539772,16538.96404006966,0.0,3554.459113907542,7.165789573637605,4.834210426362395
P331_DEPTH_ACCEL_REVERSAL_H900_top_50pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_50pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,2,50,17,50,100,20093.4231539772,16538.96404006966,0.0,3554.459113907542,7.165789573637605,4.834210426362395
P331_DEPTH_ACCEL_REVERSAL_H900_top_50pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_50pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,4,50,17,50,100,20093.4231539772,16538.96404006966,0.0,3554.459113907542,7.165789573637605,4.834210426362395
P331_DEPTH_ACCEL_REVERSAL_H900_all_nonzero_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,all_nonzero_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,2,50,17,50,100,20093.4231539772,16538.96404006966,0.0,3554.459113907542,7.165789573637605,4.834210426362395
P331_DEPTH_ACCEL_REVERSAL_H900_all_nonzero_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,all_nonzero_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,4,50,17,50,100,20093.4231539772,16538.96404006966,0.0,3554.459113907542,7.165789573637605,4.834210426362395
P331_DEPTH_ACCEL_REVERSAL_H900_top_50pct_abs_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_50pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,2,50,17,50,100,20093.4231539772,16538.96404006966,0.0,3554.459113907542,7.165789573637605,4.834210426362395
P331_DEPTH_ACCEL_REVERSAL_H900_top_50pct_abs_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_50pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,4,50,17,50,100,20093.4231539772,16538.96404006966,0.0,3554.459113907542,7.165789573637605,4.834210426362395
P331_MICROPRICE_DEPTH_CONFIRM_H1800_top_10pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P331_MICROPRICE_DEPTH_CONFIRM,1800,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,2,50,4,50,96,18804.813552030657,15878.148008496875,0.0,2926.6655435337816,5.900157735764103,6.099842264235897
P331_MICROPRICE_DEPTH_CONFIRM_H1800_top_10pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P331_MICROPRICE_DEPTH_CONFIRM,1800,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,4,50,4,50,96,18804.813552030657,15878.148008496875,0.0,2926.6655435337816,5.900157735764103,6.099842264235897
P331_MICROPRICE_DEPTH_CONFIRM_H1800_top_10pct_abs_signal_all_events_long_short_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P331_MICROPRICE_DEPTH_CONFIRM,1800,top_10pct_abs_signal,long_short,taker_entry_taker_exit,all_events,250000.0,100000.0,2,50,4,50,96,18804.813552030657,15878.148008496875,0.0,2926.6655435337816,5.900157735764103,6.099842264235897
